task,artifact_risk,holdout_kind,var_ratio,best_dumb_baseline_r2,opus-4.8_n,opus-4.8_median_clipped,opus-4.8_best_clipped,opus-4.8_median_raw,opus-4.8_worst_raw,opus-4.8_cost_usd,opus-4.8_any_interpolator,haiku-4.5_n,haiku-4.5_median_clipped,haiku-4.5_best_clipped,haiku-4.5_median_raw,haiku-4.5_worst_raw,haiku-4.5_cost_usd,haiku-4.5_any_interpolator,winner,margin
Biology_gen5_v4,none,extrapolation,0.0507680052697811,0.41761595172603083,3,0.750308,0.884726,0.750308,-0.278241,2.6175175,False,3,-1.0,-1.0,-2.708872,-2.714822,0.5858858,False,opus,1.750308
Economy_gen5_v4,none,extrapolation,0.2610696527169124,0.732784355719551,3,0.798136,0.816351,0.798136,0.746063,5.61762625,False,3,0.595472,0.732784,0.595472,-0.448471,0.4037479,False,opus,0.20266399999999996
PSEv4_m1_biology_0_004_gen5,high,extrapolation,0.1345100794560758,-0.016705673200650528,3,0.994476,0.995692,0.994476,-0.261488,6.235509,False,3,-0.376426,-0.350783,-0.376426,-0.580453,0.8921105500000002,False,opus,1.370902
PSEv4_nonlinear_cubic_oscillator,high,extrapolation,1.0343296083411801e-10,-3.507057829459195,3,0.976717,1.0,0.976717,0.697219,3.8365970000000003,False,3,-1.0,-1.0,-20775852.538717,-250314622.7846,0.3061342,False,opus,1.9767169999999998
PSEv4_system_20260603_170953,none,extrapolation,0.8733528314528125,0.9989828284292749,3,0.99998,0.99998,0.99998,0.998694,7.055986000000001,False,3,0.985216,0.998931,0.985216,0.931422,0.8594225500000001,False,opus,0.014764
Physics_42_000_gen5_v4,high,extrapolation,0.0003123951052583036,-0.6560620670894775,3,1.0,1.0,1.0,0.994385,2.90644,False,3,0.655371,0.958322,0.655371,-7.813922,0.77374775,False,opus,0.34462899999999996
SRBench0728_Mechanics_000_gen5,high,extrapolation,0.015088571154805231,-3.560675858694342,3,-1.0,-1.0,-4.553631,-6.765664,13.899260000000002,False,3,-1.0,-1.0,-1566.028755,-2730.880009,0.37154805,False,tie,0.0
SRBench0728_Mechanics_001_gen12,high,extrapolation,0.5884783550523239,0.9997426947594202,3,0.999996,0.999998,0.999996,0.999996,2.08593575,False,3,0.999286,0.999695,0.999286,0.999283,0.49732845000000003,False,opus,0.0007099999999999884
SRBench0728_Mechanics_002_gen15,none,extrapolation,0.10760681822300075,0.9904037830542541,3,0.999992,0.999992,0.999992,0.999901,8.01175875,False,3,0.929492,0.97769,0.929492,0.929492,0.49936769999999997,False,opus,0.07050000000000001
SRBench0728_PopulationEcology_006_gen8,none,extrapolation,0.9622141389224533,0.3253269553960588,3,0.999897,0.999971,0.999897,0.999641,5.09982175,False,3,0.024105,0.335346,0.024105,-0.996019,0.7634164999999999,False,opus,0.975792
