model,task,trial,status,official_reward,recomputed_r2,fixed_scale_r2,rmse,abs_diff_vs_official
haiku-4.5,Biology_gen5_v4,Biology_gen5_v4__CdnYdVZ,ok,-1.918415,-1.0536681057687929,0.8957393667839486,0.31456817874342596,0.8647468942312071
haiku-4.5,Biology_gen5_v4,Biology_gen5_v4__J25T62h,ok,-2.714822,-2.7148224773489655,0.8114058728936464,0.42307629363107424,4.773489656884067e-07
haiku-4.5,Biology_gen5_v4,Biology_gen5_v4__gpkQCiU,ok,-2.708872,-2.7088717612909683,0.8117079788778379,0.42273729816806754,2.3870903165246204e-07
haiku-4.5,Economy_gen5_v4,Economy_gen5_v4__45Z2u8J,ok,0.732784,0.7327841622974507,0.9302380540505366,0.10226987866344381,1.6229745070095447e-07
haiku-4.5,Economy_gen5_v4,Economy_gen5_v4__PF9qG3U,ok,0.595472,0.5954718663905175,0.8943899806443517,0.12583197368817992,1.3360948247775895e-07
haiku-4.5,Economy_gen5_v4,Economy_gen5_v4__imj4AEL,ok,-0.448471,-0.44847116380419116,0.6218481362951779,0.23810667480115735,1.6380419115558098e-07
haiku-4.5,PSEv4_m1_biology_0_004_gen5,PSEv4_m1_biology_0_004_gen5__4rKgdrz,ok,-0.376426,-0.37642567763258294,0.8148568727362583,0.2435345570298474,3.2236741703828287e-07
haiku-4.5,PSEv4_m1_biology_0_004_gen5,PSEv4_m1_biology_0_004_gen5__GaAJJSB,ok,-0.580453,-0.5804530456251598,0.7874131352563628,0.26096064149212234,4.5625159761364387e-08
haiku-4.5,PSEv4_m1_biology_0_004_gen5,PSEv4_m1_biology_0_004_gen5__syposcW,ok,-0.350783,-0.3507831233874972,0.8183060547452216,0.24125539027141518,1.23387497164007e-07
haiku-4.5,PSEv4_nonlinear_cubic_oscillator,PSEv4_nonlinear_cubic_oscillator__8TBmtRW,ok,-250314622.7846,-250314622.7846004,0.9741092173218804,0.05775084159653696,4.172325134277344e-07
haiku-4.5,PSEv4_nonlinear_cubic_oscillator,PSEv4_nonlinear_cubic_oscillator__r7V59ak,ok,-20775852.538717,-20775852.53871706,0.9978510919546345,0.016637751896848324,5.960464477539063e-08
haiku-4.5,PSEv4_nonlinear_cubic_oscillator,PSEv4_nonlinear_cubic_oscillator__ziWeXP8,ok,-4678.220507,-4678.220507330572,0.9999995160143685,0.00024969046728988214,3.305722202640027e-07
haiku-4.5,PSEv4_system_20260603_170953,PSEv4_system_20260603_170953__N5FPU6W,ok,0.931422,0.9314216839206684,0.9401069334758497,0.3016587094152162,3.1607933159705226e-07
haiku-4.5,PSEv4_system_20260603_170953,PSEv4_system_20260603_170953__cnX9MFX,ok,0.985216,0.9852157809974568,0.9870881604733104,0.14006242903276347,2.1900254321138846e-07
haiku-4.5,PSEv4_system_20260603_170953,PSEv4_system_20260603_170953__rQvdA6V,ok,0.998931,0.9989312199926342,0.9990665779543669,0.037658812466500775,2.1999263422056714e-07
haiku-4.5,Physics_42_000_gen5_v4,Physics_42_000_gen5_v4__QEgEXnx,ok,0.655371,0.6553706757138928,0.9998923394859646,0.028704508808991214,3.2428610718948647e-07
haiku-4.5,Physics_42_000_gen5_v4,Physics_42_000_gen5_v4__QziU2mU,ok,-7.813922,-7.813922344568061,0.9972465738014301,0.1451638959080657,3.4456806119465e-07
haiku-4.5,Physics_42_000_gen5_v4,Physics_42_000_gen5_v4__nqyGHBK,ok,0.958322,0.958322090360954,0.9999869800250314,0.009982216152477479,9.036095394154842e-08
haiku-4.5,SRBench0728_Mechanics_000_gen5,SRBench0728_Mechanics_000_gen5__c5iaKWi,ok,-2730.880009,-2730.880008511226,-40.22016589481156,2.1824601137807567,4.887738214165438e-07
haiku-4.5,SRBench0728_Mechanics_000_gen5,SRBench0728_Mechanics_000_gen5__i4ndAty,ok,-455.860704,-455.86070446318644,-5.893375247127233,0.8924983212350007,4.631864385373774e-07
haiku-4.5,SRBench0728_Mechanics_000_gen5,SRBench0728_Mechanics_000_gen5__r4C28zC,ok,-1566.028755,-1566.0287554414408,-22.644224878104065,1.6529281971819094,4.4144076127849985e-07
haiku-4.5,SRBench0728_Mechanics_001_gen12,SRBench0728_Mechanics_001_gen12__JbhuyQh,ok,0.999283,0.9992829441795273,0.9995780281702875,0.017211556258154584,5.582047268859469e-08
haiku-4.5,SRBench0728_Mechanics_001_gen12,SRBench0728_Mechanics_001_gen12__wr4kmVN,ok,0.999695,0.9996950956892078,0.9998205704127366,0.011223425815368516,9.568920777969225e-08
haiku-4.5,SRBench0728_Mechanics_001_gen12,SRBench0728_Mechanics_001_gen12__x7zsogv,ok,0.999286,0.9992859892477897,0.9995798201270496,0.017174971851139233,1.0752210344300295e-08
haiku-4.5,SRBench0728_Mechanics_002_gen15,SRBench0728_Mechanics_002_gen15__7bWjgHA,ok,0.929492,0.9294918810528957,0.9924128456612132,0.016099024895522954,1.1894710427728938e-07
haiku-4.5,SRBench0728_Mechanics_002_gen15,SRBench0728_Mechanics_002_gen15__sBrKD5k,ok,0.97769,0.9776895861922303,0.9975992473569074,0.009055945923159534,4.138077696058673e-07
haiku-4.5,SRBench0728_Mechanics_002_gen15,SRBench0728_Mechanics_002_gen15__woNf2Vi,ok,0.929492,0.9294919292105192,0.9924128508433019,0.016099019397639,7.078948083272252e-08
haiku-4.5,SRBench0728_PopulationEcology_006_gen8,SRBench0728_PopulationEcology_00__9NqtsBY,ok,0.024105,0.024104607430490144,0.06097965516033954,52.125685590229494,3.925695098577764e-07
haiku-4.5,SRBench0728_PopulationEcology_006_gen8,SRBench0728_PopulationEcology_00__Bppfc7g,ok,-0.996019,-0.9960190910868476,-0.9205977910029091,74.54739839344296,9.10868476200477e-08
haiku-4.5,SRBench0728_PopulationEcology_006_gen8,SRBench0728_PopulationEcology_00__J3VhGsN,ok,0.335346,0.3353463539475292,0.3604608642819528,43.01776493359109,3.539475292302363e-07
haiku-4.5,SRBench0728_PopulationEcology_009_gen5,SRBench0728_PopulationEcology_00__8D7tWaS,ok,0.20682,0.206820072452928,0.9974272336655837,4.307083473268447,7.245292799051839e-08
haiku-4.5,SRBench0728_PopulationEcology_009_gen5,SRBench0728_PopulationEcology_00__AfUPLUm,ok,-13.971625,-13.971624710286706,0.9514378885692942,18.712503610551018,2.897132933554758e-07
haiku-4.5,SRBench0728_PopulationEcology_009_gen5,SRBench0728_PopulationEcology_00__x3XrQCQ,ok,-18.434553,-18.43455273148792,0.9369618906688204,21.31987755586486,2.685120819023723e-07
haiku-4.5,SRBench0826_ai_scaling_u_shape_000,SRBench0826_ai_scaling_u_shape_0__CvPtLN3,ok,1.0,0.9999999612214115,0.9999999609143871,1.6943038543812365e-05,3.877858845147131e-08
haiku-4.5,SRBench0826_ai_scaling_u_shape_000,SRBench0826_ai_scaling_u_shape_0__pm889Qk,ok,0.732238,0.7322382407467808,0.7301182721045816,0.044521478369929826,2.4074678073304767e-07
