model,task,trial,job,status,raw_r2,clipped_r2,uses_interpolator,uses_poly_fit,n_numeric_literals,law_bytes,cost_usd,n_output_tokens
haiku-4.5,Biology_gen5_v4,Biology_gen5_v4__CdnYdVZ,b828_haiku45,scored,-1.918415,-1.0,False,False,16,2814,0.2689649,21035
haiku-4.5,Biology_gen5_v4,Biology_gen5_v4__J25T62h,b828_haiku45,scored,-2.714822,-1.0,False,False,6,1486,0.10742135000000001,8993
haiku-4.5,Biology_gen5_v4,Biology_gen5_v4__gpkQCiU,b828_haiku45,scored,-2.708872,-1.0,False,False,10,1141,0.20949955,16466
opus-4.8,Biology_gen5_v4,Biology_gen5_v4__YNvV4Av,b828_opus48,scored,-0.278241,-0.278241,False,False,10,2187,0.8415567499999999,16587
opus-4.8,Biology_gen5_v4,Biology_gen5_v4__qiEBEVX,b828_opus48,scored,0.750308,0.750308,False,False,11,1208,0.87617975,15348
opus-4.8,Biology_gen5_v4,Biology_gen5_v4__sDJFErR,b828_opus48,scored,0.884726,0.884726,False,False,10,1592,0.8997809999999999,14460
haiku-4.5,Economy_gen5_v4,Economy_gen5_v4__45Z2u8J,b828_haiku45,scored,0.732784,0.732784,False,False,56,3263,0.10469824999999999,7669
haiku-4.5,Economy_gen5_v4,Economy_gen5_v4__PF9qG3U,b828_haiku45,scored,0.595472,0.595472,False,False,12,1399,0.19156659999999998,12900
haiku-4.5,Economy_gen5_v4,Economy_gen5_v4__imj4AEL,b828_haiku45,scored,-0.448471,-0.448471,False,False,21,1790,0.10748305000000001,7893
opus-4.8,Economy_gen5_v4,Economy_gen5_v4__XCKnPyv,b828_opus48,scored,0.746063,0.746063,False,False,12,1360,1.2935027499999998,25353
opus-4.8,Economy_gen5_v4,Economy_gen5_v4__Y6zHQwF,b828_opus48,scored,0.798136,0.798136,False,False,10,1434,2.6147755,51919
opus-4.8,Economy_gen5_v4,Economy_gen5_v4__oCXCGAg,b828_opus48,scored,0.816351,0.816351,False,False,15,2157,1.709348,32090
haiku-4.5,PSEv4_m1_biology_0_004_gen5,PSEv4_m1_biology_0_004_gen5__4rKgdrz,b828_haiku45,scored,-0.376426,-0.376426,False,False,6,938,0.4542543000000001,17199
haiku-4.5,PSEv4_m1_biology_0_004_gen5,PSEv4_m1_biology_0_004_gen5__GaAJJSB,b828_haiku45,scored,-0.580453,-0.580453,False,False,10,1035,0.20136505000000002,8259
haiku-4.5,PSEv4_m1_biology_0_004_gen5,PSEv4_m1_biology_0_004_gen5__syposcW,b828_haiku45,scored,-0.350783,-0.350783,False,False,14,1240,0.23649119999999996,11944
opus-4.8,PSEv4_m1_biology_0_004_gen5,PSEv4_m1_biology_0_004_gen5__EnDhxZr,b828_opus48,scored,0.995692,0.995692,False,False,22,2716,3.830174,67939
opus-4.8,PSEv4_m1_biology_0_004_gen5,PSEv4_m1_biology_0_004_gen5__QbDkCyr,b828_opus48,scored,-0.261488,-0.261488,False,False,6,1021,0.71998575,13309
opus-4.8,PSEv4_m1_biology_0_004_gen5,PSEv4_m1_biology_0_004_gen5__qqNBJMz,b828_opus48,scored,0.994476,0.994476,False,False,16,2438,1.6853492500000005,33539
haiku-4.5,PSEv4_nonlinear_cubic_oscillator,PSEv4_nonlinear_cubic_oscillator__8TBmtRW,b828_haiku45,scored,-250314622.7846,-1.0,False,False,20,1010,0.11006225,8478
haiku-4.5,PSEv4_nonlinear_cubic_oscillator,PSEv4_nonlinear_cubic_oscillator__r7V59ak,b828_haiku45,scored,-20775852.538717,-1.0,False,False,20,1975,0.08605615,6401
haiku-4.5,PSEv4_nonlinear_cubic_oscillator,PSEv4_nonlinear_cubic_oscillator__ziWeXP8,b828_haiku45,scored,-4678.220507,-1.0,False,False,9,921,0.1100158,8724
opus-4.8,PSEv4_nonlinear_cubic_oscillator,PSEv4_nonlinear_cubic_oscillator__5EmaZJK,b828_opus48,scored,1.0,1.0,False,False,3,1130,1.53852075,31167
opus-4.8,PSEv4_nonlinear_cubic_oscillator,PSEv4_nonlinear_cubic_oscillator__XjnCSdr,b828_opus48,scored,0.976717,0.976717,False,False,9,1324,1.5404787500000001,32366
opus-4.8,PSEv4_nonlinear_cubic_oscillator,PSEv4_nonlinear_cubic_oscillator__hdVzxGW,b828_opus48,scored,0.697219,0.697219,False,False,7,779,0.7575974999999999,13476
haiku-4.5,PSEv4_system_20260603_170953,PSEv4_system_20260603_170953__N5FPU6W,b828_haiku45,scored,0.931422,0.931422,False,False,21,1504,0.36015165000000005,18095
haiku-4.5,PSEv4_system_20260603_170953,PSEv4_system_20260603_170953__cnX9MFX,b828_haiku45,scored,0.985216,0.985216,False,False,16,1196,0.23923605,11608
haiku-4.5,PSEv4_system_20260603_170953,PSEv4_system_20260603_170953__rQvdA6V,b828_haiku45,scored,0.998931,0.998931,False,False,16,1411,0.26003485000000004,13247
opus-4.8,PSEv4_system_20260603_170953,PSEv4_system_20260603_170953__GEcWWDD,b828_opus48,scored,0.998694,0.998694,False,False,6,826,0.6264152499999999,11210
opus-4.8,PSEv4_system_20260603_170953,PSEv4_system_20260603_170953__HJv5TaC,b828_opus48,scored,0.99998,0.99998,False,False,7,1708,2.6659665,50811
opus-4.8,PSEv4_system_20260603_170953,PSEv4_system_20260603_170953__vYm6agD,b828_opus48,scored,0.99998,0.99998,False,False,7,1821,3.7636042500000007,71641
haiku-4.5,Physics_42_000_gen5_v4,Physics_42_000_gen5_v4__QEgEXnx,b828_haiku45,scored,0.655371,0.655371,False,False,4,887,0.50322225,13759
haiku-4.5,Physics_42_000_gen5_v4,Physics_42_000_gen5_v4__QziU2mU,b828_haiku45,scored,-7.813922,-1.0,False,False,4,888,0.0671631,5130
haiku-4.5,Physics_42_000_gen5_v4,Physics_42_000_gen5_v4__nqyGHBK,b828_haiku45,scored,0.958322,0.958322,False,False,7,942,0.20336239999999997,10072
opus-4.8,Physics_42_000_gen5_v4,Physics_42_000_gen5_v4__P7rGxTy,b828_opus48,scored,1.0,1.0,False,False,7,888,0.4888577499999999,9009
opus-4.8,Physics_42_000_gen5_v4,Physics_42_000_gen5_v4__n6ocbtH,b828_opus48,scored,1.0,1.0,False,False,7,1064,0.6252665,12882
opus-4.8,Physics_42_000_gen5_v4,Physics_42_000_gen5_v4__whJU8KE,b828_opus48,scored,0.994385,0.994385,False,False,3,905,1.7923157500000002,36710
haiku-4.5,SRBench0728_Mechanics_000_gen5,SRBench0728_Mechanics_000_gen5__c5iaKWi,b828_haiku45,scored,-2730.880009,-1.0,False,False,15,1768,0.09155995,7623
haiku-4.5,SRBench0728_Mechanics_000_gen5,SRBench0728_Mechanics_000_gen5__i4ndAty,b828_haiku45,scored,-455.860704,-1.0,False,False,15,2522,0.15514704999999998,12985
haiku-4.5,SRBench0728_Mechanics_000_gen5,SRBench0728_Mechanics_000_gen5__r4C28zC,b828_haiku45,scored,-1566.028755,-1.0,False,False,24,1813,0.12484105000000001,10523
opus-4.8,SRBench0728_Mechanics_000_gen5,SRBench0728_Mechanics_000_gen5__4UYHsKE,b828_opus48,scored,-6.765664,-1.0,False,False,8,2106,2.981318750000001,52950
opus-4.8,SRBench0728_Mechanics_000_gen5,SRBench0728_Mechanics_000_gen5__nXAKuKC,b828_opus48,scored,-4.293977,-1.0,False,False,5,1669,5.65414575,102537
opus-4.8,SRBench0728_Mechanics_000_gen5,SRBench0728_Mechanics_000_gen5__tkkS5pJ,b828_opus48,scored,-4.553631,-1.0,False,False,2,1516,5.263795500000001,89438
haiku-4.5,SRBench0728_Mechanics_001_gen12,SRBench0728_Mechanics_001_gen12__JbhuyQh,b828_haiku45,scored,0.999283,0.999283,False,False,10,639,0.19208214999999998,3587
haiku-4.5,SRBench0728_Mechanics_001_gen12,SRBench0728_Mechanics_001_gen12__wr4kmVN,b828_haiku45,scored,0.999695,0.999695,False,False,56,2878,0.22147305,12982
haiku-4.5,SRBench0728_Mechanics_001_gen12,SRBench0728_Mechanics_001_gen12__x7zsogv,b828_haiku45,scored,0.999286,0.999286,False,False,10,797,0.08377325000000001,5804
opus-4.8,SRBench0728_Mechanics_001_gen12,SRBench0728_Mechanics_001_gen12__5gjP7st,b828_opus48,scored,0.999996,0.999996,False,False,6,1106,0.50584025,8492
opus-4.8,SRBench0728_Mechanics_001_gen12,SRBench0728_Mechanics_001_gen12__XiaFXA7,b828_opus48,scored,0.999996,0.999996,False,False,7,1595,0.7055787499999999,12460
opus-4.8,SRBench0728_Mechanics_001_gen12,SRBench0728_Mechanics_001_gen12__kii6YVs,b828_opus48,scored,0.999998,0.999998,False,False,8,1758,0.87451675,15410
haiku-4.5,SRBench0728_Mechanics_002_gen15,SRBench0728_Mechanics_002_gen15__7bWjgHA,b828_haiku45,scored,0.929492,0.929492,False,False,15,1163,0.17465759999999997,12084
haiku-4.5,SRBench0728_Mechanics_002_gen15,SRBench0728_Mechanics_002_gen15__sBrKD5k,b828_haiku45,scored,0.97769,0.97769,False,False,35,2734,0.1974745,16058
haiku-4.5,SRBench0728_Mechanics_002_gen15,SRBench0728_Mechanics_002_gen15__woNf2Vi,b828_haiku45,scored,0.929492,0.929492,False,False,15,2051,0.1272356,10541
opus-4.8,SRBench0728_Mechanics_002_gen15,SRBench0728_Mechanics_002_gen15__5oAYMUB,b828_opus48,scored,0.999992,0.999992,False,False,0,1347,2.2579605,43647
opus-4.8,SRBench0728_Mechanics_002_gen15,SRBench0728_Mechanics_002_gen15__dGRZqdE,b828_opus48,scored,0.999992,0.999992,False,False,5,2050,3.3059845000000005,59489
opus-4.8,SRBench0728_Mechanics_002_gen15,SRBench0728_Mechanics_002_gen15__naWbZh5,b828_opus48,scored,0.999901,0.999901,False,False,2,1081,2.44781375,47207
haiku-4.5,SRBench0728_PopulationEcology_006_gen8,SRBench0728_PopulationEcology_00__9NqtsBY,b828_haiku45,scored,0.024105,0.024105,False,False,21,2369,0.12106445000000002,9642
haiku-4.5,SRBench0728_PopulationEcology_006_gen8,SRBench0728_PopulationEcology_00__Bppfc7g,b828_haiku45,scored,-0.996019,-0.996019,False,False,15,1936,0.2881463000000001,23594
haiku-4.5,SRBench0728_PopulationEcology_006_gen8,SRBench0728_PopulationEcology_00__J3VhGsN,b828_haiku45,scored,0.335346,0.335346,False,False,12,1951,0.35420574999999993,26232
opus-4.8,SRBench0728_PopulationEcology_006_gen8,SRBench0728_PopulationEcology_00__jahsoUZ,b828_opus48,scored,0.999641,0.999641,False,False,41,2674,1.7448747500000004,33544
opus-4.8,SRBench0728_PopulationEcology_006_gen8,SRBench0728_PopulationEcology_00__o7ew8Pm,b828_opus48,scored,0.999971,0.999971,False,False,48,3156,1.88959675,32998
opus-4.8,SRBench0728_PopulationEcology_006_gen8,SRBench0728_PopulationEcology_00__tJMXHd7,b828_opus48,scored,0.999897,0.999897,False,False,40,2095,1.4653502500000002,25038
haiku-4.5,SRBench0728_PopulationEcology_009_gen5,SRBench0728_PopulationEcology_00__8D7tWaS,b828_haiku45,scored,0.20682,0.20682,False,False,11,1336,0.15347245,13809
haiku-4.5,SRBench0728_PopulationEcology_009_gen5,SRBench0728_PopulationEcology_00__AfUPLUm,b828_haiku45_retry,scored,-13.971625,-1.0,False,False,10,1049,0.1782464,13431
haiku-4.5,SRBench0728_PopulationEcology_009_gen5,SRBench0728_PopulationEcology_00__ULFMC7z,b828_haiku45,NetworkConnectionError,,,,,,,,
haiku-4.5,SRBench0728_PopulationEcology_009_gen5,SRBench0728_PopulationEcology_00__x3XrQCQ,b828_haiku45,scored,-18.434553,-1.0,False,False,20,2830,0.2263371,14548
opus-4.8,SRBench0728_PopulationEcology_009_gen5,SRBench0728_PopulationEcology_00__CxBF3ki,b828_opus48,scored,0.218123,0.218123,False,False,1,1962,6.129601750000002,106101
opus-4.8,SRBench0728_PopulationEcology_009_gen5,SRBench0728_PopulationEcology_00__iwuQd6d,b828_opus48,scored,0.093168,0.093168,False,False,4,1710,2.4679402500000007,46216
