N,D,U,Q,L,L_noisy
1.055949744398163803e+00,1.176868785876683887e+01,1.393964728281136978e+01,1.872287680028927204e+00,8.304243482851129343e+00,8.307699324771776972e+00
7.960262559627988566e+00,1.761762484370827622e+02,1.155056103783183685e+00,1.485289300445403526e+00,1.397314807769246059e+01,1.398136425912747249e+01
1.942313038051235174e-01,1.421292833030329206e+01,1.952500358530784297e+00,1.775297231121787167e+00,1.730464548228593813e+01,1.730794985304777356e+01
7.894032212920651048e+00,1.530921727340079741e+01,4.453904561241356674e+01,1.495881630570887744e+00,4.803755420595280157e+00,4.790723848279236918e+00
4.204001903728689093e-01,1.209293725129692234e+02,4.744093632456389820e+00,1.041506889791007584e+00,1.190486759504329939e+01,1.191392115371002980e+01
7.025106264669263023e-01,2.737151328384962881e+02,2.342854861091283780e+01,1.930937593001690988e+00,8.787173657177751451e+00,8.791637402901391951e+00
4.522777132120278765e+00,2.742270434705045190e+01,4.728392351791066872e+00,1.753381725854354478e+00,7.510638730912123862e+00,7.505269198558520927e+00
6.582612236208861267e-01,7.244417993448395521e+01,1.415953404778538260e+00,1.330910229964703539e+00,1.616124240832850134e+01,1.616705358937046455e+01
1.256571991827155843e+00,2.007033020016758655e+02,2.148776551385638278e+00,1.934613308733428294e+00,1.251672485252096578e+01,1.252037057648282570e+01
1.135319837804826676e-01,2.062347876893503340e+01,1.132300354946148557e+00,1.439712268213299229e+00,2.341083004715910931e+01,2.341377137212566595e+01
3.213854545722011125e+00,5.017368491593833824e+01,5.881855604962769490e+00,1.101267739892913822e+00,7.507019894175224195e+00,7.507304116588382037e+00
1.192028465525248215e+00,1.017030894385609230e+02,2.467665260064278776e+00,1.055819788718702190e+00,1.172815632190234858e+01,1.173362345176847299e+01
4.565238099030962116e-01,2.176508218322966002e+02,3.747348885275165031e+01,1.331627338717964903e+00,9.356155877998251214e+00,9.348791337128234957e+00
3.774482419228238683e+00,9.424144554646139227e+01,1.279037452247431705e+00,1.374851416935240600e+00,1.391052305127555400e+01,1.390889395179562271e+01
4.040077150300002695e-01,1.771104124230687304e+01,2.692589016962929804e+01,1.488929457458135097e+00,9.739616937262880469e+00,9.734795744136080842e+00
8.072271845269060053e-01,2.575968069055189744e+02,2.202195848702261571e+01,1.071675276676339550e+00,8.450192496360877215e+00,8.456180958487223620e+00
1.853887578143128823e-01,2.388015804143399805e+02,9.615163590160349827e+00,1.693699053565380197e+00,1.320514254760134243e+01,1.320553976867615908e+01
6.400677900893794181e-01,1.691329093290969752e+02,8.792243789890399341e+00,1.528880714159877030e+00,9.862225669143498408e+00,9.859301101633848319e+00
2.552175183107454060e-01,1.759302795681979887e+02,2.302017816674017947e+00,1.662881394444910121e+00,1.597416177167569984e+01,1.596634268705213167e+01
3.346776269098196699e-01,5.947255924200823785e+01,4.555697355878205457e+00,1.142224365931161056e+00,1.252287761749756889e+01,1.252030569509138047e+01
3.167592786326513199e+00,1.272718832249547205e+02,3.587161602734475707e+01,1.420487096169912977e+00,5.842801336039094906e+00,5.842882757844278352e+00
3.637621566079690671e-01,4.975289743528210238e+02,2.437445315036180560e+00,1.328208447882260668e+00,1.468484432984343080e+01,1.468208830079043636e+01
9.340754307584184790e-01,4.531809944253031972e+02,1.773145221599364518e+01,1.566301396153442660e+00,8.491777752431362458e+00,8.504718390575344955e+00
9.151123144799889531e+00,2.073816115572143914e+01,3.116051626058792223e+01,1.829228231015223027e+00,4.818906796789242719e+00,4.828974039942300678e+00
8.381357920683287333e+00,1.210434982249757212e+02,7.247637669309911246e+01,1.269027455726407183e+00,4.528497120180673186e+00,4.501385495391013514e+00
2.815657862887754881e+00,2.977964682238455794e+02,1.250451805531517246e+00,1.200914180166038348e+00,1.452967492505739067e+01,1.451078479259771470e+01
