lr,bsz,D,N,L,L_noisy
1.055949744398163807e-03,5.829934683262496975e+01,5.204483994961583448e+01,5.083117173164009017e+00,6.833516650466373576e+00,6.834553403042567865e+00
7.960262559627985512e-03,7.479076311849215699e+02,1.241379642758336344e+00,6.540865837687417361e-01,1.761249211501535328e+01,1.761495696944585632e+01
1.942313038051236135e-04,6.965373850573789127e+01,2.728265828059909470e+00,3.040550274344763437e+00,9.431397921971566234e+00,9.432389233200115797e+00
7.894032212920646871e-03,7.470904580143901796e+01,2.972428112002259013e+02,6.918445284004410833e-01,9.002653935444987710e+00,8.998744463750174560e+00
4.204001903728689176e-04,5.245099160564143403e+02,1.033308205012557934e+01,6.229864527916462863e-02,1.743270120824655578e+01,1.743541727584657508e+01
7.025106264669263431e-04,1.133142797907848262e+03,1.134013115888421908e+02,6.935620632961549958e+00,7.125747136753457944e+00,7.127086260470550272e+00
4.522777132120276919e-03,1.294464898397972377e+02,1.028182621972011468e+01,2.707222517907259984e+00,8.426844609754452264e+00,8.425233750048372272e+00
6.582612236208863939e-04,3.235329506323166697e+02,1.684897334301916683e+00,2.886718060541396680e-01,1.560296190462700672e+01,1.560470525893959604e+01
1.256571991827156592e-03,8.457192706186995110e+02,3.149828325328230871e+00,7.072016447934666772e+00,1.173796878842330393e+01,1.173906250561186226e+01
1.135319837804826630e-04,9.894653328700741213e+01,1.204876309211988072e+00,5.137609874711446256e-01,1.345123389738837183e+01,1.345211629487833882e+01
3.213854545722010913e-03,2.288181850892227374e+02,1.426499218472770814e+01,8.550472438438165568e-02,1.488802955872993472e+01,1.488811482545388287e+01
1.192028465525248699e-03,4.454975883838906157e+02,3.876407013542319646e+00,6.720676831251233552e-02,1.845572679143540284e+01,1.845736693039523857e+01
4.565238099030964310e-04,9.129013850657448756e+02,2.293961859938332566e+02,2.897706921223633936e-01,1.089839781299779986e+01,1.089618845073679410e+01
3.774482419228238940e-03,4.146109283560751351e+02,1.446521497298873138e+00,3.643462958672987750e-01,1.617909254841926270e+01,1.617860381857528296e+01
4.040077150300004963e-04,8.571446996634232107e+01,1.397188830028778739e+02,6.668241986236534968e-01,8.921174558818162126e+00,8.919728200880122415e+00
8.072271845269056792e-04,1.070113395486391482e+03,1.033436769101271153e+02,7.309656451514759401e-02,1.593692472432517881e+01,1.593872126296308345e+01
1.853887578143128829e-04,9.963303035616090710e+02,2.981501391927903200e+01,1.973296449871046576e+00,9.701757488390727602e+00,9.701876654713172954e+00
6.400677900893794693e-04,7.196800095850072694e+02,2.607051332430814838e+01,8.240250072833068540e-01,1.060897320734633098e+01,1.060809583709343507e+01
2.552175183107453630e-04,7.469229602577840978e+02,3.492713966640107692e+00,1.676023009182876944e+00,1.284265498970680852e+01,1.284030926431973718e+01
3.346776269098198676e-04,2.686081979928657688e+02,9.723716716990715270e+00,1.062264178356063515e-01,1.480764052578705225e+01,1.480686894906519591e+01
3.167592786326513341e-03,5.504121825931987360e+02,2.148455750119923380e+02,4.640058173196756619e-01,9.627281653534145889e+00,9.627306080075701544e+00
3.637621566079690563e-04,1.990678375091311636e+03,3.805417590683709772e+00,2.845689344848918445e-01,1.907174186155894446e+01,1.907091505284304489e+01
9.340754307584189830e-04,1.822918324250782234e+03,7.466489505854949016e+01,1.004723368488654511e+00,1.079137351783310450e+01,1.079525570927629907e+01
9.151123144799889683e-03,9.946528518380046080e+01,1.739430041816968355e+02,4.046215758380210303e+00,6.918991717068408320e+00,6.922011890014325708e+00
8.381357920683287291e-03,5.249766686948560164e+02,6.170135625286612822e+02,2.079745769817034073e-01,1.102331634109909153e+01,1.101518285366219274e+01
2.815657862887754794e-03,1.226920756411633647e+03,1.398300255310749307e+00,1.449704741867469393e-01,2.195386574547479341e+01,2.194819870573688902e+01
1.209076307713311546e-03,6.241716723545837908e+01,4.170124845361918631e+01,4.666053636135828464e-01,9.827161535610041909e+00,9.826637219333877127e+00
3.579170671719981837e-04,4.169257890833883948e+02,1.931956683877020353e+00,4.236766937883338358e-01,1.503538403194212414e+01,1.503411746070739596e+01
2.095578902817458393e-04,7.655881936571596214e+01,4.566116424546355006e+02,8.227302875436427243e+00,6.362673030624033110e+00,6.363313959616529125e+00
8.706644785456010491e-03,9.841309196571125995e+01,7.244319073995592362e+02,1.569417365663471620e-01,1.196728548893494981e+01,1.196793745472801795e+01
1.076805266843865270e-03,1.881152250331377331e+02,1.471198692881789727e+00,1.407500012661946631e-01,1.662829891325387166e+01,1.663465242951902567e+01
1.705026859752021532e-04,3.897512246615967797e+02,1.984592491039641082e+00,1.248632040130006893e-01,1.763503910010488340e+01,1.763170303781680559e+01
1.765954505414073792e-03,3.684885666583735429e+02,2.360354928934939522e+01,8.477692718365956281e+00,7.177436981111072534e+00,7.176304166089691350e+00
3.575742436519427185e-03,3.209114005389882323e+02,2.112494743423846444e+02,4.570794673869874813e+00,6.442891902556588946e+00,6.449020217379065834e+00
1.682699641126292637e-03,1.708277627239370076e+03,7.048309229537129283e+01,9.408579769723443564e-02,1.623206154923507327e+01,1.623400165822367924e+01
6.832748092334742750e-03,3.273143088271038437e+02,9.889194109059923576e+00,9.188350896418294056e+00,8.148969823049812433e+00,8.150959013166941602e+00
1.200012454141670073e-04,7.471950670602241189e+02,6.173386556408062376e+01,1.865669805193627129e+00,8.542357220166254095e+00,8.540815201051191963e+00
1.140718609249498708e-03,1.716083011131485989e+02,2.476778842961800819e+02,3.264946135777834879e+00,6.728412254743596499e+00,6.723468029231029597e+00
8.292238138422550068e-04,7.788201876251260956e+02,5.814283232245377349e+02,2.477672925749888400e+00,6.901277158164706549e+00,6.901779552397374395e+00
1.332598003584945054e-04,7.891065530795558516e+02,2.599996673637005262e+00,4.151012591596939139e+00,1.246128268766784331e+01,1.246160972993130756e+01
1.917151078775310028e-03,5.910903937480967443e+02,3.381125174453524664e+02,1.930875895147330823e+00,7.304801351231737350e+00,7.301119295069003812e+00
5.073009515875978072e-03,8.079733669119341357e+02,8.784782421477697767e+01,5.115940034492395538e-01,1.058372562556815488e+01,1.058167594558281266e+01
1.534200204180814504e-03,4.129712018274591401e+02,4.063605783586368148e+01,3.993770781996100472e-01,1.074184479348279275e+01,1.074162866244361147e+01
3.312797543632049562e-04,1.174237470596074900e+03,2.100539709425304480e+01,6.579472679600425478e-01,1.221686329385589076e+01,1.221402903898670900e+01
4.783690154056196783e-03,1.078299273527306241e+03,3.407324774836998671e+01,1.094047029317828379e+00,1.091263570054419141e+01,1.091234089064063539e+01
1.044700404937504287e-03,7.134970875192517781e+01,2.377798581817010515e+01,4.458019785772409094e-01,1.013509828366392895e+01,1.013538473274633667e+01
