N,E,G,L,L_noisy
3.431348857969162225e+00,9.241645646546936987e+00,7.263321610728032951e+00,3.407148309593210911e+00,3.414059993434506612e+00
7.102170416433426681e+01,1.016011326833365871e+02,1.114585815546039749e+00,3.375581778055051885e+00,3.392014140925075250e+00
2.706941299741837392e-01,1.092333554369720439e+01,1.654594630858832627e+00,4.385321795046760229e+00,4.391930536570427535e+00
7.013718664701573857e+01,1.166657482197277673e+01,1.741009616580788233e+01,2.747240348866855975e+00,2.721177204234768610e+00
8.619743766571902333e-01,7.279902874203766316e+01,3.227424015237319477e+00,3.749753977525586368e+00,3.767861094859048521e+00
1.861998586322005211e+00,1.501137433956109533e+02,1.073584217256173012e+01,3.235879561207895883e+00,3.244807052655175994e+00
3.041639793970100669e+01,1.955330855166750936e+01,3.219381985763285936e+00,3.130950899584378888e+00,3.120211834877173018e+00
1.688874619356283358e+00,4.623634704215745472e+01,1.299198980300680706e+00,3.817687598260916637e+00,3.829309960344843500e+00
4.454316403308543393e+00,1.140375593326076995e+02,1.778274623222292350e+00,3.516297201038397269e+00,3.523588648962118874e+00
1.209699050392171044e-01,1.519109990582437320e+01,1.098019829465624486e+00,4.458210391476335133e+00,4.464093041409445739e+00
1.821962047050797295e+01,3.339297046425618021e+01,3.794174144160407547e+00,3.163908829309676651e+00,3.164477274135992779e+00
4.115569496215321976e+00,6.244627646266574317e+01,1.973444050625872581e+00,3.529932924767359648e+00,3.540867184499608467e+00
9.754278461230961872e-01,1.225285795792078147e+02,1.528781501452827740e+01,3.410064398421543075e+00,3.395335316681509674e+00
2.318921836980653239e+01,5.836997797833242174e+01,1.203476652504550382e+00,3.458914383578773233e+00,3.455656184618911997e+00
8.120532108251916625e-01,1.327437773731533355e+01,1.192093239119959591e+01,3.835946619442367478e+00,3.826304233188767778e+00
2.293473193770152463e+00,1.422555123046293204e+02,1.024707215252828085e+01,3.207195784957484364e+00,3.219172709210176730e+00
2.524207726387185935e-01,1.330207710783554091e+02,5.492228671656953054e+00,1.666555320068757062e+00,1.667349762218390152e+00
1.619343414120345770e+00,9.799428262675492363e+01,5.134590793545732446e+00,3.454087286439742055e+00,3.448238151420440101e+00
4.077234797032815994e-01,1.014754544683571567e+02,1.872897182647915937e+00,3.993414008495315581e+00,3.977775839248178791e+00
6.122658283000319557e-01,3.882146116382971002e+01,3.130487115303659529e+00,3.957121352109833623e+00,3.951977507297456338e+00
1.782764666044992552e+01,7.617168865780902820e+01,1.479335480350350629e+01,2.891266159122823698e+00,2.891429002733190590e+00
6.937871854265178495e-01,2.548788495036896791e+02,1.955228476603322330e+00,3.753082901255069714e+00,3.747570843149082176e+00
2.854781825932271477e+00,2.346457601897161851e+02,8.705099360989628110e+00,3.155324947585739004e+00,3.181206223873703109e+00
8.754101936234590653e+01,1.526591351263028429e+01,1.330606066147760203e+01,2.750506132642788870e+00,2.770640618948904788e+00
7.673112770284721762e+01,7.285989098873071157e+01,2.511524048050252489e+01,2.645062197488441846e+00,2.590838947909122503e+00
1.494066136112026300e+01,1.617571412036678851e+02,1.183178215340097372e+00,3.504650624157214178e+00,3.466870359237860910e+00
4.204172882653717025e+00,9.853640333825648412e+00,6.499138209897066254e+00,3.375597399862399151e+00,3.372101958021295864e+00
6.771324270579623938e-01,5.867610485006579779e+01,1.391520640329598768e+00,3.947210185222376211e+00,3.938766376990848972e+00
3.033584008774380392e-01,1.193776078953656494e+01,2.159429484132817834e+01,3.201611279538491228e+00,3.205884139488463624e+00
8.124118316006483553e+01,1.511414306372410365e+01,2.722127274739482417e+01,2.666462567293183650e+00,2.670809005913635126e+00
3.533505377964188288e+00,2.778012629228438968e+01,1.213733949342563179e+00,3.745024553057974437e+00,3.787381328158995419e+00
2.226367416803001764e-01,5.507577916449127997e+01,1.410414201476106522e+00,4.191475875407268958e+00,4.169235460153423389e+00
7.421116794274980499e+00,5.224815346619536882e+01,4.884786548925746708e+00,3.229943473525142217e+00,3.222391373382602175e+00
2.138205011110510867e+01,4.588427552903161200e+01,1.466860118052346884e+01,2.893899463417681339e+00,2.934754895567527999e+00
6.902555434658413702e+00,2.207548868741158685e+02,8.456974230814106264e+00,3.044239319638722741e+00,3.057173379562759585e+00
5.647979534444260707e+01,4.674387608249116255e+01,3.157103379338977334e+00,3.046774486302385565e+00,3.060035753749910992e+00
1.314554602308476705e-01,1.015101857501239948e+02,7.912895948271870594e+00,3.196840343002350426e+00,3.186560215568601251e+00
3.852723037279587093e+00,2.548362932909245870e+01,1.588741001328012103e+01,3.185345622505217023e+00,3.152384119088103898e+00
2.387853336655944236e+00,1.055416299703643119e+02,2.437775962357852677e+01,3.073355540460202651e+00,3.076704835344657329e+00
1.538327264971291741e-01,1.068507420521635254e+02,1.615097567841552451e+00,4.263275820009348571e+00,4.265456101765779273e+00
8.394300410074325924e+00,8.144910096476172612e+01,1.857257674167944117e+01,2.946135000505824664e+00,2.921587959420933078e+00
3.613254193950034932e+01,1.092491878754868253e+02,9.445005799761140963e+00,2.871938102378262414e+00,2.858273569142651294e+00
6.009288496545991620e+00,5.815307114818160272e+01,6.415311343701402436e+00,3.203533001658153800e+00,3.202092128063609433e+00
6.029653326678219294e-01,1.552229293511300341e+02,4.607182753904753625e+00,3.807345019988109591e+00,3.788449987526893992e+00
3.308602267865397550e+01,1.432776404668659325e+02,5.872694343460490352e+00,2.962471128269973164e+00,2.960505728912928625e+00
3.376662420893699945e+00,1.117303226967695906e+01,4.902865232717364741e+00,3.465633368897649724e+00,3.467543029447038627e+00
3.409311264422270060e+00,3.783839361123048661e+01,1.022092234688804702e+01,3.248364221899963322e+00,3.249075946641073021e+00
1.815894541260320949e+01,1.215400867818670250e+01,2.359087515401353485e+01,2.909066017738958010e+00,2.898940184572671885e+00
2.778216634772801008e-01,2.156720177105493974e+02,2.272706427234583604e+00,4.121973031618132666e+00,4.133847993053849201e+00
2.876604512282171910e+01,3.611324062597465456e+01,1.007180260102317204e+00,3.535494327016016847e+00,3.553317666101663441e+00
1.121658670991577900e+01,1.715303061336055279e+01,1.093376471647008685e+00,3.618380622768844646e+00,3.624797588860175779e+00
2.297686775640087831e+01,1.458298967833190716e+02,2.356351945629532807e+01,2.751157660926785375e+00,2.734793056378979070e+00
3.757065591004836169e-01,1.082339199433711840e+01,2.500532580265418758e+01,2.997686845813724688e+00,3.012319891489433576e+00
2.553244960601730540e+01,1.364626982995898352e+01,2.076015060081791574e+01,2.867968299530174736e+00,2.857939499160833563e+00
3.749486361060725415e-01,8.410675000138934365e+01,7.528516517356471205e+00,3.378973863966086810e+01,3.380732185202662521e+01
1.756539223757207779e-01,4.643422382250469127e+01,7.600316385349641379e+00,3.175351848558688239e+00,3.153916100221139551e+00
3.678586077837788082e+01,2.020265968278018676e+01,4.054576910288569813e+00,3.057232486353588907e+00,3.075521830416164448e+00
3.835751720680286070e+01,5.894913940027399946e+01,3.224551373237925844e+00,3.088316138766741936e+00,3.087914869674432516e+00
4.261978840632360033e+01,1.641472151711728245e+01,2.538869450829911756e+01,2.761183332378383426e+00,2.736208354571695089e+00
2.604528764013330999e+00,2.336339545527764017e+01,6.284045512655410448e+00,3.428336122078587955e+00,3.422058132639250960e+00
6.639649680548233013e-01,6.650095117179533588e+01,2.595561695615238751e+00,3.874535537009690778e+00,3.875617582585121568e+00
1.050208395594421362e-01,1.706221069638890242e+02,9.754932673979572755e+00,3.180366610908968106e+00,3.185822437692257036e+00
8.652919964777806783e+00,9.151214792722733193e+01,1.373921438919162741e+00,3.520601274517869861e+00,3.500957512019050366e+00
1.444535271377491448e+01,7.434371724092767408e+01,1.069187317595863718e+01,2.973416319131546359e+00,2.951268858188242472e+00
3.211497952768751674e+01,1.063912494327220344e+02,2.570516771597019634e+00,3.155947934522250975e+00,3.159939625179192468e+00
7.008635628994545064e-01,2.968945907064365386e+01,1.108526845079867584e+01,3.890269380298497559e+00,3.880934387960901510e+00
4.422364157485387248e-01,2.396674709256684537e+02,5.313412791610002017e+00,4.213494197631481697e+00,4.218204309866086632e+00
8.279309926218447302e+00,6.654696197160615156e+01,1.977927693678651977e+01,2.952267144441735880e+00,2.967457534891303261e+00
2.601144622411204921e+01,1.953252258939888364e+01,1.376666224318317333e+01,2.909420875823122365e+00,2.876445128496103454e+00
7.780591574150184897e+01,9.061979575735996661e+00,3.019635377836023693e+01,2.668106352439218121e+00,2.673194114769570362e+00
2.828619241208258916e-01,1.178416741433107795e+01,7.481670509279640946e+00,2.596826141495668150e+00,2.621319080846382654e+00
2.796643860976353757e+00,1.591754301800101068e+01,1.752172719862151240e+01,3.278165471767248373e+00,3.272214934879838832e+00
4.832229881364551716e+01,1.019602633857844012e+02,9.805348876541703618e+00,2.836362611433298042e+00,2.820146319768546572e+00
1.854174998659668505e+00,1.346066450661614340e+02,1.284986176854569884e+01,3.214135734502113095e+00,3.229180611045705085e+00
5.868217284662191169e+00,1.977130413027530551e+02,2.227262913801489219e+01,2.891982194140513940e+00,2.897051124464676608e+00
1.184328096660934304e-01,7.426194394901017404e+01,2.958023891637183933e+00,1.785957671840854299e+00,1.803875333256405478e+00
1.048044351016191378e+01,2.241488123010646660e+01,1.578925635069428068e+01,3.021317321708921089e+00,3.014413007507895426e+00
5.718285817025898865e+01,1.464582291238220648e+02,2.483304787267858416e+01,2.651682971632402630e+00,2.622046606157958593e+00
3.023263415309360980e+01,2.178740931744353020e+02,3.080456431338022583e+01,2.657113205317386484e+00,2.654912990023161612e+00
4.534827797782974557e+01,8.954364865780259208e+01,1.657593492169326721e+00,3.245422587849472684e+00,3.236506024789247871e+00
9.573398597735282678e+00,1.028015562635461855e+01,2.650272875567633690e+00,3.376769457164346733e+00,3.392275933605298111e+00
5.453267500046947713e-01,3.324141485845018451e+01,4.357178951218799945e+00,4.066109284776603161e+00,4.069981941744146070e+00
2.020928724029741375e+01,1.895778030172944995e+01,3.743131812777581668e+00,3.163256328322070488e+00,3.130639343673368380e+00
4.315431504913080918e-01,2.074043811658788741e+02,2.576508917435981871e+01,2.211762702351911525e+00,2.187859440749847728e+00
