N,P,L,L_noisy
4.065053505343322549e+00,2.290528593514913780e+00,2.205245911968470640e+00,2.206973832928794454e+00
2.449278749085605611e+01,2.373399058884569257e+01,2.127008218676231799e+00,2.131116309393737751e+00
9.022099241450303175e-01,3.785917665674797927e+00,3.107619857206690650e+00,3.109272042587607476e+00
2.431152517102354693e+01,4.374716783960453270e+00,1.981731205709920562e+00,1.975215419551898721e+00
1.792476582605599500e+00,2.075225324469350241e+01,3.885679863702431014e+00,3.890206643035796663e+00
2.829491925284218112e+00,2.722545598811288414e+01,3.441185771144846584e+00,3.443417644006666833e+00
1.481666311502473832e+01,8.993913188191658747e+00,2.141242421252572470e+00,2.138557655075771002e+00
2.670471579358780989e+00,1.669192419537382577e+01,3.246772601283163251e+00,3.249678191804144856e+00
4.744939804998394628e+00,2.476686459640492188e+01,2.886309146936342884e+00,2.888132008917273286e+00
5.597244470944312544e-01,6.735957443036163284e+00,4.272520995050338222e+00,4.273991657533615651e+00
1.093528939179273074e+01,1.378112967740069195e+01,2.290865861666870895e+00,2.291007972873449816e+00
4.527622501501067376e+00,1.938017059576839429e+01,2.838477531906036244e+00,2.841211096839098449e+00
1.928780773808643323e+00,2.540924180312984504e+01,3.924963537608221031e+00,3.921281267173212903e+00
1.261582015214315078e+01,1.877635863663148541e+01,2.290024476615124538e+00,2.289209926875159340e+00
1.730199846496701666e+00,5.529548435591884470e+00,2.974663759264537521e+00,2.972253162701137708e+00
3.201531974300969807e+00,2.674451263043386362e+01,3.289174957030405633e+00,3.292169188093578835e+00
8.655983420009867313e-01,2.614414791777988256e+01,5.553484829295552316e+00,5.553683439832960644e+00
2.604748911607559059e+00,2.341067917909384377e+01,3.459637938528482781e+00,3.458175654773657293e+00
1.150122752241196755e+00,2.372291934472271890e+01,4.789759160246791936e+00,4.785849617935007849e+00
1.463533940900121566e+00,1.512845158790990041e+01,3.927063762655901069e+00,3.925777801452806859e+00
1.079522963950862646e+01,2.115733444003743102e+01,2.368349438748743818e+00,2.368390149651335541e+00
1.576083374912513380e+00,3.196074066746827569e+01,4.457338584773760104e+00,4.455960570247262886e+00
3.645129333392928661e+00,3.122091161053307573e+01,3.219106145195292257e+00,3.225576464267283505e+00
2.772484216698024184e+01,6.779900511110113825e+00,1.998042871539526644e+00,2.003076493116055623e+00
2.564141252052518638e+01,2.075972817494663403e+01,2.104620653283421294e+00,2.091064840888591458e+00
9.722011798394849080e+00,2.789365068929648572e+01,2.465265211226728148e+00,2.455820144996889720e+00
4.585146477825484013e+00,2.864072240764924615e+00,2.236899291270199264e+00,2.236025430809923442e+00
1.553547173053448693e+00,1.882314742340343372e+01,4.025145600247532762e+00,4.023034648189651286e+00
9.652361408627222472e-01,4.580254139987179229e+00,3.254184482100617615e+00,3.255252697088110825e+00
2.652430973040564410e+01,6.690529128339861131e+00,2.003296114599281363e+00,2.004382724254394343e+00
4.136356907552504403e+00,1.213508376805531874e+01,2.737789311535266723e+00,2.748378505310522080e+00
8.035198094221157605e-01,1.825674578874961895e+01,5.209945870215987540e+00,5.204385766402525704e+00
6.421390670752829877e+00,1.778531050407143965e+01,2.582616672590541285e+00,2.580728647554906274e+00
1.202347639946509439e+01,1.662355312782180050e+01,2.288048627683193725e+00,2.298262485720655501e+00
6.151522128293611225e+00,3.067506970358038032e+01,2.756670614147032516e+00,2.759904129128041728e+00
2.138277494900107456e+01,1.678957388125845185e+01,2.125387180844471313e+00,2.128702497706352670e+00
5.879929615623937789e-01,2.372598026292464368e+01,6.405180676389919725e+00,6.402610644531482542e+00
4.353932218785116603e+00,1.136329288826049222e+01,2.681602075658392259e+00,2.673361699804114089e+00
3.278979328930713422e+00,2.407434382811574736e+01,3.214151725957467232e+00,3.214989049678580901e+00
6.454119265558390106e-01,2.418460932521403706e+01,6.187612106339043017e+00,6.188157176778150692e+00
6.907938940950237416e+00,2.175652658939393191e+01,2.591931276264887618e+00,2.585794515993664611e+00
1.640892583890958534e+01,2.438316821896185616e+01,2.238857219917226526e+00,2.235441086608323857e+00
5.666420723062756792e+00,1.874305757239837433e+01,2.671988497629351755e+00,2.671628279230715552e+00
1.450315893412443824e+00,2.752482683293756338e+01,4.481686013451327000e+00,4.476962255336022878e+00
1.557422272273510799e+01,2.680855197714376814e+01,2.267976828933665256e+00,2.267485479094404344e+00
4.026528182251555954e+00,3.988082990872801048e+00,2.374099338773974832e+00,2.374576753911322058e+00
4.049558834594087386e+00,1.489902940804042331e+01,2.827695031147935190e+00,2.827872962333212836e+00
1.091368990241766035e+01,4.740833996364344216e+00,2.124610974695294363e+00,2.122079516403722721e+00
9.162157586092408712e-01,3.046671021804291613e+01,5.623895269922018159e+00,5.626864010280947070e+00
1.433475516864342758e+01,1.448162708465019932e+01,2.212033458267509634e+00,2.216489293038921282e+00
8.202712132672346002e+00,7.822427861124285009e+00,2.287703031137190202e+00,2.289307272660022985e+00
1.254721717613387888e+01,2.696648479339960858e+01,2.347678872712024134e+00,2.343587721575072447e+00
1.095702606852303029e+00,3.703700947483098194e+00,2.968683592421721418e+00,2.972341853840648529e+00
1.335656680623112891e+01,5.776695408022545664e+00,2.108263780594216374e+00,2.105756580501881192e+00
1.094391931926001815e+00,2.204372803923564206e+01,4.807999545440844180e+00,4.812395348532284345e+00
6.982049008146342661e-01,1.673012300955355158e+01,5.377479818182415272e+00,5.372120881098028100e+00
1.658413857556259074e+01,9.286134654419008427e+00,2.119179470933377107e+00,2.123751806949020882e+00
1.700052487444132154e+01,1.886467284712754378e+01,2.196805038492615214e+00,2.196704721219537859e+00
1.809612295125515047e+01,7.428893888157481307e+00,2.076448679660281904e+00,2.070204935208610042e+00
3.452207262697749801e+00,1.058630393781777634e+01,2.810328326352502071e+00,2.808758828992667933e+00
1.535569541678920791e+00,1.994287903836773523e+01,4.092913218273481313e+00,4.093183729667338788e+00
5.147310278958544538e-01,2.837089679849552937e+01,7.157462154990794190e+00,7.158826111686616755e+00
7.033304532853167146e+00,2.279852645599122951e+01,2.593079095640664633e+00,2.588168155015959648e+00
9.529668089559624633e+00,2.094006130840912761e+01,2.419788020996862965e+00,2.414251155761037104e+00
1.530165660506792946e+01,2.414606124922226371e+01,2.260091761257147613e+00,2.261089683921383209e+00
1.585591888927488702e+00,1.272964919958840113e+01,3.673939544875366892e+00,3.671605796790967879e+00
1.206869904167582108e+00,3.141031986632006934e+01,4.996718914655397192e+00,4.997896442714048426e+00
6.851693026393924413e+00,1.994906558024595000e+01,2.575079038106296903e+00,2.578876635718688970e+00
1.350452342470240197e+01,8.984399540859779876e+00,2.163849691221214844e+00,2.155605754389460227e+00
2.585369206991087765e+01,2.114922683345487719e+00,1.924622155076493701e+00,1.925894095659081762e+00
9.260318407706915611e-01,4.464423144172656066e+00,3.258845897782304046e+00,3.264969132619982783e+00
3.600945640554783722e+00,7.153783700058510497e+00,2.628813896967849839e+00,2.627326262745997454e+00
1.949441169115036487e+01,2.376555180931540434e+01,2.185141364848852241e+00,2.181087291932664485e+00
2.822439237054894079e+00,2.625015609865104693e+01,3.424908568676238385e+00,3.428669787812136160e+00
5.587195052701416920e+00,2.968903819651203690e+01,2.817441834969103276e+00,2.818709067550143832e+00
5.527364859277895670e-01,2.093021729050464330e+01,6.328393729521494926e+00,6.332873144875382998e+00
7.879225768225437854e+00,1.021558668924082980e+01,2.356299143269442453e+00,2.354573064719186259e+00
2.154014301982324397e+01,2.700494176964814486e+01,2.171578328712153283e+00,2.164169237343542385e+00
1.476353975793408146e+01,3.055757526639783350e+01,2.304240072117450300e+00,2.303690018293893971e+00
1.877409338711321141e+01,2.260401904116508121e+01,2.190012366621399753e+00,2.187783225856343439e+00
7.467612085777707520e+00,3.243099239095011299e+00,2.146349253657577449e+00,2.150225872767815183e+00
1.366466771472868214e+00,1.374044128024105049e+01,3.940217294203061993e+00,3.941185458444947720e+00
1.162811898004370192e+01,8.717252524057240493e+00,2.199222226644657052e+00,2.191067980482481747e+00
1.189487034561107937e+00,3.011707586846510054e+01,4.982824143316551435e+00,4.976848327916035153e+00
1.503496394641504885e+01,2.614482512490821264e+01,2.276606481135683868e+00,2.281025426318620042e+00
6.463860226863302749e-01,3.167740476036595254e+00,3.104775927448798711e+00,3.108174752535887819e+00
1.468291186420283090e+01,1.989238983997769594e+01,2.247576621397341601e+00,2.244375404567799048e+00
9.805930388819228405e-01,3.153957507663251292e+01,5.497101312499253822e+00,5.497096068516417411e+00
2.322940603488626188e+00,1.723798993761380771e+01,3.418420219588782949e+00,3.420648087357663680e+00
1.828851198470728745e+00,2.857268167226713373e+01,4.098093011910372674e+00,4.100435033589609368e+00
8.477578463648747231e+00,2.618225099359118602e+01,2.521625552444996643e+00,2.526006763425568291e+00
1.038718371189687684e+00,1.561765936484599671e+01,4.508823859867470141e+00,4.510106288003577824e+00
2.532639608719510882e+00,1.470226028815865860e+01,3.232822245773664616e+00,3.232348104078822004e+00
5.120672672358199673e-01,6.011186820308191514e+00,4.186601400110843585e+00,4.185307159786904485e+00
1.464621165901348832e+00,1.198855667351365462e+01,3.725897344303635172e+00,3.731176058306301613e+00
2.804835664555457964e+00,6.932366945397470559e+00,2.767395608838904231e+00,2.756141337463511753e+00
7.714610141239910401e-01,2.721693509940510580e+01,5.908160437518190200e+00,5.907467160892733382e+00
6.680733597552524827e+00,1.970550140698986041e+01,2.586330960785560684e+00,2.586495961305481206e+00
2.373678496707611885e+00,3.002351041180251556e+01,3.728685479861498564e+00,3.721558735057147516e+00
9.742094258502898896e+00,1.372098074327886863e+01,2.331998182505919726e+00,2.333662250571610031e+00
7.271812453208830185e+00,2.275298894723452392e+01,2.573551970117042842e+00,2.570295565054825815e+00
2.922512563905524718e+00,2.682765576690794163e+01,3.394783338423422059e+00,3.399095562405000770e+00
1.742597336631051519e+01,1.399195691036784650e+00,1.930635277387736881e+00,1.930007316967565334e+00
6.652759961474020933e+00,1.100847224974285510e+01,2.444642305186483622e+00,2.447988071390430953e+00
1.379622779894831552e+01,1.452312354435197328e+01,2.223737350484670916e+00,2.229831568510526996e+00
2.026435197040044933e+00,2.978670676476203028e+01,3.961565604231097382e+00,3.963480252144664817e+00
4.631228738808990997e+00,2.798515456059769235e+01,2.948613454853937554e+00,2.944234849136823318e+00
1.116903253563632292e+00,3.619755525212245306e+00,2.937593038509459742e+00,2.930021445350936560e+00
2.952974570798489751e+01,3.061923262749653318e+01,2.106192489397851197e+00,2.114959409985432970e+00
1.353455204085491914e+00,2.043401807646294088e+01,4.326840654100436723e+00,4.326284193134498857e+00
1.431262235483216960e+00,3.229940796337940956e+00,2.719030143543491373e+00,2.715587318805319672e+00
6.747035932535595526e-01,2.239378971365695392e+01,5.938102015961562508e+00,5.938823301401866317e+00
1.436755746181805460e+00,2.751624153100305392e+01,4.499385680031706691e+00,4.498428623379293612e+00
1.137438590422948792e+01,9.024513779397944191e+00,2.210717261549451251e+00,2.214977972870514566e+00
8.708238795824769340e+00,1.100250827431045764e+01,2.332852460981369891e+00,2.333022101893555522e+00
8.467796993276750506e-01,9.608473389051507496e+00,4.242552255260943816e+00,4.242621003179036343e+00
2.333345050134392640e+00,2.277772932415672358e+01,3.581958494453430841e+00,3.578385595848266210e+00
2.801766308095644309e+00,2.326665430025658665e+01,3.369908273536844412e+00,3.372256114030582008e+00
7.610489191255371821e+00,2.500482614988544228e+01,2.570106063640294813e+00,2.564936730028519740e+00
3.233558035809772413e+00,2.955227507373611218e+01,3.325557874397887748e+00,3.328887321596707416e+00
5.519354646132614839e+00,6.636675706257844531e+00,2.398214941413928880e+00,2.405834628978879675e+00
1.556167110081122118e+01,2.295568588441922486e+01,2.247982253767623728e+00,2.240358823577127900e+00
9.789262242414570991e+00,2.101679266871212093e+01,2.408577228413999460e+00,2.396246082257242893e+00
2.228476847238566538e+00,9.141253551827990265e+00,3.085563155194805063e+00,3.088647548970576473e+00
3.135353134500583394e+00,3.123456292730382344e+01,3.388060241358582747e+00,3.400799730435998480e+00
2.253177749970121990e+00,1.578576698022654234e+01,3.400227959161605806e+00,3.395223334917246483e+00
7.836007344019351173e-01,3.041365174645876124e+01,6.039375897837778062e+00,6.033122419043768225e+00
1.149116895353524681e+00,3.112498758621353190e+01,5.098099807250232374e+00,5.101044651919134587e+00
1.598162248106827610e+00,2.890149097099754627e+01,4.343673564692855926e+00,4.339469956742564527e+00
1.809454152713541930e+00,1.524404615938288998e+01,3.642811346851545284e+00,3.640281219431861448e+00
1.801426080042372480e+00,9.673080494573181198e+00,3.322756945003694895e+00,3.321016357670275809e+00
5.301873065534356222e+00,1.915862012001615611e+01,2.721914353633606787e+00,2.724574364065065701e+00
2.671663452378606252e+01,1.493561082153180131e+01,2.067843547864812059e+00,2.065817036057846501e+00
1.192449523782460474e+01,1.551424903718173454e+01,2.280103644159617637e+00,2.281493058360018367e+00
1.275633228515330941e+01,8.566521654759799986e+00,2.171884154807077305e+00,2.171001488512609434e+00
1.119603475509816981e+01,2.710984533747078373e+01,2.395596527175968049e+00,2.391373171657710017e+00
5.761087665072710529e+00,2.365244689035571923e+01,2.728282857452744459e+00,2.726683726164028432e+00
2.141734531320125257e+01,2.782459753427607652e+01,2.176156676338344198e+00,2.171404678012504696e+00
8.418538988045106919e+00,1.747770360347436025e+01,2.440021800046920042e+00,2.440054374976268647e+00
3.878639511578647170e+00,3.872575680873586279e+00,2.378345027662434052e+00,2.372725696524605965e+00
6.855461162256538676e-01,2.773157712529508956e+01,6.261153907559435794e+00,6.255689435712959323e+00
3.694082652335808348e+00,3.146787249866981551e+00,2.327393702714215529e+00,2.334678511790741595e+00
1.195131531926445501e+00,5.789996293881031875e+00,3.305386054115558636e+00,3.305120133014031847e+00
8.608432763464899384e-01,3.026772403077454854e+01,5.777434772306394350e+00,5.777165262179034144e+00
3.970360843466857137e+00,1.840664800205172469e+01,2.923210969596653275e+00,2.925768651696241562e+00
1.244429790084967991e+01,2.192491972135811551e+01,2.318721205093501325e+00,2.316616920080757147e+00
1.673154629748157429e+00,2.645077268282252092e+01,4.187691206809026845e+00,4.186548529971635624e+00
1.164025435902050276e+01,2.160127120623872088e+01,2.341778239912554849e+00,2.343903983589214590e+00
4.301488817248237950e+00,1.476310993071968802e+01,2.780641645257909911e+00,2.782053724469132128e+00
9.204494307271174902e-01,1.783298195632006866e+01,4.897680279401588344e+00,4.891883795766926113e+00
2.599133607809545410e+01,1.335299760384034329e+01,2.063538802411839956e+00,2.067705515395188431e+00
2.589047140785888601e+00,1.889290317408826425e+01,3.347426072736813918e+00,3.344473898020368541e+00
1.674715983305902656e+00,1.068417952009137917e+00,2.132407029003333232e+00,2.127126634251762294e+00
1.603471392708975785e+01,1.675624898240900862e+01,2.198799616355536557e+00,2.194297241005541466e+00
8.322988608461281412e-01,1.738475260468004491e+00,2.452685662825839774e+00,2.450732936104063064e+00
1.007870653667444927e+01,4.399830413543246443e+00,2.130961321166859879e+00,2.139097822439975261e+00
1.078824511186548873e+00,2.723741651283661724e+01,5.086352518786371846e+00,5.080474839261768238e+00
2.493904085138862747e+00,2.144096963646886067e+01,3.462493593953272164e+00,3.463293973415944027e+00
1.292180143767428735e+00,6.647203995687687161e+00,3.357312441970917938e+00,3.346623320180464933e+00
1.566031925344014830e+01,2.416327828280671852e+01,2.252609372657320641e+00,2.252601537991594682e+00
2.469343781994921549e+00,1.574928135722312206e+01,3.297642820160957999e+00,3.302140652248338082e+00
2.704713372853555242e+01,5.180234555166996380e+00,1.981044525979389181e+00,1.979861209369081942e+00
6.468141239423230715e+00,2.982025654943399218e+01,2.714271855564585945e+00,2.711125080945169241e+00
8.557291280985497295e+00,4.496958053047451109e+00,2.172810321552811175e+00,2.173967876873103666e+00
4.229807007467341506e+00,1.612028598567052384e+00,2.106415701813261876e+00,2.109916460569015051e+00
1.771585813363650397e+00,8.954653582154445957e+00,3.285469634862305366e+00,3.288787922717392398e+00
2.525394027450353907e+00,3.692657114651238803e+00,2.532709145007042473e+00,2.542571514276691591e+00
2.355555312383649635e+01,1.518365216028640052e+00,1.912746263115129963e+00,1.913792100476811253e+00
1.139566640506991968e+00,2.125049817039085198e+01,4.685882928244101464e+00,4.682920877745337052e+00
2.858726971681496920e+01,5.090826308730043159e+00,1.972839463854858311e+00,1.972209567904925187e+00
1.115199384430248486e+01,1.848027516592162556e+01,2.332530389004676685e+00,2.332167896276577501e+00
2.181351121854920194e+00,8.520284704303687562e+00,3.062899909715385949e+00,3.063443596632776433e+00
6.913185265772217036e+00,3.016015420879280740e+01,2.673379919268759064e+00,2.673229780202611927e+00
2.379100590602255760e+00,7.691535637138983361e+00,2.935412476262639903e+00,2.936282305957120808e+00
2.384087219084834341e+00,1.714029651658871956e+01,3.385185876516429104e+00,3.376831626213353754e+00
3.933759911504717266e+00,2.378460499712134890e+01,3.031533068339133496e+00,3.035681213119333588e+00
5.354337104682889148e-01,1.064502747751374301e+01,5.118476684267053933e+00,5.115602987922448719e+00
3.772375284350503843e+00,2.678392109164283852e+01,3.119253997175346793e+00,3.113388203693111755e+00
2.670662067970729225e+01,1.073334751607368354e+01,2.040356999621666390e+00,2.043545755419873711e+00
1.609053031279864765e+00,1.302366197699718242e+01,3.673435873446229571e+00,3.680022503483160179e+00
1.070076197492632275e+01,1.434203675835988712e+01,2.305200527626232621e+00,2.307665668373729773e+00
3.064189519881006962e+00,1.398571777988596132e+01,3.026806033737467150e+00,3.027611830306694785e+00
