D,rho,L,L_noisy
3.431348857969162225e+00,3.746695916656202219e-02,2.493381335892516759e+00,2.496837177813164832e+00
7.102170416433426681e+01,6.600190816116491277e-01,1.629718320635061168e+00,1.637934502070072851e+00
2.706941299741837392e-01,8.088148061636510344e-02,3.374353662245062946e+00,3.377658033006896598e+00
7.013718664701573857e+01,9.797564856659379817e-02,1.421610591102651533e+00,1.408579018786607850e+00
8.619743766571902333e-01,5.734525135556178821e-01,3.473319682575879863e+00,3.482373241242611162e+00
1.861998586322005211e+00,7.613842061065030364e-01,3.321597172293226041e+00,3.326060918016866097e+00
3.041639793970100669e+01,2.320813506249191360e-01,1.633710811809572894e+00,1.628341279455969959e+00
1.688874619356283358e+00,4.555719927689175219e-01,3.111575896942417874e+00,3.117387077984381527e+00
4.454316403308543393e+00,6.900057463472396568e-01,2.830245461310217703e+00,2.833891185272078506e+00
1.209699050392171044e-01,1.665277967333079479e-01,3.648296721746573379e+00,3.651238046713128682e+00
1.821962047050797295e+01,3.710650551503426597e-01,1.855665731918527683e+00,1.855949954331685747e+00
4.115569496215321976e+00,5.336178560061791698e-01,2.755377358087194750e+00,2.760844487953319160e+00
9.754278461230961872e-01,7.086554071876406402e-01,3.545677510209989780e+00,3.538312969339973080e+00
2.318921836980653239e+01,5.160878313860753908e-01,1.846698033454000409e+00,1.845068933974069791e+00
8.120532108251916625e-01,1.315030190978289104e-01,3.106806217313021534e+00,3.101985024186221906e+00
2.293473193770152463e+00,7.474213344319509122e-01,3.214742348673486294e+00,3.220730810799832700e+00
2.524207726387185935e-01,7.299913911613514772e-01,4.032513639264428740e+00,4.032910860339245396e+00
1.619343414120345770e+00,6.506326213285309468e-01,3.289944968218138310e+00,3.287020400708487333e+00
4.077234797032815994e-01,6.596976583951758011e-01,3.813099993775695751e+00,3.805280909152127133e+00
6.122658283000319557e-01,4.101808525522229742e-01,3.446840480657220596e+00,3.444268558251031731e+00
1.782764666044992552e+01,5.852129353559254454e-01,1.985465185643297215e+00,1.985546607448480660e+00
6.937871854265178495e-01,8.988602129264984253e-01,3.847862276903281309e+00,3.845106247850287762e+00
2.854781825932271477e+00,8.773813048219279986e-01,3.215968699880557224e+00,3.228909338024539277e+00
8.754101936234590653e+01,1.678035632257775245e-01,1.407504409552950975e+00,1.417571652706008933e+00
7.673112770284721762e+01,5.736695276597409965e-01,1.574383959237066311e+00,1.547272334447406639e+00
1.494066136112026300e+01,7.807834071086077188e-01,2.200997736593568899e+00,2.182107604133892043e+00
4.204172882653717025e+00,5.411822634478813399e-02,2.410509271643408002e+00,2.408761550722856359e+00
6.771324270579623938e-01,5.174462155181642764e-01,3.509774042663437399e+00,3.505552138547674002e+00
3.033584008774380392e-01,1.039428621286600518e-01,3.367526587804047900e+00,3.369663017779033876e+00
8.124118316006483553e+01,1.652089101776088587e-01,1.418902251039882101e+00,1.421075470350107839e+00
3.533505377964188288e+00,3.232766255241866782e-01,2.680070801165573169e+00,2.701249188716083438e+00
2.226367416803001764e-01,5.010022970927309194e-01,3.840928941670120000e+00,3.829808734043197216e+00
7.421116794274980499e+00,4.873154662472353738e-01,2.387275000065517183e+00,2.383498949994247162e+00
2.138205011110510867e+01,4.535870262916006368e-01,1.840661009819607230e+00,1.861088725894530560e+00
6.902555434658413702e+00,8.615342817168497591e-01,2.708476733354452382e+00,2.714943763316470804e+00
5.647979534444260707e+01,4.584069836494389372e-01,1.590521416709300917e+00,1.597152050433063630e+00
1.314554602308476705e-01,6.597865237623283807e-01,4.142358575026178436e+00,4.137218511309304070e+00
3.852723037279587093e+00,3.008697935301433146e-01,2.621440832586838798e+00,2.604960080878282458e+00
2.387853336655944236e+00,6.699003046872313849e-01,3.132728931732235544e+00,3.134403579174462884e+00
1.538327264971291741e-01,6.731015610546010608e-01,4.115422066473777285e+00,4.116512207351992636e+00
8.394300410074325924e+00,6.026088364662753882e-01,2.392761255628566008e+00,2.380487735086120438e+00
3.613254193950034932e+01,6.788661740988927162e-01,1.806149429168072418e+00,1.799317162550266858e+00
6.009288496545991620e+00,5.151210262954366570e-01,2.530367663557333113e+00,2.529647226760060708e+00
6.029653326678219294e-01,7.700756177304454164e-01,3.781582897951710542e+00,3.772135381721102743e+00
3.308602267865397550e+01,7.492805412719157898e-01,1.876767888570566090e+00,1.875785188892043820e+00
3.376662420893699945e+00,8.675079650921035945e-02,2.534559613812881196e+00,2.535514444087575647e+00
3.409311264422270060e+00,4.035202086205283978e-01,2.755977402201020166e+00,2.756333264571575015e+00
1.815894541260320949e+01,1.086048579589648372e-01,1.728323616788844275e+00,1.723260700205701212e+00
2.778216634772801008e-01,8.554851353625363419e-01,4.126887130632197476e+00,4.132824611350055299e+00
2.876604512282171910e+01,3.914020766511348559e-01,1.718668532361025569e+00,1.727580201903848867e+00
1.121658670991577900e+01,1.980704862907050334e-01,1.981278988270416930e+00,1.984487471316082496e+00
2.297686775640087831e+01,7.538656875503112476e-01,1.998604069409520179e+00,1.990421767135617026e+00
3.757065591004836169e-01,7.849454363660607337e-02,3.286371293450268904e+00,3.293687816288123127e+00
2.553244960601730540e+01,1.386782537812997207e-01,1.638178434784184345e+00,1.633164034599513759e+00
3.749486361060725415e-01,6.109469430745831930e-01,3.793632562359678051e+00,3.802424168542557936e+00
1.756539223757207779e-01,4.566809905999418828e-01,3.859449477818097662e+00,3.848731603649323318e+00
3.678586077837788082e+01,2.405651996444228558e-01,1.593699700294316512e+00,1.602844372325604283e+00
3.835751720680286070e+01,5.186517923359609261e-01,1.704893573713704313e+00,1.704692939167549603e+00
4.261978840632360033e+01,1.866453064303784937e-01,1.542175707978773680e+00,1.529688219075429512e+00
2.604528764013330999e+00,2.783120498076128713e-01,2.788617776438908624e+00,2.785478781719240349e+00
6.639649680548233013e-01,5.499545527268052680e-01,3.546022209300367045e+00,3.546563232088082440e+00
