logC,Brier,Brier_noisy
-3.000000000000000000e+00,2.621570634573074376e-01,2.656129053779552884e-01
-2.998799759951990218e+00,2.620936268782391165e-01,2.703098083132506879e-01
-2.997599519903980880e+00,2.620301827666484673e-01,2.653345535284823420e-01
-2.996399279855971098e+00,2.619667311486565398e-01,2.489351588326129405e-01
-2.995199039807961761e+00,2.619032720503883804e-01,2.709568307171195678e-01
-2.993998799759951979e+00,2.618398054979723666e-01,2.663035512216124778e-01
-2.992798559711942197e+00,2.617763315175408723e-01,2.564067991639380484e-01
-2.991598319663932859e+00,2.617128501352296577e-01,2.675240311771932000e-01
-2.990398079615923077e+00,2.616493613771787019e-01,2.652950853390394492e-01
-2.989197839567913739e+00,2.615858652695317033e-01,2.645271902360869509e-01
-2.987997599519903957e+00,2.615223618384359683e-01,2.618065842515939212e-01
-2.986797359471894175e+00,2.614588511100432444e-01,2.669259809761677094e-01
-2.985597119423884838e+00,2.613953331105087208e-01,2.540307922404920760e-01
-2.984396879375875056e+00,2.613318078659921939e-01,2.597027083860616870e-01
-2.983196639327865718e+00,2.612682754026572352e-01,2.564470822758574409e-01
-2.981996399279855936e+00,2.612047357466716901e-01,2.671931978730179846e-01
-2.980796159231846154e+00,2.611411889242074569e-01,2.615384099990240574e-01
-2.979595919183836816e+00,2.610776349614409853e-01,2.581530674517901192e-01
-2.978395679135827034e+00,2.610140738845528885e-01,2.531949892609844932e-01
-2.977195439087817697e+00,2.609505057197279432e-01,2.583785833135392451e-01
-2.975995199039807915e+00,2.608869304931557553e-01,2.609683522983392012e-01
-2.974794958991798577e+00,2.608233482310300944e-01,2.580673191780363807e-01
-2.973594718943788795e+00,2.607597589595496146e-01,2.737003971035316674e-01
-2.972394478895779013e+00,2.606961627049171892e-01,2.707634058579751479e-01
-2.971194238847769675e+00,2.606325594933405765e-01,2.335209347036809047e-01
-2.969993998799759893e+00,2.605689493510324195e-01,2.416788168913557022e-01
-2.968793758751750556e+00,2.605053323042096913e-01,2.587576113836580483e-01
-2.967593518703740774e+00,2.604417083790947496e-01,2.562198042633312411e-01
-2.966393278655730992e+00,2.603780776019145593e-01,2.625145075769006464e-01
-2.965193038607721654e+00,2.603144399989009705e-01,2.624876593091265975e-01
-2.963992798559711872e+00,2.602507955962913289e-01,2.814291831468018201e-01
-2.962792558511702534e+00,2.601871444203276429e-01,2.490669367934048306e-01
-2.961592318463692752e+00,2.601234864972573058e-01,2.563474364259873406e-01
-2.960392078415682970e+00,2.600598218533328732e-01,2.804875379282562031e-01
-2.959191838367673633e+00,2.599961505148122853e-01,2.664631804768307632e-01
-2.957991598319663851e+00,2.599324725079589227e-01,2.665631062317215250e-01
-2.956791358271654513e+00,2.598687878590418276e-01,2.547287241421671844e-01
-2.955591118223644731e+00,2.598050965943349833e-01,2.433243448857784486e-01
-2.954390878175634949e+00,2.597413987401183677e-01,2.614160461823457626e-01
-2.953190638127625611e+00,2.596776943226778434e-01,2.607678352008933054e-01
-2.951990398079615829e+00,2.596139833683046017e-01,2.473404628258588644e-01
-2.950790158031606492e+00,2.595502659032959958e-01,2.527179992854903801e-01
-2.949589917983596710e+00,2.594865419539551521e-01,2.587661051566828574e-01
-2.948389677935586928e+00,2.594228115465912476e-01,2.499752953159834756e-01
-2.947189437887577590e+00,2.593590747075195102e-01,2.583763750289973515e-01
-2.945989197839567808e+00,2.592953314630613848e-01,2.602501617377559473e-01
-2.944788957791558470e+00,2.592315818395444227e-01,2.595874442100992718e-01
-2.943588717743548688e+00,2.591678258633027809e-01,2.541049092801596077e-01
-2.942388477695538906e+00,2.591040635606766673e-01,2.650415442785348796e-01
-2.941188237647529569e+00,2.590402949580131731e-01,2.679519645008364703e-01
-2.939987997599519787e+00,2.589765200816655510e-01,2.621850031273311732e-01
-2.938787757551510449e+00,2.589127389579942151e-01,2.507304366840911181e-01
-2.937587517503500667e+00,2.588489516133659629e-01,2.661654744512203519e-01
-2.936387277455490885e+00,2.587851580741545865e-01,2.537707578894840554e-01
-2.935187037407481547e+00,2.587213583667409833e-01,2.675129645496208131e-01
-2.933986797359471765e+00,2.586575525175129342e-01,2.479396783487384792e-01
-2.932786557311462428e+00,2.585937405528653255e-01,2.677384125841531515e-01
-2.931586317263452646e+00,2.585299224992004818e-01,2.583292879530456609e-01
-2.930386077215443308e+00,2.584660983829278336e-01,2.459786094795836653e-01
-2.929185837167433526e+00,2.584022682304644714e-01,2.552632735107959738e-01
-2.927985597119423744e+00,2.583384320682349800e-01,2.588794548559504305e-01
