N,V,D,L,L_noisy
2.406529626735614436e+00,1.144524163012157736e+01,1.393964728281137013e+02,3.627460007914368401e+00,3.634371691755664102e+00
3.675132544170438109e+01,1.078298907273483564e+02,1.155056103783183552e+01,2.288079805050466931e+00,2.304512167920490295e+00
2.449528352088851113e-01,1.338308228764005037e+01,1.952500358530784297e+01,7.962798882205258444e+00,7.969407623728925749e+00
3.633928704456738501e+01,1.423323376295421205e+01,4.453904561241354259e+02,2.009824324052257527e+00,1.983761179420170384e+00
6.944224222943126135e-01,7.893825061066034721e+01,4.744093632456389997e+01,3.922598103033455796e+00,3.940705220366917949e+00
1.388498413365447659e+00,1.553625346101067066e+02,2.342854861091282430e+02,2.603757537130904076e+00,2.612685028578184188e+00
1.713738183321634168e+01,2.307492292458832495e+01,4.728392351791066517e+01,2.625644145136733609e+00,2.614905080429527739e+00
1.271792310595733388e+00,5.162244157687124613e+01,1.415953404778538349e+01,4.343771124739695288e+00,4.355393486823622595e+00
3.043244722866340624e+00,1.201322555982466156e+02,2.148776551385638101e+01,3.007784797028810075e+00,3.015076244952531681e+00
1.186810062814445954e-01,1.822081872484607246e+01,1.132300354946148424e+01,9.960000904856455506e+00,9.965883554789565224e+00
1.080710268992746670e+01,3.807234264919355837e+01,5.881855604962770201e+01,2.505090711892096866e+00,2.505659156718412994e+00
2.834214139976968472e+00,6.838451447553431706e+01,2.467665260064278598e+01,3.240246758575157759e+00,3.251181018307406578e+00
7.761327550525352059e-01,1.284816076805173282e+02,3.747348885275167163e+02,2.905338195005105817e+00,2.890609113265072416e+00
1.342596223062153804e+01,6.419901195644584391e+01,1.279037452247431794e+01,2.772933075028331640e+00,2.769674876068470404e+00
6.581331243501837847e-01,1.606069112934320486e+01,2.692589016962928667e+02,4.176544083972903998e+00,4.166901697719304742e+00
1.674854948454807202e+00,1.477401167425937558e+02,2.202195848702261856e+02,2.530845914263233798e+00,2.542822838515926165e+00
2.300247250186532588e-01,1.387476424973217490e+02,9.615163590160351248e+01,4.408954674761594639e+00,4.409749116911227951e+00
1.224587603556614335e+00,1.042442398405047612e+02,8.792243789890399341e+01,3.090066529473052714e+00,3.084217394453750760e+00
