t,N,S,A,dN_dt,dN_dt_noisy
0.000000000000000000e+00,1.000000000000000000e+03,0.000000000000000000e+00,1.000000000000000000e+01,3.919404365519793032e+01,4.956156941714151287e+01
6.001200240048009532e-02,1.002356355880765818e+03,5.990281134193661261e-01,1.047715373400440875e+01,3.933543273558275644e+01,6.398397704061750346e+01
1.200240048009601906e-01,1.004721194920603239e+03,1.195884506669208758e+00,1.094846050752320110e+01,3.947675948472399199e+01,4.938987177022560360e+01
1.800360072014402790e-01,1.007094513452949968e+03,1.790587248511156249e+00,1.141397636465080545e+01,3.961802640009220511e+01,5.233094519613743500e-01
2.400480096019203813e-01,1.009476307956488881e+03,2.383154298448854291e+00,1.187375686406675435e+01,3.975923595713553027e+01,6.691991195732906306e+01
3.000600120024004558e-01,1.011866575069347959e+03,2.973603503102628665e+00,1.232785704251842951e+01,3.990039060603699284e+01,5.329162777695733411e+01
3.600720144028805580e-01,1.014265311573726308e+03,3.561952601411875641e+00,1.277633145772173151e+01,4.004149277543717744e+01,2.393289571462862142e+01
4.200840168033606603e-01,1.016672514392607241e+03,4.148219225660216836e+00,1.321923419730265614e+01,4.018254487317163637e+01,5.761608799906223055e+01
4.800960192038407626e-01,1.019088180589757712e+03,4.732420901475500763e+00,1.365661887879729619e+01,4.032354928621591483e+01,5.126072117179818832e+01
5.401080216043208093e-01,1.021512307369728319e+03,5.314575047829801058e+00,1.408853864965183966e+01,4.046450838062292377e+01,4.928848328028870185e+01
6.001200240048009116e-01,1.023944892077131158e+03,5.894698978181944327e+00,1.451504619161662113e+01,4.060542450188580688e+01,4.145809174135970920e+01
6.601320264052810138e-01,1.026385932207467476e+03,6.472809898481393986e+00,1.493619369508585493e+01,4.074629997262279346e+01,5.714768957099620650e+01
7.201440288057611161e-01,1.028835425398531925e+03,7.048924909100900749e+00,1.535203288048641568e+01,4.088713709436025567e+01,1.879351448431024707e+01
7.801560312062412184e-01,1.031293369420520094e+03,7.623061008558103424e+00,1.576261502680208260e+01,4.102793815004112332e+01,3.614063971024953759e+01
8.401680336067213206e-01,1.033759762176000095e+03,8.195235093529294801e+00,1.616799097166409993e+01,4.116870540396644884e+01,2.670512602356710019e+01
9.001800360072014229e-01,1.036234601699912218e+03,8.765463958849418091e+00,1.656821111135118940e+01,4.130944110172174533e+01,5.927482748076057106e+01
9.601920384076815251e-01,1.038717886159569161e+03,9.333764297512065156e+00,1.696332540078953599e+01,4.145014747009609124e+01,4.264181069454586037e+01
1.020204040808161627e+00,1.041209613854533472e+03,9.900152702027217089e+00,1.735338335748975780e+01,4.159082671741237647e+01,3.281712418845971513e+01
1.080216043208641619e+00,1.043709783229058303e+03,1.046464566177287736e+01,1.773843403133345120e+01,4.173148103073303616e+01,1.827422716002777392e+01
1.140228045609121832e+00,1.046218392860650511e+03,1.102725956561313048e+01,1.811852603295642794e+01,4.187211257828534627e+01,3.415634535971922503e+01
