S,E,I,T,v,v_noisy
3.431348857969162225e+00,2.560682754160910957e+00,2.860629462190721384e+01,4.570117824052069011e+01,5.761023719993858094e+01,6.452192104123430738e+01
7.102170416433426681e+01,3.680104948864070025e+01,1.565076986043789642e+00,3.873520740801725992e+01,2.797895138117215538e+03,2.814327500987238636e+03
2.706941299741837392e-01,4.948481433900080440e+00,7.264778057432897285e+00,4.395535016019216812e+01,1.565844289483715990e+01,2.226718441850490393e+01
7.013718664701573857e+01,5.888660671162658566e+00,4.121852266719051272e+01,3.892586935027598116e+01,4.055935905561065624e+02,3.795304459240193182e+02
8.619743766571902333e-01,3.203988824555898418e+01,1.690383129883901248e+01,3.074712401623813562e+01,8.377796265546635368e+01,1.018850799889287089e+02
1.861998586322005211e+00,4.237613133585766434e+01,3.424363462658049428e+01,4.675687667403043690e+01,3.739909063855854470e+02,3.829183978328656508e+02
3.041639793970100669e+01,1.326447428437055187e+01,1.686783765467723839e+01,4.356087106537837883e+01,8.500126235126294887e+02,8.392735588054238178e+02
1.688874619356283358e+00,2.555645960229046310e+01,3.776224053114285439e+00,3.595638413936466549e+01,4.447438851340788233e+02,4.563662472180058671e+02
4.454316403308543393e+00,3.845031604909818412e+01,8.304781402343131447e+00,4.682303955720171018e+01,7.092717320634105818e+02,7.165631799871321164e+02
1.209699050392171044e-01,9.659028820331936771e+00,1.349041086358249153e+00,3.791482082783938523e+01,1.846025547976329761e+01,2.434290541287381870e+01
1.821962047050797295e+01,2.090857803326884579e+01,1.923785896764919201e+01,3.182281931807244746e+01,6.376926625781455868e+02,6.382611074044615407e+02
4.115569496215321976e+00,2.984898208033985512e+01,9.807156177722852419e+00,3.100475619693663987e+01,3.391840024089783583e+02,3.501182621412273193e+02
9.754278461230961872e-01,3.947604739532023643e+01,3.934310321536371191e+01,3.596929209692336826e+01,3.461774770785475539e+02,3.314483953385142172e+02
2.318921836980653239e+01,2.888483072623414571e+01,2.672081537420906372e+00,3.674732550483433613e+01,2.213839046857585799e+03,2.210580847897724652e+03
8.120532108251916625e-01,7.732666050380590406e+00,3.575425174945240059e+01,3.880073023424642997e+01,7.413459746820804241e+01,6.449221121460847428e+01
2.293473193770152463e+00,4.160817339375729773e+01,3.357139849064819970e+01,3.129015498017411545e+01,3.163125506081992739e+02,3.282894748608918007e+02
2.524207726387185935e-01,4.064952651387432780e+01,2.457391694057033860e+01,4.248658296417684710e+01,1.044849797319806299e+02,1.052794218816138141e+02
1.619343414120345770e+00,3.628479417306920141e+01,2.360249304070963206e+01,3.951985285487778299e+01,5.795109360787395190e+02,5.736618010594377211e+02
4.077234797032815994e-01,3.678337121173466784e+01,9.052717014199979317e+00,4.193186510000838041e+01,1.670766455861682402e+02,1.514384763390314106e+02
6.122658283000319557e-01,2.305994689037226308e+01,1.646387163277435306e+01,3.256003858676089635e+01,8.827904805076782679e+01,8.313520323839041737e+01
1.782764666044992552e+01,3.268671144457589861e+01,3.886877355541974310e+01,3.756876773105843625e+01,2.011854417030423747e+03,2.012017260640790710e+03
6.937871854265178495e-01,4.993731171095740962e+01,9.673372023167530642e+00,3.590775206188069291e+01,3.409105070250773792e+02,3.353984489190899581e+02
2.854781825932271477e+00,4.875597176520604137e+01,3.121860765054882947e+01,4.019342513076196610e+01,1.189827882719188892e+03,1.215709159007152948e+03
8.754101936234590653e+01,9.729195977417763430e+00,3.734011610889252353e+01,4.492610815827401893e+01,4.338610999648496431e+02,4.539955862709655321e+02
7.673112770284721762e+01,3.205182402128575347e+01,4.650491183887446311e+01,3.484249420307533285e+01,1.481327580796471921e+03,1.427104331217152549e+03
1.494066136112026300e+01,4.344308739097342453e+01,2.426673949142743592e+00,3.361645524298869248e+01,2.179352117604198156e+03,2.141571852684844544e+03
4.204172882653717025e+00,3.476502448963347369e+00,2.700248428489495467e+01,3.758774767613925150e+01,1.344157077723668863e+02,1.309202659312636570e+02
6.771324270579623938e-01,2.895954185349903298e+01,4.766623082241794762e+00,3.725986288403626645e+01,2.320599049507207781e+02,2.236160967191937061e+02
3.033584008774380392e-01,6.216857417076302461e+00,4.432578301197101212e+01,4.733709457754727623e+01,1.001953191439123181e+01,1.429239186436345399e+01
8.124118316006483553e+01,9.586490059768486560e+00,4.766662617402603530e+01,3.388601283204923931e+01,4.244977931526280486e+02,4.288442317730793434e+02
3.533505377964188288e+00,1.828021440383026786e+01,2.794522172864883025e+00,3.351608248086431985e+01,4.530051952983325236e+02,4.953619703993534813e+02
2.226367416803001764e-01,2.805512634010019823e+01,4.961189063561000090e+00,3.310919913347876786e+01,4.983522757179827778e+01,2.759481231795265188e+01
7.421116794274980499e+00,2.730235064359794706e+01,2.288295521961449808e+01,4.743894607100047267e+01,5.327277331316741993e+02,5.251756329891342148e+02
