t,K,I,C,dK_dt,dK_dt_noisy
0.000000000000000000e+00,5.000000000000000278e-02,0.000000000000000000e+00,0.000000000000000000e+00,1.233783783783783949e-01,1.252689121963137253e-01
8.001600320064012825e-03,5.100628672471197583e-02,2.202284767793537832e-04,8.867598835881648621e-08,1.281866352215819127e-01,1.229591508067744421e-01
1.600320064012802565e-02,5.205212032772250225e-02,4.487019747184663935e-04,3.637036784765685911e-07,1.332661727108194194e-01,1.291355372769004972e-01
2.400480096019203674e-02,5.313974746954646527e-02,6.859063180689059730e-04,8.394782761328007273e-07,1.386365832932529574e-01,1.142219094668543988e-01
3.200640128025605130e-02,5.427158135474002831e-02,9.323647666931993584e-04,1.531741222289595392e-06,1.443191549084492376e-01,1.623162287356582634e-01
4.000800160032006586e-02,5.545021068129186992e-02,1.188640129222396811e-03,2.457670349690637319e-06,1.503370061167581262e-01,1.617786648371304092e-01
4.800960192038407348e-02,5.667841557870118702e-02,1.455338552872089070e-03,3.636044926057656813e-06,1.567152638225007832e-01,1.534610354538225307e-01
5.601120224044808804e-02,5.795918989832613000e-02,1.733114829931092608e-03,5.087478462101153526e-06,1.634812841423046448e-01,1.712193500095812726e-01
6.401280256051210260e-02,5.929575347680848818e-02,2.022675344983846431e-03,6.834551412432675545e-06,1.706648313829657038e-01,1.734769380809421946e-01
7.201440288057611716e-02,6.069157312208176697e-02,2.324783176370366199e-03,8.902048176196453109e-06,1.782983114530776458e-01,1.727600830888371131e-01
8.001600320064013172e-02,6.215039051107010271e-02,2.640264887215821882e-03,1.131727525912344931e-05,1.864170542477339154e-01,1.961927287589942670e-01
8.801760352070414628e-02,6.367623998612602365e-02,2.970014906555154717e-03,1.411027264966978413e-05,1.950595513581796225e-01,1.919539858915881025e-01
9.601920384076814696e-02,6.527347596851522382e-02,3.315002376190485066e-03,1.731415676948791168e-05,2.042677549232642109e-01,2.009795158826845896e-01
1.040208041608321615e-01,6.694680795693576381e-02,3.676279903887897434e-03,2.096556254227092045e-05,2.140874297835889950e-01,2.061659622299999994e-01
1.120224044808961761e-01,6.870132417348789877e-02,4.054989589495911449e-03,2.510496192432548060e-05,2.245684471792563086e-01,2.291180278916648549e-01
1.200240048009601906e-01,7.054253004652066839e-02,4.452372962230419055e-03,2.977720703257134342e-05,2.357651676957888687e-01,2.347731871786149782e-01
1.280256051210242052e-01,7.247638803826014775e-02,4.869781297793522590e-03,3.503210072939705175e-05,2.477368344781430975e-01,2.531897216177899090e-01
1.360272054410882059e-01,7.450935082730764103e-02,5.308684494831999306e-03,4.092492344048144043e-05,2.605479194589472303e-01,2.544760624602408483e-01
1.440288057611522343e-01,7.664841364745278440e-02,5.770685167128904690e-03,4.751728581570686233e-05,2.742685742096098167e-01,2.755368526807285279e-01
1.520304060812162350e-01,7.890115489752744238e-02,6.257529780380369222e-03,5.487783070319307869e-05,2.889749846043702108e-01,2.800522441700722953e-01
1.600320064012802634e-01,8.127578708525307061e-02,6.771123133711861447e-03,6.308321357074734236e-05,3.047497512422446264e-01,3.131644009659460548e-01
1.680336067213442641e-01,8.378121370396307555e-02,7.313544628010343329e-03,7.221922441662329949e-05,3.216822532187432193e-01,3.235626040885500876e-01
1.760352070414082926e-01,8.642707704415442116e-02,7.887062783214915038e-03,8.238189849744256767e-05,3.398688700651287808e-01,3.431745801464820556e-01
1.840368073614722932e-01,8.922382394077336965e-02,8.494155475944864878e-03,9.367911188249150730e-05,3.594132117947823613e-01,3.635182509244849758e-01
1.920384076815362939e-01,9.218275515490546856e-02,9.137526164945928425e-03,1.062319942024433602e-04,3.804260860279140011e-01,3.703185110263806368e-01
2.000400080016003224e-01,9.531608940881443337e-02,9.820126090658095816e-03,1.201770167348762731e-04,4.030253645379219263e-01,4.108571744993627095e-01
2.080416083216643230e-01,9.863701371740045409e-02,1.054517306593376683e-02,1.356679309449975910e-04,4.273354926974759493e-01,4.479025208808996572e-01
2.160432086417283515e-01,1.021597349812955330e-01,1.131617370415238799e-02,1.528784113182472663e-04,4.534866716318713409e-01,4.371022465995160755e-01
2.240448089617923522e-01,1.058995213450891204e-01,1.213694359978952433e-02,1.720047182242367186e-04,4.816135456640036061e-01,4.643194309924588148e-01
2.320464092818563806e-01,1.098727284835570167e-01,1.301162758389063853e-02,1.932690675660937610e-04,5.118532570151091976e-01,4.968049428764659825e-01
2.400480096019203813e-01,1.140968128115377594e-01,1.394471790558916499e-02,2.169231750582782539e-04,5.443427733628529719e-01,5.527573622973929179e-01
2.480496099219844097e-01,1.185903115046584022e-01,1.494106898212713662e-02,2.432526028306281160e-04,5.792152183018145495e-01,5.805023748765552050e-01
2.560512102420484104e-01,1.233727995694817309e-01,1.600590801567735796e-02,2.725813257506067033e-04,6.165951710039843103e-01,6.273785954113773045e-01
2.640528105621124388e-01,1.284647908525630156e-01,1.714483789685121787e-02,3.052773174458533610e-04,6.565925835185760784e-01,6.638168922416510798e-01
2.720544108821764118e-01,1.338876010068350830e-01,1.836383205812169503e-02,3.417582709961621457e-04,6.992954031675002735e-01,7.014011212912530935e-01
2.800560112022404402e-01,1.396631269420957056e-01,1.966921598145292965e-02,3.824985886559214752e-04,7.447605582554647219e-01,7.476009397079684815e-01
2.880576115223044686e-01,1.458135673271339361e-01,2.106763489832565173e-02,4.280363704279605691e-04,7.930036273104199562e-01,7.913060223331885856e-01
2.960592118423684971e-01,1.523610387318347914e-01,2.256600235107665900e-02,4.789817151768003363e-04,8.439871095014425117e-01,8.526717116135575925e-01
3.040608121624324700e-01,1.593271032573745638e-01,2.417142689344816547e-02,5.360249672748048115e-04,8.976079005973253144e-01,8.863107409795177860e-01
3.120624124824964984e-01,1.667321972383593032e-01,2.589111703393067593e-02,5.999458585172987588e-04,9.536845998790680623e-01,9.494660116172849440e-01
3.200640128025605269e-01,1.745949432046185468e-01,2.773225552368665039e-02,6.716226203527980764e-04,1.011945476461763693e+00,1.014374864992751091e+00
3.280656131226244998e-01,1.829314072969428495e-01,2.970185565124002641e-02,7.520410320645228627e-04,1.072018750810691534e+00,1.090032959395184964e+00
3.360672134426885282e-01,1.917542424856147343e-01,3.180658296167594712e-02,8.423033672425698799e-04,1.133426073476664797e+00,1.125781432319460817e+00
3.440688137627525567e-01,2.010718561728976062e-01,3.405256971052918885e-02,9.436359326978995595e-04,1.195581538156401002e+00,1.184790933565031512e+00
3.520704140828165851e-01,2.108875423211116484e-01,3.644520653480013556e-02,1.057395969403384641e-03,1.257796877401619273e+00,1.252164005416578796e+00
3.600720144028805580e-01,2.211987236797018641e-01,3.898894038384994459e-02,1.185075852370218305e-03,1.319294465193041166e+00,1.328987187204422771e+00
3.680736147229445865e-01,2.319963087351696873e-01,4.168708013536582407e-02,1.328305668377341431e-03,1.379227992788816692e+00,1.376877937719898526e+00
3.760752150430086149e-01,2.432642491956444053e-01,4.454162614814741877e-02,1.488851928009394610e-03,1.436710330804029656e+00,1.449953800996399256e+00
3.840768153630725879e-01,2.549793457489403781e-01,4.755314128265871604e-02,1.668613897971786119e-03,1.490846855181995556e+00,1.472121560005935414e+00
3.920784156831366163e-01,2.671113313895244756e-01,5.072066590332980490e-02,1.869615090342792527e-03,1.540771647494468599e+00,1.552056878913473437e+00
4.000800160032006447e-01,2.796232451975887434e-01,5.404169458188513159e-02,2.093992377954757150e-03,1.585683432038208940e+00,1.596032094437504378e+00
4.080816163232646732e-01,2.924720811403097587e-01,5.751220667521608765e-02,2.343980064813809983e-03,1.624878043235747693e+00,1.610691386337732789e+00
4.160832166433286461e-01,3.056096882794828162e-01,6.112676011051457192e-02,2.621891881459449593e-03,1.657774648029899378e+00,1.659310466895258962e+00
4.240848169633926745e-01,3.189837935922882894e-01,6.487862248165238155e-02,2.930099861950387612e-03,1.683933589858958912e+00,1.696091166210904166e+00
4.320864172834567030e-01,3.325392634090084676e-01,6.875996465995347362e-02,3.271009799236496932e-03,1.703065447520636155e+00,1.703944637943731300e+00
4.400880176035207314e-01,3.462191633637411448e-01,7.276203740442803436e-02,3.647039378057854910e-03,1.715030717433837726e+00,1.725027731655355501e+00
4.480896179235847043e-01,3.599661167467199108e-01,7.687542109280581792e-02,4.060589087526875370e-03,1.719832356406957752e+00,1.743581225540129287e+00
4.560912182436487328e-01,3.737232314916640319e-01,8.109020981836642661e-02,4.514021111146887706e-03,1.717601785153356264e+00,1.720341107699279615e+00
4.640928185637127612e-01,3.874351183398966336e-01,8.539622575574810914e-02,5.009634133568956031e-03,1.708581246040568713e+00,1.705777422901139317e+00
