C,Cin,Vm,J,J_noisy
1.026084141277012129e+01,9.284360971273156737e-01,-1.418111613427834594e-02,8.352866416300146923e+00,8.370145625903386843e+00
1.901175074170241075e+01,1.469375524896868512e+01,-9.530476904186863107e-02,5.451718918796764513e+00,5.492799825971822258e+00
2.925984273756692566e+00,1.888379404739628287e+00,-7.820566582770130393e-02,7.018626499877735903e+00,7.035148353686905054e+00
1.897555647038801396e+01,2.266350451639129293e+00,2.365556800157155026e-02,6.953197227662681001e+00,6.888039366082463033e+00
6.271037467609184013e+00,1.277967224417421477e+01,-4.928850610348296107e-02,4.815523179966132439e+00,4.860790973299788043e+00
8.495362657002884177e+00,1.693505077946601034e+01,2.730903879741494733e-03,2.967913708145787588e+00,2.990232436763988311e+00
1.656266674671781303e+01,5.231576530484321808e+00,-4.939648703596828672e-02,7.203728977564793468e+00,7.176881315796778793e+00
8.213522770564768649e+00,1.017320295122384088e+01,-8.867132784065714923e-02,5.837860292977982368e+00,5.866916198187800191e+00
1.101439406907753771e+01,1.535679372478896454e+01,-7.508565579297060699e-02,5.058729362658302975e+00,5.076957982467606989e+00
5.998043091992139031e-01,3.782114616658697859e+00,-9.595287674092525809e-02,3.208368992223604721e+00,3.223075617056381237e+00
1.508258651806239214e+01,8.304660663879797511e+00,-4.228642309705242519e-02,6.094905382362291846e+00,6.096326494428081944e+00
1.078595909872460012e+01,1.189888370502551673e+01,-7.057853146683143453e-02,5.547012107809090153e+00,5.574347757139712201e+00
6.628147744156888344e+00,1.576915844781560949e+01,1.802930964609114617e-02,2.456088953844055567e+00,2.419266249493972065e+00
1.577915263339666652e+01,1.151127538286988816e+01,-9.198375538773728710e-02,5.907487628169669769e+00,5.899342130770016901e+00
6.098736844368317200e+00,3.007677866718661441e+00,7.262755248357205540e-03,6.078981726582735057e+00,6.054875760948736030e+00
9.097282895138997461e+00,1.662631617243980386e+01,7.141954719445953170e-04,3.111785949014600927e+00,3.141728259646332511e+00
2.724131860080936551e+00,1.624092076012321684e+01,-2.627824917828897044e-02,3.100020071202335359e+00,3.102006176576418195e+00
8.092104079620227708e+00,1.448621018270862670e+01,-2.919252087787109484e-02,4.296799332671266569e+00,4.282176495123012572e+00
4.108932051489184722e+00,1.468664822451555096e+01,-7.284184895740006271e-02,4.482344337181697114e+00,4.443248914063855359e+00
5.283151141814896867e+00,9.169554406432483873e+00,-5.060838510167694343e-02,5.358651510131348772e+00,5.345791898100404893e+00
1.501977521896954926e+01,1.303970823731435047e+01,1.660632066625924996e-02,3.319051891849545743e+00,3.319459000875462973e+00
5.644154721821496246e+00,1.997479804137479675e+01,-7.097988393049740885e-02,4.154969501226015716e+00,4.141189355961047092e+00
9.729559939911119670e+00,1.949987551772929706e+01,-6.344177048353508153e-03,3.066704670934019106e+00,3.131407861653929370e+00
1.961570713603471106e+01,3.810323231325524862e+00,1.202034832667758790e-02,6.333667568918769142e+00,6.384003784684058935e+00
1.923506101359254572e+01,1.278447066714316094e+01,3.951473551662340600e-02,2.835952543634213008e+00,2.700394419685914649e+00
1.450955931843199664e+01,1.736398866829032528e+01,-9.271997815257176923e-02,5.011158924425277661e+00,4.916708262126894269e+00
1.084747576817131254e+01,1.296614115845871051e+00,-1.899254714531511956e-02,8.249290255283259654e+00,8.240551650680501439e+00
5.573979520705147905e+00,1.154131076534607381e+01,-8.570013075327462260e-02,5.287979106162421949e+00,5.266869585583604518e+00
3.255007575063780578e+00,2.398292173733705734e+00,3.297734903591303945e-02,4.970157603180931360e+00,4.980839753055861685e+00
1.940001199366184537e+01,3.752952569482684630e+00,4.299987852207812211e-02,5.655325604256573158e+00,5.666191700807701181e+00
1.034556828168018150e+01,7.248005386590349097e+00,-9.161643348140535714e-02,6.684378541129833096e+00,6.790270478882385774e+00
2.361518968791867401e+00,1.117771745793927174e+01,-8.511643280931700806e-02,4.415242114187361899e+00,4.359641076052747977e+00
1.248862062297313358e+01,1.087508642035553663e+01,-3.135113434115649467e-02,5.185194600105210050e+00,5.166314349748859946e+00
1.554482813112884543e+01,1.012931313689205659e+01,1.623978184783543555e-02,3.934608409991426470e+00,4.036746990366043342e+00
1.227941585600815699e+01,1.914948022907256586e+01,-7.595752521687593184e-03,3.239952415629372418e+00,3.272287565439464974e+00
1.835008921057850984e+01,1.023588774958203729e+01,-5.024195492594877438e-02,5.844873311702544427e+00,5.878026480321357106e+00
8.398778894508470705e-01,1.468861313652259248e+01,-1.047382640712125890e-02,1.176976193446828800e+00,1.151275874862455639e+00
1.059535580203743166e+01,6.752565434722057169e+00,1.969436146031057489e-02,4.591728981192063408e+00,4.509325222649280818e+00
9.213750863563804572e+00,1.491224007030655940e+01,3.822480919082266171e-02,2.222372037227528629e+00,2.230745274438665771e+00
1.293874104040018125e+00,1.498302340554062084e+01,-7.925136038265175042e-02,3.106567026992401725e+00,3.112017731383478925e+00
1.284449697433053039e+01,1.342435093964319925e+01,2.645306246564924080e-02,2.901063986408252582e+00,2.839696383696023840e+00
1.706002512768910151e+01,1.511048540507551330e+01,-2.813449524722247408e-03,3.686964228368041940e+00,3.652802895279013917e+00
1.187917331118046604e+01,1.148989824808798765e+01,-1.955442151156761010e-02,4.716325684836879972e+00,4.712723500850518832e+00
5.238944082357602561e+00,1.712722754759540322e+01,-3.388345519877078438e-02,3.801487105133116717e+00,3.754249523980077718e+00
1.680563634457660527e+01,1.666742530145680590e+01,-2.337932344785725869e-02,4.144479051410224102e+00,4.139565553017613198e+00
1.021444283635411310e+01,2.018156500592540148e+00,-3.119124681534961308e-02,8.026640054400848712e+00,8.031414205774321857e+00
1.024223324510733413e+01,9.022280168387238675e+00,6.036046211077422674e-04,4.523185476646301773e+00,4.524964788499076462e+00
1.507295264365844822e+01,2.501374081537111049e+00,3.680471102954960272e-02,6.421054475550011631e+00,6.395739892634296098e+00
3.001044613909882752e+00,1.901572688190497118e+01,-6.446765984039155850e-02,3.659800563915711624e+00,3.689487967505002963e+00
1.640155304642957645e+01,8.754334805952868948e+00,-9.969034261538475827e-02,6.540563460132260865e+00,6.585121807846377351e+00
1.368157377476497949e+01,4.479558530205588696e+00,-9.613629293050698910e-02,7.754707891686678956e+00,7.770750306915006789e+00
1.575258398401828153e+01,1.676880798027910302e+01,3.675449394901017519e-02,2.209001697070790193e+00,2.168090185701274653e+00
3.872744367451697478e+00,1.835601575964956433e+00,3.932490492217427525e-02,5.532897223868419978e+00,5.569479838057691978e+00
1.605716501463387402e+01,3.166330278053182123e+00,3.127235013186621670e-02,6.128290269121268175e+00,6.103218268197915464e+00
3.866912324841145221e+00,1.360871574131578221e+01,-1.262903163835109310e-02,3.362355043798574528e+00,3.406313074712973954e+00
1.676974716402078736e+00,1.019772412548760165e+01,-1.221821571407254170e-02,2.792225600341800451e+00,2.738636229497928287e+00
1.711177813702704853e+01,5.419163858804459721e+00,-3.941345863040360276e-02,6.980460363511904021e+00,7.026183723668342651e+00
1.723260574874448636e+01,1.156796740831735804e+01,-4.932704636184812724e-02,5.539089150909147108e+00,5.538085978178372670e+00
1.753691507351078016e+01,4.226935108849479761e+00,3.998342924345596461e-02,5.413270412742668292e+00,5.350832968225947894e+00
9.464598901207866177e+00,6.253788656857216743e+00,-2.044919111519737098e-02,5.930395083034766479e+00,5.914700109436424214e+00
5.517265352843678805e+00,1.226010622140380413e+01,-5.871859658482557476e-02,4.935646628204209740e+00,4.938351742142787160e+00
1.914819806331669039e-01,1.767034988032455090e+01,-1.416042527172825527e-03,-9.595777042530263534e-01,-9.459381372948036937e-01
1.293213186672021031e+01,1.409324762820082100e+01,-8.625101461160915306e-02,5.373581909237745258e+00,5.324472502990696299e+00
1.441219220099842602e+01,1.290023290443037496e+01,2.553281744992322300e-03,3.799395911231426837e+00,3.744027258873167341e+00
1.671960586918046943e+01,1.495827802772654813e+01,-5.913824724613422207e-02,5.110076854344310249e+00,5.120056080986664426e+00
5.673462655922615561e+00,7.629678034574489232e+00,4.117154093363203926e-03,4.340693163427602030e+00,4.317355682583611909e+00
4.343602434901322695e+00,1.962146339805707740e+01,-2.771083605624061197e-02,3.251275988829678276e+00,3.263051269416189726e+00
1.280466103232842734e+01,1.226407758215788313e+01,2.917753345746995630e-02,3.036125273889909604e+00,3.074101250013828501e+00
1.611084392124294240e+01,5.225469382680954844e+00,1.349320736739112458e-02,5.556484622591284506e+00,5.474045254273737449e+00
1.927523391325716773e+01,8.157084322121033182e-01,4.748907346876554691e-02,7.942775211544090830e+00,7.955494617369971877e+00
3.052970366902490351e+00,2.323936147388253382e+00,-1.289918705820297662e-02,6.007711166677229819e+00,6.068943515054016302e+00
9.670137144576765209e+00,4.050332117134333387e+00,2.393219270107192764e-02,5.511054405506906839e+00,5.496178063288382987e+00
1.789958145081365970e+01,1.471401551630246907e+01,-1.192931117556833565e-03,3.703675222423172819e+00,3.663134493261294367e+00
8.483202293561474150e+00,1.630897117300502686e+01,1.051042804108746898e-02,2.775669225919264793e+00,2.813281417278244323e+00
1.181056613857676041e+01,1.851651161647063049e+01,3.431599891301664873e-02,1.951437619766844600e+00,1.964109945577251715e+00
5.385890159925957876e-01,1.289391368003362537e+01,-5.306098885075178490e-02,1.720285973817493819e+00,1.765080127356371875e+00
1.348552474870113116e+01,6.015812100512661686e+00,1.942613957009521608e-02,4.990674092840116316e+00,4.973413307337552602e+00
1.838581796169475879e+01,1.679349487793542295e+01,3.902568307339229770e-02,2.199809181224012811e+00,2.125718267537902051e+00
1.654516532465658685e+01,1.907405638068764020e+01,4.835216677462678136e-02,1.709214582240262459e+00,1.703714044004699835e+00
1.771612932086343761e+01,1.396838641674790438e+01,-7.812729267927254195e-02,5.452375100000656616e+00,5.430083692350095248e+00
1.322408984138444055e+01,1.539924995419055476e+00,-5.781577272714981397e-02,8.786834744986322221e+00,8.825600936088701332e+00
4.948767731501392042e+00,8.278541337961188518e+00,-3.629816900267680835e-02,5.231645086102482800e+00,5.241326728521340073e+00
1.538191412798027535e+01,5.053978233185131508e+00,-4.287262440945844438e-02,7.131396931168605846e+00,7.049854469546851021e+00
4.272911115019834227e+00,1.879128418653082377e+01,4.062037041896299217e-02,1.191812566710763299e+00,1.132054412705603363e+00
1.663393295155600171e+01,1.624135548340882096e+01,-9.623069739136244638e-02,5.205297807640574703e+00,5.249487259469937328e+00
1.301222555286826621e+00,1.491549531391233474e+00,3.447319747191032735e-02,3.664623164392111221e+00,3.698611415263003632e+00
1.651848187720143812e+01,1.222769541340503530e+01,-8.727054461019670417e-02,5.771060917179642757e+00,5.739048748884218121e+00
3.331919966158320534e+00,1.970443690403184078e+01,4.063175467748070258e-02,8.899075086766869980e-01,8.898550688483229942e-01
7.534182580108004679e+00,1.052374192769402406e+01,3.819439874478572361e-02,2.891844659029254139e+00,2.914123336718063229e+00
6.368926422811437504e+00,1.779988275090696703e+01,-2.765832711395013743e-02,3.700411982846291803e+00,3.723832199638655638e+00
1.384217385379093912e+01,1.626538047653111718e+01,-7.386986305270054620e-02,5.019797245408009978e+00,5.063609355213727348e+00
3.612508969578719586e+00,9.483594237433395691e+00,-7.127819272419608221e-02,5.140055626757108698e+00,5.152879908118186414e+00
7.955310436228879567e+00,8.895967088205074091e+00,-6.108815449748128401e-02,5.884668029018609303e+00,5.879926612070184078e+00
1.662006724042198735e-01,3.316858636262355109e+00,2.733760119000339106e-02,-9.747603997528386799e-01,-9.877028029922310104e-01
5.286769519364524328e+00,7.153944445255538298e+00,-1.888762141637928549e-02,5.137831765674520490e+00,5.190618905701183117e+00
8.452716843867657204e+00,3.908196845593860047e+00,3.122369140086261874e-02,5.310454936087565692e+00,5.197912222333639143e+00
2.163128672311122713e+00,1.692958091865037318e+01,1.319779748859625790e-02,1.450892894106156739e+00,1.443960127851589892e+00
1.268154092342932771e+01,1.210772509674510289e+01,4.515558212460366039e-02,2.709286484040917209e+00,2.710936489240120206e+00
7.639464184236319788e+00,1.873122119983451839e+01,-7.934595808783001525e-04,2.832619790731276233e+00,2.761352342687766637e+00
1.451961406462096527e+01,8.266048928749983205e+00,-7.449334364854759416e-02,6.490265646500865238e+00,6.506906327157767400e+00
1.309462692081446811e+01,1.406401548548280545e+01,-1.795915129329192506e-02,4.262906201167620424e+00,4.230342150545451041e+00
8.652973638109253685e+00,1.667968870198284037e+01,1.089257724381345604e-02,2.725766519463337367e+00,2.768888759279124923e+00
1.735304408756187300e+01,3.562578790849036947e-01,-4.631433533774299838e-02,9.299446414423458762e+00,9.293166810221741514e+00
1.266109559412833363e+01,6.524793476447832141e+00,4.996662026701939596e-02,4.108274288626976301e+00,4.141731950666448725e+00
1.621497332452066686e+01,8.780972855890459172e+00,-6.741058544610369074e-02,6.347196835692393790e+00,6.408139015950954587e+00
6.868804742605254532e+00,1.857920853608917255e+01,3.899456030933451389e-02,1.578411465244629497e+00,1.597557944380303185e+00
1.089620232888569085e+01,1.742272825019013283e+01,-2.650993127586395715e-02,3.989414558389679399e+00,3.945628501218537032e+00
3.966122858039330179e+00,1.781714030700763729e+00,2.671622193995024097e-02,5.822027445836186033e+00,5.746311514250954211e+00
1.992301674286662561e+01,1.911363642861874013e+01,-2.007219463407111659e-02,3.800950922021362643e+00,3.888620127897181256e+00
4.902148512911225886e+00,1.257538579747136964e+01,-1.740805288394177419e-02,3.888267455149068574e+00,3.882702845489692578e+00
5.174505971180699326e+00,1.531478124100807303e+00,6.076025249599770195e-03,6.814666747419108717e+00,6.780238500037392591e+00
1.510141944199771213e+00,1.383343275167010944e+01,-2.138924102979514186e-02,2.460435902117521056e+00,2.467648756520562259e+00
5.193172223984894309e+00,1.712171633764389611e+01,-3.272946659447512063e-02,3.767317638617412534e+00,3.757747072093279961e+00
1.527441422425386186e+01,5.251220135807066924e+00,-8.218735384460806870e-02,7.469298388601280259e+00,7.511905501811914299e+00
1.397297673512747274e+01,6.520964988992841604e+00,9.088579055109013982e-04,5.399851928405775325e+00,5.401548337527630750e+00
2.617030585727530223e+00,5.626084530391127991e+00,4.400651213739895096e-02,2.944933380209765250e+00,2.945620859390686075e+00
7.555958103490479694e+00,1.407989721131350791e+01,4.139388142093033962e-02,2.172297644429384000e+00,2.136568658377735908e+00
8.447381822618385883e+00,1.439375550242277413e+01,-9.295390100228562158e-02,5.161420563351724944e+00,5.184898968289100019e+00
1.331643571492111633e+01,1.550954968976516923e+01,-3.449317603266786880e-02,4.517011418073739293e+00,4.465318081955990337e+00
9.145782812722790922e+00,1.842871851507576153e+01,-1.064147698345038751e-02,3.300682100189304968e+00,3.333976572177503428e+00
1.175104062016935202e+01,3.718382146920358178e+00,-8.518791713311300862e-02,7.923989565563068993e+00,8.000186441212575161e+00
1.680170784199840028e+01,1.419413384193362937e+01,6.594941924892738783e-03,3.494348766933655259e+00,3.418114465028697868e+00
1.454314852573179095e+01,1.294948948733455296e+01,-3.499554950191326175e-02,4.950374347866064895e+00,4.827062886298499222e+00
7.331894906995750638e+00,5.326159538108935720e+00,-8.052576055100205132e-02,6.966616585840887055e+00,6.997460523598602933e+00
8.995506371422461456e+00,1.950863878236600257e+01,-6.810282913539673910e-02,4.432315012139058652e+00,4.559709902913215096e+00
7.385606415315631779e+00,9.591508480855102547e+00,-9.724855040447311083e-02,5.920316291936372544e+00,5.870270049492777531e+00
2.239206546933599551e+00,1.898166676627513993e+01,-6.548391863620575681e-02,3.364636093372612713e+00,3.302101305432513456e+00
4.104668804543561755e+00,1.943829848276287819e+01,5.078921924260362819e-03,2.135329764833727495e+00,2.164778211522750961e+00
5.711939454435414731e+00,1.801095710718874798e+01,-2.599213852824372450e-02,3.560397258561373235e+00,3.518361179058457910e+00
6.316971217265928473e+00,9.243758663603854231e+00,-6.493235530598727434e-02,5.676406188527899133e+00,5.651104914331062545e+00
6.295304783457756237e+00,5.667558123935687142e+00,-6.208708304174180570e-02,6.578233047251595522e+00,6.560827173917406441e+00
1.155515933924639249e+01,1.175666259317166151e+01,-2.900166941138870857e-02,4.919595253112279742e+00,4.946195357426869776e+00
1.943521501361410486e+01,9.045763075757511373e+00,9.994409013498087302e-03,4.479208915314556450e+00,4.458943797244900864e+00
1.550454949172845254e+01,9.417211478706983385e+00,4.675609895600391086e-02,3.366432179086826793e+00,3.380326321090834973e+00
1.583312226604746442e+01,4.957218739668387109e+00,-2.518985946552600164e-02,6.804875567401692749e+00,6.796048904457014039e+00
1.519740658576461989e+01,1.686083620050543885e+01,-3.350898676713102986e-02,4.362138339900809569e+00,4.319904784718229251e+00
1.195990522394894029e+01,1.464140945542189520e+01,-4.312734549847755533e-02,4.783471365298544775e+00,4.767480052411383618e+00
1.835796053055970845e+01,1.731966099780948198e+01,2.323108844142189600e-02,2.534965426299464308e+00,2.487445443041068405e+00
1.380812160116926535e+01,1.067762263577870030e+01,-1.357767419901906303e-02,4.758513184945753594e+00,4.758838934239241425e+00
1.003211079320057664e+01,1.944008259657560300e+00,3.737143881456009287e-02,6.560027716150459653e+00,6.503834404772177891e+00
1.587821979585748222e+00,1.725994789656039430e+01,-1.776808284448105901e-02,2.099552902497962670e+00,2.044908184033200627e+00
9.794562080356200795e+00,1.478098912011384991e+00,-7.016211240418661343e-02,8.685747060555085497e+00,8.758595151320347938e+00
4.295978357039669682e+00,3.174868588652662638e+00,-8.423270550056760619e-02,7.167870117898898386e+00,7.165210906883631381e+00
2.697291136058405314e+00,1.888799058749721027e+01,-1.929374798473344754e-02,2.632943719597895971e+00,2.630248618324293908e+00
1.014599520446099135e+01,1.127394500776868824e+01,-7.140026175602572078e-02,5.637277299436905587e+00,5.662854120432786686e+00
1.571245158730933333e+01,1.353244846629117681e+01,4.779904100340681694e-03,3.643826776931676559e+00,3.622783926804233001e+00
5.935378533970112613e+00,1.643775407703768465e+01,1.745089179040262839e-02,2.315949364712895253e+00,2.304522596338987483e+00
1.538699661018787168e+01,1.332468700013388663e+01,1.661015920542849300e-02,3.277476319370299596e+00,3.298733756136895234e+00
1.053630898708696861e+01,8.935028632945863691e+00,-3.906409495318390740e-02,5.703006400178851187e+00,5.717127192291071580e+00
3.023508066245715220e+00,1.090568841712159021e+01,-1.737313526937095398e-02,3.661580024610330497e+00,3.603615188263709079e+00
1.930110649239572851e+01,8.029827494078155325e+00,-6.600016590162761931e-02,6.588459702213700808e+00,6.630126832047183782e+00
8.062642666575923656e+00,1.158608945691472236e+01,-2.216097781677262013e-02,4.568949668839414002e+00,4.539427921674962008e+00
5.939923400470780379e+00,1.439199111284465982e-01,2.258862173085056380e-02,8.158890938558430506e+00,8.106086991042721124e+00
1.694761749414290719e+01,1.021449531451416881e+01,-4.118379354381085378e-03,4.623378365491274344e+00,4.578354611991321654e+00
2.532983633683822511e+00,5.740534736552673767e-01,7.410888075755350801e-05,6.476991748718915254e+00,6.457464481501149045e+00
1.468512969842038274e+01,2.282471781597116056e+00,4.342075534386055646e-02,6.460535548104660464e+00,6.541900560835813394e+00
3.797103614181092990e+00,1.694272866469189509e+01,-5.698543894021299711e-02,3.986933156928890831e+00,3.928156361682851649e+00
7.880210931451019363e+00,1.322178373437839660e+01,-2.564389012445780769e-03,3.634528710515558814e+00,3.642532505142275667e+00
4.676402575319661636e+00,3.725140629489837707e+00,3.269817971693092518e-02,4.767085556936761392e+00,4.660194339032232236e+00
1.683249845421311974e+01,1.496933025251140847e+01,-5.017143071555347361e-02,4.982746634139440189e+00,4.982668287482180602e+00
7.831987311200241386e+00,9.568087064798067587e+00,-9.243259795852924732e-02,5.948175984158005747e+00,5.993154305031805684e+00
1.949512161700167212e+01,2.783440891865265332e+00,-5.577763181532113118e-02,8.377142225199648351e+00,8.365309059096576405e+00
1.252396661408138101e+01,1.860074533334633884e+01,-5.652476875284111885e-02,4.528384227426216491e+00,4.496916481232049456e+00
1.388777555232315741e+01,2.344821459859492752e+00,-5.691364435683124445e-02,8.428267223332083447e+00,8.439842776535011026e+00
1.045442618654172939e+01,4.928828745640109199e-01,-2.119203928385494928e-02,8.733676346669779988e+00,8.768683934227311738e+00
6.213915571558042750e+00,5.206374396286239659e+00,-1.564470833129236182e-02,5.813814660493219932e+00,5.846997539044090253e+00
7.941350599995952386e+00,1.828512147792246800e+00,-4.222776361556564162e-02,8.084560023987997113e+00,8.183183716684487408e+00
1.882163704385493830e+01,4.327570257732238357e-01,-5.170036214745691444e-02,9.353197497844426778e+00,9.363655871461240565e+00
4.064003854457055809e+00,1.309951334163799785e+01,-2.145875564165408700e-02,3.761050144358974112e+00,3.731429639371327323e+00
1.976496707934323638e+01,2.726046565926705245e+00,9.509285644757975442e-03,7.011554630245176334e+00,7.005255670745843766e+00
1.517820194697617886e+01,1.132120889683355713e+01,-9.512651712886406596e-02,5.941783450881053419e+00,5.938158523600062466e+00
7.227749183527573784e+00,4.927537600504625637e+00,2.386026612322200702e-02,4.884338035183378501e+00,4.889774904357284235e+00
1.284819611063678657e+01,1.881893770177344649e+01,-8.013485639297932006e-02,4.742525931537156403e+00,4.741024540875685034e+00
7.650581708897095545e+00,4.395534167066636577e+00,3.596035327632288170e-02,4.892008663534433310e+00,4.900706960479243257e+00
7.660784006166403870e+00,1.046102905419727414e+01,-2.609897901940413933e-02,4.864130592560005795e+00,4.780588089529250517e+00
1.010086885638086507e+01,1.472624643363596064e+01,-1.536171394064053675e-02,3.969626944065121066e+00,4.011108391867122869e+00
3.836202916257727691e-01,6.291485380726563825e+00,4.712361764797215469e-02,-7.756141422942848251e-01,-8.043511057403364140e-01
9.896752620870755024e+00,1.665161386205459593e+01,3.458274058062091316e-02,2.098689412172340507e+00,2.040031477349989242e+00
1.943338834826541728e+01,6.348181147415041359e+00,-3.323688235200056296e-02,6.579187875012554088e+00,6.611075432994625523e+00
5.745031314272289968e+00,7.818415269104641574e+00,-6.965750119436635301e-02,5.966929669450427909e+00,6.032795969819732207e+00
1.497694828357841246e+01,8.664726822301991760e+00,-1.063750880819450129e-02,5.170081016560239995e+00,5.194732424035212404e+00
8.883638356906375932e+00,8.435993026442922371e+00,-9.397230818500396099e-02,6.293397265223626746e+00,6.301455230915903094e+00
4.225156800224819875e+00,1.219807872276724758e+01,-8.993904319453716045e-02,4.956193654543598726e+00,4.909582639275001270e+00
1.810480128782168308e+01,4.602287670836632039e+00,-6.605586740895824649e-02,7.670480096762648969e+00,7.814058463653323905e+00
3.857043293702492326e-01,6.651360797814967363e+00,-3.733747278033462680e-02,1.457200824082750756e+00,1.501213755115826221e+00
