t,P,E,A,dP_dt,dP_dt_noisy
0.000000000000000000e+00,1.000000000000000000e+01,1.000000000000000000e+00,0.000000000000000000e+00,-3.181818181818182101e+00,-3.164538972214942625e+00
1.000200040008001647e-02,9.968168354660997821e+00,1.006661125580545768e+00,9.981315778157851676e-03,-3.183212563703611941e+00,-3.142131656528554196e+00
2.000400080016003293e-02,9.936323511122564511e+00,1.013308488825932496e+00,1.992128553968211535e-02,-3.184457646593955804e+00,-3.167935792784786653e+00
3.000600120024005113e-02,9.904466952055516415e+00,1.019942070383062616e+00,2.981994703226852061e-02,-3.185555536982893621e+00,-3.250713398563111589e+00
4.000800160032006586e-02,9.872600139354609894e+00,1.026561851019290206e+00,3.967734177136849477e-02,-3.186508313990372265e+00,-3.141240520656716217e+00
5.001000200040008059e-02,9.840724514193619044e+00,1.033167811622292875e+00,4.949351502448309792e-02,-3.187318029717985279e+00,-3.164999301099784557e+00
6.001200240048010226e-02,9.808841498831997185e+00,1.039759933196243491e+00,5.926851529917274986e-02,-3.187986709951928788e+00,-3.214834371719943018e+00
7.001400280056011005e-02,9.776952493022768920e+00,1.046338196867958592e+00,6.900239535723060036e-02,-3.188516353766519096e+00,-3.159460448556701273e+00
8.001600320064013172e-02,9.745058875859452741e+00,1.052902583880310550e+00,7.869521167913222370e-02,-3.188908934208330326e+00,-3.170680314399026756e+00
9.001800360072015339e-02,9.713162007827131461e+00,1.059453075587507120e+00,8.834702388048931709e-02,-3.189166399032178134e+00,-3.174459774199401618e+00
1.000200040008001612e-01,9.681263230802461095e+00,1.065989653455090780e+00,9.795789471204978394e-02,-3.189290671018929046e+00,-3.187869558953139393e+00
1.100220044008801829e-01,9.649363868053658422e+00,1.072512299059940055e+00,1.075278900596978449e-01,-3.189283648285860195e+00,-3.161947998955237704e+00
1.200240048009602045e-01,9.617465224240516974e+00,1.079020994090267971e+00,1.170570789444538295e-01,-3.189147204589766194e+00,-3.225969908939849695e+00
1.300260052010402123e-01,9.585568585414389275e+00,1.085515720345623381e+00,1.265455335224743016e-01,-3.188883189622996550e+00,-3.197028687022648974e+00
1.400280056011202201e-01,9.553675219018204601e+00,1.091996459736889857e+00,1.359933290850520449e-01,-3.188493429302625692e+00,-3.212599394936624719e+00
1.500300060012002556e-01,9.521786373886452992e+00,1.098463194286286582e+00,1.454005440586161046e-01,-3.187979726052912355e+00,-3.158037415421180771e+00
1.600320064012802634e-01,9.489903280245197692e+00,1.104915906127367897e+00,1.547672600047316493e-01,-3.187343859081238850e+00,-3.185357753707156014e+00
1.700340068013602712e-01,9.458027149712069814e+00,1.111354577505023089e+00,1.640935616201000535e-01,-3.186587584647692317e+00,-3.201210422195946759e+00
1.800360072014403068e-01,9.426159178791969850e+00,1.117779190763958486e+00,1.733795357294453388e-01,-3.185712637077236842e+00,-3.224808060195079040e+00
1.900380076015203146e-01,9.394300548522863892e+00,1.124189728342315675e+00,1.826252713534396166e-01,-3.184720728946277113e+00,-3.197580340977220548e+00
2.000400080016003224e-01,9.362452417246251102e+00,1.130586172796257838e+00,1.918308617938044303e-01,-3.183613549788219643e+00,-3.183206440762302414e+00
2.100420084016803579e-01,9.330615927610802274e+00,1.136968506782241040e+00,2.009964026391609648e-01,-3.182392767849357096e+00,-3.196172913114325720e+00
2.200440088017603657e-01,9.298792206717747533e+00,1.143336713056595011e+00,2.101219917234078416e-01,-3.181060030376173131e+00,-3.116356839656262867e+00
2.300460092018403735e-01,9.266982366120872783e+00,1.149690774475522703e+00,2.192077291257212845e-01,-3.179616963865799395e+00,-3.129280748100509602e+00
2.400480096019204090e-01,9.235187501826525036e+00,1.156030673995100511e+00,2.282537171705549262e-01,-3.178065174310864993e+00,-3.313623298259163352e+00
2.500500100020003891e-01,9.203408694293612413e+00,1.162356394671277826e+00,2.372600604276398351e-01,-3.176406247438872121e+00,-3.270856909737255958e+00
2.600520104020804246e-01,9.171647008433597037e+00,1.168667919659878374e+00,2.462268657119847381e-01,-3.174641748946231967e+00,-3.183380353548990183e+00
2.700540108021604602e-01,9.139903493610502139e+00,1.174965232216597988e+00,2.551542420838757153e-01,-3.172773224727098551e+00,-3.193882745305916426e+00
2.800560112022404402e-01,9.108179183640913834e+00,1.181248315697006834e+00,2.640423008488762546e-01,-3.170802201097136397e+00,-3.160120051222205628e+00
2.900580116023204758e-01,9.076475096793968689e+00,1.187517153556548077e+00,2.728911555578276138e-01,-3.168730185012319289e+00,-3.157864088461191265e+00
3.000600120024005113e-01,9.044792235791371482e+00,1.193771729350538102e+00,2.817009220068482089e-01,-3.166558664282919544e+00,-3.060666726530367310e+00
3.100620124024804913e-01,9.013131587807377443e+00,1.200012026734167181e+00,2.904717182373340867e-01,-3.164289107782767729e+00,-3.219890145917381652e+00
3.200640128025605269e-01,8.981494124468808238e+00,1.206238029462498362e+00,2.992036645359589242e-01,-3.161922965653926720e+00,-3.180803216010276824e+00
3.300660132026405624e-01,8.949880801913447925e+00,1.212449721390338686e+00,3.078968834182775893e-01,-3.159461669520405636e+00,-3.057323089145789208e+00
3.400680136027205425e-01,8.918292569089160793e+00,1.218647086450282968e+00,3.165514972786187542e-01,-3.156906634609708995e+00,-3.124571484799616439e+00
3.500700140028005780e-01,8.886730358108570371e+00,1.224830108665295736e+00,3.251676310457345398e-01,-3.154259257714428610e+00,-3.121106089095615488e+00
3.600720144028806136e-01,8.855195082359303527e+00,1.230998772161485011e+00,3.337454127626685585e-01,-3.151520916945395712e+00,-3.177221235529768872e+00
3.700740148029605936e-01,8.823687642683063714e+00,1.237153061156749168e+00,3.422849718660083140e-01,-3.148692973359909608e+00,-3.231096731902692198e+00
3.800760152030406291e-01,8.792208927375630978e+00,1.243292959960777155e+00,3.507864391858852571e-01,-3.145776771155072815e+00,-3.137403533943935674e+00
3.900780156031206647e-01,8.760759812186858397e+00,1.249418452975047833e+00,3.592499469459746742e-01,-3.142773637857005031e+00,-3.137322933465927832e+00
4.000800160032006447e-01,8.729341160320680970e+00,1.255529524692831078e+00,3.676756287634955767e-01,-3.139684884506044327e+00,-3.201052487218273068e+00
4.100820164032806803e-01,8.697953822435103177e+00,1.261626159699186900e+00,3.760636196492112560e-01,-3.136511805838003930e+00,-3.170673138927031953e+00
