x,k,M0,Ca,M,M_noisy
5.118216247002567165e+00,5.121365508321822357e-01,1.358188838657216291e+00,8.722876800289272037e-01,3.322104229330365976e-01,3.356662648536844484e-01
9.504636963259352811e+00,7.360209897728140049e+00,5.469523095813136893e-01,4.852893004454035264e-01,1.197447357380855004e-01,1.279609171730970718e-01
1.441596127196337340e+00,9.896962867800160879e-01,7.179433417229869052e-01,7.752972311217872781e-01,4.248025167994857187e-01,4.281068875613195934e-01
9.486494471372438397e+00,1.177732134232531980e+00,1.736555680015715364e+00,4.958816305708877437e-01,2.241469654235884179e-01,2.111153931075448187e-01
3.118314520104854548e+00,6.407977649111796126e+00,1.007114938965170348e+00,4.150688979100747300e-02,2.108382970630471032e-01,2.198918557297782905e-01
4.233264489725756974e+00,8.475226267171533934e+00,1.527309038797414864e+00,9.309375930016909884e-01,2.512899906026491714e-01,2.557537363262892827e-01
8.277025938204417344e+00,2.652894856874110641e+00,1.006035129640317161e+00,7.533817258543543671e-01,1.738227221101396047e-01,1.684531897565367531e-01
4.091991363691612982e+00,5.111291920458092441e+00,6.132867215934285632e-01,3.309102299647035395e-01,1.587358810034680823e-01,1.645470620454316246e-01
5.495936876730595166e+00,7.690063209819636647e+00,7.491434420702939301e-01,9.346133087334284051e-01,1.599877848747555120e-01,1.636335088366162593e-01
2.755911324306836718e-01,1.931805764066387709e+00,5.404712325907474746e-01,4.397122682132992288e-01,4.566840626574129591e-01,4.596253876239682068e-01
7.535131086748066309e+00,4.181715606653768624e+00,1.077135769029475831e+00,1.012677398929138217e-01,1.582777782215689377e-01,1.585620006347269184e-01
5.381433132192782409e+00,5.969796416067970846e+00,7.942146853316855992e-01,5.581978871870219017e-02,1.483783818294353019e-01,1.538455116955597668e-01
3.297317164990921867e+00,7.895209479064047464e+00,1.680293096460911295e+00,3.316273387179647925e-01,2.946028993971803733e-01,2.872383585271637285e-01
7.884287034284042761e+00,5.776966145246828610e+00,5.801624461226271290e-01,3.748514169352407110e-01,1.271372706226659155e-01,1.255081711427353808e-01
3.031948292916450072e+00,1.546533210076118214e+00,1.572627552483572000e+00,4.889294574581352082e-01,4.029943615076647667e-01,3.981731683808649724e-01
4.534978894806514838e+00,8.321634678751459901e+00,1.507141954719446009e+00,7.167527667633966093e-02,2.137927979784244037e-01,2.197812601047706704e-01
1.340416972471647483e+00,8.129905302774865561e+00,1.237217508217110185e+00,6.936990535653803081e-01,4.508279887592094304e-01,4.512252098340260309e-01
4.031129864471292734e+00,7.256958834613840281e+00,1.208074791221289024e+00,5.288807141598770301e-01,2.200977306967483726e-01,2.171731631870974788e-01
2.034552406761496179e+00,7.356674242346932679e+00,7.715815104259993173e-01,6.628813944449102324e-01,2.563942229684265106e-01,2.485751383448580876e-01
2.623133404418495296e+00,4.611989378074452084e+00,9.939161489832305518e-01,1.422243659311610564e-01,2.476835823684493954e-01,2.451116599622606973e-01
7.503646726300525316e+00,6.537342288915179545e+00,1.666063206662592222e+00,4.204870961699130882e-01,1.902792871798701380e-01,1.903607089850535838e-01
2.804087579860399249e+00,9.987462342191481213e+00,7.902011606950258837e-01,3.282084478822605567e-01,1.895175105908745161e-01,1.867614815378808024e-01
4.851909744316350803e+00,9.751194353041208629e+00,1.436558229516464946e+00,5.663013961534427709e-01,2.064173828629002894e-01,2.193580210068823699e-01
9.807371998012385461e+00,1.945839195483552775e+00,1.620203483266775768e+00,8.292282310152231384e-01,2.093398684071803018e-01,2.194071115602382327e-01
9.616571936637868134e+00,6.410364804257151050e+00,1.895147355166233893e+00,2.690274557264072941e-01,1.785024682446663680e-01,1.513908434550066961e-01
7.247899407735336474e+00,8.688617478194684551e+00,5.728002184742823077e-01,2.009141801660383475e-01,1.211498835647072392e-01,1.022597511050305080e-01
5.412268555474342158e+00,6.953004897926694516e-01,1.310074528546848693e+00,4.215415375632917128e-01,2.701166451583356665e-01,2.683689242377840234e-01
2.768912040453708201e+00,5.791908370699806241e+00,6.429986924672538295e-01,4.033257157797925929e-01,1.916249129661486972e-01,1.874030088503851610e-01
1.606520087751268644e+00,1.243371483415260714e+00,1.829773490359130284e+00,9.631719209748487165e-01,7.661218543528632852e-01,7.682582843278493723e-01
