t,A,P_free,C,dA_dt,dA_dt_noisy
0.000000000000000000e+00,5.000000000000000000e-01,1.000000000000000000e+00,0.000000000000000000e+00,3.800000000000000044e-01,3.834558419206478552e-01
1.000200040008001647e-02,5.038126917543739314e-01,9.950050321298219425e-01,4.979232392207317073e-03,3.823907924977826278e-01,3.906069739327941992e-01
2.000400080016003293e-02,5.076494445793736654e-01,9.900222466836344770e-01,9.915224947937197747e-03,3.848112385846481631e-01,3.881156093464820378e-01
3.000600120024005113e-02,5.115105547030438515e-01,9.850518160316175109e-01,1.480841847419447216e-02,3.872612588047998905e-01,3.742296864887562635e-01
4.000800160032006586e-02,5.153963174406154257e-01,9.800939071941381364e-01,1.965925003097385160e-02,3.897407628450183514e-01,3.987943215117495388e-01
5.001000200040008059e-02,5.193070271802269211e-01,9.751486818780408239e-01,2.446815293902838279e-02,3.922496493423239805e-01,3.967133950659640917e-01
6.001200240048010226e-02,5.232429772777574817e-01,9.702162965796480298e-01,2.923555677642030240e-02,3.947878056091463916e-01,3.894182732555435678e-01
7.001400280056011005e-02,5.272044599116699759e-01,9.652969025311702866e-01,3.396188728010676727e-02,3.973551073491667918e-01,4.031662883911303341e-01
8.001600320064013172e-02,5.311917659482014997e-01,9.603906459263307216e-01,3.864756637502730907e-02,3.999514183531719391e-01,4.035971423150326864e-01
9.001800360072015339e-02,5.352051847279528651e-01,9.554976682791929132e-01,4.329301223376719882e-02,4.025765901148828929e-01,4.055179150814381406e-01
1.000200040008001612e-01,5.392450040639988895e-01,9.506181064268653946e-01,4.789863927688392531e-02,4.052304616737149034e-01,4.055146840868728564e-01
1.100220044008801829e-01,5.433115102306063093e-01,9.457520925398553713e-01,5.246485817304295807e-02,4.079128594535960106e-01,4.133799893197204756e-01
1.200240048009602045e-01,5.474049876187389030e-01,9.408997543255568363e-01,5.699207578132987895e-02,4.106235968009375181e-01,4.032590559309208733e-01
1.300260052010402123e-01,5.515257187835594932e-01,9.360612147944357142e-01,6.148069503331725361e-02,4.133624739266806847e-01,4.117333744467501777e-01
1.400280056011202201e-01,5.556739841200332153e-01,9.312365927954907585e-01,6.593111505040383236e-02,4.161292774307201459e-01,4.113080843039203516e-01
1.500300060012002556e-01,5.598500617084295472e-01,9.264260032027070713e-01,7.034373116858119723e-02,4.189237800248073462e-01,4.249122421511536407e-01
1.600320064012802634e-01,5.640542273143226426e-01,9.216295569150574352e-01,7.471893493843376199e-02,4.217457404197628712e-01,4.221429614945794717e-01
1.700340068013602712e-01,5.682867543885909978e-01,9.168473608565012034e-01,7.905711412513888314e-02,4.245949032206978169e-01,4.216703357110469508e-01
1.800360072014403068e-01,5.725479137328467472e-01,9.120795181657945783e-01,8.335865266495830206e-02,4.274709985221888386e-01,4.196519138986204434e-01
1.900380076015203146e-01,5.768379733452865255e-01,9.073261280610298574e-01,8.762393048362263070e-02,4.303737417276211064e-01,4.278018193214324083e-01
2.000400080016003224e-01,5.811571983559842280e-01,9.025872861089947463e-01,9.185332361415943225e-02,4.333028333810645671e-01,4.333842551862480130e-01
2.100420084016803579e-01,5.855058506319611444e-01,8.978630846217120487e-01,9.604720425505422488e-02,4.362579587116607316e-01,4.335019296586670179e-01
2.200440088017603657e-01,5.898841887767647396e-01,8.931536126567735101e-01,1.002059407702578508e-01,4.392387875846149869e-01,4.521794257285970398e-01
2.300460092018403735e-01,5.942924681304686541e-01,8.884589560173397071e-01,1.043298976891866292e-01,4.422449744637911850e-01,4.523122176168491437e-01
2.400480096019204090e-01,5.987309407288964325e-01,8.837791972762336634e-01,1.084194357047120333e-01,4.452761583477986562e-01,4.181645335581389844e-01
2.500500100020003891e-01,6.031998546573932307e-01,8.791144160302821753e-01,1.124749115330465482e-01,4.483319621868938620e-01,4.294418297272171170e-01
2.600520104020804246e-01,6.076994543605046539e-01,8.744646885963027749e-01,1.164966777973045348e-01,4.514119932151871017e-01,4.496642722946354587e-01
2.700540108021604602e-01,6.122299801427576460e-01,8.698300885900503987e-01,1.204850832106243858e-01,4.545158424459061486e-01,4.502939383301426401e-01
2.800560112022404402e-01,6.167916679669553925e-01,8.652106870831299812e-01,1.244404725957141689e-01,4.576430845128337532e-01,4.597795144878198403e-01
2.900580116023204758e-01,6.213847494541777650e-01,8.606065526029959001e-01,1.283631868848515434e-01,4.607932777229913901e-01,4.629664970332170171e-01
3.000600120024005113e-01,6.260094518837809874e-01,8.560177511329521982e-01,1.322535631198837602e-01,4.639659641239105570e-01,4.851443516744210482e-01
3.100620124024804913e-01,6.306659981206004240e-01,8.514443461486599363e-01,1.361119344478122495e-01,4.671606695194833181e-01,4.560404618925604781e-01
3.200640128025605269e-01,6.353546058590799905e-01,8.468863988681299970e-01,1.399386299336080608e-01,4.703769029246167577e-01,4.666008528533467925e-01
3.300660132026405624e-01,6.400754880704949690e-01,8.423439679548141434e-01,1.437339744671349007e-01,4.736141571308388754e-01,4.940418732057622053e-01
3.400680136027205425e-01,6.448288524079389683e-01,8.378171100863255338e-01,1.474982889808741648e-01,4.768719082315782121e-01,4.833389381935966900e-01
3.500700140028005780e-01,6.496149010263690959e-01,8.333058800727557447e-01,1.512318904670830466e-01,4.801496156133623350e-01,4.867802493371249373e-01
3.600720144028806136e-01,6.544338305826054025e-01,8.288103308566748817e-01,1.549350919777944535e-01,4.834467221366465228e-01,4.783066584197718796e-01
3.700740148029605936e-01,6.592858322353309930e-01,8.243305135131310246e-01,1.586082026248169241e-01,4.867626543339096390e-01,4.702819026253531320e-01
3.800760152030406291e-01,6.641710916098962914e-01,8.198664772660634315e-01,1.622515275787092259e-01,4.900968225935580236e-01,4.917714700357854185e-01
3.900780156031206647e-01,6.690897880128068298e-01,8.154182697551491943e-01,1.658653679051025343e-01,4.934486207355515131e-01,4.945387616137669751e-01
4.000800160032006447e-01,6.740420948108390986e-01,8.109859367522910256e-01,1.694500203790307580e-01,4.968174266736958833e-01,4.845439061312501461e-01
4.100820164032806803e-01,6.790281789856411621e-01,8.065695226180796817e-01,1.730057777677504460e-01,5.002026022111999426e-01,4.933703355933943269e-01
