t,V,m,n,dV_dt,dV_dt_noisy
0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,1.345885436640795874e+01,1.352797120482091664e+01
2.000400080016003293e-02,2.693333809484686481e-01,9.987994851503166904e-01,2.410607268927475173e-04,1.346921921164096148e+01,1.363354284034119246e+01
4.000800160032006586e-02,5.388813975219419738e-01,9.975821814475279714e-01,4.874099636537630774e-04,1.348031204049405218e+01,1.354639945573072879e+01
6.001200240048010226e-02,8.086585190786714783e-01,9.963476426397311903e-01,7.391602983036326541e-04,1.349212331433228051e+01,1.323149186801140864e+01
8.001600320064013172e-02,1.078679009924212506e+00,9.950954165161094434e-01,9.964261846177042796e-04,1.350464249607709455e+01,1.368571366941171874e+01
1.000200040008001612e-01,1.348956814685335015e+00,9.938250456204524852e-01,1.259323840931730843e-03,1.351785799486045647e+01,1.360713290933325936e+01
1.200240048009602045e-01,1.619505749685175910e+00,9.925360659282417286e-01,1.527971452192750188e-03,1.353175712158467547e+01,1.342436647451261855e+01
1.400280056011202201e-01,1.890339522911079762e+00,9.912280066118179800e-01,1.802489201560963884e-03,1.354632603802444635e+01,1.366254965886371764e+01
1.600320064012802634e-01,2.161471452201970678e+00,9.899003918188333806e-01,2.082999009981871541e-03,1.356154969000929711e+01,1.363446416924651139e+01
1.800360072014403068e-01,2.432914464019305001e+00,9.885527406800493910e-01,2.369624535053810582e-03,1.357741175065899064e+01,1.363623824999009670e+01
2.000400080016003224e-01,2.704681093447069085e+00,9.871845673093369022e-01,2.662491171027958625e-03,1.359389456301232535e+01,1.359957901127548396e+01
2.200440088017603657e-01,2.976783484191782847e+00,9.857953808036761245e-01,2.961726048808333272e-03,1.361097908212607699e+01,1.372032167944856695e+01
2.400480096019204090e-01,3.249233388582497106e+00,9.843846852431563654e-01,3.267458035951790150e-03,1.362864481678408524e+01,1.348135399938375123e+01
2.600520104020804246e-01,3.522042167570793580e+00,9.829519796909762519e-01,3.579817736668023352e-03,1.364686977096986098e+01,1.361428778137125128e+01
2.800560112022404402e-01,3.795220790730787108e+00,9.814967581934438412e-01,3.898937491819569334e-03,1.366563038526961726e+01,1.356920652273362116e+01
3.000600120024005113e-01,4.068779836259123428e+00,9.800185097799763989e-01,4.224951378921802149e-03,1.368490147838658366e+01,1.380467072091351000e+01
3.200640128025605269e-01,4.342729309037162366e+00,9.785167202709968981e-01,4.557994871912717481e-03,1.370465617980671524e+01,1.371260060130304659e+01
3.400680136027205425e-01,4.617078352698971599e+00,9.769908741803752239e-01,4.898204508519481484e-03,1.372486585068895160e+01,1.366637450049593383e+01
3.600720144028806136e-01,4.891836029110939066e+00,9.754404468397002148e-01,5.245719374603735434e-03,1.374550006410635561e+01,1.358911837163498681e+01
3.800760152030406291e-01,5.167010660481063056e+00,9.738649120201982035e-01,5.600679640201537517e-03,1.376652652139619448e+01,1.371508807327242074e+01
4.000800160032006447e-01,5.442609773401487772e+00,9.722637425324276439e-01,5.963226445488302788e-03,1.378791099288509514e+01,1.378953942898876406e+01
4.200840168033607158e-01,5.718640098848506881e+00,9.706364102262794447e-01,6.333501900778800570e-03,1.380961726335889139e+01,1.375449668229901690e+01
4.400880176035207314e-01,5.995107572182552857e+00,9.689823859909768577e-01,6.711649086527150983e-03,1.383160708013988582e+01,1.409041984301952688e+01
4.600920184036807470e-01,6.272017333148209417e+00,9.673011397550752566e-01,7.097812053326832751e-03,1.385384010415017464e+01,1.405518496721133381e+01
4.800960192038408181e-01,6.549373725874202634e+00,9.655921404864624691e-01,7.492135821910675397e-03,1.387627386435475962e+01,1.333404136856156619e+01
5.001000200040007782e-01,6.827180298873402720e+00,9.638548561923587776e-01,7.894766383150860975e-03,1.389886371599158643e+01,1.352106106679805109e+01
5.201040208041608492e-01,7.105439805042831125e+00,9.620887539193163640e-01,8.305850698058933612e-03,1.392156280300774185e+01,1.388660838459670899e+01
5.401080216043209203e-01,7.384154193931838250e+00,9.602932998862664382e-01,8.725536670155921090e-03,1.394432202502922813e+01,1.385988394271395663e+01
5.601120224044808804e-01,7.663323964440245994e+00,9.584679698361855404e-01,9.153971002002027346e-03,1.396708999630645032e+01,1.400981859580617339e+01
5.801160232046409515e-01,7.942948765282105583e+00,9.566122369872420705e-01,9.591301710557179061e-03,1.398981302140509797e+01,1.403327740760961007e+01
6.001200240048010226e-01,8.223027360312324063e+00,9.547255745988384446e-01,1.003767757783842821e-02,1.401243509187231240e+01,1.443600284288252134e+01
6.201240248049609827e-01,8.503557212976224022e+00,9.528074636009146170e-01,1.049324656263535098e-02,1.403489787738261363e+01,1.381249372484415794e+01
6.401280256051210538e-01,8.784534486309548029e+00,9.508573925939479698e-01,1.095815580051005128e-02,1.405714072790669000e+01,1.398161972648128959e+01
6.601320264052811249e-01,9.065954042938447088e+00,9.488748578489539787e-01,1.143255160379714856e-02,1.407910068473959697e+01,1.448765500623806268e+01
6.801360272054410849e-01,9.347809445079493074e+00,9.468593633074852134e-01,1.191657946160378477e-02,1.410071250090758177e+01,1.423005310014795199e+01
7.001400280056011560e-01,9.630092954539673400e+00,9.448104205816322265e-01,1.241038403980962782e-02,1.412190867145326578e+01,1.425452134592851827e+01
7.201440288057612271e-01,9.912795532716383917e+00,9.427275489540229980e-01,1.291410918106686290e-02,1.414261947407371522e+01,1.403981819973622258e+01
7.401480296059211872e-01,1.019590684059744490e+01,9.406102753778232684e-01,1.342789790480019771e-02,1.416277302055526555e+01,1.383315798638413519e+01
7.601520304060812583e-01,1.047941522652808288e+01,9.384581348656955146e-01,1.395189232194221640e-02,1.418229532088667710e+01,1.421578826973122567e+01
7.801560312062413294e-01,1.076330719410744230e+01,9.362706854556089864e-01,1.448623036110643567e-02,1.420111040893707610e+01,1.422291322650138490e+01
8.001600320064012895e-01,1.104756780561021046e+01,9.340474918249258574e-01,1.503104937207541507e-02,1.421914035971889412e+01,1.397366994886997915e+01
8.201640328065613605e-01,1.133218065983406220e+01,9.317881305422966998e-01,1.558648495715210178e-02,1.423630542955528711e+01,1.409966009719917501e+01
8.401680336067214316e-01,1.161712765932628955e+01,9.294921984029466122e-01,1.615266914053959876e-02,1.425252421300460703e+01,1.423811547705916070e+01
8.601720344068813917e-01,1.190238901038380526e+01,9.271593124286746646e-01,1.672973036834118216e-02,1.426771377956496778e+01,1.407876345495281178e+01
8.801760352070414628e-01,1.218794322305314104e+01,9.247891098678545641e-01,1.731779350856031685e-02,1.428178982441682621e+01,1.426213583084638259e+01
9.001800360072015339e-01,1.247376711113044401e+01,9.223812481954343223e-01,1.791697985110062008e-02,1.429466683318305975e+01,1.431376343867695056e+01
9.201840368073614940e-01,1.275983579216148200e+01,9.199354051129365883e-01,1.852740710776588917e-02,1.430625826058782302e+01,1.431337550799892000e+01
9.401880376075215651e-01,1.304612268744164361e+01,9.174512785484578714e-01,1.914918941226010501e-02,1.431647672279164851e+01,1.421521839112878638e+01
9.601920384076816362e-01,1.333259952201593279e+01,9.149285866566696512e-01,1.978243732018740084e-02,1.432523420307173367e+01,1.444398381742889903e+01
9.801960392078415962e-01,1.361923631115238109e+01,9.123670739664304641e-01,2.042725636930674965e-02,1.433244232659562734e+01,1.451067571745209328e+01
1.000200040008001556e+00,1.390600114225474826e+01,9.097665198898315930e-01,2.108374513575755199e-02,1.433801265371763911e+01,1.440218231463095222e+01
1.020204040808161627e+00,1.419286023801905650e+01,9.071267210983664508e-01,2.175199935260762815e-02,1.434185677307711160e+01,1.417821072759904943e+01
1.040208041608321698e+00,1.447977812831356914e+01,9.044475063673629300e-01,2.243210838132717044e-02,1.434388671912571311e+01,1.449021717588280111e+01
1.060212042408481770e+00,1.476671765353513166e+01,9.017287374033191583e-01,2.312415501672876461e-02,1.434401525320430260e+01,1.424372724951089175e+01
1.080216043208641841e+00,1.505363996460916631e+01,8.989703088439034984e-01,2.382821548696736902e-02,1.434215614544045359e+01,1.451798826909805129e+01
1.100220044008801912e+00,1.534050452298967748e+01,8.961721482579549924e-01,2.454435945354033893e-02,1.433822446430587760e+01,1.412386698093038895e+01
1.120224044808961761e+00,1.562726910065924457e+01,8.933342161454826957e-01,2.527265001128740224e-02,1.433213687254388269e+01,1.451503031316963899e+01
1.140228045609121832e+00,1.591388978012903266e+01,8.904565059376663427e-01,2.601314368839068719e-02,1.432381192807883252e+01,1.431979923715573655e+01
1.160232046409281903e+00,1.620032095443878362e+01,8.875390439968556811e-01,2.676589044637469120e-02,1.431317038842966838e+01,1.406342061036278501e+01
1.180236047209441974e+00,1.648651540325642628e+01,8.845818903487447926e-01,2.753093346206449132e-02,1.430013553016406469e+01,1.423735563577069563e+01
1.200240048009602045e+00,1.677242488928062869e+01,8.815851484285662787e-01,2.830830643866516505e-02,1.428463359801258292e+01,1.429545405376689082e+01
1.220244048809762116e+00,1.705799898215170884e+01,8.785489577806099293e-01,2.909803599116952272e-02,1.426659395022772792e+01,1.432115221806061811e+01
1.240248049609921965e+00,1.734318592969125561e+01,8.754734952130028836e-01,2.990014091471469154e-02,1.424594943342338205e+01,1.404951180843518621e+01
1.260252050410082036e+00,1.762793293509486148e+01,8.723589765863167811e-01,3.071463160496092429e-02,1.422263670360562493e+01,1.400116209417258695e+01
1.280256051210242108e+00,1.791218615693207994e+01,8.692056568135686501e-01,3.154151005809151948e-02,1.419659649920686739e+01,1.423651340577628410e+01
1.300260052010402179e+00,1.819589070914646456e+01,8.660138298602207962e-01,3.238076987081288383e-02,1.416777390394379843e+01,1.407442398056783794e+01
1.320264052810562250e+00,1.847899066105555477e+01,8.627838287441800258e-01,3.323239624035451145e-02,1.413611859795423698e+01,1.418321972030028277e+01
1.340268053610722099e+00,1.876142903735086165e+01,8.595160255357986445e-01,3.409636596446895263e-02,1.410158509573170527e+01,1.425348900022738086e+01
1.360272054410882170e+00,1.904314781809789991e+01,8.562108313578735697e-01,3.497264744143189358e-02,1.406413296945519775e+01,1.373437549618500775e+01
1.380276055211042241e+00,1.932408793873615593e+01,8.528686963856473291e-01,3.586120067004207324e-02,1.402372705640391004e+01,1.407460467970743423e+01
1.400280056011202312e+00,1.960418985291300231e+01,8.494901073998770702e-01,3.676197741290271326e-02,1.398033761848499879e+01,1.422526701199214472e+01
