Vb,g,T,S0,Td,Td_noisy
3.315018935851411719e+00,1.374669591665620416e-01,3.144251784876288625e+01,4.374209632141742965e+00,2.417697160110430943e+01,2.419425081070754757e+01
5.727550329792643780e+00,7.600190816116491055e-01,2.062603079441751674e+01,2.477917572182477546e+00,5.125639306886780489e+00,5.166720214061838234e+00
1.292877869957985482e+00,1.808814806163651090e-01,2.290591122297315962e+01,3.898956432496758051e+00,1.399942134323763909e+01,1.401594319704680913e+01
5.717571959254841296e+00,1.979756485665938037e-01,3.648740906687620367e+01,2.529819989797350122e+00,1.534848907303257981e+01,1.528333121145236184e+01
2.215072986057669890e+00,6.734525135556178599e-01,2.676153251953560641e+01,3.033837599759366399e-01,4.153290237158222986e+00,4.198558030491878590e+00
2.828295469349165980e+00,8.613842061065030142e-01,3.369745385063220056e+01,4.661594205708285976e+00,5.368717537570322662e+00,5.391036266188523385e+00
5.052364266012429717e+00,3.320813506249191693e-01,2.674713506187089251e+01,3.791570456686336854e+00,1.109829412466038079e+01,1.107144646289236611e+01
2.750595250030387184e+00,5.555719927689175552e-01,2.151048962124571418e+01,1.721460126827047521e+00,5.424548964048144128e+00,5.453604869257961951e+00
3.522765282201827386e+00,7.900057463472396346e-01,2.332191256093725329e+01,4.679605212793799041e+00,5.561940524115622786e+00,5.580169143924926800e+00
6.515751228368760195e-01,2.665277967333079534e-01,2.053961643454329788e+01,2.254590114245166532e+00,9.575787665647597535e+00,9.590494290480373607e+00
4.644322097711436115e+00,4.710650551503426930e-01,2.769514358705967538e+01,5.962119254752777930e-01,5.857062002844538817e+00,5.858483114910328915e+00
3.459788222706030147e+00,6.336178560061791476e-01,2.392286247108913955e+01,3.735169647216407540e-01,4.204099001084376397e+00,4.231434650414998444e+00
2.313524440745006849e+00,8.086554071876406180e-01,3.573724128614548334e+01,1.724973959718027583e+00,4.514916355883732635e+00,4.478093651533649577e+00
4.836357868856223874e+00,6.160878313860753686e-01,2.106883261496836113e+01,1.936771942982679739e+00,5.535537967456580333e+00,5.527392470056927465e+00
2.167571561104047362e+00,2.315030190978289160e-01,3.430170069978095881e+01,2.495754341544862864e+00,1.252307900402596808e+01,1.249897303839196994e+01
2.994238392143583116e+00,8.474213344319508900e-01,3.342855939625927419e+01,4.512088557140643275e-01,3.885164389376824623e+00,3.915106700008556206e+00
1.237229334859406116e+00,8.299913911613514550e-01,2.982956677622813402e+01,3.499125362470363765e+00,4.655525446702405645e+00,4.657511552076488925e+00
2.717121425459210649e+00,7.506326213285309246e-01,2.944099721628385424e+01,2.691515499383397625e+00,5.337867250037085398e+00,5.323244412488831401e+00
1.619003823718822899e+00,7.596976583951757789e-01,2.362108680567999031e+01,3.348118832780060394e+00,4.715599157605752545e+00,4.676503734487910791e+00
1.942723372430172235e+00,5.101808525522230076e-01,2.658554865310973980e+01,7.968993930626891986e-01,5.417122847616253623e+00,5.404263235585309744e+00
4.627005699465288835e+00,6.852129353559254232e-01,3.554750942216789866e+01,2.160386771232574166e+00,5.770048636192483649e+00,5.770455745218400878e+00
2.042248168923219698e+00,9.988602129264984031e-01,2.386934880926701297e+01,1.708221394623076872e+00,3.662327046758080407e+00,3.648546901493111783e+00
3.168550359373992986e+00,9.773813048219279764e-01,3.248744306021953321e+01,2.874876841151869922e+00,4.621099885478208158e+00,4.685803076198118866e+00
5.894054598906812714e+00,2.678035632257775300e-01,3.493604644355701083e+01,4.163218331974593234e+00,1.384394866843627092e+01,1.389428488420156071e+01
5.789114565150827119e+00,6.736695276597409743e-01,3.860196473554978525e+01,1.418234533059395952e+00,5.274657075858925737e+00,5.139098951910627378e+00
4.486344674254435283e+00,8.807834071086076966e-01,2.097066957965709832e+01,1.084479482813587969e+00,3.909169826183128027e+00,3.814719163884744191e+00
3.476747705510888409e+00,1.541182263447881395e-01,3.080099371395798258e+01,2.165553534060129515e+00,1.837516990159718588e+01,1.836643129699442767e+01
2.022901622249539511e+00,6.174462155181642542e-01,2.190664923289671862e+01,2.076296007320983961e+00,5.027107314095093926e+00,5.005997793516276495e+00
1.383586048263197643e+00,2.039428621286600574e-01,3.773031320478840200e+01,4.819542412776758766e+00,1.414073812513674611e+01,1.415142027501167732e+01
5.834589772688729248e+00,2.652089101776088365e-01,3.906665046961040844e+01,1.157859048724515949e+00,9.469061875775494741e+00,9.479927972326622765e+00
3.338377220513332855e+00,4.232766255241866560e-01,2.111780886914595357e+01,1.057155786457510294e+00,5.992571959307259277e+00,6.098463897059811956e+00
1.137260868589236695e+00,6.010022970927308972e-01,2.198447562542440181e+01,9.463930974469970669e-01,4.682097619363334573e+00,4.626496581228720650e+00
3.929193655456252099e+00,5.873154662472354071e-01,2.915318208784579923e+01,4.847268652661241184e+00,7.508076174016629523e+00,7.489195923660279419e+00
4.771757128882638810e+00,5.535870262916006146e-01,3.549863757971138511e+01,4.275958761435752820e+00,7.727012017663168919e+00,7.829150598037785791e+00
