t,C,S,R,dC_dt,dC_dt_noisy
0.000000000000000000e+00,1.000000000000000056e-01,3.000000000000000000e+00,1.000000000000000000e+00,2.246951728967449657e+00,2.253863412808745359e+00
2.000400080016003293e-02,1.699313383002454547e-01,2.928033547417667748e+00,9.987170684758212014e-01,5.223128214046581341e+00,5.239560576916604262e+00
4.000800160032006586e-02,3.292629999782362149e-01,2.763636351462871676e+00,9.949827801061401633e-01,1.087026171075533654e+01,1.087687045227900384e+01
6.001200240048010226e-02,5.845852216276248292e-01,2.498696454204439643e+00,9.862519589548007781e-01,1.384204886567901127e+01,1.381598572104692479e+01
8.001600320064013172e-02,8.594417119782289394e-01,2.211730377342387310e+00,9.732522284422188141e-01,1.331350270046071849e+01,1.333160981779418108e+01
1.000200040008001612e-01,1.110773408753167546e+00,1.947697431200946960e+00,9.581890862810124032e-01,1.175341919819062930e+01,1.176234668963791030e+01
1.200240048009602045e-01,1.329049429818093264e+00,1.716748890319451437e+00,9.423013486740127176e-01,1.008125575909976490e+01,1.007051669439255903e+01
1.400280056011202201e-01,1.515036117698005835e+00,1.518262035579952318e+00,9.261444534852862898e-01,8.543543171600415320e+00,8.555165533684341739e+00
1.600320064012802634e-01,1.672138192366711129e+00,1.348842916039881823e+00,9.099746987301631229e-01,7.195975042449763492e+00,7.203266490373485098e+00
1.800360072014403068e-01,1.804195577329119171e+00,1.204628853076001427e+00,8.939165385549741050e-01,6.037317147190924160e+00,6.043199797124034767e+00
2.000400080016003224e-01,1.914817309732387285e+00,1.081982818757478926e+00,8.780323219863768180e-01,5.049241724549738741e+00,5.049810169376054425e+00
2.200440088017603657e-01,2.007194626392553083e+00,9.776881400375887488e-01,8.623536178286779208e-01,4.209517246983669914e+00,4.220451506715918732e+00
2.400480096019204090e-01,2.084076783237861275e+00,8.889743270816945486e-01,8.468964297048171552e-01,3.496610348900575094e+00,3.481881267160541693e+00
2.600520104020804246e-01,2.147803292560904076e+00,8.134846558965057595e-01,8.316689491756377173e-01,2.891210902911126368e+00,2.887952703951265132e+00
2.800560112022404402e-01,2.200353070937151045e+00,7.492263816858575343e-01,8.166755554088502844e-01,2.376584383380972554e+00,2.366941997127372854e+00
3.000600120024005113e-01,2.243395395008044968e+00,6.945191159219930022e-01,8.019188317496823704e-01,1.938472825408241507e+00,1.950449749660934096e+00
3.200640128025605269e-01,2.278336986607463643e+00,6.479471672510299651e-01,7.874005204356664400e-01,1.564835676146831167e+00,1.565630118296464257e+00
3.400680136027205425e-01,2.306363407918622599e+00,6.083176849987772528e-01,7.731219247234341063e-01,1.245551793154387354e+00,1.239702658135085622e+00
3.600720144028806136e-01,2.328474542635108779e+00,5.746248174273463905e-01,7.590840421624108769e-01,9.721324589341570066e-01,9.564942896870202160e-01
3.800760152030406291e-01,2.345514618195704060e+00,5.460194105055046210e-01,7.452875828098485256e-01,7.374639065492651913e-01,7.323200617368877952e-01
4.000800160032006447e-01,2.358197422156820267e+00,5.217835761575726483e-01,7.317329504528772288e-01,5.355842682979592428e-01,5.357471119083261346e-01
4.200840168033607158e-01,2.367127395496879672e+00,5.013094323508938688e-01,7.184202224223550370e-01,3.614939753942072453e-01,3.559819172882198179e-01
4.400880176035207314e-01,2.372817240820594087e+00,4.840813654311852399e-01,7.053491410450133392e-01,2.109963136774936632e-01,2.368775899654578243e-01
4.600920184036807470e-01,2.375702609515822239e+00,4.696612417858082589e-01,6.925191188819952437e-01,8.056416598350094049e-02,1.006986522896168301e-01
4.800960192038408181e-01,2.376154352249209456e+00,4.576760777592066565e-01,6.799292553995462951e-01,-3.277096875250566643e-02,-8.699421833182503783e-02
5.001000200040007782e-01,2.374488742100014704e+00,4.478077534916080626e-01,6.675783614506085595e-01,-1.315112306905047435e-01,-1.692914956098582058e-01
5.201040208041608492e-01,2.370976013142435779e+00,4.397844240851445097e-01,6.554649881353392660e-01,-2.177690261411955597e-01,-2.212644679822987903e-01
