N,mu,t_dwell,T,F_max,F_max_noisy
5.167034084532541272e+01,2.249779727777080351e-01,1.943137663691904038e+02,3.808431520043391174e+02,3.338773202468118484e+01,3.349140728230062081e+01
9.509590593626759869e+01,6.400127210744328554e-01,1.334154602886788554e+00,3.227933950668105467e+02,7.880872691039856193e+01,7.905521235344890840e+01
1.527180165924374045e+01,2.539209870775767652e-01,3.812257650062841119e+00,3.662945846682681008e+02,1.484729876107106783e+01,1.494642988392608451e+01
9.491629526658714155e+01,2.653170990443958766e-01,1.983726584064656436e+03,3.243822445856331456e+02,5.389334590598976860e+01,5.350239873650846079e+01
3.187131374903805892e+01,5.823016757037453583e-01,2.250642439351326374e+01,2.562260334686511101e+02,3.650741263558170147e+01,3.677901939558363864e+01
4.290931844828499209e+01,7.075894707376688686e-01,5.488968900139058178e+02,3.896406389502536740e+02,5.673034613950582639e+01,5.686425851121502717e+01
8.294255678822374023e+01,3.547209004166127500e-01,2.235769423247625554e+01,3.630072588781531522e+02,5.189159907245644376e+01,5.173051310184835927e+01
4.151071450054696754e+01,5.037146618459450442e-01,2.004924044503935132e+00,2.996365344947055291e+02,3.840373324808625455e+01,3.857806867934515793e+01
5.540977507963288673e+01,6.600038308981599489e-01,4.617240667784756170e+00,3.901919963100142468e+02,5.625588107103853730e+01,5.636525278989436316e+01
3.728352211063768351e+00,3.110185311555386800e-01,1.282104093811173851e+00,3.159568402319948746e+02,4.603795263887104916e+00,4.692035012883763123e+00
7.559779775880585362e+01,4.473767034335618398e-01,3.459622535763195117e+01,2.651901609839370622e+02,5.692320112006188282e+01,5.693172779245661985e+01
5.427618800870854443e+01,5.557452373374528465e-01,6.089371835728104365e+00,2.583729683078053085e+02,4.966815500235730951e+01,4.983216889834104535e+01
3.364343993341012151e+01,6.724369381250938638e-01,1.404262366797302548e+03,2.997441008076947355e+02,4.674667019261747214e+01,4.652573396651697379e+01
7.905444163941203328e+01,5.440585542573836975e-01,1.635936804251601151e+00,3.062277125402861202e+02,6.166930282593467894e+01,6.162042984153676173e+01
3.101628809987285251e+01,2.876686793985526180e-01,7.250035614269396547e+02,3.233394186187202877e+02,2.814577332748353200e+01,2.800113753367953962e+01
4.589629105858450231e+01,6.982808896213006378e-01,4.849666556041474905e+02,2.607512915014509645e+02,5.841018087064753672e+01,5.858983473443792178e+01
1.427012802746931008e+01,6.866609274409010144e-01,9.245137086554528594e+01,3.540548580348070118e+02,2.222640053082030676e+01,2.223831716306480288e+01
4.090818565826579345e+01,6.337550808856873275e-01,7.730355086086630934e+01,3.293321071239815865e+02,4.790090665922120650e+01,4.781316963393167896e+01
2.114206882693881084e+01,6.397984389301172303e-01,5.299286028284613259e+00,3.494322091667365271e+02,2.734600862111160779e+01,2.711143608240455549e+01
2.696902070374310156e+01,4.734539017014819939e-01,2.075437839835567644e+01,2.713336548896741647e+02,2.909313419462586126e+01,2.901597652244020153e+01
7.528610259037520791e+01,5.901419569039503266e-01,1.286772836413257437e+03,3.130730644254869617e+02,7.745664347600677502e+01,7.745908613016227662e+01
2.876046704061795367e+01,7.992401419509989058e-01,5.941139663791824788e+00,2.992312671823390815e+02,3.929750117087911576e+01,3.921482029928930757e+01
4.903390646873187109e+01,7.849208698812855101e-01,3.144043976880659557e+02,3.349452094230164221e+02,6.602179884410514887e+01,6.641001798842461312e+01
9.809298278032262886e+01,3.118690421505183608e-01,9.709777736263642964e+02,3.743842346522834532e+02,5.976989964975176406e+01,6.007191694434349927e+01
9.620406217271488458e+01,5.824463517731607309e-01,5.252825178560000495e+03,2.903541183589611023e+02,9.630320281260750903e+01,9.548985406891772243e+01
7.275420413657982976e+01,7.205222714057384348e-01,1.563629717957031096e+00,2.801371270249057375e+02,7.065183887122483952e+01,7.008513489743454272e+01
5.458145869919598425e+01,2.360788175631921004e-01,1.446101387431966430e+02,3.132312306344937269e+02,3.472955758332047083e+01,3.467712595570392153e+01
2.841222920049171208e+01,5.449641436787762139e-01,2.406189606754390198e+00,3.104988573669688776e+02,3.090507018464039390e+01,3.077841306116748754e+01
1.690454886873756024e+01,2.692952414191067123e-01,3.516111519047062757e+03,3.944757881462272735e+02,1.862936970564935280e+01,1.869346260489893652e+01
9.702261590839712824e+01,3.101392734517392502e-01,6.506240218298300533e+03,2.823834402670769919e+02,6.208759444908336178e+01,6.215279102839013348e+01
5.209078996923999227e+01,4.155177503494578151e-01,1.673253622228390913e+00,2.793006873405360011e+02,3.992098376318890018e+01,4.055633538970421625e+01
1.247069563460626185e+01,5.340015313951540499e-01,2.493992396415640744e+00,2.759099927789897038e+02,1.615921020557115639e+01,1.582560397676347286e+01
6.272548579821253867e+01,5.248769774981569824e-01,6.770744374449722613e+01,3.953245505916706861e+02,5.735388547599955444e+01,5.724060397386145382e+01
7.789162831988750213e+01,5.023913508610671208e-01,1.258135787408901251e+03,3.778354722888495871e+02,7.097483758628958128e+01,7.158766906853728074e+01
6.168732680425100767e+01,7.743561878112332764e-01,2.911476346082306463e+02,2.678976850083960244e+02,7.725029535518486057e+01,7.744430625404541502e+01
9.181247277429936560e+01,5.056046557662926544e-01,2.122663743699253303e+01,3.976035235629184967e+02,7.015417939235405242e+01,7.035309840406692672e+01
4.919694789756082542e+00,6.398576825082189501e-01,2.439858438512133318e+02,3.524670331160260730e+02,8.514525119183828039e+00,8.360323207677589963e+00
5.333033706274214580e+01,4.005798623534289060e-01,1.555427019779534021e+03,3.683104535715359020e+02,4.771775690347224952e+01,4.722333435221555220e+01
4.647425240565496551e+01,6.466002031248210269e-01,4.852828144988420718e+03,3.604988184023067106e+02,6.032795999715062152e+01,6.037819942041744525e+01
7.172608335837684201e+00,6.487343740364007738e-01,3.575172955756473758e+00,3.751081504831096254e+02,1.096654367195656832e+01,1.099924789830303240e+01
6.449148874479811866e+01,6.017392243108503624e-01,2.355492174514064118e+03,3.534396135347972177e+02,7.156570010426148087e+01,7.119749448798810931e+01
8.541065100958502398e+01,6.525774493992617664e-01,3.905182603724753676e+02,3.158371757150684971e+02,8.829404419608097498e+01,8.808907619754680240e+01
5.970116079232411721e+01,5.434140175302911713e-01,1.397061183975065717e+02,3.088266862732383515e+02,5.773118148672311634e+01,5.770956838280494594e+01
2.674964732598509798e+01,7.133837451536302332e-01,5.795726211945344630e+01,3.229600061071788559e+02,3.712187539065249098e+01,3.683844990373425787e+01
8.414827058210947541e+01,6.995203608479438895e-01,1.104633071522233365e+02,3.373564874912637492e+02,8.823447154631980993e+01,8.820499055596414451e+01
5.144009227062942813e+01,2.578338643394735841e-01,6.837543226383535000e+01,3.119400000721728361e+02,3.430197079395216520e+01,3.433061570219300052e+01
5.157799956218676840e+01,4.690134724136856836e-01,4.816846313262991544e+02,2.545267155557368994e+02,4.921584449979249598e+01,4.922652037090914234e+01
7.554999056251560319e+01,2.724032386393099303e-01,4.447599036283218993e+03,2.731961075492695272e+02,4.860689014597409852e+01,4.845500264847980532e+01
1.564428154271069893e+01,7.703234235750242576e-01,8.861945420069394785e+00,3.179412956022272283e+02,2.389927595301864471e+01,2.407740037455439008e+01
8.214304519280841532e+01,4.609347177674232854e-01,1.019195576923746849e+00,3.695280957472370460e+02,5.637473420330573504e+01,5.664208428959043573e+01
6.864540369432245370e+01,3.320469908604700704e-01,1.267745823647004499e+00,3.079574810901416981e+02,4.163196656277305863e+01,4.172822105414302740e+01
7.892259721392530025e+01,7.025771250335408613e-01,4.433906240848205016e+03,3.795743092716431875e+02,9.552827097005618384e+01,9.528280190183909326e+01
1.997000964299338932e+01,2.523296957577373933e-01,5.191953544575163505e+03,3.875899050572667193e+02,2.075429464650101608e+01,2.097379033163664985e+01
