t,x,v,z,dv_dt,dv_dt_noisy
0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-2.500000000000000000e+00,-2.496544158079351927e+00
4.000800160032006413e-03,9.999800139714430935e-01,-9.985498939309224789e-03,1.995939453326805484e-05,-2.491727782164682381e+00,-2.483511600729670921e+00
8.001600320064012825e-03,9.999201444870565725e-01,-1.993763318599776208e-02,7.964283163603310377e-05,-2.483323469120498395e+00,-2.480019098358664742e+00
1.200240048009601837e-02,9.998205261494325091e-01,-2.985590212546617925e-02,1.787573640918094730e-04,-2.474800365864887830e+00,-2.487831938180931513e+00
1.600320064012802565e-02,9.996812953359407450e-01,-3.973985619001819958e-02,3.170094442384931458e-04,-2.466171328259560092e+00,-2.457117769592828793e+00
2.000400080016003293e-02,9.995025900541033570e-01,-4.958909529244290293e-02,4.941050721700961795e-04,-2.457448680834357635e+00,-2.452984935110717579e+00
2.400480096019203674e-02,9.992845499382969621e-01,-5.940326877376801012e-02,7.097497990309658200e-04,-2.448644143403854390e+00,-2.454013675757457325e+00
2.800560112022404402e-02,9.990273159430899108e-01,-6.918207141151100359e-02,9.636490330737372328e-04,-2.439768770747811288e+00,-2.433957589705847635e+00
3.200640128025605130e-02,9.987310301573132376e-01,-7.892524214910855151e-02,1.255508224831453599e-03,-2.430832901187913286e+00,-2.427187177226052484e+00
3.600720144028805858e-02,9.983958355787988515e-01,-8.863255814874383687e-02,1.585033093311010409e-03,-2.421846120382952883e+00,-2.418904795416397580e+00
4.000800160032006586e-02,9.980218759678692875e-01,-9.830383193775907302e-02,1.951929772621083248e-03,-2.412817233622074564e+00,-2.412533011208916722e+00
4.400880176035207314e-02,9.976092958472736472e-01,-1.079389114067856592e-01,2.355904812035012827e-03,-2.403754246836939501e+00,-2.398287116970815092e+00
4.800960192038407348e-02,9.971582403157065455e-01,-1.175376752160179755e-01,2.796665357672455283e-03,-2.394664361365874683e+00,-2.402028902235891383e+00
