v0,theta,R,R_noisy
3.829168316717102982e+01,5.585624640873463331e-01,5.009321744716387315e+01,4.976732187085802650e+01
2.533982658443084546e+01,3.128936205053481356e-01,1.806814185178043886e+01,1.798078320561754850e+01
3.928731117123112426e+01,5.421891461184260574e-01,5.095567253891391601e+01,5.178753453460951306e+01
1.242508071686806659e+01,7.149273416503247880e-01,1.027359062865665962e+01,1.060316450357278661e+01
2.822067495985088925e+01,1.074397684355406168e+00,3.207560418692185067e+01,3.125490553962952589e+01
2.129459753131817479e+01,4.813795427567085228e-01,2.008850498382640737e+01,2.008590335174044128e+01
3.405703620957422117e+01,9.367954978423200796e-01,4.639374324054686127e+01,4.608201137005266190e+01
1.523583448432085419e+01,1.215896529465663400e+00,9.883044902267945631e+00,9.957360663893958019e+00
3.614905822562968751e+01,7.988029397423936917e-01,5.191127331716454307e+01,5.110717942507135092e+01
2.631824202290494696e+01,1.263698629478452240e+00,2.067459191518616279e+01,2.079547785362458967e+01
3.706645239147965043e+01,6.088032113818102609e-01,5.009333624928915185e+01,5.021102670865787587e+01
2.431460571517618874e+01,5.700120577574201430e-01,2.720686418801732742e+01,2.799467720373305824e+01
2.291488833188239482e+01,5.758079771072863728e-01,2.508973223552545306e+01,2.524805474376140424e+01
3.366840152632988747e+01,9.787075462105152557e-01,4.457301467826579255e+01,4.482828800911461542e+01
3.952458999793364569e+01,8.982598982682199473e-01,5.730784938324205768e+01,5.656129104075994007e+01
2.109177377957286126e+01,1.087536566355969070e+00,2.060826804246126187e+01,2.173463260482327541e+01
3.906798607948704216e+01,5.656696535973979589e-01,5.176438947529916135e+01,5.080656669632001154e+01
3.787079163296257889e+01,1.154279136371815673e+00,4.305822184149134557e+01,4.360912276940258891e+01
1.533077757285943221e+01,9.134903865431720504e-01,1.447581433654399419e+01,1.431086229960707001e+01
2.826554850533642593e+01,6.165666467495471981e-01,3.499130807147768252e+01,3.455098481251378217e+01
3.114594236694227547e+01,3.886752477552806728e-01,2.960591134394957180e+01,2.927776883848505562e+01
3.828411037387501636e+01,9.835629130421124078e-01,5.263480190273661208e+01,5.229879456240728075e+01
2.996972250897260182e+01,1.225218287206534251e+00,2.735979667302999019e+01,2.754989121915448536e+01
1.400187266355079352e+01,3.458674555658473593e-01,7.184137274275532725e+00,7.129107926636506498e+00
2.493602796356123363e+01,1.273921354836461628e+00,1.856807712205740302e+01,1.930936270357433315e+01
2.480859501868344807e+01,7.725836322603203410e-01,3.099355303637424086e+01,3.007875102465156658e+01
2.500678568046237515e+01,1.104660288309566862e+00,2.597036821126905082e+01,2.596882772893612668e+01
3.875746858327741506e+01,4.413334928326497208e-01,4.383731266771263080e+01,4.339128477355183833e+01
