t,omega,theta,domega_dt,domega_dt_noisy
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.984126984126984183e+01,1.991038667968279796e+01
8.001600320064012825e-04,1.586044486399427675e-02,6.347546481526406570e-06,1.980192096256490686e+01,1.996624459126513784e+01
1.600320064012802565e-03,3.168942561634190136e-02,2.537339572577690421e-05,1.976262530278327034e+01,1.982871271801994695e+01
2.400480096019203848e-03,4.748698485727306101e-02,5.705238756996878927e-05,1.972338290398099758e+01,1.946275145766012571e+01
3.200640128025605130e-03,6.325316522350427073e-02,1.013593973032180922e-04,1.968419380756366976e+01,1.986526498089829218e+01
4.000800160032006413e-03,7.898800938294855967e-02,1.582693344205238239e-04,1.964505805430055219e+01,1.973433296877335508e+01
4.800960192038407695e-03,9.469156003436210445e-02,2.277571424985168195e-04,1.960597568432655535e+01,1.949858503725449665e+01
5.601120224044808978e-03,1.103638599073442361e-01,3.097977991954598670e-04,1.956694673714333277e+01,1.968317035798260406e+01
6.401280256051210260e-03,1.260049517623375859e-01,4.043663162512475991e-04,1.952797125162036807e+01,1.960088573085758412e+01
7.201440288057611543e-03,1.416148783906277797e-01,5.114377394874065333e-04,1.948904926599603016e+01,1.954787576532713445e+01
8.001600320064012825e-03,1.571936826143438271e-01,6.309871488070945304e-04,1.945018081787867814e+01,1.945586526614183853e+01
8.801760352070413240e-03,1.727414072864577044e-01,7.629896581951019869e-04,1.941136594424774131e+01,1.952070854157022950e+01
9.601920384076815390e-03,1.882580952907847993e-01,9.074204157178513471e-04,1.937260468145479209e+01,1.922531386405445986e+01
1.040208041608321754e-02,2.037437895419834666e-01,1.064254603523395477e-03,1.933389706522462959e+01,1.930131507562601811e+01
1.120224044808961796e-02,2.191985329853832210e-01,1.233467437826983679e-03,1.929524313065679664e+01,1.919881926812080053e+01
1.200240048009601837e-02,2.346223685840107820e-01,1.415034168443513821e-03,1.925664291225912805e+01,1.937641215478605261e+01
1.280256051210242052e-02,2.500153393326151052e-01,1.608930081599780487e-03,1.921809644391382577e+01,1.922604086541015889e+01
