t,phi,omega,theta,domega_dt,domega_dt_noisy
0.000000000000000000e+00,2.500000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-6.458112907025795657e+00,-6.388996068612838641e+00
4.000800160032006413e-03,2.499948301056438282e+00,-2.584775063664607880e-02,1.992404421499339995e-02,-6.463295390896371728e+00,-6.298971762196139856e+00
8.001600320064012825e-03,2.499793147068035459e+00,-5.171768624690926269e-02,3.968847555510855718e-02,-6.469212415553992734e+00,-6.403125000317315241e+00
1.200240048009601837e-02,2.499534443179022070e+00,-7.761285687734048588e-02,5.929374121143667076e-02,-6.475919512222830576e+00,-6.736550958543702450e+00
1.600320064012802565e-02,2.499172081942720780e+00,-1.035365287069365398e-01,7.874028397909077492e-02,-6.483469256348588061e+00,-6.302398083013964758e+00
2.000400080016003293e-02,2.498705942569785954e+00,-1.294921750938873017e-01,9.802854225018914347e-02,-6.491911337219433697e+00,-6.402636422746631695e+00
2.400480096019203674e-02,2.498135889937992626e+00,-1.554834628496513937e-01,1.171589499404493695e-01,-6.501292629411505430e+00,-6.608683276483562352e+00
2.800560112022404402e-02,2.497461773548603770e+00,-1.815142345835584203e-01,1.361319362934443333e-01,-6.511657264394335343e+00,-6.395433643555064940e+00
3.200640128025605130e-02,2.496683427471957373e+00,-2.075885077879449370e-01,1.549479258705997731e-01,-6.523046688616560118e+00,-6.450132209379344950e+00
3.600720144028805858e-02,2.495800669472878486e+00,-2.337104613108208218e-01,1.736073384500105843e-01,-6.535499730187170009e+00,-6.476673230856064833e+00
4.000800160032006586e-02,2.494813300351272467e+00,-2.598844287430696065e-01,1.921105890791586224e-01,-6.549052660893851296e+00,-6.543368212630691794e+00
4.400880176035207314e-02,2.493721103086535162e+00,-2.861148793093645226e-01,2.104580877863746757e-01,-6.563739261545818771e+00,-6.454396664223329694e+00
4.800960192038407348e-02,2.492523842254020572e+00,-3.124064063967635363e-01,2.286502394312946440e-01,-6.579590882049958900e+00,-6.726881699450292018e+00
5.201040208041608076e-02,2.491221264025043514e+00,-3.387637275547098481e-01,2.466874437048597324e-01,-6.596636492283007414e+00,-6.629218481881617997e+00
5.601120224044808804e-02,2.489813095840841317e+00,-3.651916777663353209e-01,2.645700950535765927e-01,-6.614902736009464768e+00,-6.711326598545459987e+00
6.001200240048009532e-02,2.488299045238913543e+00,-3.916951899763465583e-01,2.822985825565598739e-01,-6.634413994230984102e+00,-6.514644751704058656e+00
6.401280256051210260e-02,2.486678800047545934e+00,-4.182792967067855971e-01,2.998732899100262639e-01,-6.655192429940183452e+00,-6.647248008443851219e+00
6.801360272054410294e-02,2.484952027495098470e+00,-4.449491048435260665e-01,3.172945950148495231e-01,-6.677258047999473867e+00,-6.735749398192491633e+00
7.201440288057611716e-02,2.483118374148957308e+00,-4.717097941658927041e-01,3.345628699559582420e-01,-6.700628740449408483e+00,-6.857010432920777276e+00
7.601520304060811750e-02,2.481177465915531233e+00,-4.985666173466605788e-01,3.516784810023354524e-01,-6.725320329407090014e+00,-6.776758777530863753e+00
8.001600320064013172e-02,2.479128907823619166e+00,-5.255248926738750326e-01,3.686417885054251720e-01,-6.751346612429168559e+00,-6.749718176325499641e+00
8.401680336067213206e-02,2.476972283168632938e+00,-5.525899825861912973e-01,3.854531466825431019e-01,-6.778719416289188615e+00,-6.833839997349063111e+00
8.801760352070414628e-02,2.474707153891302802e+00,-5.797673026979898170e-01,4.021129037121743410e-01,-6.807448630077195695e+00,-6.548635867197554639e+00
9.201840368073614662e-02,2.472333060090562196e+00,-6.070622941827046315e-01,4.186214012281028185e-01,-6.837542254998044022e+00,-6.636197391936884848e+00
9.601920384076814696e-02,2.469849519976432095e+00,-6.344804217983731620e-01,4.349789742875804777e-01,-6.869006441877367308e+00,-7.411238937670560745e+00
1.000200040008001612e-01,2.467256029870021461e+00,-6.620271738876354339e-01,4.511859513713270542e-01,-6.901845526237365469e+00,-7.279648175430899926e+00
1.040208041608321615e-01,2.464552064203005877e+00,-6.897080622148443751e-01,4.672426543808211874e-01,-6.936062061969515469e+00,-6.971016480380547442e+00
1.080216043208641757e-01,2.461737075346591030e+00,-7.175285988781597846e-01,4.831493982819751731e-01,-6.971656862380066322e+00,-7.056094944695336935e+00
1.120224044808961761e-01,2.458810493447062928e+00,-7.454943016531957456e-01,4.989064912459809653e-01,-7.008629031153891908e+00,-6.965900431654169722e+00
1.160232046409281903e-01,2.455771726712234315e+00,-7.736106817753175546e-01,5.145142343542719043e-01,-7.046975993544621453e+00,-7.003511607340108469e+00
1.200240048009601906e-01,2.452620161433364032e+00,-8.018832273832752211e-01,5.299729213019991336e-01,-7.086693530242444972e+00,-6.663125779232235146e+00
1.240248049609922049e-01,2.449355161985157459e+00,-8.303174035192043556e-01,5.452828383980321547e-01,-7.127775804878957899e+00,-7.350179957417414478e+00
1.280256051210242052e-01,2.445976070825766513e+00,-8.589186521286251708e-01,5.604442645649586607e-01,-7.170215390120289634e+00,-7.245736391545689159e+00
1.320264052810562194e-01,2.442482208497303464e+00,-8.876923920405610513e-01,5.754574713387577978e-01,-7.214003292357657138e+00,-6.805448970859191427e+00
1.360272054410882059e-01,2.438872874153072523e+00,-9.166439963707611049e-01,5.903227224992928512e-01,-7.259128978649061814e+00,-7.129788379408692478e+00
1.400280056011202201e-01,2.435147345344261804e+00,-9.457787968315067850e-01,6.050402741287560504e-01,-7.305580399401780944e+00,-7.172967724926528454e+00
1.440288057611522343e-01,2.431304878401765013e+00,-9.751020784848989376e-01,6.196103744918877165e-01,-7.353344008077016269e+00,-7.456145282414508912e+00
1.480296059211842485e-01,2.427344709036343584e+00,-1.004619058832613154e+00,6.340332636870827931e-01,-7.402404783760442086e+00,-7.732019817931572447e+00
1.520304060812162350e-01,2.423266052338624910e+00,-1.034334887815899329e+00,6.483091736463907351e-01,-7.452746250167958664e+00,-7.419253301323410099e+00
1.560312062412482492e-01,2.419068102779105445e+00,-1.064254647815582544e+00,6.624383281355156194e-01,-7.504350493309517312e+00,-7.482547675745207627e+00
1.600320064012802634e-01,2.414750034208148044e+00,-1.094383353652061297e+00,6.764209427538158126e-01,-7.557198177816250251e+00,-7.802668588665165217e+00
1.640328065613122499e-01,2.410311000156688976e+00,-1.124725947468743659e+00,6.902572248618781270e-01,-7.611268561528743426e+00,-7.747913893884855518e+00
1.680336067213442641e-01,2.405750135562299441e+00,-1.155287269607313760e+00,7.039473731054730621e-01,-7.666539506968722328e+00,-7.680948242914167778e+00
1.720344068813762783e-01,2.401066555123643642e+00,-1.186072088454737994e+00,7.174915777770917158e-01,-7.722987495822512649e+00,-7.911937820434667756e+00
1.760352070414082926e-01,2.396259355292875703e+00,-1.217085067718347124e+00,7.308900204286058466e-01,-7.780587637877255602e+00,-7.800241631447699220e+00
1.800360072014402790e-01,2.391327614649352284e+00,-1.248330760111671323e+00,7.441428737888642342e-01,-7.839313681823854907e+00,-7.820217076329964101e+00
