theta,g,rho_air,a,a_noisy
7.653681121103336205e-01,3.499559455554160259e+00,1.072125892438144268e+00,1.978486883520277795e+00,1.995766093123517049e+00
1.335602805223715883e+00,1.180025442148865444e+01,5.313015397208757928e-01,1.034725492023661886e+01,1.038833582741167660e+01
2.874074965355238320e-01,4.078419741551535083e+00,6.452955611486579368e-01,6.542824944528502495e-01,6.708043482620196230e-01
1.333244281278416876e+00,4.306341980887917309e+00,1.324370453343810095e+00,3.798476386003179606e+00,3.733318524422961637e+00
5.053808876136310912e-01,1.064603351407490450e+01,8.380766259767802318e-01,3.341193278346028528e+00,3.386461071679684576e+00
6.503243836643483045e-01,1.315178941475337382e+01,1.184872692531609761e+00,5.433776530406946748e+00,5.456095259025147470e+00
1.176013371966574184e+00,6.094418008332254999e+00,8.373567530935447367e-01,4.988182749571799413e+00,4.961335087803784738e+00
6.319588772799095144e-01,9.074293236918899552e+00,5.755244810622857088e-01,3.955939120164907230e+00,3.984995025374725053e+00
8.144717939749772651e-01,1.220007661796319631e+01,6.660956280468626201e-01,6.950109825240380346e+00,6.968338445049684360e+00
1.358268472159888662e-01,5.220370623110772712e+00,5.269808217271649831e-01,1.419630404820486635e-01,1.566696653148249574e-01
1.079567041277248451e+00,7.947534068671235019e+00,8.847571793529838136e-01,5.967401265620988049e+00,5.968822377686778147e+00
7.995863071850615178e-01,1.011490474674905471e+01,6.961431235544570661e-01,5.707482237420720139e+00,5.734817886751342186e+00
5.286512314488197584e-01,1.244873876250187550e+01,1.286862064307274345e+00,3.931018597692841787e+00,3.894195893342758286e+00
1.124957314456925594e+00,9.881171085147672173e+00,5.534416307484181230e-01,7.790434871256810112e+00,7.782289373857157244e+00
4.941532780791384472e-01,4.753373587971052139e+00,1.215085034989047852e+00,1.552371123075402926e+00,1.528265157441404121e+00
6.895472563248468134e-01,1.296561779242601098e+01,1.171427969812963932e+00,5.758604343002415860e+00,5.788546653634146999e+00
2.742542064213141506e-01,1.273321854881801940e+01,9.914783388114067897e-01,1.272569571438273872e+00,1.274555676812356930e+00
6.240468823812679311e-01,1.167510161771374655e+01,9.720498608141926455e-01,4.758302517098106144e+00,4.743679679549852146e+00
3.644918128789944589e-01,1.179596877860234372e+01,6.810543402839995819e-01,2.206366535189791200e+00,2.167271112071949002e+00
4.410073425744043263e-01,8.469078034029639213e+00,8.292774326554870346e-01,2.224839691163331246e+00,2.211980079132387811e+00
1.075474074419068282e+00,1.080283913807900475e+01,1.277375471108394889e+00,7.519428748983207456e+00,7.519835858009124685e+00
4.645313853818519023e-01,1.498480283901997723e+01,6.934674404633506262e-01,4.095006623432557724e+00,4.081226478167589100e+00
7.307482667611254756e-01,1.469841739762570754e+01,1.124372153010976483e+00,6.882558734474450546e+00,6.947261925194361254e+00
1.374958359741610181e+00,5.237380843010367215e+00,1.246802322177850364e+00,4.651580227734283035e+00,4.701916443499572829e+00
1.350154351762922644e+00,1.064892703546321329e+01,1.430098236777489262e+00,8.484393166627087979e+00,8.348835042678789620e+00
1.042226923005593608e+00,1.341044542811476958e+01,5.485334789828548718e-01,9.745030313652858212e+00,9.650579651354474819e+00
8.035949122116643473e-01,3.721576351263841786e+00,1.040049685697899129e+00,2.205223573261795522e+00,2.196484968659037307e+00
4.599585652589820439e-01,9.899282873575522501e+00,5.953324616448358864e-01,2.771790577842260461e+00,2.750681057263442586e+00
3.088476114076649237e-01,4.385904828382134468e+00,1.386515660239420189e+00,7.565826174672001248e-01,7.672647673421306713e-01
1.360903037180972275e+00,5.202785469034784782e+00,1.453332523480520777e+00,4.545354698078886813e+00,4.556220794630014836e+00
7.708891612122421577e-01,7.310355006989155413e+00,5.558904434572976561e-01,4.075248670835408760e+00,4.181140608587961438e+00
2.506252962120013583e-01,9.680030627903079221e+00,5.992237812712200018e-01,8.883355379684791941e-01,8.327344998338651605e-01
9.105366821987503911e-01,9.497539549963137873e+00,9.576591043922899615e-01,6.000145663433862353e+00,5.981265413077512250e+00
1.109688048644987379e+00,9.047827017221340640e+00,1.274931878985569478e+00,6.617396231934542072e+00,6.719534812309158944e+00
8.969042913689524443e-01,1.448712375622466375e+01,1.116028316522082786e+00,8.392980010478872543e+00,8.425315160288965544e+00
1.292487016228173413e+00,9.112093115325851755e+00,8.317203004936748467e-01,7.730394203127159969e+00,7.763547371745972647e+00
1.514707396634637215e-01,1.179715365016437900e+01,1.096841157285858070e+00,4.436321767660422744e-02,1.866289909223108057e-02
7.871660422380279964e-01,7.011597247068577232e+00,1.297962409735403888e+00,3.823658002259598732e+00,3.741254243716816141e+00
6.971366477510246851e-01,1.193200406249641787e+01,1.421498727938817819e+00,5.279740391106227726e+00,5.288113628317364423e+00
1.810544528948382914e-01,1.197468748072801326e+01,6.383242641156550157e-01,3.144742259189401423e-01,3.199249303100175079e-01
9.337266198811873252e-01,1.103478448621700636e+01,1.343020416437661346e+00,6.731503044965654325e+00,6.670135442253426028e+00
1.208422690024853807e+00,1.205154898798523533e+01,1.147910336501851702e+00,9.132505971866107686e+00,9.098344638777080107e+00
8.708233235355691271e-01,9.868280350605822093e+00,1.036303856589549266e+00,5.902187780522223370e+00,5.898585596535862230e+00
4.381266820583901156e-01,1.326767490307260466e+01,9.407769653415281041e-01,3.265099256184611942e+00,3.217861675031572943e+00
1.191845977340831420e+00,1.299040721695887690e+01,1.010804510347618201e+00,9.831187792699807915e+00,9.826274294307197010e+00
7.623446459779620321e-01,4.156677286789471459e+00,9.587250212310025610e-01,2.318632091079377844e+00,2.323406242452850545e+00
7.641555498064928065e-01,8.380269448273711674e+00,1.170690697474051412e+00,4.391831196594985443e+00,4.393610508447760132e+00
1.078939270012831075e+00,4.448064772786198162e+00,1.412031406863663907e+00,3.371981697258160438e+00,3.346667114342444904e+00
2.922986465204434614e-01,1.440646847150048515e+01,7.368822677307229618e-01,1.667494430351031287e+00,1.697181833940322404e+00
