t,x,y,vx,vy,dvx_dt,dvx_dt_noisy
0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,8.000000000000000444e-01,-1.060000000000000053e+00,-1.056544158079352203e+00
2.000400080016003206e-03,9.999978791545189871e-01,1.600316324944874675e-03,-2.120419906346425118e-03,7.999956427685745997e-01,-1.059995783949793990e+00,-1.051779602514782308e+00
4.000800160032006413e-03,9.999915166294767177e-01,3.200620219466940222e-03,-4.240831148344176814e-03,7.999875720590676753e-01,-1.059991337370320030e+00,-1.056686966608486156e+00
6.001200240048009185e-03,9.999809124427494478e-01,4.800904254893739731e-03,-6.361233267937917504e-03,7.999757878239852626e-01,-1.059986660117456347e+00,-1.073018232433500030e+00
8.001600320064012825e-03,9.999660666131321429e-01,6.401161002944397160e-03,-8.481625808680495412e-03,7.999602899839199921e-01,-1.059981751993535948e+00,-1.050928193326804871e+00
1.000200040008001647e-02,9.999469791601609536e-01,8.001383035686470205e-03,-1.060200830723446661e-02,7.999410784287130927e-01,-1.059976612747742353e+00,-1.055512867024102297e+00
1.200240048009601837e-02,9.999236501043164971e-01,9.601562924532800261e-03,-1.272238029922178465e-02,7.999181530163564924e-01,-1.059971242075649300e+00,-1.065340774429252235e+00
1.400280056011202201e-02,9.998960794670271879e-01,1.120169324022838621e-02,-1.484274131934388945e-02,7.998915135729732784e-01,-1.059965639619212530e+00,-1.054154458577249098e+00
1.600320064012802565e-02,9.998642672706697931e-01,1.280176655285037227e-02,-1.696309090138169856e-02,7.998611598928172528e-01,-1.059959804966763564e+00,-1.056314081004902761e+00
1.800360072014402929e-02,9.998282135385687663e-01,1.440177543180805667e-02,-1.908342857819562283e-02,7.998270917382729328e-01,-1.059953737653001271e+00,-1.057012412686445968e+00
2.000400080016003293e-02,9.997879182949968024e-01,1.600171244584289512e-02,-2.120375388172554901e-02,7.997893088398558836e-01,-1.059947437158975436e+00,-1.059663214745817372e+00
2.200440088017603657e-02,9.997433815651746158e-01,1.760157016302848348e-02,-2.332406634299085540e-02,7.997478108962122745e-01,-1.059940902912069660e+00,-1.054473773045945251e+00
2.400480096019203674e-02,9.996946033752707184e-01,1.920134115077058376e-02,-2.544436549209040666e-02,7.997025975741189896e-01,-1.059934134285975382e+00,-1.067298675155992083e+00
2.600520104020804038e-02,9.996415837524016412e-01,2.080101797580709636e-02,-2.756465085820255373e-02,7.996536685084840723e-01,-1.059927130600665679e+00,-1.061556230080596297e+00
2.800560112022404402e-02,9.995843227246322682e-01,2.240059320420808436e-02,-2.968492196958513046e-02,7.996010233023459479e-01,-1.059919891122358626e+00,-1.064741084249158476e+00
3.000600120024004766e-02,9.995228203209750584e-01,2.400005940137576663e-02,-3.180517835357546397e-02,7.995446615268742008e-01,-1.059912415063481994e+00,-1.053923952937135811e+00
3.200640128025605130e-02,9.994570765713908234e-01,2.559940913204448998e-02,-3.392541953659033993e-02,7.994845827213690193e-01,-1.059904701582628839e+00,-1.059507480507812183e+00
3.400680136027205147e-02,9.993870915067881722e-01,2.719863496028078823e-02,-3.604564504412607201e-02,7.994207863932614178e-01,-1.059896749784510650e+00,-1.062821317294161627e+00
3.600720144028805858e-02,9.993128651590238443e-01,2.879772944948331276e-02,-3.816585440075841856e-02,7.993532720181133477e-01,-1.059888558719905616e+00,-1.067707643343474011e+00
3.800760152030405875e-02,9.992343975609024875e-01,3.039668516238289847e-02,-4.028604713014264510e-02,7.992820390396173647e-01,-1.059880127385600446e+00,-1.062452049791789088e+00
4.000800160032006586e-02,9.991516887461767693e-01,3.199549466104249784e-02,-4.240622275501350347e-02,7.992070868695970720e-01,-1.059871454724328643e+00,-1.059790032919145197e+00
4.200840168033606603e-02,9.990647387495474874e-01,3.359415050685724685e-02,-4.452638079718521102e-02,7.991284148880066773e-01,-1.059862539624705446e+00,-1.062618568677699216e+00
4.400880176035207314e-02,9.989735476066647912e-01,3.519264526053429015e-02,-4.664652077754501830e-02,7.990460224429187797e-01,-1.059853380921154553e+00,-1.046912742777172500e+00
4.600920184036807331e-02,9.988781153544254998e-01,3.679097147660066042e-02,-4.876664221231317986e-02,7.989599088476954103e-01,-1.059843977393943870e+00,-1.049776734240885911e+00
4.800960192038407348e-02,9.987784420304127719e-01,3.838912170876497554e-02,-5.088674460912308989e-02,7.988700733859487313e-01,-1.059834327769755058e+00,-1.086945952559414730e+00
5.001000200040008059e-02,9.986745276729314114e-01,3.998708851269513337e-02,-5.300682747227018765e-02,7.987765153120647277e-01,-1.059824430721088895e+00,-1.078714563180765529e+00
5.201040208041608076e-02,9.985663723213492604e-01,4.158486444196533849e-02,-5.512689030279522423e-02,7.986792338483091891e-01,-1.059814284865972844e+00,-1.061562005786524487e+00
5.401080216043208787e-02,9.984539760160962008e-01,4.318244204805612996e-02,-5.724693259848434579e-02,7.985782281848275987e-01,-1.059803888767908431e+00,-1.064025792883672050e+00
5.601120224044808804e-02,9.983373387986648195e-01,4.477981388035435356e-02,-5.936695385386903112e-02,7.984734974796452445e-01,-1.059793240935816172e+00,-1.057656810960829974e+00
5.801160232046409515e-02,9.982164607116100763e-01,4.637697248615321732e-02,-6.148695356022614023e-02,7.983650408586671077e-01,-1.059782339823973851e+00,-1.057609120513748113e+00
6.001200240048009532e-02,9.980913417985496361e-01,4.797391041065221517e-02,-6.360693120557783797e-02,7.982528574156776413e-01,-1.059771183831950792e+00,-1.038592796281440300e+00
