t,v,w,q,dv_dt,dv_dt_noisy
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.810000000000000497e+00,9.816911683841295755e+00
2.000400080016003206e-03,1.960838000384951263e-02,1.997018112475520794e-03,1.959074767217568874e-02,9.794443951580769081e+00,9.810876314450792890e+00
4.000800160032006413e-03,3.918555617928855261e-02,3.987273989402326940e-03,3.911515765329484640e-02,9.778802810675799151e+00,9.785411552199466456e+00
6.001200240048009185e-03,5.873136068628505985e-02,5.970770532255821259e-03,5.857325799394826754e-02,9.763078932542557098e+00,9.737015787910470621e+00
8.001600320064012825e-03,7.824563034306267206e-02,7.947511100448452492e-03,7.796508097148177607e-02,9.747274653034265768e+00,9.765381770367728365e+00
1.000200040008001647e-02,9.772820661626160921e-02,9.917499510028602444e-03,9.729066307825096072e-02,9.731392287043279410e+00,9.740319778490560410e+00
1.200240048009601837e-02,1.171789350877708302e-01,1.188073997217241155e-02,1.165500444493381554e-01,9.715434127428087763e+00,9.704695062720881893e+00
1.400280056011202201e-02,1.365976635050432653e-01,1.383723686892728011e-02,1.357432667776982405e-01,9.699402445191758204e+00,9.711024807275684623e+00
1.600320064012802565e-02,1.559842485386646604e-01,1.578699553061603533e-02,1.548703805507160025e-01,9.683299482444004624e+00,9.690590930367726230e+00
1.800360072014402929e-02,1.753385516636088715e-01,1.773002175713891959e-02,1.739314405958458654e-01,9.667127454420613830e+00,9.673010104353723548e+00
2.000400080016003293e-02,1.946604382212800965e-01,1.966632170953958730e-02,1.929265050715965879e-01,9.650888548973938441e+00,9.651456993800254125e+00
2.200440088017603657e-02,2.139497774195127655e-01,2.159590191000508586e-02,2.118556354675310560e-01,9.634584925343240513e+00,9.645519185075489332e+00
2.400480096019203674e-02,2.332064423325716784e-01,2.351876924186585213e-02,2.307188966042663658e-01,9.618218712981041918e+00,9.603489631241009405e+00
2.600520104020804038e-02,2.524303099011519502e-01,2.543493094959575762e-02,2.495163566334739624e-01,9.601792010436392744e+00,9.598533811476531952e+00
2.800560112022404402e-02,2.716212609323790383e-01,2.734439463881204596e-02,2.682480870378793902e-01,9.585306884295869523e+00,9.575664498042270267e+00
3.000600120024004766e-02,2.907791800998085208e-01,2.924716827627536764e-02,2.869141626312624593e-01,9.568765368182898357e+00,9.580742292435591168e+00
3.200640128025605130e-02,3.099039559434266788e-01,3.114326018988979039e-02,3.055146615584570791e-01,9.552169461815900320e+00,9.552963903965533632e+00
3.400680136027205147e-02,3.289954808696495814e-01,3.303267906870274717e-02,3.240496652953517298e-01,9.535521130125562905e+00,9.529671995106260951e+00
3.600720144028805858e-02,3.480536511513240283e-01,3.491543396290513329e-02,3.425192586488886581e-01,9.518822302431455995e+00,9.503184133184319649e+00
3.800760152030405875e-02,3.670783669277269401e-01,3.679153428383118846e-02,3.609235297570645984e-01,9.502074871677962165e+00,9.496931026865585324e+00
4.000800160032006586e-02,3.860695322045656908e-01,3.866098980395858004e-02,3.792625700889306062e-01,9.485280693729484014e+00,9.485443537339850906e+00
4.200840168033606603e-02,4.050270548539777749e-01,4.052381065690835449e-02,3.975364744445915588e-01,9.468441586724651415e+00,9.462929528618664321e+00
4.400880176035207314e-02,4.239508466145311405e-01,4.238000733744500675e-02,4.157453409552070434e-01,9.451559330489150312e+00,9.477440606777115306e+00
4.600920184036807331e-02,4.428408230912240229e-01,4.422959070147638311e-02,4.338892710829905242e-01,9.434635666006700561e+00,9.454770152312816478e+00
4.800960192038407348e-02,4.616969037554848332e-01,4.607257196605375055e-02,4.519683696212096757e-01,9.417672294947552203e+00,9.363449045368232859e+00
5.001000200040008059e-02,4.805190119451726583e-01,4.790896270937179680e-02,4.699827446941868825e-01,9.400670879253766543e+00,9.362890614334412831e+00
5.201040208041608076e-02,4.993070748645760948e-01,4.973877487076857479e-02,4.879325077572977398e-01,9.383633040780416934e+00,9.380137598939313648e+00
5.401080216043208787e-02,5.180610231115188036e-01,5.156202069772735513e-02,5.058177730988646648e-01,9.366560361427936243e+00,9.358116553196408560e+00
5.601120224044808804e-02,5.367807816072909244e-01,5.337871172103256928e-02,5.236386482129120612e-01,9.349454391305599188e+00,9.353727251255572028e+00
5.801160232046409515e-02,5.554662848795959285e-01,5.518886045501047305e-02,5.413952497857908996e-01,9.332316634510183562e+00,9.336663073130635482e+00
6.001200240048009532e-02,5.741174738428965751e-01,5.699248005394342426e-02,5.590877004562639918e-01,9.315148551863057236e+00,9.357505326964078662e+00
6.201240248049610243e-02,5.927342915311415439e-01,5.878958383676476801e-02,5.767161243465434017e-01,9.297951564762248822e+00,9.275711149508403253e+00
6.401280256051210260e-02,6.113166830977648791e-01,6.058018528705882977e-02,5.942806470622890025e-01,9.280727055164625483e+00,9.273174955022085442e+00
6.601320264052810971e-02,6.298645958156862124e-01,6.236429805306091534e-02,6.117813956926095864e-01,9.263476365614053520e+00,9.304331797763900624e+00
6.801360272054410294e-02,6.483779790773106511e-01,6.414193594765732476e-02,6.292184988100623100e-01,9.246200799314232555e+00,9.259134859238269399e+00
7.001400280056011005e-02,6.668567843945290008e-01,6.591311294838533841e-02,6.465920864706532489e-01,9.228901620244698734e+00,9.242162887692224160e+00
7.201440288057611716e-02,6.853009653987173211e-01,6.767784319743321009e-02,6.639022902138362880e-01,9.211580053318543904e+00,9.201299925884795172e+00
7.401480296059212427e-02,7.037104778407372585e-01,6.943614100164018088e-02,6.811492430625145644e-01,9.194237284580266234e+00,9.161275781163153553e+00
7.601520304060811750e-02,7.220852795909359356e-01,7.118802083249647916e-02,6.983330795230389132e-01,9.176874461442228181e+00,9.180223756326682860e+00
7.801560312062412461e-02,7.404253306391461731e-01,7.293349732614332059e-02,7.154539355852096438e-01,9.159492692958096427e+00,9.161672974714527129e+00
8.001600320064013172e-02,7.587305930946863786e-01,7.467258528337289425e-02,7.325119487222748749e-01,9.142093050131640197e+00,9.117546009046748168e+00
8.201640328065612495e-02,7.770010311863599917e-01,7.640529966962836261e-02,7.495072578909314220e-01,9.124676566259244836e+00,9.111012033023634160e+00
8.401680336067213206e-02,7.952366112624562611e-01,7.813165561500390321e-02,7.664400035313247983e-01,9.107244237304490397e+00,9.105803363709945586e+00
8.601720344068813917e-02,8.134373017907503556e-01,7.985166841424466699e-02,7.833103275670489918e-01,9.089797022303105933e+00,9.070901989841891222e+00
8.801760352070414628e-02,8.316030733585022539e-01,8.156535352674676442e-02,8.001183734051462437e-01,9.072335843796679455e+00,9.070370444439635804e+00
9.001800360072013951e-02,8.497338986724576326e-01,8.327272657655729327e-02,8.168642859361074926e-01,9.054861588293384500e+00,9.056771248842773403e+00
9.201840368073614662e-02,8.678297525588483108e-01,8.497380335237436633e-02,8.335482115338723741e-01,9.037375106754128140e+00,9.038086831495238727e+00
9.401880376075215373e-02,8.858906119633906950e-01,8.666859980754706982e-02,8.501702980558287770e-01,9.019877215102404477e+00,9.009751381936117909e+00
9.601920384076814696e-02,9.039164559512873343e-01,8.835713206007540788e-02,8.667306948428130653e-01,9.002368694756288647e+00,9.014243656192004295e+00
9.801960392078415407e-02,9.219072657072261423e-01,9.003941639261048291e-02,8.832295527191106332e-01,8.984850293180848269e+00,9.002673632266494863e+00
1.000200040008001612e-01,9.398630245353805091e-01,9.171546925245430137e-02,8.996670239924546841e-01,8.967322724459474870e+00,8.973739690550806003e+00
1.020204040808161683e-01,9.577837173935219717e-01,9.338530720073208446e-02,9.160432619770416673e-01,8.949786670344293427e+00,8.933422065796486677e+00
1.040208041608321615e-01,9.756693222723230585e-01,9.504894596826170272e-02,9.323584121240855449e-01,8.932242789437827568e+00,8.946875835113536013e+00
1.060212042408481686e-01,9.935198229462015584e-01,9.670640184216564017e-02,9.486126250212094657e-01,8.914691705227577145e+00,8.904662904858236416e+00
1.080216043208641757e-01,1.011335207238080347e+00,9.835769148473917645e-02,9.648060547121999342e-01,8.897134008392979965e+00,8.914717220758738847e+00
