m,r,omega,theta_tilt,F,F_noisy
2.803197311151155446e+00,2.749339183331240832e-01,1.187039195632474176e+01,1.059516448031819769e+00,2.623667652153773133e+02,2.630579335995068959e+02
4.777086633466709031e+00,1.520038163223298211e+00,1.594729254696640064e+00,6.338182304899437902e-01,1.210382516912318529e+01,1.374706145612550223e+01
1.148718257238351859e+00,3.617629612327302180e-01,3.760615661824500577e+00,9.528269542339659059e-01,4.603748756283013499e+00,5.264622908649787547e+00
4.768922512117597101e+00,3.959512971331876074e-01,1.666303861353239313e+01,6.454697936279764070e-01,1.856661670496568604e+03,1.854055356033359885e+03
1.903241534047184658e+00,1.346905027111235720e+00,7.423455893558823959e+00,1.456575787701082092e-01,3.129090729533475042e+02,3.147197846866937425e+02
2.404969020376590549e+00,1.722768412213006028e+00,1.401258115810058769e+01,1.124031352301860132e+00,2.453770829049522945e+03,2.454663578194250931e+03
4.224661672191988515e+00,6.641627012498383387e-01,7.409778308777349665e+00,9.287198984397896373e-01,3.260495392691030929e+02,3.249756327983825486e+02
2.341396113661225797e+00,1.111143985537835110e+00,2.434965140183428467e+00,4.640012529611738934e-01,2.422393914651466673e+01,2.538617535490737254e+01
2.973171594528767780e+00,1.580011492694479269e+00,4.155816932890389559e+00,1.128074639606771123e+00,1.553150454125266720e+02,1.560441902048988254e+02
6.240160095938076523e-01,5.330555934666159068e-01,1.512635612816134678e+00,5.836834950346291295e-01,-1.734375604720688857e+00,-1.146110611409636881e+00
3.890808989036629750e+00,9.421301103006853861e-01,8.310386407706692680e+00,2.113945138822052039e-01,5.569539290730660923e+02,5.570107735556977104e+02
2.921644909486751818e+00,1.267235712012358295e+00,4.726719347534684701e+00,1.614017675905723981e-01,1.839750748057694523e+02,1.850685007789943484e+02
1.983792724245914796e+00,1.617310814375281236e+00,1.595037922183820989e+01,4.647900725897612384e-01,2.505250688943984642e+03,2.503777780769981291e+03
4.047929165427818887e+00,1.232175662772150737e+00,2.015390984219944226e+00,5.123365586287647044e-01,2.506440621354308007e+01,2.473858631755697601e+01
1.864376731812402488e+00,4.630060381956578319e-01,1.458661566479191052e+01,6.378224032039486735e-01,4.350012105463483749e+02,4.340369719209884352e+02
2.540740502662931721e+00,1.694842668863901780e+00,1.375713142644631404e+01,1.788428043439736215e-01,2.491623361808674417e+03,2.492821054233943869e+03
1.103187637612241367e+00,1.659982782322702910e+00,1.033808843741672945e+01,8.630689589219182611e-01,4.128547458470274023e+02,4.129341900619907051e+02
2.314008439012081642e+00,1.501265242657061849e+00,9.968947355469660820e+00,6.817687855758646220e-01,7.333738430867792886e+02,7.327889295848491429e+02
1.415548583042673281e+00,1.519395316790351558e+00,4.440032465395992389e+00,8.291695338894011780e-01,8.918801417022010014e+01,8.762419724550642286e+01
1.680410031988322839e+00,1.020361705104446015e+00,7.256271220454253879e+00,2.564468025242771509e-01,2.095737140045777096e+02,2.090593295233399544e+02
3.876641026835236481e+00,1.370425870711850846e+00,1.577013395105950266e+01,5.625358057869043193e-01,7.802479485796006884e+03,7.802495770157043808e+03
1.761839410937179551e+00,1.997720425852996806e+00,4.675881368803661786e+00,4.610292926704865346e-01,1.669025153160600325e+02,1.663513095054613018e+02
2.683359384942357817e+00,1.954762609643855953e+00,1.286307090720855584e+01,7.229315357687869925e-01,2.700308332031845566e+03,2.702896459660641995e+03
4.913317399105573635e+00,5.356071264515550601e-01,1.518924412137915958e+01,1.012151054116745330e+00,2.110925740659447911e+03,2.112939189290059403e+03
4.827457371487040128e+00,1.347339055319481949e+00,1.867186649877229598e+01,3.959302012990479902e-01,3.839485660870996071e+04,3.838943428375203075e+04
