t,x,v,z,e,dv_dt,dv_dt_noisy
0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-1.500000000000000000e+00,-1.496544158079352149e+00
4.000800160032006413e-03,9.999879967641518430e-01,-6.000035115901402108e-03,-1.200316380960036512e-05,7.203857826369155407e-11,-1.499426385387497174e+00,-1.491210203952485491e+00
8.001600320064012825e-03,9.999519930374908272e-01,-1.199788121253221769e-02,-4.800581109643356649e-05,1.151412702516275038e-09,-1.498905681689022495e+00,-1.495601310927188621e+00
1.200240048009601837e-02,9.998919971533329898e-01,-1.799374967268449477e-02,-1.079970160724494995e-04,5.830594487818956509e-09,-1.498437741010872903e+00,-1.511469313326916586e+00
1.600320064012802565e-02,9.998080166005469671e-01,-2.398785129258697996e-02,-1.919649726020127424e-04,1.842685104556833338e-08,-1.498022418059687055e+00,-1.488968859392955979e+00
2.000400080016003293e-02,9.997000580283365023e-01,-2.998039630387508772e-02,-2.998969933427259624e-04,4.497832071105969808e-08,-1.497659570100036586e+00,-1.493195824376396530e+00
2.400480096019203674e-02,9.995681272462485500e-01,-3.597159437362371787e-02,-4.317795097440638814e-04,9.324400734154352007e-08,-1.497349056894397901e+00,-1.502718589248000836e+00
2.800560112022404402e-02,9.994122292250577910e-01,-4.196165460690175208e-02,-5.875980716828259559e-04,1.727032593061641032e-07,-1.497090740638842510e+00,-1.491279559596879078e+00
3.200640128025605130e-02,9.992323681034208649e-01,-4.795078556898688810e-02,-7.673373455720953421e-04,2.945510069967691522e-07,-1.496884485909692142e+00,-1.493238761947831339e+00
3.600720144028805858e-02,9.990285471765953940e-01,-5.393919526274497389e-02,-9.709811207475247102e-04,4.717026569784992583e-07,-1.496730159548424588e+00,-1.493788834581869285e+00
4.000800160032006586e-02,9.988007689113218568e-01,-5.992709117348196668e-02,-1.198512302751065855e-03,7.187859269471134746e-07,-1.496627630623748928e+00,-1.496343408210590864e+00
4.400880176035207314e-02,9.985490349495600437e-01,-6.591468027955299513e-02,-1.449912911667460523e-03,1.052138772429337591e-06,-1.496576770354843822e+00,-1.491109640488719412e+00
4.800960192038407348e-02,9.982733461084889459e-01,-7.190216905236229694e-02,-1.725164082124239868e-03,1.489809386782863075e-06,-1.496577452016328635e+00,-1.503941992886345336e+00
5.201040208041608076e-02,9.979737023805069773e-01,-7.788976345636329512e-02,-2.024246063291725538e-03,2.051556201196350514e-06,-1.496629550836378497e+00,-1.498258650316309115e+00
5.601120224044808804e-02,9.976501029346234173e-01,-8.387766895180899518e-02,-2.347138218102362908e-03,2.758847274141512017e-06,-1.496732943892863155e+00,-1.501554137019663004e+00
6.001200240048009532e-02,9.973025461234564792e-01,-8.986609052013905252e-02,-2.693819020702077714e-03,3.634855841331816613e-06,-1.496887510024307533e+00,-1.490899047897961349e+00
6.401280256051210260e-02,9.969310294617644841e-01,-9.585523264025308521e-02,-3.064266070337250732e-03,4.704467898208757024e-06,-1.497093129636724695e+00,-1.496695908561908039e+00
6.801360272054410294e-02,9.965355496499590515e-01,-1.018452993224822356e-01,-3.458456076246692497e-03,5.994273794129248710e-06,-1.497349684658661140e+00,-1.500274252168312117e+00
7.201440288057611716e-02,9.961161025796209101e-01,-1.078364941175967012e-01,-3.876364854312955646e-03,7.532566065994061486e-06,-1.497657058429518795e+00,-1.505476143053087190e+00
7.601520304060811750e-02,9.956726833334993421e-01,-1.138290201168056515e-01,-4.317967327062322350e-03,9.349339438247784791e-06,-1.498015135562124289e+00,-1.500587057968312932e+00
8.001600320064013172e-02,9.952052861855121835e-01,-1.198230799517572970e-01,-4.783237523664820787e-03,1.147629082287887597e-05,-1.498423801798478117e+00,-1.498342379993294671e+00
8.401680336067213206e-02,9.947139046007462682e-01,-1.258188757945388203e-01,-5.272148579934209101e-03,1.394681931941960775e-05,-1.498882943858676153e+00,-1.501638972911669923e+00
8.801760352070414628e-02,9.941985312382602968e-01,-1.318166093588599708e-01,-5.784672736204538555e-03,1.679602553507391949e-05,-1.499392449292643370e+00,-1.486451811148661317e+00
9.201840368073614662e-02,9.936591579507030314e-01,-1.378164819129300001e-01,-6.320781337687198659e-03,2.006071160966243580e-05,-1.499952206319619563e+00,-1.489884963166561604e+00
9.601920384076814696e-02,9.930957757598459779e-01,-1.438186942805784185e-01,-6.880444852953559662e-03,2.377938720033587807e-05,-1.500562103578467976e+00,-1.527673728368127648e+00
1.000200040008001612e-01,9.925083748907926884e-01,-1.498234468410432341e-01,-7.463632847850285197e-03,2.799226135691268018e-05,-1.501222030062953738e+00,-1.520112162522630372e+00
1.040208041608321615e-01,9.918969447761084579e-01,-1.558309395295017774e-01,-8.070313982360615562e-03,3.274124153085825159e-05,-1.501931874951936807e+00,-1.503679595872488450e+00
1.080216043208641757e-01,9.912614740558202131e-01,-1.618413718370707854e-01,-8.700456010604384199e-03,3.806993357528514334e-05,-1.502691527418935413e+00,-1.506913431534699033e+00
1.120224044808961761e-01,9.906019505774169565e-01,-1.678549428108062069e-01,-9.354025780838000348e-03,4.402364174495281425e-05,-1.503500876434767708e+00,-1.501364446459781510e+00
1.160232046409281903e-01,9.899183613958492112e-01,-1.738718510537033968e-01,-1.003098923545446206e-02,5.064936869626788846e-05,-1.504359810563244526e+00,-1.502186591253018788e+00
1.200240048009601906e-01,9.892106927735948574e-01,-1.798922947245514825e-01,-1.073131141092075955e-02,5.799581548426062047e-05,-1.505268217750037829e+00,-1.484089830199527338e+00
1.240248049609922049e-01,9.884789301885250623e-01,-1.859164715085294406e-01,-1.145495642818458726e-02,6.611338329026063688e-05,-1.506225985116335320e+00,-1.517346192743258104e+00
1.280256051210242052e-01,9.877230582955635052e-01,-1.919445786711465596e-01,-1.220188752337796230e-02,7.505418105839075000e-05,-1.507232998635826604e+00,-1.511009048707096625e+00
1.320264052810562194e-01,9.869430609525909892e-01,-1.979768130322835940e-01,-1.297206702787365683e-02,8.487201953528834115e-05,-1.508289142973727515e+00,-1.487861426898804185e+00
1.360272054410882059e-01,9.861389212423740114e-01,-2.040133709266244710e-01,-1.376545634885165820e-02,9.562240877416259069e-05,-1.509394301295965413e+00,-1.502927271333946990e+00
1.400280056011202201e-01,9.853106214725658729e-01,-2.100544482036566796e-01,-1.458201596929919498e-02,1.073625581347948982e-04,-1.510548355018262345e+00,-1.503917721294499632e+00
1.440288057611522343e-01,9.844581431757056800e-01,-2.161002402276709089e-01,-1.542170544801070228e-02,1.201513762835385165e-04,-1.511751183548084576e+00,-1.516891247264959164e+00
1.480296059211842485e-01,9.835814671092186767e-01,-2.221509418777612710e-01,-1.628448341958785295e-02,1.340494711933186466e-04,-1.513002664019428511e+00,-1.529483415727985074e+00
1.520304060812162350e-01,9.826805732554166894e-01,-2.282067475478251617e-01,-1.717030759443952462e-02,1.491191501436323833e-04,-1.514302671020397062e+00,-1.512628023578169723e+00
1.560312062412482492e-01,9.817554408223065909e-01,-2.342678511420393239e-01,-1.807913475785975776e-02,1.654244198335386282e-04,-1.515651076313011547e+00,-1.514560935434795974e+00
1.600320064012802634e-01,9.808060482488791809e-01,-2.403344459729373495e-01,-1.901092075669029435e-02,1.830309944303359698e-04,-1.517047748491615167e+00,-1.529321269034060959e+00
1.640328065613122499e-01,9.798323731526908942e-01,-2.464067249314720043e-01,-1.996562054624041391e-02,2.020063010685033155e-04,-1.518492552634783888e+00,-1.525324819252589448e+00
1.680336067213442641e-01,9.788343923788292988e-01,-2.524848803679022313e-01,-2.094318814960177688e-02,2.224194715687598570e-04,-1.519985350076252573e+00,-1.520705786873524756e+00
1.720344068813762783e-01,9.778120820181458450e-01,-2.585691040191930301e-01,-2.194357663978679582e-02,2.443413420672274324e-04,-1.521525998092079668e+00,-1.530973514322687468e+00
1.760352070414082926e-01,9.767654174072557538e-01,-2.646595870090157065e-01,-2.296673813972866310e-02,2.678444530154313664e-04,-1.523114349570578341e+00,-1.524097049249100611e+00
1.800360072014402790e-01,9.756943731285382393e-01,-2.707565198477477342e-01,-2.401262382228132666e-02,2.930030491802996574e-04,-1.524750252674827555e+00,-1.523795422400133104e+00
1.840368073614722932e-01,9.745989230101361755e-01,-2.768600924324729484e-01,-2.508118391021953164e-02,3.198930796441642240e-04,-1.526433550497702463e+00,-1.526077688127147614e+00
1.880376075215043075e-01,9.734790401259563186e-01,-2.829704940469812691e-01,-2.617236767623877525e-02,3.485921978047594417e-04,-1.528164080709377259e+00,-1.533226997292520322e+00
1.920384076815362939e-01,9.723346967956952858e-01,-2.890879133615680829e-01,-2.728612344292575057e-02,3.791797613787398365e-04,-1.529941675197144857e+00,-1.524004194479286589e+00
