T,n_imp,B_field,rho,rho_noisy
5.606394622302310182e+01,1.374669591665620416e-01,5.721258924381443123e+00,1.034258609876999060e+02,1.035986530837323016e+02
9.554173266933418063e+01,7.600190816116491055e-01,3.130153972087579284e-01,1.111360088860044186e+02,1.115468179577549961e+02
2.297436514476703451e+01,1.808814806163651090e-01,1.452955611486579368e+00,1.062383377768454196e+01,1.078905231577623525e+01
9.537845024235194558e+01,1.979756485665938037e-01,8.243704533438101834e+00,3.912462324788022556e+02,3.905946538630000759e+02
3.806483068094368605e+01,6.734525135556178599e-01,3.380766259767802318e+00,4.057549728983175896e+01,4.102817522316831855e+01
4.809938040753181099e+01,8.613842061065030142e-01,6.848726925316098502e+00,1.043820935545449800e+02,1.046052808407269907e+02
8.449323344383975609e+01,3.320813506249191693e-01,3.373567530935447145e+00,1.305549396860265006e+02,1.302864630683463645e+02
4.682792227322451595e+01,5.555719927689175552e-01,7.552448106228570879e-01,2.724058229774166762e+01,2.753114134983984584e+01
5.946343189057535739e+01,7.900057463472396346e-01,1.660956280468626201e+00,5.040151382684241099e+01,5.058380002493544936e+01
1.248032019187615305e+01,2.665277967333079534e-01,2.698082172716498306e-01,3.114414934723811257e+00,3.261481183051574195e+00
7.781617978073259678e+01,4.710650551503426930e-01,3.847571793529838136e+00,1.240528884132354221e+02,1.240670995338933267e+02
5.843289818973504168e+01,6.336178560061791476e-01,1.961431235544570661e+00,5.135634551028560679e+01,5.162970200359183082e+01
3.967585448491828970e+01,8.086554071876406180e-01,7.868620643072742560e+00,9.481669021547679677e+01,9.444846317197595909e+01
8.095858330855638485e+01,6.160878313860753686e-01,5.344163074841812300e-01,7.777202922451076006e+01,7.769057425051423138e+01
3.728753463624804709e+01,2.315030190978289160e-01,7.150850349890479407e+00,7.748957660746755494e+01,7.724851695112757000e+01
5.081481005325863265e+01,8.474213344319508900e-01,6.714279698129638874e+00,1.099422054077729456e+02,1.102416285140902659e+02
2.206375275224482735e+01,8.299913911613514550e-01,4.914783388114067897e+00,3.830848166297711543e+01,3.832834271671794824e+01
4.628016878024163105e+01,7.506326213285309246e-01,4.720498608141926233e+00,6.865251016994932343e+01,6.850628179446677279e+01
2.831097166085346473e+01,7.596976583951757789e-01,1.810543402839995819e+00,1.877782038299539380e+01,1.838686615181697448e+01
3.360820063976645145e+01,5.101808525522230076e-01,3.292774326554870346e+00,3.416374837793085817e+01,3.403515225762141938e+01
7.753282053670473317e+01,6.852129353559254232e-01,7.773754711083949331e+00,2.507675482520772618e+02,2.507716193423364359e+02
3.523678821874359812e+01,9.988602129264984031e-01,1.934674404633506262e+00,2.594480799740168564e+01,2.580700654475199940e+01
5.366718769884715812e+01,9.773813048219279764e-01,6.243721530109765716e+00,1.104453284135804836e+02,1.110923603207795907e+02
