B,T,M,M_noisy
2.607925961031258399e+00,6.873347958328100971e-01,6.857593372558137279e-01,6.864505056399432537e-01
4.757272111997083108e+00,3.800095408058245638e+00,2.555726087453384920e-01,2.572158450323407952e-01
8.063821023262053300e-01,9.044074030818254339e-01,3.636534157660369915e-01,3.643142899184037553e-01
4.748382290972495312e+00,9.898782428329689909e-01,6.154114251650398826e-01,6.128051107018311905e-01
1.627974114851378884e+00,3.367262567778089188e+00,1.378251153905621917e-01,1.396358271239084292e-01
2.174299599965620722e+00,4.306921030532515182e+00,1.177357394809375318e-01,1.186284886256655513e-01
4.155742709720164463e+00,1.660406753124595625e+00,5.305852319754793545e-01,5.295113255047587675e-01
2.105075768208890530e+00,2.777859963844587554e+00,2.274794949323639681e-01,2.286417311407566710e-01
2.793009069597991889e+00,3.950028731736198395e+00,1.697121369852259698e-01,1.704412817775981248e-01
2.350396548910350103e-01,1.332638983666539767e+00,7.404349869664510198e-02,7.463176368995615151e-02
3.792214232506552651e+00,2.355325275751713576e+00,4.015788453411666681e-01,4.016356898237982698e-01
2.736902234774463594e+00,3.168089280030895960e+00,2.339116943097305779e-01,2.350051202829554764e-01
1.715685410845551706e+00,4.043277035938203312e+00,1.066297173247195973e-01,1.051568091507162628e-01
3.963300646799181592e+00,3.080439156930376843e+00,3.082852950549116455e-01,3.079594751589255219e-01
1.585654663529060704e+00,1.157515095489144663e+00,4.637302095394605361e-01,4.627659709141005995e-01
2.322139658455192546e+00,4.237106672159754339e+00,1.285649317208117648e-01,1.297626241460810292e-01
7.568043165111072446e-01,4.149956955806757719e+00,4.625874692803614435e-02,4.633819114299946029e-02
2.075253633590933511e+00,3.753163106642654956e+00,1.439277954895293865e-01,1.433428819875992022e-01
1.096930679313133261e+00,3.798488291975878894e+00,7.791666865690557997e-02,7.635285173219188981e-02
1.385335368165062864e+00,2.550904262761114705e+00,1.776638252240069493e-01,1.771494407427691986e-01
3.776786895887258133e+00,3.426064676779627227e+00,2.614697889965494904e-01,2.614860733575861684e-01
1.474002914131595787e+00,4.994301064632491460e+00,6.072272844437390238e-02,6.017152263377516241e-02
2.477435774715011974e+00,4.886906524109639882e+00,1.025877147843234360e-01,1.051758424131198494e-01
4.905612279026069444e+00,1.339017816128887484e+00,5.796464400128916727e-01,5.816598886435032645e-01
4.812120248952554746e+00,3.368347638298704982e+00,3.020996406700358072e-01,2.966773157121038729e-01
