T,Td,C,C_noisy
3.095338666966527512e+02,1.166519818518053455e+02,3.508400534070555921e+01,3.510128455030879735e+01
5.705258993139315180e+02,3.933418140496218030e+02,2.896405654569587185e+01,2.900513745287092959e+01
9.077496956818207252e+01,1.359473247183844933e+02,2.406282274071091720e+01,2.407934459452008724e+01
5.694464210466601344e+02,1.435447326962639067e+02,4.780369432576951993e+01,4.773853646418930197e+01
1.905397139462388338e+02,3.548677838024968310e+02,2.158046575796678113e+01,2.162573355130043851e+01
2.568792371386825266e+02,4.383929804917790989e+02,2.254585001557346047e+01,2.256816874419165941e+01
4.974830433231628604e+02,2.031472669444085000e+02,3.377911411882266890e+01,3.375226645705465245e+01
2.484734861396509586e+02,3.024764412306300301e+02,2.552753293482348695e+01,2.555658884003330300e+01
3.320082441654703871e+02,4.066692205987732223e+02,2.546950808924757581e+01,2.548773670905687894e+01
2.139767237962567847e+01,1.740123541036924166e+02,4.510765446355373243e+00,4.525472071188149314e+00
4.533402996615099028e+02,2.649178022890412194e+02,3.006757914954835798e+01,3.006900026161414630e+01
3.251952713654705462e+02,3.371634915583018710e+02,2.658450094349975146e+01,2.661183659283037528e+01
2.011903713169598404e+02,4.149579587500625166e+02,2.027841052419656975e+01,2.024158781984648670e+01
4.741150785399005940e+02,3.293723695049224034e+02,2.891917399134903022e+01,2.891102849394937735e+01
1.854009234285287562e+02,1.584457862657017415e+02,2.775310568365676644e+01,2.772899971802276653e+01
2.748312442409876439e+02,4.321872597475336875e+02,2.337965275709775881e+01,2.340959506772949084e+01
8.475480986206302703e+01,4.244406182939339942e+02,5.411044829108390353e+00,5.413030934482473633e+00
2.448522269360418875e+02,3.891700539237915564e+02,2.328244359434444988e+01,2.326782075679619410e+01
1.260558682023090284e+02,3.931989592867447527e+02,1.364221528055679933e+01,1.360311985743895669e+01
1.610764375629004519e+02,2.823026011343213213e+02,2.230537289917582555e+01,2.229251328714488167e+01
4.514669802148812892e+02,3.600946379359668299e+02,2.811022606818591640e+01,2.811063317721183452e+01
1.718432110016937600e+02,4.994934279673325932e+02,1.485997517600726603e+01,1.484619503074229740e+01
2.936886297868228439e+02,4.899472465875235798e+02,2.277962813132878850e+01,2.284433132204869921e+01
5.885386338817370415e+02,1.745793614336789119e+02,4.099349482715584259e+01,4.104383104292113416e+01
5.771860302299530758e+02,3.549642345154404666e+02,2.970274346984999880e+01,2.956718534590169867e+01
4.362500147602524976e+02,4.470148476038256149e+02,2.665008241455532101e+01,2.655563175225693584e+01
3.270299790507233411e+02,1.240525450421280595e+02,3.496833600552260179e+01,3.495959740091984713e+01
1.697502664069956495e+02,3.299760957858507595e+02,2.107125331603629093e+01,2.105014379545747261e+01
1.005879452212004850e+02,1.461968276127377919e+02,2.428439085125697972e+01,2.429507300113191093e+01
5.821056208635989151e+02,1.734261823011594856e+02,4.084919956133327901e+01,4.086006565788440525e+01
3.120608084009878098e+02,2.436785002329718566e+02,2.823913955437859258e+01,2.834503149213114526e+01
7.394003942010833441e+01,3.226676875967692695e+02,7.731642177755045253e+00,7.676041139620431331e+00
3.759764045448127376e+02,3.165846516654379457e+02,2.780434589164476478e+01,2.778546564128841467e+01
4.671264530336673033e+02,3.015942339073780545e+02,2.937942786840355325e+01,2.948156644877817101e+01
3.697369641265590872e+02,4.829041252074887893e+02,2.498437628693267243e+01,2.501671143674276365e+01
5.507921343505870482e+02,3.037364371775283871e+02,3.051194868632349610e+01,3.054510185494230967e+01
2.855776161520070033e+01,3.932384550054792953e+02,2.691599432161370320e+00,2.665899113576997159e+00
3.195106116397128631e+02,2.337199082356192434e+02,2.861733508686318928e+01,2.853493132832040757e+01
2.783048503168151910e+02,3.977334687498806147e+02,2.425684473250298012e+01,2.426521796971411860e+01
4.209799959417598103e+01,3.991562493576004726e+02,1.692270846456480626e+00,1.697721550847558047e+00
3.865902606379281110e+02,3.678261495405668597e+02,2.709881439623244859e+01,2.703744679352022118e+01
5.123165388959907887e+02,4.017182995995078727e+02,2.820637819823231851e+01,2.817221686514329093e+01
3.577999057720489873e+02,3.289426783535274126e+02,2.730143158466392350e+01,2.729782940067756059e+01
1.597579814036478183e+02,4.422558301024201342e+02,1.573692007048643404e+01,1.568968248933339460e+01
5.047295050136882537e+02,4.330135738986292608e+02,2.769310249888162900e+01,2.768818900048901810e+01
3.081500495052980568e+02,1.385559095596490522e+02,3.250457173640992892e+01,3.250934588778340384e+01
3.089788862575871349e+02,2.793423149424570511e+02,2.740255590486507487e+01,2.740433521671785044e+01
4.530529735827958575e+02,1.482688257595399364e+02,3.811732574021318243e+01,3.809201115729746334e+01
9.301361129204914846e+01,4.802156157166828052e+02,4.913329146117315638e+00,4.943016549706606533e+00
4.926778978759697907e+02,2.739564785116155008e+02,3.044621235433341155e+01,3.049077070204752715e+01
4.115557090719379971e+02,1.880313272403133453e+02,3.231643968006180501e+01,3.233248209529013195e+01
4.733226802251066374e+02,4.350514166890272350e+02,2.729740083554106533e+01,2.725648932417155024e+01
1.190116741169804726e+02,1.348864638384915793e+02,2.612268515685158832e+01,2.615926777104085943e+01
4.824066758750453801e+02,1.616347794583554105e+02,3.753288565504226426e+01,3.750781365411891244e+01
1.188377360040341699e+02,3.715319746998147252e+02,1.361885989768842364e+01,1.366281792860282351e+01
5.352380733129006529e+01,3.029693291555297492e+02,4.278138949156076620e+00,4.224549578312204012e+00
5.138600497008067123e+02,2.069178665086323576e+02,3.398926994840827831e+01,3.403499330856471516e+01
5.174636802257126647e+02,3.305119077048715326e+02,2.944901503598320147e+01,2.944801186325242881e+01
5.265395723678653894e+02,1.829534695246126716e+02,3.669693906010859763e+01,3.663450161559187990e+01
2.857862830184801624e+02,2.236942443589390450e+02,2.822820916365634503e+01,2.821251419005800187e+01
1.680587912251623663e+02,3.444242456563579253e+02,2.038776267475006421e+01,2.039046778868864251e+01
9.219638018883925312e+00,4.531728619160713833e+02,4.729399433148806509e+00,4.743039000107029501e+00
3.892039328670939540e+02,3.812713091095642426e+02,2.692544940847323076e+01,2.687634000222618269e+01
4.333460831876723773e+02,3.572911136568919801e+02,2.792169635877855427e+01,2.786632770642029300e+01
5.021636838176631272e+02,3.986588548286744071e+02,2.813570414261272390e+01,2.814568336925507808e+01
1.727173072819025776e+02,2.513503122527535822e+02,2.414026319849693181e+01,2.411692571765294346e+01
1.330548094619692847e+02,4.923912240815492964e+02,1.041822698368719990e+01,1.043000226427371047e+01
3.854021711396197816e+02,3.445040720031735759e+02,2.746207257230932086e+01,2.750004854843324154e+01
4.840076257212807604e+02,2.030245102046422971e+02,3.339466882939017722e+01,3.331222946107263283e+01
5.783841693427576729e+02,1.143860991399417770e+02,6.588540653571249095e+01,6.589812594153836756e+01
9.456227410060060379e+01,1.447022341183568415e+02,2.384477542597054978e+01,2.390600777434733715e+01
2.919163709786052436e+02,1.794036606459162613e+02,2.971611439599631765e+01,2.970123805377779291e+01
5.373559380067232496e+02,3.937490556040697243e+02,2.859909040415359982e+01,2.855854967499172048e+01
2.565165596325351771e+02,4.258084657890457834e+02,2.283930365135741525e+01,2.287691584271639655e+01
3.557537269400086188e+02,4.701811380195101151e+02,2.489267459992248632e+01,2.490534692573289277e+01
1.957195310855110648e+01,3.571640940710276482e+02,4.299520199450007851e+00,4.344314352988885908e+00
4.057086328559986441e+02,2.189107959902042637e+02,3.069229081254757929e+01,3.067503002704501469e+01
5.518577286821243888e+02,4.355476357373954102e+02,2.816834666499020301e+01,2.809425575130409314e+01
4.969610710862490350e+02,4.813880679535204195e+02,2.698835311252409497e+01,2.698285257428853257e+01
5.318845586924182953e+02,3.787615360150333004e+02,2.876874374428583891e+01,2.874645233663527577e+01
3.979114514097113897e+02,1.289432159883227200e+02,3.837267473794305772e+01,3.841144092904543328e+01
1.511035990096906687e+02,2.643927907127877006e+02,2.233480766421379826e+01,2.234448930663265642e+01
4.622676143432713616e+02,1.995774519233192450e+02,3.300754013506178808e+01,3.292599767344002970e+01
1.309464718514687434e+02,4.757042047543883996e+02,1.077053224682484256e+01,1.071077409281968329e+01
4.996085266253543864e+02,4.244493564504285246e+02,2.774903389123358366e+01,2.779322334306294806e+01
4.231716392960710493e+01,1.279708448520850936e+02,1.530742400926262192e+01,1.534141226013351478e+01
