T,Ea,n,n_noisy
3.047286498801026937e+02,1.291409682406593519e-02,1.441722581328694908e-01,1.459001790931934162e-01
4.801854785303740982e+02,6.133481745868382684e-02,2.129278162919856776e-01,2.170359070094914633e-01
1.576638450878535025e+02,1.629078182571728692e-02,6.349908604123402633e-02,6.515127142215096367e-02
4.794597788548975359e+02,1.762032822184618486e-02,2.009965522229650858e-01,1.944807660649432723e-01
2.247325808041941855e+02,5.460186216543694987e-02,6.386442172116088556e-02,6.839120105452647924e-02
2.693305795890302647e+02,6.921877158606135061e-02,8.160538792430356569e-02,8.383726078612362131e-02
4.310810375281766937e+02,2.805077171527148999e-02,1.935255572538276403e-01,1.908407910770262284e-01
2.636796545476645406e+02,4.543337721536025442e-02,9.986280318683631030e-02,1.027683937078180815e-01
3.198374750692237853e+02,6.366711360478531645e-02,1.201397065896961519e-01,1.219625685706265256e-01
1.110236452972273469e+02,2.295216196814617304e-02,2.322959086093434253e-02,2.470025334421197330e-02
4.014052434699226524e+02,3.886061540058220742e-02,1.840620799931515783e-01,1.842041911997305548e-01
3.152573252877112964e+02,5.150361102270283042e-02,1.290381113900259114e-01,1.317716763230881438e-01
2.318926865996368747e+02,6.511764278126094818e-02,6.170781665301459246e-02,5.802554621800625617e-02
4.153714813713617104e+02,5.014016466336142230e-02,1.873300335199697964e-01,1.865154837800045429e-01
2.212779317166579744e+02,2.022801259649780609e-02,1.009885615859721225e-01,9.857796502257222537e-02
2.813991557922606148e+02,6.813277045581840607e-02,9.009342851293569709e-02,9.308765957610883046e-02
1.536166788988658993e+02,6.677710820143845094e-02,2.906375592874945249e-02,2.926236646615774581e-02
2.612451945788516809e+02,6.060475943666352588e-02,8.267233990905993590e-02,8.121005615423448898e-02
1.813820962704598401e+02,6.130981787518034049e-02,3.858920175873801345e-02,3.467965944695380193e-02
2.049253361767397905e+02,4.190295519850623096e-02,6.239040188305241402e-02,6.110444067995805806e-02
4.001458690520210553e+02,5.551656163879420403e-02,1.772540552403245318e-01,1.772947661429162547e-01
2.121635031944159664e+02,7.991134989428320956e-02,4.896532394041955283e-02,4.758730941392270292e-02
2.940763897726540108e+02,7.824076815281662267e-02,9.162118862726612023e-02,9.809150769925716051e-02
4.922948799204954753e+02,2.305138825089380825e-02,2.078144015328540206e-01,2.128480231093830000e-01
4.846628774655147254e+02,5.461874104020208315e-02,2.153479212607576354e-01,2.017921088659277995e-01
3.899159763094134519e+02,7.072759833066949442e-02,1.607734052340123454e-01,1.513283390041739729e-01
3.164907422189736508e+02,1.420919538237241063e-02,1.491791859742553905e-01,1.483053255139795690e-01
2.107564816181483138e+02,5.024581676252388995e-02,5.851312330033154457e-02,5.640217124244977648e-02
1.642608035100507493e+02,1.808444483222911708e-02,6.550792138747323079e-02,6.657613637496628822e-02
4.879701652864530388e+02,2.284958190270291317e-02,2.066244195756091195e-01,2.077110292307219330e-01
3.064274342191514506e+02,3.514373754077007583e-02,1.389183153400156412e-01,1.495075091152708868e-01
1.463462449883081149e+02,4.896684532943463425e-02,2.711950709503379783e-02,2.155940328157239169e-02
3.493959022150002056e+02,4.790231404145164906e-02,1.539277140649819298e-01,1.520396890293469472e-01
4.106732457369191707e+02,4.527899093379116752e-02,1.867006437444783673e-01,1.969145017819400323e-01
3.452013204212162236e+02,7.700822191131054262e-02,1.261174179189007982e-01,1.293509328999100372e-01
4.669190819163610513e+02,4.565387650606747560e-02,2.087909830407962408e-01,2.121062999026775420e-01
1.158371506656811505e+02,6.131672962595888232e-02,1.930745238461517230e-02,1.673742052617785761e-02
3.114357053040086498e+02,3.340098394123337117e-02,1.430408055008717816e-01,1.348004296465935281e-01
2.837343531541614539e+02,6.210335703122911444e-02,9.658847129604840320e-02,9.742579501716211454e-02
1.249398316599502436e+02,6.235234363758008352e-02,2.141522520934516227e-02,2.196029564845290022e-02
3.565312676557499572e+02,5.686957616959920775e-02,1.509120121663416192e-01,1.447752518951187506e-01
4.410531353922626749e+02,6.280070242991388219e-02,1.946990664236750990e-01,1.912829331147722911e-01
3.371764072417136049e+02,5.006496871186730258e-02,1.446945243279102733e-01,1.443343059292741259e-01
2.040389790948892710e+02,6.989477026792352554e-02,4.662494262943368134e-02,4.190118451412979533e-02
4.359526084125635066e+02,6.827737543226011785e-02,1.894325663826468831e-01,1.889412165433858037e-01
3.037983526086037500e+02,1.674728417293858476e-02,1.446771420909954420e-01,1.451545572283427232e-01
3.043555537866131999e+02,4.138490511492999568e-02,1.320820517382851056e-01,1.322599829235625302e-01
4.012120830808711389e+02,1.844704450791948697e-02,1.801562014177490734e-01,1.776247431261774867e-01
1.591688143139826366e+02,7.653773275041948765e-02,3.139193058877468023e-02,3.436067094770379332e-02
4.278506876477107994e+02,4.044238373953271126e-02,1.944195288938388444e-01,1.988753636652504930e-01
3.733147624013028576e+02,2.540548226705483664e-02,1.731852113786939429e-01,1.747894529015267540e-01
4.148387766219204309e+02,6.863399792057976734e-02,1.774043776545185247e-01,1.733132265175669762e-01
1.766465036080541040e+02,1.610513117173602987e-02,7.675728171844986569e-02,8.041554313737707405e-02
4.209456644538120145e+02,2.078608640521219936e-02,1.873205036295589321e-01,1.848133035372236666e-01
1.765295704228801128e+02,5.751809557246758547e-02,3.729057135753076346e-02,4.168637444897069222e-02
1.326210469454050838e+02,4.551963260221770363e-02,2.285707729008211800e-02,1.749814020569489745e-02
4.420907897148280767e+02,2.871062663901066681e-02,1.971453116732461708e-01,2.017176476888900838e-01
4.445133984710673758e+02,5.033958384835252736e-02,2.000519998303384173e-01,1.999516825572610068e-01
4.506148385666322156e+02,2.451685716680721688e-02,1.977726096700199998e-01,1.915288652183479157e-01
2.887638877435160794e+02,3.164649276281433776e-02,1.314511985866192445e-01,1.298817012267849957e-01
2.096193554454873151e+02,5.277424298986263529e-02,5.598839914745731838e-02,5.625891054131503671e-02
1.028367314412665081e+02,7.180525083531248687e-02,1.762480799375769347e-02,1.898876468957996083e-02
3.582883582299791101e+02,5.922247909417375361e-02,1.500119142471964262e-01,1.451009736224915248e-01
3.879637534034771988e+02,5.502594488995610211e-02,1.709240083719221204e-01,1.653871431360961486e-01
4.342276866001096778e+02,6.226529959501802408e-02,1.915128207886988565e-01,1.925107434529342576e-01
2.127511309458168398e+02,3.648630464423188030e-02,7.431511876090618474e-02,7.198137067650717258e-02
1.860872668651894344e+02,7.866846421427112213e-02,3.959813037875640346e-02,4.077565843740752621e-02
3.557325520266351759e+02,5.278821260055537729e-02,1.538221951063221127e-01,1.576197927187140135e-01
4.220219332580038554e+02,2.802928928581240736e-02,1.906469691282575984e-01,1.824030322965028428e-01
4.854683491379883549e+02,1.251756734948981237e-02,1.985002623609024575e-01,1.997722029434905455e-01
1.602099321684709992e+02,1.782289097071244888e-02,6.302873507002111630e-02,6.915196990769978402e-02
2.928849552797346405e+02,2.389564061303534742e-02,1.386023351182614216e-01,1.371147008964090641e-01
4.578863448784694015e+02,6.140608473071221263e-02,2.032165320040871803e-01,1.991624590878993406e-01
2.690867627781749434e+02,6.701648151308302326e-02,8.291935499548497290e-02,8.668057413138294254e-02
3.358008248336192310e+02,7.478169915341427443e-02,1.214851748631642775e-01,1.227524074442049862e-01
1.097962709973452746e+02,5.500371646242984552e-02,1.737225257563480146e-02,2.185166792952260295e-02
3.693839548611755390e+02,3.080938929828574979e-02,1.717940145558223275e-01,1.700679360055659395e-01
4.676354478535290013e+02,6.872083625404420970e-02,2.053581538036473031e-01,1.979490624350362382e-01
4.307301318226884064e+02,7.674291189186607798e-02,1.815758626031356571e-01,1.810258087795794113e-01
4.542081066839787127e+02,5.878326880263082949e-02,2.023184515060064137e-01,2.000893107409502658e-01
3.641421522082093247e+02,1.506506279795647753e-02,1.665573139266586788e-01,1.704339330368965510e-01
1.982209068972710497e+02,3.876873837473785583e-02,6.125034942432002610e-02,6.221851366620579499e-02
4.074067995585017457e+02,2.742605408658086580e-02,1.856611549590816979e-01,1.775069087969061987e-01
1.846698970430041982e+02,7.574823583201797939e-02,3.902917357800766984e-02,3.305335817749167210e-02
4.325099338657844896e+02,6.677863737882500095e-02,1.883757652198148891e-01,1.927947104027511738e-01
1.250871690283073008e+02,1.489489784911489367e-02,4.269861347802622609e-02,4.609743856511545890e-02
4.301951253574223415e+02,5.266023512253028421e-02,1.933084085222961657e-01,1.901071916927537242e-01
1.658029065896405143e+02,7.896033081820245936e-02,3.345957822623126660e-02,3.345433424339486206e-02
2.500587985986567503e+02,4.666642889138602340e-02,8.869945412434139531e-02,9.092732189322232095e-02
2.266952666227857094e+02,7.226089409866773283e-02,5.641755867432352717e-02,5.875958035355991621e-02
3.765348141110965230e+02,6.686314740488331909e-02,1.552950543970634811e-01,1.596762653776352403e-01
1.714287512697487728e+02,4.300761792061999489e-02,4.068308746842583257e-02,4.196551560453364027e-02
2.585024648867945416e+02,4.094058774745503587e-02,1.015659107676485512e-01,1.010917690728060647e-01
1.023298380431923817e+02,2.131558314263140227e-02,2.012041936555912860e-02,1.882617904161990041e-02
2.049978851000406053e+02,3.481286990793405756e-02,7.090374944716995587e-02,7.618246344983621576e-02
2.684755256915821064e+02,2.339566729605880441e-02,1.260604081299340762e-01,1.148061367545413908e-01
1.423684946829297928e+02,6.919953086962443711e-02,2.627596494186995243e-02,2.558268831641326638e-02
3.532639784146231250e+02,5.223822898352550176e-02,1.527714197004283181e-01,1.529364202203486178e-01
2.521697079546129316e+02,7.553695899439277772e-02,6.842276701336702516e-02,6.129602220901608778e-02
3.901175752304955608e+02,3.872479522675873614e-02,1.793080446304784192e-01,1.809721126961686410e-01
3.615464044273577429e+02,5.911965246149731429e-02,1.521655107131388851e-01,1.489091056509219135e-01
2.724906995109624859e+02,6.832051302205019438e-02,8.419602546229801310e-02,8.850824944387675197e-02
4.469282022568796719e+02,1.090140962492177137e-02,1.877018478359740172e-01,1.870738874158023868e-01
3.528540470000668279e+02,3.259977604780645022e-02,1.642734167465625117e-01,1.676191829505097874e-01
4.241097408425196136e+02,4.053608542273026694e-02,1.929833004852140321e-01,1.990775185110701395e-01
2.367178895760451951e+02,7.500224108172071080e-02,6.059394232185148776e-02,6.250859023541885384e-02
3.174677158673822532e+02,7.093421997554318070e-02,1.121069141207086395e-01,1.077283084035944166e-01
1.785187540459013462e+02,1.591557699241474833e-02,7.823484078278181153e-02,7.066324762425861550e-02
4.984564760474511331e+02,7.688213819112120484e-02,2.172993911739726780e-01,2.260663117615545337e-01
