t,Theta,Theta_surf,dTheta_dt,dTheta_dt_noisy
0.000000000000000000e+00,1.000000000000000000e+02,1.000000000000000000e+02,-1.166227766016837997e+01,-1.165191013440643708e+01
2.000400080016003293e-02,9.976705637710304586e+01,9.980028832084165913e+01,-1.162744874645476045e+01,-1.160280020214972652e+01
4.000800160032006586e-02,9.953480809417841613e+01,9.960105671987570020e+01,-1.159275745488134213e+01,-1.158284434259584117e+01
6.001200240048010226e-02,9.930325240465143111e+01,9.940230372554223948e+01,-1.155820315187098046e+01,-1.159729786881911195e+01
8.001600320064013172e-02,9.907238657460857212e+01,9.920402787220608332e+01,-1.152378520500034220e+01,-1.149662452900014920e+01
1.000200040008001612e-01,9.884220788270889102e+01,9.900622770009442775e+01,-1.148950298303470774e+01,-1.147611174586378802e+01
1.200240048009602045e-01,9.861271362018401021e+01,9.880890175529692954e+01,-1.145535585597677652e+01,-1.147146445303758533e+01
1.400280056011202201e-01,9.838390109083815105e+01,9.861204858976564935e+01,-1.142134319511539964e+01,-1.140390965198950823e+01
1.600320064012802634e-01,9.815576761104806280e+01,9.841566676131509439e+01,-1.138746437307410808e+01,-1.137652720118852656e+01
1.800360072014403068e-01,9.792831050782584157e+01,9.821975483276153795e+01,-1.135371876352213150e+01,-1.134489478862246514e+01
2.000400080016003224e-01,9.770152710882186398e+01,9.802431136760125696e+01,-1.132010573947701104e+01,-1.131925307223753663e+01
2.200440088017603657e-01,9.747541476961499995e+01,9.782933494210293190e+01,-1.128662467810617365e+01,-1.127022328850780042e+01
2.400480096019204090e-01,9.724997086136791324e+01,9.763482413950761440e+01,-1.125327495863962746e+01,-1.127536858124967800e+01
2.600520104020804246e-01,9.702519276701971762e+01,9.744077754831124594e+01,-1.122005596175553066e+01,-1.122494326019532274e+01
2.800560112022404402e-01,9.680107788128601953e+01,9.724719376226457257e+01,-1.118696706962710330e+01,-1.120143064900750218e+01
3.000600120024005113e-01,9.657762361065891810e+01,9.705407138037321602e+01,-1.115400766596897242e+01,-1.113604227958993320e+01
3.200640128025605269e-01,9.635482737340699089e+01,9.686140900689764521e+01,-1.112117713608304825e+01,-1.111998547285859829e+01
3.400680136027205425e-01,9.613268659957527973e+01,9.666920525135317632e+01,-1.108847486690378759e+01,-1.109724856943273963e+01
3.600720144028806136e-01,9.591119873098531912e+01,9.647745872850997273e+01,-1.105590024704289931e+01,-1.107935750091360383e+01
3.800760152030406291e-01,9.569036122123512200e+01,9.628616805839305925e+01,-1.102345266683341052e+01,-1.103116843405197578e+01
4.000800160032006447e-01,9.547017153569920822e+01,9.609533186628229373e+01,-1.099113151837311264e+01,-1.099088725295756319e+01
4.200840168033607158e-01,9.525062715152853343e+01,9.590494878271240964e+01,-1.095893619556727216e+01,-1.096720428272625369e+01
4.400880176035207314e-01,9.503172555765057439e+01,9.571501744347298768e+01,-1.092686609417071608e+01,-1.088804417973877037e+01
4.600920184036807470e-01,9.481346425476925788e+01,9.552553648960841315e+01,-1.089492061182915705e+01,-1.086471888236998318e+01
4.800960192038408181e-01,9.459584075536501757e+01,9.533650456741800383e+01,-1.086309914811979382e+01,-1.094443402248877284e+01
5.001000200040007782e-01,9.437885258369475139e+01,9.514792032845583947e+01,-1.083140110459117622e+01,-1.088807150197020590e+01
5.201040208041608492e-01,9.416249727579184992e+01,9.495978242953093229e+01,-1.079982588480226724e+01,-1.080506904756392217e+01
5.401080216043209203e-01,9.394677237946618220e+01,9.477208953270708491e+01,-1.076837289436076261e+01,-1.078103860670805325e+01
5.601120224044808804e-01,9.373167545430409575e+01,9.458484030530297559e+01,-1.073704154096057728e+01,-1.073063225103561891e+01
5.801160232046409515e-01,9.351720407166840232e+01,9.439803341989212981e+01,-1.070583123441857687e+01,-1.069931157648790077e+01
6.001200240048010226e-01,9.330335581469844897e+01,9.421166755430292028e+01,-1.067474138671045303e+01,-1.061120622405892178e+01
6.201240248049609827e-01,9.309012827831000436e+01,9.402574139161859534e+01,-1.064377141200579402e+01,-1.067713203488656326e+01
6.401280256051210538e-01,9.287751906919534406e+01,9.384025362017722216e+01,-1.061292072670233821e+01,-1.062424887691614828e+01
6.601320264052811249e-01,9.266552580582322207e+01,9.365520293357172932e+01,-1.058218874945938737e+01,-1.052090560123461671e+01
6.801360272054410849e-01,9.245414611843888508e+01,9.347058803064989263e+01,-1.055157490123038677e+01,-1.053217381134433062e+01
7.001400280056011560e-01,9.224337764906404402e+01,9.328640761551434935e+01,-1.052107860529467054e+01,-1.050118670412338240e+01
7.201440288057612271e-01,9.203321805149690249e+01,9.310266039752256972e+01,-1.049069928728835777e+01,-1.050611947843898086e+01
7.401480296059211872e-01,9.182366499131214255e+01,9.291934509128689967e+01,-1.046043637523443870e+01,-1.050987863036010772e+01
7.601520304060812583e-01,9.161471614586091050e+01,9.273646041667451811e+01,-1.043028929957196915e+01,-1.042526535724528713e+01
7.801560312062413294e-01,9.140636920427087375e+01,9.255400509880746540e+01,-1.040025749318450110e+01,-1.039698707054985505e+01
8.001600320064012895e-01,9.119862186744613552e+01,9.237197786806261490e+01,-1.037034039142762332e+01,-1.040716095305496047e+01
8.201640328065613605e-01,9.099147184806732014e+01,9.219037746007170142e+01,-1.034053743215567600e+01,-1.036103423200909290e+01
8.401680336067214316e-01,9.078491686983232967e+01,9.200920261530454525e+01,-1.031084805562363726e+01,-1.031300936601545359e+01
8.601720344068813917e-01,9.057895465122894052e+01,9.182845206954836215e+01,-1.028127170190011697e+01,-1.030961425059193992e+01
8.801760352070414628e-01,9.037358293510989427e+01,9.164812456922005879e+01,-1.025180781578246147e+01,-1.025475591481802873e+01
9.001800360072015339e-01,9.016879948305810899e+01,9.146821886963526538e+01,-1.022245584581135880e+01,-1.021959135498727456e+01
9.201840368073614940e-01,8.996460206683188687e+01,9.128873373055060370e+01,-1.019321524288127989e+01,-1.019214765576961490e+01
9.401880376075215651e-01,8.976098846836484313e+01,9.110966791616368710e+01,-1.016408546026339721e+01,-1.017927421001282617e+01
9.601920384076816362e-01,8.955795647976596285e+01,9.093102019511310630e+01,-1.013506595362773766e+01,-1.011725351147416241e+01
9.801960392078415962e-01,8.935550390331960102e+01,9.075278934047842938e+01,-1.010615618106453795e+01,-1.007942117243606894e+01
1.000200040008001556e+00,8.915362855148545407e+01,9.057497412978023021e+01,-1.007735560310483258e+01,-1.006773015396783499e+01
1.020204040808161627e+00,8.895232824689857409e+01,9.039757334498004582e+01,-1.004866368274029043e+01,-1.007321058956199877e+01
1.040208041608321698e+00,8.875160082236934045e+01,9.022058577248041900e+01,-1.002007988544229988e+01,-9.998130316928737216e+00
1.060212042408481770e+00,8.855144412088354500e+01,9.004401020312484150e+01,-9.991603679180311559e+00,-1.000664687973432265e+01
1.080216043208641841e+00,8.835185599560227843e+01,8.986784543219783927e+01,-9.963234534439447287e+00,-9.936859715890808076e+00
1.100220044008801912e+00,8.815283430986201552e+01,8.969209025942488722e+01,-9.934971924237403940e+00,-9.967125546743726971e+00
1.120224044808961761e+00,8.795437693717458671e+01,8.951674348897245181e+01,-9.906815324140620049e+00,-9.879381308046756516e+00
