t,Psi,phi,dPsi_dt,dPsi_dt_noisy
0.000000000000000000e+00,1.000000000000000021e-02,0.000000000000000000e+00,1.199959981005997711e-02,1.545544173070783830e-02
6.001200240048009185e-03,1.007227180376683157e-02,1.488521931422001065e-05,1.208628724657652594e-02,2.030246868158810947e-02
1.200240048009601837e-02,1.014506571171515208e-02,2.983234240408193678e-05,1.217360045808755370e-02,1.547797121992142491e-02
1.800360072014402929e-02,1.021838549879061642e-02,4.484193851148696316e-05,1.226154396177019969e-02,-7.700283542734099457e-04
2.400480096019203674e-02,1.029223496087278318e-02,5.991457959461215501e-05,1.235012229970803427e-02,2.140368096643921123e-02
3.000600120024004419e-02,1.036661791679582660e-02,7.505084057478581005e-05,1.243934004131159142e-02,1.690308576495170440e-02
3.600720144028805858e-02,1.044153821440491244e-02,9.025130012215161848e-05,1.252920179057986569e-02,7.159669436977014051e-03
4.200840168033606603e-02,1.051699973055619276e-02,1.055165406556686698e-04,1.261971218609638130e-02,1.843089322805991151e-02
4.800960192038407348e-02,1.059300637111681813e-02,1.208471483431114663e-04,1.271087590102525956e-02,1.635659986288601556e-02
5.401080216043208093e-02,1.066956207096492193e-02,1.362437131010699502e-04,1.280269764310717172e-02,1.574402260966243153e-02
6.001200240048008838e-02,1.074667079398963082e-02,1.517068285949494495e-04,1.289518215465524330e-02,1.317940456781321185e-02
6.601320264052809583e-02,1.082433653309106646e-02,1.672370922389708134e-04,1.298833421255089771e-02,1.845546407867536612e-02
7.201440288057611716e-02,1.090256331018033507e-02,1.828351051961701413e-04,1.308215862823961136e-02,5.717617758222942256e-03
7.801560312062412461e-02,1.098135517617953617e-02,1.985014723783990809e-04,1.317666024772662717e-02,1.154756076779609938e-02
8.401680336067213206e-02,1.106071621102176078e-02,2.142368024463244490e-04,1.327184395157256225e-02,8.450650824772778374e-03
9.001800360072013951e-02,1.114065052365108971e-02,2.300417078094289629e-04,1.336771465488897914e-02,1.935617678123525282e-02
9.601920384076814696e-02,1.122116225202259183e-02,2.459168046260102377e-04,1.346427730733384780e-02,1.386149838215043791e-02
1.020204040808161544e-01,1.130225556310233449e-02,2.618627128031816268e-04,1.356153689310696936e-02,1.063696938345608245e-02
1.080216043208641619e-01,1.138393465303740200e-02,2.778800560173827244e-04,1.365949843114924213e-02,5.840413807580820821e-03
1.140228045609121693e-01,1.146620375600288823e-02,2.939694627658621874e-04,1.375816698574997346e-02,1.118624457956126673e-02
1.200240048009601768e-01,1.154906712961852218e-02,3.101315645746211599e-04,1.385754764904903805e-02,1.393896945423247352e-02
1.260252050410081981e-01,1.163252905741783173e-02,3.263669963332001592e-04,1.395764554399384072e-02,1.120161649100013743e-02
1.320264052810561917e-01,1.171659385548424852e-02,3.426763971037452149e-04,1.405846583229431249e-02,2.699910397627638611e-02
1.380276055211042130e-01,1.180126587245110444e-02,3.590604101210082477e-04,1.416001371441771850e-02,2.422725686747566332e-02
1.440288057611522343e-01,1.188654948950163687e-02,3.755196827923465821e-04,1.426229442958334460e-02,-1.284933036007634109e-02
1.500300060012002279e-01,1.197244912036898173e-02,3.920548666977231086e-04,1.436531325575711622e-02,-4.524819203919611468e-03
1.560312062412482492e-01,1.205896921133618217e-02,4.086666175897067719e-04,1.446907550964612529e-02,1.272135458909450650e-02
1.620324064812962428e-01,1.214611424123617986e-02,4.253555953934717035e-04,1.457358654669305142e-02,1.035168243092951523e-02
1.680336067213442641e-01,1.223388872145182195e-02,4.421224642067978720e-04,1.467885176107051708e-02,1.681528173605662674e-02
1.740348069613922577e-01,1.232229719591585414e-02,4.589678923000709205e-04,1.478487658567528666e-02,1.695809589590092231e-02
1.800360072014402790e-01,1.241134424111093107e-02,4.758925521162820586e-04,1.489166649212246736e-02,3.607005404263294995e-02
1.860372074414882726e-01,1.250103446606960420e-02,4.928971202710278991e-04,1.499922699073949657e-02,3.879019363816682553e-03
1.920384076815362939e-01,1.259137251237432871e-02,5.099822775525113261e-04,1.510756363056012935e-02,1.133151355929014857e-02
1.980396079215843153e-01,1.268236305415746355e-02,5.271487089215402475e-04,1.521668199931823853e-02,3.564439807424153728e-02
2.040408081616323088e-01,1.277401079810126967e-02,5.443971035115281916e-04,1.532658772344159745e-02,2.179361768546006495e-02
2.100420084016803302e-01,1.286632049041495224e-02,5.617281554329571405e-04,1.543728647641366518e-02,2.206792020017628309e-02
2.160432086417283237e-01,1.295929691071569419e-02,5.791425630086332503e-04,1.554878397142802141e-02,1.040872025455339203e-02
2.220444088817763451e-01,1.305294486340636932e-02,5.966410278039367470e-04,1.566108595104030027e-02,-8.196657575162275000e-04
2.280456091218243386e-01,1.314726918934777840e-02,6.142242560109087814e-04,1.577419820116102503e-02,1.744884564338843730e-02
2.340468093618723600e-01,1.324227476592098295e-02,6.318929584555517962e-04,1.588812655112335423e-02,1.697826742933883012e-02
2.400480096019203535e-01,1.333796650702731221e-02,6.496478505978288756e-04,1.600287687367601616e-02,3.729356331230273755e-03
2.460492098419683749e-01,1.343434936308835273e-02,6.674896525316643958e-04,1.611845508497605772e-02,9.286188467170435057e-03
2.520504100820163962e-01,1.353142832104595530e-02,6.854190889849436997e-04,1.623486714458147878e-02,1.551443034730920489e-02
2.580516103220644175e-01,1.362920840436223323e-02,7.034368893195127714e-04,1.635211905544376593e-02,6.904602824835992178e-03
2.640528105621123833e-01,1.372769467301956058e-02,7.215437875311787787e-04,1.647021686390028744e-02,1.548751718537811489e-02
2.700540108021604047e-01,1.382689222352058087e-02,7.397405222497100731e-04,1.658916665966654602e-02,1.754399693436108770e-02
2.760552110422084260e-01,1.392680618888818972e-02,7.580278367388356472e-04,1.670897457582828927e-02,1.706483694638314536e-02
2.820564112822564473e-01,1.402744173866555220e-02,7.764064788962457856e-04,1.682964678883350218e-02,1.176673020569035319e-02
2.880576115223044686e-01,1.412880407891609416e-02,7.948772012535915230e-04,1.695118951848429908e-02,2.288867023634252873e-02
2.940588117623524345e-01,1.423089845222350394e-02,8.134407609764846437e-04,1.707360902792856919e-02,2.598527857075185257e-02
3.000600120024004558e-01,1.433373013769173414e-02,8.320979198644986577e-04,1.719691162365158399e-02,2.040539466931722001e-02
3.060612122424484771e-01,1.443730445763406409e-02,8.508494450969327112e-04,1.732110366348933381e-02,9.138801389586262772e-03
3.120624124824964984e-01,1.454162677351599105e-02,8.696961087123368647e-04,1.744619155175416297e-02,2.476271438960857274e-02
3.180636127225444643e-01,1.464670247400351802e-02,8.886386862973519275e-04,1.757218172489277350e-02,1.255778154022224938e-02
3.240648129625924856e-01,1.475253698848912574e-02,9.076779585450332408e-04,1.769908066769822208e-02,2.649068685057807612e-02
3.300660132026405069e-01,1.485913578728143870e-02,9.268147112763798967e-04,1.782689491352799221e-02,7.109020744753551113e-03
3.360672134426885282e-01,1.496650438160523552e-02,9.460497354403356058e-04,1.795563104429438728e-02,2.710030307558219942e-02
3.420684136827365496e-01,1.507464832360145071e-02,9.653838271137882635e-04,1.808529569045485078e-02,1.788466114430004722e-02
3.480696139227845154e-01,1.518357320632716771e-02,9.848177875015696244e-04,1.821589553100197434e-02,5.728406627657819938e-03
3.540708141628325367e-01,1.529328466375562412e-02,1.004352422936456712e-03,1.834743729345348837e-02,1.520844257378501166e-02
3.600720144028805580e-01,1.540378837077620994e-02,1.023988544879169760e-03,1.847992775384194736e-02,1.902095054155738749e-02
3.660732146429285794e-01,1.551509004319446584e-02,1.043726969918373944e-03,1.861337373670430076e-02,2.134128712834883895e-02
3.720744148829765452e-01,1.562719543773208666e-02,1.063568519770678299e-03,1.874778211507127992e-02,8.925900865661503050e-03
3.780756151230245665e-01,1.574011035202692310e-02,1.083514021280636806e-03,1.888315981045654568e-02,7.809429338804615983e-03
3.840768153630725879e-01,1.585384062463296787e-02,1.103564306420746870e-03,1.901951379284572835e-02,2.101535912131653749e-02
3.900780156031206092e-01,1.596839213502037821e-02,1.123720212291450839e-03,1.915685108068518674e-02,1.448935491188716590e-02
3.960792158431686305e-01,1.608377080357545688e-02,1.143982581121134705e-03,1.929517874087065613e-02,2.165023485817290858e-02
4.020804160832165963e-01,1.619998260086515096e-02,1.164352261257205548e-03,1.943450389984470450e-02,2.702969912462849580e-02
4.080816163232646177e-01,1.631703353706049839e-02,1.184830105940116052e-03,1.957483373090245990e-02,3.086960067392976320e-03
4.140828165633126390e-01,1.643492965570024500e-02,1.205416972685143754e-03,1.971617544670159483e-02,2.226005661187776749e-02
