t,v,T_local,dv_dt,dv_dt_noisy
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,6.666666666666666297e-01,6.701225085873144804e-01
2.400480096019203848e-03,1.599252459362761596e-03,6.137858376076410170e-09,6.657769616052555683e-01,6.739931430402671397e-01
4.800960192038407695e-03,3.196367673861651680e-03,4.902414529205946758e-08,6.648859873581866031e-01,6.681903581200204778e-01
7.201440288057611543e-03,4.791342610349164956e-03,1.651910495941737923e-07,6.639937551018998407e-01,6.509621827858562693e-01
9.601920384076815390e-03,6.384174262132216379e-03,3.909351275158695186e-07,6.631002758506506778e-01,6.721538345173818652e-01
1.200240048009601837e-02,7.974859646673465585e-03,7.623185779564125742e-07,6.622055604590992850e-01,6.666693061827394517e-01
1.440288057611522309e-02,9.563395791401444954e-03,1.315176797227665651e-06,6.613096196315914055e-01,6.559400872779885816e-01
1.680336067213442780e-02,1.114977977455855127e-02,2.085095484619734071e-06,6.604124639005797270e-01,6.662236449425432694e-01
1.920384076815363078e-02,1.273400870334672266e-02,3.107423646587076106e-06,6.595141036401179768e-01,6.631598276019787797e-01
2.160432086417283376e-02,1.431607970655704790e-02,4.417277788938373952e-06,6.586145490713101180e-01,6.615558740378654212e-01
2.400480096019203674e-02,1.589598993456978540e-02,6.049541916836529170e-06,6.577138102636390649e-01,6.579980326767970178e-01
2.640528105621124319e-02,1.747373655935434075e-02,8.038867534798667776e-06,6.568118971362963965e-01,6.622790270024209169e-01
2.880576115223044617e-02,1.904931677446926666e-02,1.041967364669613388e-05,6.559088194595127375e-01,6.485442785894960371e-01
3.120624124824964915e-02,2.062272779506229420e-02,1.322614675575449266e-05,6.550045868558890261e-01,6.533754873759585191e-01
3.360672134426885560e-02,2.219396685787030157e-02,1.649224086455355662e-05,6.540992088017280048e-01,6.492780156749282661e-01
3.600720144028805858e-02,2.376303122121930372e-02,2.025167747502729662e-05,6.531926946283670432e-01,6.591811567547133377e-01
3.840768153630726156e-02,2.532991816502450783e-02,2.453794558846397408e-05,6.522850535235110714e-01,6.526822745983276164e-01
4.080816163232646454e-02,2.689462499079025085e-02,2.938430170550603587e-05,6.513762945325657361e-01,6.484517270229148700e-01
4.320864172834566752e-02,2.845714902161003076e-02,3.482376982615014826e-05,6.504664265599721107e-01,6.426473419364037154e-01
4.560912182436487050e-02,3.001748760216651699e-02,4.088914144974722736e-05,6.495554583705401841e-01,6.469835359643514305e-01
4.800960192038407348e-02,3.157563809873151217e-02,4.761297557500238493e-05,6.486433985907840150e-01,6.487248203959674608e-01
5.041008201640328340e-02,3.313159789916601122e-02,5.502759869997497923e-05,6.477302557102566638e-01,6.449742266572630056e-01
5.281056211242248638e-02,3.468536441292011108e-02,6.316510482207857093e-05,6.468160380828843481e-01,6.597566762268664009e-01
5.521104220844168936e-02,3.623693507103310091e-02,7.205735543808088246e-05,6.459007539283032617e-01,6.559679970813612204e-01
5.761152230446089234e-02,3.778630732613344478e-02,8.173597954410399455e-05,6.449844113331929529e-01,6.178727865435332811e-01
6.001200240048009532e-02,3.933347865243871228e-02,9.223237363562410227e-05,6.440670182526126997e-01,6.251768857929359546e-01
6.241248249649929830e-02,4.087844654575566866e-02,1.035777017074716980e-04,6.431485825113364418e-01,6.414008615907847988e-01
6.481296259251850822e-02,4.242120852348025412e-02,1.158028952538314222e-04,6.422291118051878245e-01,6.380072076894243160e-01
6.721344268853771120e-02,4.396176210090744357e-02,1.289386723323577742e-04,6.413086137159783595e-01,6.434450436909644466e-01
6.961392278455691418e-02,4.550010480228287163e-02,1.430155302773988401e-04,6.403870957065183056e-01,6.425603150167439326e-01
7.201440288057611716e-02,4.703623419698310659e-02,1.580637161001196124e-04,6.394645651011741094e-01,6.606429526516846007e-01
7.441488297659532014e-02,4.857014786952085911e-02,1.741132496920071062e-04,6.385410291044334441e-01,6.274208214775106596e-01
7.681536307261452312e-02,5.010184341939745434e-02,1.911939239412340516e-04,6.376164948023441692e-01,6.338404447310741485e-01
7.921584316863372610e-02,5.163131846110285972e-02,2.093353047326588666e-04,6.366909691638675817e-01,6.571186852387909116e-01
8.161632326465292908e-02,5.315857062411568495e-02,2.285667309478260092e-04,6.357644590422317776e-01,6.422314890042502000e-01
8.401680336067213206e-02,5.468359755290317509e-02,2.489173144649653815e-04,6.348369711762835710e-01,6.414676049000461733e-01
8.641728345669133504e-02,5.620639690692120355e-02,2.704159401589929530e-04,6.339085121918405230e-01,6.287684484749659353e-01
8.881776355271053802e-02,5.772696636061429992e-02,2.930912659015103808e-04,6.329790886030408625e-01,6.164983368944843001e-01
9.121824364872974100e-02,5.924530360341562218e-02,3.169717225608050643e-04,6.320487068136951825e-01,6.337233542559226329e-01
9.361872374474894398e-02,6.076140633974694977e-02,3.420855140018501449e-04,6.311173731186343616e-01,6.322075139968498236e-01
9.601920384076814696e-02,6.227527228901873213e-02,3.684606170863047227e-04,6.301850937050580415e-01,6.179115731626122487e-01
9.841968393678736382e-02,6.378689918563003325e-02,3.961247816725135861e-04,6.292518746538829921e-01,6.224196080360773209e-01
