t,n,p,T_e,dn_dt,dn_dt_noisy
0.000000000000000000e+00,2.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,-2.299999999999999822e+00,-2.296544158079351750e+00
2.000400080016003206e-03,1.995417481431652762e+00,9.960054920171425019e-01,2.788559117236506443e-03,-2.281668755528863279e+00,-2.273452574093851819e+00
4.000800160032006413e-03,1.990871236164018843e+00,9.920235273133700682e-01,5.553237638445411919e-03,-2.263731647139768821e+00,-2.260427276377935168e+00
6.001200240048009185e-03,1.986360486655056601e+00,9.880540449460520902e-01,8.294216437835956815e-03,-2.246176955122706431e+00,-2.259208527438750114e+00
8.001600320064012825e-03,1.981884481324096781e+00,9.840969849353610188e-01,1.101167467441234449e-02,-2.228993413837485171e+00,-2.219939855170753873e+00
1.000200040008001647e-02,1.977442489309913176e+00,9.801522881240618545e-01,1.370578995229593949e-02,-2.212170183670552071e+00,-2.207706437946912015e+00
1.200240048009601837e-02,1.973033799708056479e+00,9.762198961575425660e-01,1.637673834448558768e-02,-2.195696831219230205e+00,-2.201066363572833140e+00
1.400280056011202201e-02,1.968657721570854946e+00,9.722997514838145339e-01,1.902469439285762315e-02,-2.179563311655459135e+00,-2.173752130613495481e+00
1.600320064012802565e-02,1.964313583907414396e+00,9.683917973535122181e-01,2.164983110816585260e-02,-2.163759952007215492e+00,-2.160114228045354690e+00
1.800360072014402929e-02,1.960000735683617323e+00,9.644959778198931577e-01,2.425231997004156925e-02,-2.148277435303024063e+00,-2.145336110336468760e+00
2.000400080016003293e-02,1.955718545568452038e+00,9.606122377312837912e-01,2.683233093551929890e-02,-2.133106785155952867e+00,-2.132822562742795025e+00
2.200440088017603657e-02,1.951466396751890597e+00,9.567405225757709131e-01,2.939003260438387971e-02,-2.118239343974704703e+00,-2.112772214108580293e+00
2.400480096019203674e-02,1.947243692490414846e+00,9.528807786447238692e-01,3.192559201792292967e-02,-2.103666767780860702e+00,-2.111031308650877403e+00
2.600520104020804038e-02,1.943049852695212021e+00,9.490329529330213676e-01,3.443917478965832779e-02,-2.089381008360298608e+00,-2.091010107840229004e+00
2.800560112022404402e-02,1.938884311604804678e+00,9.451969930700678812e-01,3.693094518646011792e-02,-2.075374297870286711e+00,-2.080195490997086338e+00
3.000600120024004766e-02,1.934746517785050690e+00,9.413728473197934266e-01,3.940106612854650525e-02,-2.061639137488377571e+00,-2.055650675362031166e+00
3.200640128025605130e-02,1.930635934129143028e+00,9.375604645806542292e-01,4.184969918948387713e-02,-2.048168286613357925e+00,-2.047771065538541269e+00
3.400680136027205147e-02,1.926552037857609978e+00,9.337597943856319471e-01,4.427700459618676143e-02,-2.034954752587563309e+00,-2.037879320097214286e+00
3.600720144028805858e-02,1.922494320518315147e+00,9.299707869022343365e-01,4.668314122891790985e-02,-2.021991780911813308e+00,-2.029810865535381925e+00
3.800760152030405875e-02,1.918462287986457238e+00,9.261933929324948078e-01,4.906826662128815908e-02,-2.009272845925995643e+00,-2.011844768332184508e+00
4.000800160032006586e-02,1.914455460308356560e+00,9.224275639078326483e-01,5.143253696652816398e-02,-1.996791641714330545e+00,-1.996710219909147099e+00
4.200840168033606603e-02,1.910473366101501869e+00,9.186732517045862467e-01,5.377610733193101400e-02,-1.984542066002273897e+00,-1.987298095055267666e+00
4.400880176035207314e-02,1.906515548589397202e+00,9.149304088424301540e-01,5.609913139665310966e-02,-1.972518220632189845e+00,-1.959577582488207792e+00
4.600920184036807331e-02,1.902581563880041404e+00,9.111989884285383035e-01,5.840176154270085296e-02,-1.960714401453345301e+00,-1.950647158300287343e+00
4.800960192038407348e-02,1.898670978039562307e+00,9.074789440614279279e-01,6.068414897700578209e-02,-1.949125087095466835e+00,-1.976236711885126507e+00
5.001000200040008059e-02,1.894783367092216730e+00,9.037702298309595594e-01,6.294644373142449512e-02,-1.937744932148497190e+00,-1.956635064608173824e+00
5.201040208041608076e-02,1.890918317020391370e+00,9.000728003183374737e-01,6.518879466273864998e-02,-1.926568760649094658e+00,-1.928316481569646301e+00
5.401080216043208787e-02,1.887075423764601467e+00,8.963866105961093567e-01,6.741134945265503386e-02,-1.915591559858113024e+00,-1.919813463973876644e+00
5.601120224044808804e-02,1.883254293223491471e+00,8.927116162281661937e-01,6.961425460780545915e-02,-1.904808474314229283e+00,-1.902672044339243085e+00
5.801160232046409515e-02,1.879454541253835043e+00,8.890477732697426028e-01,7.179765545974686747e-02,-1.894214800149728983e+00,-1.892041580839503245e+00
6.001200240048009532e-02,1.875675793670535052e+00,8.853950382674166120e-01,7.396169616496127419e-02,-1.883805979655269747e+00,-1.862627592104759255e+00
6.201240248049610243e-02,1.871917686246623580e+00,8.817533682591095490e-01,7.610651970485576845e-02,-1.873577596081188679e+00,-1.884697803708111463e+00
6.401280256051210260e-02,1.868179863872651225e+00,8.781227207433954796e-01,7.823226792670377738e-02,-1.863525367574568214e+00,-1.867301417645838235e+00
6.601320264052810971e-02,1.864461975542317518e+00,8.745030534971582892e-01,8.033908177021277519e-02,-1.853645136038203578e+00,-1.833217419963280248e+00
6.801360272054410294e-02,1.860763682638633121e+00,8.708943248790456115e-01,8.242710085095480976e-02,-1.843932873434132702e+00,-1.837465843472114280e+00
7.001400280056011005e-02,1.857084654585250627e+00,8.672964936699356642e-01,8.449646369920932321e-02,-1.834384671718967574e+00,-1.827754037995204861e+00
7.201440288057611716e-02,1.853424567604254003e+00,8.637095190274992618e-01,8.654730782295495806e-02,-1.824996737154872317e+00,-1.830136800871746905e+00
7.401480296059212427e-02,1.849783104716157922e+00,8.601333604862002602e-01,8.857976970786964055e-02,-1.815765386414778693e+00,-1.832246138123335255e+00
7.601520304060811750e-02,1.846159955739909542e+00,8.565679779572948904e-01,9.059398481733056674e-02,-1.806687042848324598e+00,-1.805012395406097259e+00
7.801560312062412461e-02,1.842554817292886060e+00,8.530133317288320915e-01,9.259008759241423026e-02,-1.797758232900942943e+00,-1.796668092022727370e+00
8.001600320064013172e-02,1.838967392790896938e+00,8.494693824656538439e-01,9.456821145189636679e-02,-1.788975582678947518e+00,-1.801249103221393311e+00
8.201640328065612495e-02,1.835397392448182785e+00,8.459360912093945029e-01,9.652848879225198186e-02,-1.780335814653823956e+00,-1.787168081271629516e+00
8.401680336067213206e-02,1.831844533277415366e+00,8.424134193784811320e-01,9.847105098765537856e-02,-1.771835744499304255e+00,-1.772556181296576439e+00
8.601720344068813917e-02,1.828308539089698037e+00,8.389013287681338360e-01,1.003960283899800882e-01,-1.763472278055132847e+00,-1.772919794285740647e+00
8.801760352070414628e-02,1.824789140494565531e+00,8.353997815503650948e-01,1.023035503287989395e-01,-1.755242408411753718e+00,-1.756225108090275988e+00
9.001800360072013951e-02,1.821286074830242407e+00,8.319087402711410340e-01,1.041937451157058520e-01,-1.747143213024692443e+00,-1.746188382749997992e+00
9.201840368073614662e-02,1.817799081665253169e+00,8.284281676681962692e-01,1.060667403112790369e-01,-1.739171845549978057e+00,-1.738815983179423208e+00
9.401880376075215373e-02,1.814327907775876048e+00,8.249580268759376667e-01,1.079226623915078842e-01,-1.731325539511504807e+00,-1.736388456094647870e+00
9.601920384076814696e-02,1.810872307237401557e+00,8.214982814272839828e-01,1.097616367700958023e-01,-1.723601605850141771e+00,-1.717664125132283504e+00
9.801960392078415407e-02,1.807432038726058066e+00,8.180488951433366740e-01,1.115837879722487991e-01,-1.715997427254395191e+00,-1.707085757711571894e+00
1.000200040008001612e-01,1.804006865519013347e+00,8.146098321333804515e-01,1.133892396346755232e-01,-1.708510455928513583e+00,-1.705301972882848016e+00
1.020204040808161683e-01,1.800596555494373252e+00,8.111810567948830597e-01,1.151781145055872091e-01,-1.701138211445105686e+00,-1.709320513719008838e+00
1.040208041608321615e-01,1.797200881131182815e+00,8.077625338134953870e-01,1.169505344446977041e-01,-1.693878278678632388e+00,-1.686561755840777943e+00
1.060212042408481686e-01,1.793819619509425145e+00,8.043542281630511326e-01,1.187066204232235245e-01,-1.686728305816299844e+00,-1.691742706000970431e+00
1.080216043208641757e-01,1.790452552310022316e+00,8.009561051055674730e-01,1.204464925238837164e-01,-1.679686002443056880e+00,-1.670894396260176995e+00
1.100220044008801829e-01,1.787099465814835364e+00,7.975681301912442844e-01,1.221702699409000226e-01,-1.672749137697556066e+00,-1.683467011866330409e+00
1.120224044808961761e-01,1.783760150906663178e+00,7.941902692584648094e-01,1.238780709799967433e-01,-1.665915538496091308e+00,-1.656770866464803538e+00
1.140228045609121832e-01,1.780434403069244054e+00,7.908224884337951011e-01,1.255700130584008201e-01,-1.659183087821664460e+00,-1.659383722367819169e+00
1.160232046409281903e-01,1.777122022387254807e+00,7.874647541319844679e-01,1.272462127048418212e-01,-1.652549723075469323e+00,-1.665037211978813492e+00
1.180236047209441835e-01,1.773822813546310551e+00,7.841170330559652513e-01,1.289067855595519008e-01,-1.646013434488212690e+00,-1.649152429207881188e+00
1.200240048009601906e-01,1.770536585585769318e+00,7.807792921856215873e-01,1.305518463937613838e-01,-1.639572263299285293e+00,-1.639031240511569898e+00
1.220244048809761978e-01,1.767263147941477097e+00,7.774514985996815453e-01,1.321815094063897300e-01,-1.633224295699986728e+00,-1.630496382308342262e+00
1.240248049609922049e-01,1.764002316242800461e+00,7.741336197416138765e-01,1.337958877460350970e-01,-1.626967668282746970e+00,-1.636789549532156718e+00
1.260252050410081981e-01,1.760753910762257402e+00,7.708256233461149298e-01,1.353950936636228175e-01,-1.620800564777466812e+00,-1.631874295249118756e+00
1.280256051210242052e-01,1.757517754877319760e+00,7.675274773687259522e-01,1.369792386384131866e-01,-1.614721212946208739e+00,-1.612725367617737993e+00
1.300260052010402123e-01,1.754293675070411673e+00,7.642391499858338655e-01,1.385484333780013788e-01,-1.608727883340854037e+00,-1.613395379509652061e+00
