T,B_ext,C,C_noisy
1.584282711630744522e+01,3.330396370361068392e-01,5.609019815340902278e+04,5.640986353106894967e+04
2.856344719345212368e+01,5.866836280992436592e+00,2.500561596821846906e+05,2.508161564649232605e+05
5.180628768869378398e+00,7.189464943676897590e-01,9.659364580251936786e+03,9.965018875721569202e+03
2.851083396698007277e+01,8.708946539252782060e-01,2.316955127577957464e+05,2.304900923185617139e+05
1.004311210830407752e+01,5.097355676049936335e+00,2.897887414352989072e+04,2.981632832020252317e+04
1.327646702020469327e+01,6.767859609835582546e+00,4.612598595880956418e+04,4.653888243824627716e+04
2.500337522079281172e+01,2.062945338888169999e+00,1.649115219888548600e+05,1.644148402461466030e+05
1.286677495470567756e+01,4.049528824612599998e+00,3.963426988751028694e+04,4.017180413389191381e+04
1.693821694251872501e+01,6.133384411975463912e+00,7.095200026100216201e+04,7.128922972747428867e+04
1.799214284048982648e+00,1.480247082073848475e+00,1.282912143828837725e+04,1.310119399769473966e+04
2.285188015156938945e+01,3.298356045780823642e+00,1.331747596531458839e+05,1.332010502263630042e+05
1.660615608335906757e+01,4.743269831166037065e+00,6.568357802994133090e+04,6.618928754255783861e+04
1.056221977847367199e+01,6.299159175001250333e+00,3.298482825608259736e+04,3.230360822560605448e+04
2.386443239942372685e+01,4.587447390098447819e+00,1.517144208922334074e+05,1.515637291903398291e+05
9.792650049457703787e+00,1.168915725314034759e+00,2.322033341205546458e+04,2.277437304782648425e+04
1.415143879493889401e+01,6.643745194950674282e+00,5.108656112087684596e+04,5.164049386756387685e+04
4.887209220167777701e+00,6.488812365878679600e+00,2.589678909394608127e+04,2.593353204336661656e+04
1.269027660696674786e+01,5.783401078475830737e+00,4.125334521830402082e+04,4.098282272366131656e+04
6.900201979608338476e+00,5.863979185734895516e+00,2.423838668431590850e+04,2.351512135663583103e+04
8.607086872813635381e+00,3.646052022686426142e+00,2.212803467058211390e+04,2.189013184800965973e+04
2.276057550627152537e+01,5.201892758719337095e+00,1.364422694530248700e+05,1.364498009700043476e+05
9.131853981595158487e+00,7.989868559346652077e+00,3.240214890722585551e+04,3.214721621982393845e+04
1.507053825851741635e+01,7.798944931750471099e+00,5.959952132355973299e+04,6.079653035187807109e+04
2.944137879423591997e+01,1.491587228673577847e+00,2.537414015124009748e+05,2.546726215040588286e+05
2.888805861624981475e+01,5.099284690308809154e+00,2.534414387758148659e+05,2.509336134827713540e+05
2.201890828243247711e+01,6.940296952076512760e+00,1.312814292885850882e+05,1.295340920360649907e+05
1.669557881087559181e+01,4.810509008425611910e-01,6.273582923404834582e+04,6.257416504889732460e+04
9.029844917315752895e+00,4.599521915717015297e+00,2.501684914999186003e+04,2.462632301928373272e+04
5.658908254478679289e+00,9.239365522547560161e-01,1.090471687997010304e+04,1.110233665265631862e+04
2.912783698326784432e+01,1.468523646023189855e+00,2.463674076476657647e+05,2.465684304338616494e+05
1.596598898088848273e+01,2.873570004659437238e+00,5.832776037815482414e+04,6.028676122657704400e+04
4.360102761652338899e+00,4.453353751935385851e+00,2.086014783362191520e+04,1.983152862813155662e+04
1.908120291058751050e+01,4.331693033308758878e+00,8.815749923309888982e+04,8.780821460150642088e+04
2.352381031592664229e+01,4.031884678147561019e+00,1.448400874607927108e+05,1.467296511977231130e+05
1.877709573053817493e+01,7.658082504149775538e+00,9.255387401709382539e+04,9.315207428858053754e+04
2.760163343893617593e+01,4.074728743550568133e+00,2.196700655397901428e+05,2.202833991592381790e+05
2.148193423261882895e+00,5.864769100109585409e+00,1.772498707146448942e+04,1.724953117765358547e+04
1.632908863454062853e+01,2.674398164712385118e+00,6.095515267831466917e+04,5.943068314527319308e+04
1.432074060367670754e+01,5.954669374997612508e+00,5.092882336721861793e+04,5.108372825562465005e+04
2.808137795346392629e+00,5.983124987152009133e+00,2.291922305928102287e+04,2.302006109051595558e+04
1.959851690504187260e+01,5.356522990811336982e+00,9.577247506678986247e+04,9.463717441661363409e+04
2.572635231593904592e+01,6.034365991990156886e+00,1.899598671508717234e+05,1.893278824887247174e+05
1.819528952502423635e+01,4.578853567070548358e+00,7.963891231980953307e+04,7.957227191606184351e+04
8.542825984379472715e+00,6.845116602048403109e+00,2.869521958761604037e+04,2.782132433628482249e+04
2.535656410991085608e+01,6.660271477972584897e+00,1.858694089562583831e+05,1.857785092359950941e+05
1.577538056412377188e+01,7.711181911929809729e-01,5.566808870784864121e+04,5.575641050825788989e+04
1.581577764952945842e+01,3.586846298849141412e+00,5.792839655505621340e+04,5.796131382433253748e+04
2.283787602336315814e+01,9.653765151907984787e-01,1.301220225007514382e+05,1.296537027168107015e+05
5.289739037763739660e+00,7.604312314333656175e+00,2.776897845981133287e+04,2.831819542621322034e+04
2.476917485445903111e+01,3.479129570232309732e+00,1.637032787620664749e+05,1.645276081947776256e+05
2.081532027409445718e+01,1.760626544806267013e+00,1.042790737740205077e+05,1.045758584557445720e+05
2.382581130508922840e+01,6.701028333780544521e+00,1.586279096609269036e+05,1.578710467005908722e+05
6.556871511583922008e+00,6.977292767698317633e-01,1.283926203606604577e+04,1.351604039856757845e+04
2.426856067290136920e+01,1.232695589167108530e+00,1.518488770286010695e+05,1.513850450115190470e+05
6.548393855658807716e+00,5.430639493996294753e+00,2.287858203842120201e+04,2.369180561033758931e+04
3.365025903541868590e+00,4.059386583110594415e+00,2.144250157172384934e+04,2.045109821111221390e+04
2.580158225432503372e+01,2.138357330172647508e+00,1.790626357058362628e+05,1.799085178687303851e+05
2.597722138915238332e+01,4.610238154097430652e+00,1.888638413645340188e+05,1.888452826690147049e+05
2.641957579608083506e+01,1.659069390492253326e+00,1.897925139683066518e+05,1.886374212447473255e+05
1.468538186140491675e+01,2.473884887178781078e+00,4.891002571471927513e+04,4.861966870314993866e+04
8.947403269797829850e+00,4.888484913127157938e+00,2.536166201057305443e+04,2.541170661843673224e+04
1.205663029491821581e+00,7.063457238321427134e+00,2.905470117667944578e+03,3.157802106395064129e+03
1.972590597167348747e+01,5.625426182191285207e+00,9.782444094017837779e+04,9.691591692460796912e+04
2.187737212175209933e+01,5.145822273137839353e+00,1.236586310981210554e+05,1.226343110294932558e+05
2.523150727850795150e+01,5.973177096573487610e+00,1.803313177034499822e+05,1.805159333963335375e+05
9.174456993571721952e+00,3.027006245055071432e+00,2.282767419571201026e+04,2.239593080009819460e+04
7.241326847726234028e+00,7.847824481630985893e+00,2.920212059040051099e+04,2.941996328125096989e+04
1.954061002193104812e+01,4.890081440063471341e+00,9.414646857182726671e+04,9.484902413011976751e+04
2.434659016120528108e+01,2.060490204092846334e+00,1.540113622673795035e+05,1.524862339535048814e+05
2.894645531250415615e+01,2.877219827988355405e-01,2.410981789281979727e+05,2.413334879359767656e+05
5.365220082214147368e+00,8.940446823671370780e-01,1.024290829287241831e+04,1.137570673784297105e+04
1.498415925778076030e+01,1.588073212918325261e+00,5.035369592150096287e+04,5.007848359045827237e+04
2.694676000368903246e+01,5.874981112081394841e+00,2.138226185873632785e+05,2.130726150978685182e+05
