t,vx,vy,dvx_dt,dvx_dt_noisy
0.000000000000000000e+00,3.000000000000000000e+00,0.000000000000000000e+00,-1.243846153846153824e+00,-1.226566944242914570e+00
6.001200240048009185e-03,2.992451721729274539e+00,-2.388267862371473010e-02,-1.271705732459242455e+00,-1.230624825284184487e+00
1.200240048009601837e-02,2.984736930530383692e+00,-4.764057927667798148e-02,-1.299339316623028262e+00,-1.282817462813858889e+00
1.800360072014402929e-02,2.976856983375272048e+00,-7.127287274066866629e-02,-1.326746684184198610e+00,-1.391904545764416579e+00
2.400480096019203674e-02,2.968813238500059626e+00,-9.477873879956140446e-02,-1.353927613275193176e+00,-1.308659819941537350e+00
3.000600120024004419e-02,2.960607055358749129e+00,-1.181573662480180781e-01,-1.380881882475873956e+00,-1.358563153857673456e+00
3.600720144028805858e-02,2.952239794619726077e+00,-1.414079529154647630e-01,-1.407609271016027064e+00,-1.434456932784041294e+00
4.200840168033606603e-02,2.943712818769755657e+00,-1.645297055945483811e-01,-1.434109559165102077e+00,-1.405053653955284476e+00
4.800960192038407348e-02,2.935027491563181101e+00,-1.875218401542397828e-01,-1.460382528265485647e+00,-1.442153908456181854e+00
5.401080216043208093e-02,2.926185177919524705e+00,-2.103835815594919390e-01,-1.486427960872730436e+00,-1.471721336039954142e+00
6.001200240048008838e-02,2.917187243923484719e+00,-2.331141638712399822e-01,-1.512245640921237033e+00,-1.510824528855447157e+00
6.601320264052809583e-02,2.908035056824939346e+00,-2.557128302464010683e-01,-1.537835353888366896e+00,-1.510499704557744627e+00
7.201440288057611716e-02,2.898729985024465439e+00,-2.781788329425856632e-01,-1.563196886955753317e+00,-1.600019591305836597e+00
7.801560312062412461e-02,2.889273398152834904e+00,-3.005114333669637872e-01,-1.588330029277203792e+00,-1.596475526676856438e+00
8.401680336067213206e-02,2.879666667864728691e+00,-3.227099019573195782e-01,-1.613234572393012822e+00,-1.637340538027011849e+00
9.001800360072013951e-02,2.869911167062872970e+00,-3.447735183277345627e-01,-1.637910310178500417e+00,-1.607967999546769056e+00
9.601920384076814696e-02,2.860008269691917793e+00,-3.667015713154418988e-01,-1.662357038956101540e+00,-1.660370933582018482e+00
1.020204040808161544e-01,2.849959350738438868e+00,-3.884933589808260979e-01,-1.686574557650891482e+00,-1.701197395199145923e+00
1.080216043208641619e-01,2.839765786230937561e+00,-4.101481886074233030e-01,-1.710562667944776072e+00,-1.749658091062618270e+00
1.140228045609121693e-01,2.829428953239839117e+00,-4.316653767019210663e-01,-1.734321174429354961e+00,-1.747180786460298396e+00
1.200240048009601768e-01,2.818950229877493996e+00,-4.530442489941584050e-01,-1.757849884757491932e+00,-1.757442775731574702e+00
1.260252050410081981e-01,2.808330995231232308e+00,-4.742841404705561148e-01,-1.781148609803648863e+00,-1.794928755068617487e+00
1.320264052810561917e-01,2.797572630008303030e+00,-4.953843953685261869e-01,-1.804217164141537211e+00,-1.739513973421626947e+00
1.380276055211042130e-01,2.786676516742168541e+00,-5.163443671137488700e-01,-1.827055366214655585e+00,-1.776719150449365792e+00
1.440288057611522343e-01,2.775644038834686356e+00,-5.371634184968234749e-01,-1.849663038221159628e+00,-1.985221162169457987e+00
1.500300060012002279e-01,2.764476580521124216e+00,-5.578409216814220750e-01,-1.872040006252436939e+00,-1.966490668550820553e+00
1.560312062412482492e-01,2.753175526870158318e+00,-5.783762582042893952e-01,-1.894186100437821985e+00,-1.902924705040579978e+00
1.620324064812962428e-01,2.741742263783876421e+00,-5.987688189752429224e-01,-1.916101155088195007e+00,-1.937210675667012660e+00
1.680336067213442641e-01,2.730178177997774291e+00,-6.190180042771729063e-01,-1.937785008838460943e+00,-1.927102858963530396e+00
1.740348069613922577e-01,2.718484657080758371e+00,-6.391232237660420257e-01,-1.959237504788928996e+00,-1.948371408237800750e+00
1.800360072014402790e-01,2.706663089434843794e+00,-6.590838964709503367e-01,-1.980458490645530922e+00,-1.874566552892978466e+00
1.860372074414882726e-01,2.694714864192199855e+00,-6.788994508689182306e-01,-2.001447818906656462e+00,-2.057048857041270384e+00
1.920384076815362939e-01,2.682641372440312200e+00,-6.985693248019777535e-01,-2.022205347525319219e+00,-2.041085597881669322e+00
1.980396079215843153e-01,2.670444006468020604e+00,-7.180929655390808630e-01,-2.042730939737376072e+00,-1.940592359362759645e+00
2.040408081616323088e-01,2.658124159086658889e+00,-7.374698298811160901e-01,-2.063024463987383594e+00,-2.030689314177291038e+00
2.100420084016803302e-01,2.645683223630049596e+00,-7.566993841609099825e-01,-2.083085794064485352e+00,-2.049932625445672230e+00
2.160432086417283237e-01,2.633122593954509316e+00,-7.757811042432255499e-01,-2.102914809237322213e+00,-2.128615127821695374e+00
2.220444088817763451e-01,2.620443664438844689e+00,-7.947144755247634862e-01,-2.122511394387984751e+00,-2.204915152930767341e+00
2.280456091218243386e-01,2.607647829984353738e+00,-8.134989929341613912e-01,-2.141875440144997089e+00,-2.133502202933859948e+00
2.340468093618723600e-01,2.594736486014826760e+00,-8.321341609319943267e-01,-2.161006843015351730e+00,-2.155556138624274531e+00
2.400480096019203535e-01,2.581711028476545433e+00,-8.506194935107742605e-01,-2.179905505515585595e+00,-2.241273108227814337e+00
2.460492098419683749e-01,2.568572853756017960e+00,-8.689545142121215537e-01,-2.198571336282809874e+00,-2.232732669371837897e+00
2.520504100820163962e-01,2.555323359067932287e+00,-8.871387562076136213e-01,-2.217004250514067465e+00,-2.220606434500429049e+00
2.580516103220644175e-01,2.541963943371499557e+00,-9.051717622236051808e-01,-2.235204170464118789e+00,-2.282441751617157788e+00
2.640528105621123833e-01,2.528496005884795395e+00,-9.230530846508593346e-01,-2.253171024954871982e+00,-2.258084523347482886e+00
2.700540108021604047e-01,2.514920945931345742e+00,-9.407822855610779023e-01,-2.270904749446288839e+00,-2.266130598072816138e+00
2.760552110422084260e-01,2.501240162940125966e+00,-9.583589367069001996e-01,-2.288405286163174956e+00,-2.286625974310400711e+00
2.820564112822564473e-01,2.487455056445560864e+00,-9.757826195219035936e-01,-2.305672584221111876e+00,-2.330987167136827409e+00
2.880576115223044686e-01,2.473567026087526877e+00,-9.930529251206035024e-01,-2.322706599751526380e+00,-2.293019196162235041e+00
2.940588117623524345e-01,2.459577471611348098e+00,-1.010169454298453173e+00,-2.339507296025892025e+00,-2.294948948311775538e+00
3.000600120024004558e-01,2.445487792867799826e+00,-1.027131817531844460e+00,-2.356074643579078476e+00,-2.340032228350750199e+00
3.060612122424484771e-01,2.431299389813106337e+00,-1.043939634978106490e+00,-2.372408620331836193e+00,-2.413320131701351734e+00
3.120624124824964984e-01,2.417013662426763521e+00,-1.060592536483635495e+00,-2.388509211681524746e+00,-2.351926597492252746e+00
3.180636127225444643e-01,2.402632010937547413e+00,-1.077090161680728908e+00,-2.404376410870995073e+00,-2.429448411794347784e+00
