t,V,P_pol,dV_dt,dV_dt_noisy
0.000000000000000000e+00,1.000000000000000000e+01,0.000000000000000000e+00,-1.561742230222675687e+01,-1.560014309262351695e+01
6.001200240048009619e-04,9.990632033899752074e+00,1.440823028478523116e-02,-1.560288894095937273e+01,-1.556180803378431499e+01
1.200240048009601924e-03,9.981272784368194095e+00,2.870694665980406263e-02,-1.558837287631410362e+01,-1.557185102250493358e+01
1.800360072014402886e-03,9.971922241038907231e+00,4.289709918912856107e-02,-1.557387406374177630e+01,-1.563903192532199427e+01
2.400480096019203848e-03,9.962580393571968784e+00,5.697962867493067823e-02,-1.555939245894650824e+01,-1.551412466561285264e+01
3.000600120024004593e-03,9.953247231653774563e+00,7.095546674810268573e-02,-1.554492801788384604e+01,-1.552260928926564532e+01
3.600720144028805771e-03,9.943922744997042429e+00,8.482553586825722358e-02,-1.553048069676278509e+01,-1.555732835853079976e+01
4.200840168033606950e-03,9.934606923340796314e+00,9.859074932854179629e-02,-1.551605045204760103e+01,-1.548699454683778320e+01
4.800960192038407695e-03,9.925299756449710742e+00,1.122520116619767916e-01,-1.550163724044246294e+01,-1.548340862063315981e+01
5.401080216043208440e-03,9.916001234115157104e+00,1.258102181595072977e-01,-1.548724101891447091e+01,-1.547253439408169484e+01
6.001200240048009185e-03,9.906711346154438047e+00,1.392662552694502176e-01,-1.547286174467837228e+01,-1.547144063261258218e+01
6.601320264052810798e-03,9.897430082410050289e+00,1.526210009929098443e-01,-1.545849937518138262e+01,-1.543116372585076057e+01
7.201440288057611543e-03,9.888157432749686393e+00,1.658753248837776528e-01,-1.544415386810501900e+01,-1.548097657245510206e+01
7.801560312062412288e-03,9.878893387066240095e+00,1.790300880487325497e-01,-1.542982518136701842e+01,-1.543797067876667128e+01
8.401680336067213900e-03,9.869637935277799201e+00,1.920861431472407066e-01,-1.541551327312319053e+01,-1.543961923875718867e+01
9.001800360072014645e-03,9.860391067327645587e+00,2.050443343915555605e-01,-1.540121810176930950e+01,-1.537127579113757747e+01
9.601920384076815390e-03,9.851152773184086442e+00,2.179054976507204533e-01,-1.538693962593850983e+01,-1.538495352056442655e+01
1.020204040808161614e-02,9.841923042839454183e+00,2.306704611677211081e-01,-1.537267780447224119e+01,-1.538730064202049519e+01
1.080216043208641688e-02,9.832701866312229200e+00,2.433400443822478498e-01,-1.535843259647347914e+01,-1.539752801959132178e+01
1.140228045609121763e-02,9.823489233645238627e+00,2.559150588601578069e-01,-1.534420396126782293e+01,-1.535706357329876681e+01
1.200240048009601837e-02,9.814285134905194496e+00,2.683963085482258260e-01,-1.532999185839407019e+01,-1.532958474936815385e+01
1.260252050410082085e-02,9.805089560182699060e+00,2.807845897741446661e-01,-1.531579624760591329e+01,-1.532957639287088192e+01
1.320264052810562160e-02,9.795902499592241242e+00,2.930806912465245273e-01,-1.530161708887364114e+01,-1.523691389815373043e+01
1.380276055211042234e-02,9.786723943272200188e+00,3.052853940548935219e-01,-1.528745434238583201e+01,-1.523711812662054221e+01
1.440288057611522309e-02,9.777553881384839940e+00,3.173994716696974527e-01,-1.527330796855108019e+01,-1.540886609249937855e+01
1.500300060012002383e-02,9.768392304116312985e+00,3.294236899422999798e-01,-1.525917792799970663e+01,-1.535362859029809002e+01
1.560312062412482458e-02,9.759239201676633613e+00,3.413588071233999433e-01,-1.524506418158469145e+01,-1.525380278618744967e+01
1.620324064812962706e-02,9.750094564298132482e+00,3.532055748570756548e-01,-1.523096669033971295e+01,-1.525207621091853127e+01
1.680336067213442780e-02,9.740958382237865365e+00,3.649647369594365975e-01,-1.521688541553509211e+01,-1.520620326566016089e+01
1.740348069613922855e-02,9.731830645776645028e+00,3.766370297855743399e-01,-1.520282031866285521e+01,-1.519195422211172719e+01
1.800360072014402929e-02,9.722711345217801338e+00,3.882231829122574918e-01,-1.518877136140802975e+01,-1.508287942365547707e+01
1.860372074414883004e-02,9.713600470887186589e+00,3.997239191379317602e-01,-1.517473850565017557e+01,-1.523033954378479038e+01
1.920384076815363078e-02,9.704498013133170176e+00,4.111399544827198937e-01,-1.516072171346488417e+01,-1.517960196382123428e+01
1.980396079215843153e-02,9.695403962326640368e+00,4.224719981884218489e-01,-1.514672094712531347e+01,-1.504458236675069749e+01
2.040408081616323227e-02,9.686318308861009641e+00,4.337207527185145683e-01,-1.513273616910370833e+01,-1.510040101929361533e+01
2.100420084016803302e-02,9.677241043152204014e+00,4.448869137581520916e-01,-1.511876734207294248e+01,-1.508561417345412892e+01
2.160432086417283376e-02,9.668172155638675491e+00,4.559711702141656109e-01,-1.510481442890806747e+01,-1.513051474749244107e+01
2.220444088817763451e-02,9.659111636781389620e+00,4.669742042150633043e-01,-1.509087739268785455e+01,-1.517328115123063803e+01
2.280456091218243525e-02,9.650059477063136271e+00,4.778966915311728125e-01,-1.507695619667753384e+01,-1.506858295946639714e+01
2.340468093618723600e-02,9.641015666987870603e+00,4.887393021892110778e-01,-1.506305080430321119e+01,-1.505760009991213444e+01
2.400480096019203674e-02,9.631980197083759521e+00,4.995026986642672751e-01,-1.504916117923439245e+01,-1.511052878194662163e+01
2.460492098419684096e-02,9.622953057900330620e+00,5.101875373455740936e-01,-1.503528728531925474e+01,-1.506944861840828231e+01
2.520504100820164170e-02,9.613934240008264354e+00,5.207944686575903814e-01,-1.502142908658054310e+01,-1.502503127056690424e+01
2.580516103220644245e-02,9.604923733999385149e+00,5.313241370600022551e-01,-1.500758654721690633e+01,-1.505482412836994577e+01
2.640528105621124319e-02,9.595921530486666740e+00,5.417771810477221006e-01,-1.499375963160423986e+01,-1.499867312999685076e+01
2.700540108021604394e-02,9.586927620104225056e+00,5.521542331508892953e-01,-1.497994830429703228e+01,-1.497517415292355913e+01
2.760552110422084468e-02,9.577941993507332441e+00,5.624559199348697636e-01,-1.496615253002974377e+01,-1.496437321817696997e+01
2.820564112822564543e-02,9.568964641372398106e+00,5.726828620002561987e-01,-1.495237227371814015e+01,-1.497768685663385568e+01
2.880576115223044617e-02,9.559995554396987671e+00,5.828356739828679522e-01,-1.493860750046069441e+01,-1.490892009687140352e+01
2.940588117623524692e-02,9.551034723299808959e+00,5.929149645537510338e-01,-1.492485817553993499e+01,-1.488029982782581939e+01
3.000600120024004766e-02,9.542082138820708437e+00,6.029213364249400575e-01,-1.491112426442358441e+01,-1.489508184919525569e+01
3.060612122424484841e-02,9.533137791718653276e+00,6.128553875618585334e-01,-1.489740573271063440e+01,-1.493831724408014949e+01
3.120624124824964915e-02,9.524201672774568195e+00,6.227177098466483152e-01,-1.488370254619432487e+01,-1.484711993200505198e+01
3.180636127225445337e-02,9.515273772791131179e+00,6.325088889388690294e-01,-1.487001467086931150e+01,-1.489508667179266332e+01
3.240648129625925411e-02,9.506354082590833698e+00,6.422295052986335406e-01,-1.485634207288593345e+01,-1.481238404197153358e+01
3.300660132026405486e-02,9.497442593015964718e+00,6.518801341866088395e-01,-1.484268471855135729e+01,-1.489627408939522901e+01
3.360672134426885560e-02,9.488539294928617807e+00,6.614613456640153766e-01,-1.482904257433076722e+01,-1.478331921417432859e+01
3.420684136827365635e-02,9.479644179210687582e+00,6.709737045926269516e-01,-1.481541560684854275e+01,-1.481641877957931719e+01
3.480696139227845709e-02,9.470757236763873266e+00,6.804177706347713794e-01,-1.480180378288944532e+01,-1.486424122740616660e+01
3.540708141628325784e-02,9.461878458509678680e+00,6.897940982533299348e-01,-1.478820706939982443e+01,-1.480390204299816759e+01
3.600720144028805858e-02,9.453007835389410474e+00,6.991032367117373525e-01,-1.477462543348880430e+01,-1.477192031955022777e+01
3.660732146429285933e-02,9.444145358364174569e+00,7.083457300739821605e-01,-1.476105884242948107e+01,-1.474741927547125897e+01
3.720744148829766007e-02,9.435291018414883268e+00,7.175221172046066798e-01,-1.474750726366015563e+01,-1.479661666990720370e+01
3.780756151230246082e-02,9.426444806542251698e+00,7.266329317687064693e-01,-1.473397066478553796e+01,-1.478933931714379746e+01
3.840768153630726156e-02,9.417606713766348392e+00,7.356787024785188533e-01,-1.472044901356645319e+01,-1.471046978692409901e+01
3.900780156031206231e-02,9.408776731124666171e+00,7.446599543388976450e-01,-1.470694227786327346e+01,-1.473027975870726358e+01
3.960792158431686305e-02,9.399954849676923629e+00,7.535772061184748960e-01,-1.469345042575534777e+01,-1.468167514516883720e+01
4.020804160832166380e-02,9.391141060502036453e+00,7.624309717392501184e-01,-1.467997342547668183e+01,-1.464199744935276293e+01
4.080816163232646454e-02,9.382335354697429963e+00,7.712217606296866146e-01,-1.466651124540044293e+01,-1.474895061371799088e+01
4.140828165633126529e-02,9.373537723379030240e+00,7.799500777247123651e-01,-1.465306385403995293e+01,-1.464034444821407277e+01
