r,q,T,n_ext,phi,phi_noisy
2.656743798561232328e+00,6.040748865737833873e-01,1.358188838657216291e+00,1.744575360057854407e+00,9.048323322401402580e-02,9.739491706530974124e-02
4.762225742364489811e+00,2.333386337810136268e+00,5.469523095813136893e-01,9.705786008908070528e-01,6.132721629831072718e-02,7.775957916833389771e-02
8.919661410542418789e-01,7.246707794899029942e-01,7.179433417229869052e-01,1.550594462243574556e+00,5.295860251041335509e-01,5.361947666278013003e-01
4.753517346258770537e+00,7.721545793516494394e-01,1.736555680015715364e+00,9.917632611417754873e-01,3.606896867996370326e-02,1.000582404787648400e-02
1.696790969650330050e+00,2.092923648765605105e+00,1.007114938965170348e+00,8.301377958201494600e-02,5.558449966696161759e-01,5.739521140030785507e-01
2.231966955068363401e+00,2.614956128073619546e+00,1.527309038797414864e+00,1.861875186003381977e+00,5.579309439898574308e-01,5.668584354371376532e-01
4.172972450338120254e+00,1.144670418402553125e+00,1.006035129640317161e+00,1.506763451708708734e+00,6.656616213461721832e-02,5.582709742741151504e-02
2.164155854571974125e+00,1.765477757691437555e+00,6.132867215934285632e-01,6.618204599294070789e-01,3.155423179304170378e-01,3.271646800143441225e-01
2.838049700830685751e+00,2.416682628742332639e+00,7.491434420702939301e-01,1.869226617466856810e+00,2.937400905067502066e-01,3.010315384304717012e-01
3.322837435667281847e-01,9.625772131480776483e-01,5.404712325907474746e-01,8.794245364265984577e-01,3.043562737770766802e+00,3.049445387703877408e+00
3.816862921639071704e+00,1.530736264306507444e+00,1.077135769029475831e+00,2.025354797858276434e-01,8.360876648015351520e-02,8.417721130646944883e-02
2.783087903452535539e+00,1.982271822239386694e+00,7.942146853316855992e-01,1.116395774374043803e-01,2.091229033451330876e-01,2.200571630773820175e-01
1.782712239195642256e+00,2.468487242187890729e+00,1.680293096460911295e+00,6.632546774359295849e-01,6.597430771223757873e-01,6.450139953823424976e-01
3.984457776456340916e+00,1.933577309405764888e+00,5.801624461226271290e-01,7.497028338704814221e-01,8.549929888510046649e-02,8.224109992523941093e-02
1.655335180599895928e+00,8.652861641606358623e-01,1.572627552483572000e+00,9.778589149162704164e-01,2.636895771367602781e-01,2.540471908831606895e-01
2.376789869507127229e+00,2.576170373422085547e+00,1.507141954719446009e+00,1.433505533526793219e-01,4.008666976857009900e-01,4.128436219383935235e-01
8.434001467863907475e-01,2.527753864337087375e+00,1.237217508217110185e+00,1.387398107130760616e+00,2.313902150372100230e+00,2.314696592521733542e+00
2.134942334946220210e+00,2.307312837023697050e+00,1.208074791221289024e+00,1.057761428319754060e+00,4.566733312736446226e-01,4.508241962543428349e-01
1.176585155245518211e+00,2.332493495542154793e+00,7.715815104259993173e-01,1.325762788889820465e+00,1.184330782849441821e+00,1.168692613602305030e+00
1.459104034120877635e+00,1.639391257089508169e+00,9.939161489832305518e-01,2.844487318623221128e-01,5.466685695377376808e-01,5.415247247253602847e-01
3.801750428624252276e+00,2.125591487099792953e+00,1.666063206662592222e+00,8.409741923398261765e-01,1.530322644400303189e-01,1.531951080503971829e-01
1.545962038332991506e+00,2.996833924795828885e+00,7.902011606950258837e-01,6.564168957645211133e-01,9.380257105389633310e-01,9.325136524329759036e-01
2.528916677271848545e+00,2.937170291172022107e+00,1.436558229516464946e+00,1.132602792306885542e+00,4.542589635048940311e-01,4.801402397928581922e-01
4.907538559045945270e+00,9.661210089604930218e-01,1.620203483266775768e+00,1.658456462030446277e+00,4.677877186703585655e-02,6.691325817315174618e-02
4.815954529586176314e+00,2.093526465721502916e+00,1.895147355166233893e+00,5.380549114528145882e-01,8.768332586800145489e-02,3.346007628868208350e-02
3.678991715712961685e+00,2.668842797523910182e+00,5.728002184742823077e-01,4.018283603320766950e-01,1.268668866285748431e-01,8.908662170922138079e-02
2.797888906627684413e+00,6.503284065133003722e-01,1.310074528546848693e+00,8.430830751265834255e-01,7.960707707493713814e-02,7.611163523383389362e-02
