t,Q,I,phi,dQ_dt,dQ_dt_noisy
0.000000000000000000e+00,3.000000000000000000e+00,5.000000000000000000e-01,0.000000000000000000e+00,2.472623156634767838e-03,1.192529224631142144e-02
6.001200240048009185e-03,2.999936159743786135e+00,4.737846873531894598e-01,7.104123519542775720e-04,-2.374237454499922295e-02,-4.987979661903658990e-02
1.200240048009601837e-02,2.999715108439503730e+00,4.476055569973580450e-01,1.344321300547139143e-03,-4.992041407217068238e-02,-7.057359124176534881e-02
1.800360072014402929e-02,2.999337070835521590e+00,4.214635900615112396e-01,1.906164080309397492e-03,-7.606051438180461144e-02,-1.981338835137974042e-01
2.400480096019203674e-02,2.998802277535133953e+00,3.953597614667808680e-01,2.400349550880090214e-03,-1.021616999422255700e-01,-1.217633080618046870e-02
3.000600120024004419e-02,2.998110964984071813e+00,3.692950399956299590e-01,2.831258007557897576e-03,-1.282230006648433784e-01,-7.101470706298193547e-02
3.600720144028805858e-02,2.997263375441275191e+00,3.432703885775533759e-01,3.203240656712161641e-03,-1.542434516182754067e-01,-1.705145934616666137e-01
4.200840168033606603e-02,2.996259756943557839e+00,3.172867645157783634e-01,3.520619031458966947e-03,-1.802220928004568679e-01,-1.415317634640737843e-01
4.800960192038407348e-02,2.995100363260678744e+00,2.913451197046244001e-01,3.787684311149225238e-03,-2.061579689190626841e-01,-1.920974354291802300e-01
5.401080216043208093e-02,2.993785453886217862e+00,2.654464007027853567e-01,4.008697158357731744e-03,-2.320501293152039679e-01,-2.597412711364066040e-01
6.001200240048008838e-02,2.992315294013720983e+00,2.395915490315437824e-01,4.187887191991307781e-03,-2.578976276611363305e-01,-2.090192551048345448e-01
6.601320264052809583e-02,2.990690154503885978e+00,2.137815013777656648e-01,4.329452417850487844e-03,-2.836995217521562918e-01,-2.992273490851139472e-01
7.201440288057611716e-02,2.988910311847011503e+00,1.880171897882010057e-01,4.437558629559601800e-03,-3.094548733061748269e-01,-3.258960685090729337e-01
7.801560312062412461e-02,2.986976048156134045e+00,1.622995417398145623e-01,4.516339259925087821e-03,-3.351627478864140919e-01,-3.747700856543589865e-01
8.401680336067213206e-02,2.984887651150207155e+00,1.366294804324144074e-01,4.569894875894386227e-03,-3.608222146007491471e-01,-3.380743110387063877e-01
9.001800360072013951e-02,2.982645414125256078e+00,1.110079249724171963e-01,4.602292642460354029e-03,-3.864323459088320201e-01,-3.913922484947014446e-01
9.601920384076814696e-02,2.980249635921726092e+00,8.543579055255634547e-02,4.617565767638444688e-03,-4.119922174322199204e-01,-3.847277817339858075e-01
1.020204040808161544e-01,2.977700620919601526e+00,5.991398851653320645e-02,4.619713367563787684e-03,-4.375009078786551431e-01,-4.678601928721869974e-01
1.080216043208641619e-01,2.974998679029007054e+00,3.444342663805822352e-02,4.612699991113146901e-03,-4.629574987508699446e-01,-4.566161063952764443e-01
1.140228045609121693e-01,2.972144125665909353e+00,9.025009288385149597e-03,4.600455121969529784e-03,-4.883610741657417043e-01,-5.329747763372312264e-01
1.200240048009601768e-01,2.969137281723349453e+00,-1.634036239636348087e-02,4.586872652349724237e-03,-5.137107206725305408e-01,-4.716374720540233989e-01
1.260252050410081981e-01,2.965978473568260831e+00,-4.165179045657343981e-02,4.575810759912537010e-03,-5.390055271788299907e-01,-5.296037728297956493e-01
1.320264052810561917e-01,2.962668033039448812e+00,-6.690837984766313806e-02,4.571091464411725439e-03,-5.642445846725258063e-01,-5.477160342657595438e-01
1.380276055211042130e-01,2.959206297427785071e+00,-9.210923828688935555e-02,4.576500164716559675e-03,-5.894269860507723724e-01,-5.689017904022591887e-01
1.440288057611522343e-01,2.955593609451067749e+00,-1.172534760992522129e-01,4.595785138601244865e-03,-6.145518259468375488e-01,-6.650897009545042593e-01
1.500300060012002279e-01,2.951830317252341462e+00,-1.423402061642233263e-01,4.632657428915515178e-03,-6.396182006566668576e-01,-6.004591508494629970e-01
1.560312062412482492e-01,2.947916774405018092e+00,-1.673685436731767173e-01,4.690790431165691061e-03,-6.646252078749268488e-01,-5.617900669578084205e-01
1.620324064812962428e-01,2.943853339897279930e+00,-1.923376059899962742e-01,4.773819461117564597e-03,-6.895719465328208342e-01,-7.714940716945970500e-01
1.680336067213442641e-01,2.939640378110475183e+00,-2.172465125112814088e-01,4.885341280790293436e-03,-7.144575166341368133e-01,-8.009280899918609364e-01
1.740348069613922577e-01,2.935278258818803554e+00,-2.420943846180294845e-01,5.028913992238277959e-03,-7.392810191815173404e-01,-8.145225898747333604e-01
1.800360072014402790e-01,2.930767357201338630e+00,-2.668803454522113983e-01,5.208056654109465347e-03,-7.640415559262856426e-01,-7.219686112535856903e-01
1.860372074414882726e-01,2.926108053830505096e+00,-2.916035197912055232e-01,5.426248877719030972e-03,-7.887382292145468377e-01,-7.823024463408434492e-01
1.920384076815362939e-01,2.921300734653684117e+00,-3.162630339219133502e-01,5.686930374908842449e-03,-8.133701418314323028e-01,-7.594530197944674432e-01
1.980396079215843153e-01,2.916345790994072651e+00,-3.408580155988356619e-01,5.993500861573100753e-03,-8.379363969278659230e-01,-8.018148533124909161e-01
2.040408081616323088e-01,2.911243619569287233e+00,-3.653875938393270628e-01,6.349319699754977023e-03,-8.624360977830164421e-01,-8.519075071642524533e-01
2.100420084016803302e-01,2.905994622484548540e+00,-3.898508988119528951e-01,6.757705527271840908e-03,-8.868683476580607739e-01,-8.726664403955421978e-01
2.160432086417283237e-01,2.900599207216804309e+00,-4.142470617222149820e-01,7.221935813783563612e-03,-9.112322496455529386e-01,-9.197202745317096806e-01
2.220444088817763451e-01,2.895057786616157536e+00,-4.385752147796899147e-01,7.745246778705323215e-03,-9.355269065985416521e-01,-8.921038960379661376e-01
2.280456091218243386e-01,2.889370778930327788e+00,-4.628344910130574030e-01,8.330833056157933500e-03,-9.597514209058931600e-01,-1.016237218994930913e+00
2.340468093618723600e-01,2.883538607804711607e+00,-4.870240241705854900e-01,8.981847372149654243e-03,-9.839048943510396716e-01,-1.004997835659955374e+00
2.400480096019203535e-01,2.877561702267987354e+00,-5.111429486145582235e-01,9.701400085616535343e-03,-1.007986427962618947e+00,-9.958394853076821818e-01
2.460492098419683749e-01,2.871440496733114855e+00,-5.351903992988908954e-01,1.049255912297535065e-02,-1.031995121946365002e+00,-9.419240790238982974e-01
2.520504100820163962e-01,2.865175431025145603e+00,-5.591655116104935486e-01,1.135834966795098121e-02,-1.055930075478812791e+00,-1.094153281264832689e+00
2.580516103220644175e-01,2.858766950393069273e+00,-5.830674212745025065e-01,1.230175390661366296e-02,-1.079790386562599069e+00,-1.133743409519446299e+00
2.640528105621123833e-01,2.852215505495864445e+00,-6.068952642577994938e-01,1.332571053146036633e-02,-1.103575151877619565e+00,-1.131739511802821507e+00
2.700540108021604047e-01,2.845521552402415111e+00,-6.306481767512801540e-01,1.443311467457471936e-02,-1.127283466708672410e+00,-1.078819856651764164e+00
2.760552110422084260e-01,2.838685552615813457e+00,-6.543252950569045101e-01,1.562681764855389233e-02,-1.150914424775609124e+00,-1.162664700120200401e+00
2.820564112822564473e-01,2.831707973104947929e+00,-6.779257554770047323e-01,1.690962674993372328e-02,-1.174467118063273752e+00,-1.108249767101425975e+00
2.880576115223044686e-01,2.824589286291611767e+00,-7.014486942393095559e-01,1.828430476090031273e-02,-1.197940636684234006e+00,-1.291567112564535158e+00
2.940588117623524345e-01,2.817329970050075794e+00,-7.248932474652420854e-01,1.975356979959264764e-02,-1.221334068782139681e+00,-1.164907911687115716e+00
3.000600120024004558e-01,2.809930507717591119e+00,-7.482585511304782333e-01,2.132009520768292365e-02,-1.244646500424578139e+00,-1.192903188428101169e+00
3.060612122424484771e-01,2.802391388147837059e+00,-7.715437409134354718e-01,2.298650926416907075e-02,-1.267877015381234651e+00,-1.338810299871308951e+00
3.120624124824964984e-01,2.794713105708715339e+00,-7.947479521613246556e-01,2.475539490706167925e-02,-1.291024695016174340e+00,-1.283345600689376420e+00
