t,v,I,T_c,dv_dt,dv_dt_noisy
0.000000000000000000e+00,1.000000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,-1.196199999999999974e+01,-1.192744158079352168e+01
6.001200240048009619e-04,9.992473131008972942e+00,5.815589415753471547e-01,6.872911693197523047e-07,-1.311006981054432075e+01,-1.302790799619420525e+01
1.200240048009601924e-03,9.984279290662515294e+00,1.127477246127473576e+00,5.247981918550167628e-06,-1.418553778765018691e+01,-1.415249408003184861e+01
1.800360072014402886e-03,9.975460735079627383e+00,1.639878007236118096e+00,1.691390890760235497e-05,-1.519273770218377706e+01,-1.532305342534421300e+01
2.400480096019203848e-03,9.966057197634166087e+00,2.120758298932570618e+00,3.830471803193601045e-05,-1.613574620451671748e+01,-1.604521061784940628e+01
3.000600120024004593e-03,9.956106038585181395e+00,2.571996592337451926e+00,7.151322721956829276e-05,-1.701839792983013666e+01,-1.697376047259373522e+01
3.600720144028805771e-03,9.945642385891517279e+00,2.995359743001416497e+00,1.181800964771351968e-04,-1.784429973280702342e+01,-1.789799505634305277e+01
4.200840168033606950e-03,9.934699267729310890e+00,3.392509573352811891e+00,1.795588967840066642e-04,-1.861684410072775364e+01,-1.855873229030811800e+01
4.800960192038407695e-03,9.923307737906991832e+00,3.765009108308048802e+00,2.565730805255584009e-04,-1.933922186273657573e+01,-1.930276462311796948e+01
5.401080216043208440e-03,9.911496993020351809e+00,4.114328405159206170e+00,3.498655456584862621e-04,-2.001443407458356205e+01,-1.998502082491800991e+01
6.001200240048009185e-03,9.899294482062279243e+00,4.441850012351663324e+00,4.598416652569250725e-04,-2.064530314896219565e+01,-2.064246092483061545e+01
6.601320264052810798e-03,9.886726011536737246e+00,4.748874208567598565e+00,5.867067352661286790e-04,-2.123448353985490655e+01,-2.117981224119366246e+01
7.201440288057611543e-03,9.873815843548605642e+00,5.036623894908104582e+00,7.304987236872941166e-04,-2.178447172104735685e+01,-2.185811712974752297e+01
7.801560312062412288e-03,9.860586785765294238e+00,5.306249084470044508e+00,8.911162933332501162e-04,-2.229761534490100416e+01,-2.231390633970030990e+01
8.401680336067213900e-03,9.847060280280734545e+00,5.558831339971440855e+00,1.068343168772311908e-03,-2.277612229629113116e+01,-2.282433422755912744e+01
9.001800360072014645e-03,9.833256484321040602e+00,5.795387806030648292e+00,1.261869434493886281e-03,-2.322206892070547468e+01,-2.316218429944201063e+01
9.601920384076815390e-03,9.819194345144431679e+00,6.016874953272405513e+00,1.471309425840705001e-03,-2.363740766531645221e+01,-2.363343545456828565e+01
1.020204040808161614e-02,9.804891675638904402e+00,6.224192358982307383e+00,1.696217488371832855e-03,-2.402397479506592504e+01,-2.405322047016243303e+01
1.080216043208641688e-02,9.790365218063016073e+00,6.418185896358286513e+00,1.936101405552128956e-03,-2.438349690302238315e+01,-2.446168774925806844e+01
1.140228045609121763e-02,9.775630710629336306e+00,6.599651066883205353e+00,2.190433624522663929e-03,-2.471759771282635398e+01,-2.474331693688824174e+01
1.200240048009601837e-02,9.760702946747414899e+00,6.769335966730838372e+00,2.458661298299750358e-03,-2.502780413492604339e+01,-2.502698991687421071e+01
1.260252050410082085e-02,9.745595829775902885e+00,6.927944029022805594e+00,2.740214290019890413e-03,-2.531555186578015793e+01,-2.534311215631009517e+01
1.320264052810562160e-02,9.730322429574373544e+00,7.076136856862823343e+00,3.034512330003237904e-03,-2.558219117207346471e+01,-2.545278479063364330e+01
1.380276055211042234e-02,9.714895027470207722e+00,7.214536477208636001e+00,3.340970856930169149e-03,-2.582899149389380966e+01,-2.572831906236323007e+01
1.440288057611522309e-02,9.699325168829838972e+00,7.343727975369077399e+00,3.659005826097799872e-03,-2.605714682380775571e+01,-2.632826307170435243e+01
1.500300060012002383e-02,9.683623701068196254e+00,7.464261401486768754e+00,3.988037985447017222e-03,-2.626777960136251266e+01,-2.645668092595927945e+01
1.560312062412482458e-02,9.667800821350978069e+00,7.576654161643909369e+00,4.327495937669447942e-03,-2.646194559541928726e+01,-2.647942280462480369e+01
1.620324064812962706e-02,9.651866109296356910e+00,7.681392659099583575e+00,4.676819194541818013e-03,-2.664063725737752719e+01,-2.668285629853516383e+01
1.680336067213442780e-02,9.635828569971845781e+00,7.778934449946607543e+00,5.035459992132772580e-03,-2.680478812288178148e+01,-2.678342382313191905e+01
1.740348069613922855e-02,9.619696661955304151e+00,7.869709652195243876e+00,5.402885403110244469e-03,-2.695527569119389000e+01,-2.693354349809163395e+01
1.800360072014402929e-02,9.603478336341041199e+00,7.954122901577115989e+00,5.778578249844075476e-03,-2.709292541881140437e+01,-2.688114154330629901e+01
1.860372074414883004e-02,9.587181060418940248e+00,8.032554541231927914e+00,6.162038518206817625e-03,-2.721851315098941981e+01,-2.732971522725864943e+01
1.920384076815363078e-02,9.570811853387283463e+00,8.105362412486108781e+00,6.552783622331791527e-03,-2.733276877826607176e+01,-2.737052927897877197e+01
1.980396079215843153e-02,9.554377306122908919e+00,8.172882848616138673e+00,6.950349288250549928e-03,-2.743637826800792112e+01,-2.723210110725868915e+01
2.040408081616323227e-02,9.537883613642893721e+00,8.235432302778837865e+00,7.354289404420727774e-03,-2.752998698829743773e+01,-2.746531668867725173e+01
2.100420084016803302e-02,9.521336592305980062e+00,8.293308212665262857e+00,7.764176440843002097e-03,-2.761420147572901129e+01,-2.754789513849138416e+01
2.160432086417283376e-02,9.504741707801782624e+00,8.346790404647684625e+00,8.179601136627542499e-03,-2.768959230249804193e+01,-2.774099293966678914e+01
2.220444088817763451e-02,9.488104092456264738e+00,8.396141962843927331e+00,8.600172426677644283e-03,-2.775669585261638872e+01,-2.792150336970195568e+01
2.280456091218243525e-02,9.471428566281094419e+00,8.441610286123655271e+00,9.025517219549443124e-03,-2.781601648086386547e+01,-2.779927000644159207e+01
2.340468093618723600e-02,9.454719657429222934e+00,8.483428114010607146e+00,9.455279786097585057e-03,-2.786802860807907223e+01,-2.785712719929691872e+01
