x,I0,Itrans,Itrans_noisy
2.559108123501283583e+00,8.954845689803768716e-01,2.439587772340250371e-01,2.543263029959685895e-01
4.752318481629676405e+00,7.466868083678518175e+00,2.762358535715266350e-01,3.008843978765614047e-01
7.207980635981686701e-01,1.353748962061631644e+00,5.239656674317835217e-01,5.338787797172851457e-01
4.743247235686219199e+00,1.534187401536267981e+00,2.474449694965393243e-01,2.083502525484084988e-01
1.559157260052427274e+00,6.553109865309298954e+00,1.934055699137492201e+00,1.961216375137685652e+00
2.116632244862878487e+00,8.536833286679755162e+00,1.390802247578125872e+00,1.404193484749046261e+00
4.138512969102208672e+00,2.949747589929701874e+00,2.605695240543879354e-01,2.444609269935793805e-01
2.045995681845806491e+00,5.308815479227462220e+00,7.797712655978223939e-01,7.972048087237130209e-01
2.747968438365297583e+00,7.783393989220863673e+00,6.263211967644790601e-01,6.372583686500613576e-01
1.377955662153418359e-01,2.257793409962695286e+00,1.986626383305289512e+00,1.995450358204955199e+00
3.767565543374033155e+00,4.416797804364728464e+00,2.899222994753048455e-01,2.907749667147787598e-01
2.690716566096391205e+00,6.132632924509668904e+00,5.270549524261920471e-01,5.434563420245654974e-01
1.648658582495460934e+00,7.980251520313984770e+00,2.363006274258592221e+00,2.340912651648542120e+00
3.942143517142021381e+00,5.947593775741906619e+00,3.016424473443953258e-01,2.967551489046037494e-01
1.515974146458225036e+00,1.888087423810416166e+00,4.274952915636005546e-01,4.130317121832012273e-01
2.267489447403257419e+00,8.389447419003925432e+00,1.115143845941934497e+00,1.133109232320973270e+00
6.702084862358237416e-01,8.205464684480931581e+00,5.595778780543748887e+00,5.596970443768198855e+00
2.015564932235646367e+00,7.367788780690048611e+00,1.261906768869907269e+00,1.253133066340954560e+00
1.017276203380748090e+00,7.463475283060188481e+00,4.014465139458303966e+00,3.991007885587598558e+00
1.311566702209247648e+00,4.829686776940130599e+00,1.636334232635755281e+00,1.628618465417189132e+00
3.751823363150262658e+00,6.677247650979213134e+00,3.289228609006649151e-01,3.291671263162151972e-01
1.402043789930199624e+00,9.987968914224149231e+00,4.152758918093280904e+00,4.144490830934299375e+00
2.425954872158175402e+00,9.761247106453684097e+00,1.143097365210156813e+00,1.181919279642102971e+00
4.903685999006192731e+00,2.271259834049873749e+00,2.501765529373060071e-01,2.803782823964798276e-01
4.808285968318934067e+00,6.555400569741711259e+00,2.699271912586992395e-01,1.885923168897201685e-01
3.623949703867668237e+00,8.741602630590858070e+00,3.901927915287128901e-01,3.335223941496827105e-01
2.706134277737171079e+00,1.071247944750541414e+00,2.494878665336965895e-01,2.442447037720417435e-01
1.384456020226854100e+00,5.961932274913955609e+00,2.086916118866561032e+00,2.074250406519270395e+00
8.032600438756343220e-01,1.597174655802522825e+00,5.934010895646953943e-01,5.998103794896537666e-01
4.849627066080662630e+00,2.243871829652538175e+00,2.502299180891719432e-01,2.567495760198488242e-01
2.580342927739393666e+00,3.912364380533081665e+00,4.054958492516811397e-01,4.690310119032126135e-01
5.793280623538515917e-01,5.788357580423270754e+00,4.124785983209017459e+00,4.091425360328249106e+00
3.117448777687501948e+00,5.643885477054150890e+00,3.885442238215180977e-01,3.772160736077081467e-01
3.883415571711489989e+00,5.287863055300229043e+00,2.962115416869027240e-01,3.574946899116726584e-01
3.065016505265202085e+00,9.593972973677859173e+00,5.911340675089533647e-01,6.105351573950087429e-01
4.586488523954513674e+00,5.338740382966300047e+00,2.688456889526681381e-01,2.887375901239560005e-01
1.979643833210142922e-01,7.464413306380132340e+00,6.700015440159654112e+00,6.684595249009030127e+00
2.642946316300108123e+00,3.675847820595957494e+00,3.792159978633634632e-01,3.297737427376938868e-01
2.296679414427018617e+00,7.571169882809664742e+00,9.355190834976955250e-01,9.405430258243777653e-01
