a,psi,theta_obs,q,Prad,Prad_noisy
5.606394622302310236e+20,1.541189410183673725e-01,8.437636601695873706e-01,8.850589120260344408e-19,1.722791780211557151e-10,1.723137364403621964e-10
9.554173266933417247e+20,1.053360895661270780e+00,1.406920016371385196e-01,5.367603704008631095e-19,5.013476937991092162e-10,5.014298556134593414e-10
2.297436514476703744e+20,2.168288053347495747e-01,2.888842294932553179e-01,7.977675080096086632e-19,1.182958515453106347e-11,1.186262886214940150e-11
9.537845024235194941e+20,2.415203812628576863e-01,1.171681589346953212e+00,5.462934675137989116e-19,9.306038153831135688e-10,9.304734996599531562e-10
3.806483068094368973e+20,9.283202973581144990e-01,5.394996137698142569e-01,1.373562008119067292e-19,9.676063833412986688e-13,1.058141970008610533e-12
4.809938040753181164e+20,1.199777186598282031e+00,9.903345002910927120e-01,9.378438337015220031e-19,7.900923139023134207e-11,7.905386884746774490e-11
8.449323344383976407e+20,4.352286175693276249e-01,5.385637790216081244e-01,7.780435532689190113e-19,6.423188657510591315e-10,6.422651704275231162e-10
4.682792227322451722e+20,7.580484339995473553e-01,1.981818253809713992e-01,3.978192069682331705e-19,1.275189393058030414e-11,1.281000574099993953e-11
5.946343189057534689e+20,1.096674966946012741e+00,3.159243164609213950e-01,9.411519778600855798e-19,1.450735203309176487e-10,1.451099775705362566e-10
1.248032019187615334e+20,3.405401508370003438e-01,1.350750682453144835e-01,4.957410413919692714e-19,1.129399007836923837e-12,1.158812257502476531e-12
7.781617978073259704e+20,6.359828574393837641e-01,6.001843331588788688e-01,1.911409659036224360e-19,2.279914161383984988e-11,2.280198383797142826e-11
5.843289818973504143e+20,8.707813475644808898e-01,3.549860606207941860e-01,1.502378098468319834e-19,3.704293571862514645e-12,3.758964870523759327e-12
3.967585448491829166e+20,1.123613365937703223e+00,1.122920683599456515e+00,3.984646048461683256e-19,9.593483954617151624e-12,9.519838545916985127e-12
8.095858330855638303e+20,8.454602008909976041e-01,1.694741199729435377e-01,4.373662752417166269e-19,1.264119752044621571e-10,1.263956842096628469e-10
3.728753463624804598e+20,2.899488053635306262e-01,1.029610545485762252e+00,5.400365117123217752e-19,2.894662536942773857e-11,2.889841343815974178e-11
5.081481005325863485e+20,1.179608594179484493e+00,9.728563607568530003e-01,1.645077490087056981e-19,2.859291385283837757e-12,2.919176006547300349e-12
2.206375275224482775e+20,1.154432009455285346e+00,7.389218404548286712e-01,7.243291482088422147e-19,8.835897234700579240e-12,8.839869445448744895e-12
4.628016878024163328e+20,1.039802675252322395e+00,7.136648190584503615e-01,5.759926427438893597e-19,2.781558657793738284e-11,2.778634090284087370e-11
2.831097166085346427e+20,1.052896617681920333e+00,3.353706423691994454e-01,6.965932550004192540e-19,1.109088667875972603e-11,1.101269583252404185e-11
3.360820063976645591e+20,6.924834536865441814e-01,5.280606624521331227e-01,2.280019293380449413e-19,2.277314682488042791e-12,2.251595458426155703e-12
7.753282053670473564e+20,9.453075732918921892e-01,1.110588112440913378e+00,4.784383865529217267e-19,1.297302673405912099e-10,1.297310815586430421e-10
3.523678821874359337e+20,1.398353640893830852e+00,3.515076726023558251e-01,3.953876030940345237e-19,5.518031427170316829e-12,5.490471136640379589e-12
5.366718769884715418e+20,1.367328551409451531e+00,9.116837989142694276e-01,6.096712565380985325e-19,4.242872713369906132e-11,4.255813351513888320e-11
9.826634798211148022e+20,3.423829246594564113e-01,1.070843018831205473e+00,8.463054079137008937e-19,2.731978183734888041e-09,2.732078856166418452e-09
9.654914742974080614e+20,9.286337621751813431e-01,1.309127707810735952e+00,3.421247101537665496e-19,2.613061793154651772e-10,2.610350630675685690e-10
7.523109466961802691e+20,1.227798254712433312e+00,1.630935226777113223e-01,2.808227621494345284e-19,3.167354390885595012e-11,3.148464258425918159e-11
5.871041699926907945e+20,1.781707713869161713e-01,8.020645914072687122e-01,4.793873838069624836e-19,5.667884636180001546e-11,5.666136915259450211e-11
3.492020836408337367e+20,8.474223113040149080e-01,2.239322001382866301e-01,4.629931442018133692e-19,7.894798176197852444e-12,7.852579135040217249e-12
2.445868078976141885e+20,2.501396897413978304e-01,1.252470358311246201e+00,9.668547288773638871e-19,6.914481322137015248e-11,6.916617752112001383e-11
9.729328718945192509e+20,3.386350924787683292e-01,1.339332280524676788e+00,2.943006416024620690e-19,3.144648561723923794e-10,3.144865883654946514e-10
5.644617269930908713e+20,5.669551257571584513e-01,1.726575764944869307e-01,2.758041240432161235e-19,1.139089251798920122e-11,1.160267639349430641e-11
2.042790512236932628e+20,8.236699846895000343e-01,2.289909156525860023e-01,2.554599566739382021e-19,7.643297500117483403e-13,6.531276737425202102e-13
6.611407799837502996e+20,8.039001179126732399e-01,6.949568357099767946e-01,9.719473035500239745e-19,2.710081209482156736e-10,2.709703604475029505e-10
7.990148029080681841e+20,7.551812601989785767e-01,1.107411442681240255e+00,8.670128337330975043e-19,5.610353250617476027e-10,5.612396022224968846e-10
6.517029709477364367e+20,1.344438406924338469e+00,9.008368114787073111e-01,2.073861100503759811e-19,9.515100441561699920e-12,9.579770741181884006e-12
9.255679343118124319e+20,7.621434208269671773e-01,5.312363906417773007e-01,9.856211413775110819e-19,1.631709499518908229e-09,1.631775805856145945e-09
1.356335889977825690e+20,1.053024978767807429e+00,8.758935044716155138e-01,7.148021986961564891e-19,6.772344080351926144e-12,6.720943443183180145e-12
5.757303369340194652e+20,5.345897017657624817e-01,1.137351132656024832e+00,8.098627214292153327e-19,1.557090480243205229e-10,1.555442405072349630e-10
5.134022945968633283e+20,1.067633773437111966e+00,1.297948346320462853e+00,7.629929104138400769e-19,7.108483749743173913e-11,7.110158397185401838e-11
1.561146212348880486e+20,1.072257810412201362e+00,2.798215433503514760e-01,8.506489028986578919e-19,4.916395366602897912e-12,4.927296775385052952e-12
6.771953522254374502e+20,9.704349860068420819e-01,1.195926541368959928e+00,7.206376812087830857e-19,1.635134036420270561e-10,1.633906684366025891e-10
8.673695546325910159e+20,1.080584473698400494e+00,9.422834374524069467e-01,4.950230542904109112e-19,2.290301403757247564e-10,2.289618177095467008e-10
6.336469162938555433e+20,8.440637046489639639e-01,7.971950135664139792e-01,4.529601176394299323e-19,5.058025009331895301e-11,5.057304572534623247e-11
3.340877029635008758e+20,1.212331447832865505e+00,6.730100549439864688e-01,5.377600366430732445e-19,9.974503660801748576e-12,9.880028498495671284e-12
8.558933689282679276e+20,1.182294115170545057e+00,7.640458634519035064e-01,6.241389249475824672e-19,3.149172470411260795e-10,3.149074200443408470e-10
5.585462933693584507e+20,2.253067060688593859e-01,6.963425276003032405e-01,4.716400004330369504e-19,4.382259381071485978e-11,4.383214211346180656e-11
5.597999960198797066e+20,6.828625235629853796e-01,9.718979067162668573e-01,1.271602933344214161e-19,3.073097188669305315e-12,3.076655812374853738e-12
7.777271869319601193e+20,2.568736837185047195e-01,1.285640828922762990e+00,2.391766452956170177e-19,4.943019455873244398e-11,4.937956539290100952e-11
2.331298322064609116e+20,1.335700751079219151e+00,4.079469480499398060e-01,5.076477736133635650e-19,3.608361922512237430e-12,3.667736729690820093e-12
8.376640472073492234e+20,6.653585551627502204e-01,1.026836973333321995e-01,8.171685744834223169e-19,5.754832098158159237e-10,5.755723265112441163e-10
7.149582154029314867e+20,3.861018135310183563e-01,1.334854612689394815e-01,4.477448865408501388e-19,8.021637819372802429e-11,8.024846302418468554e-11
8.083872473993209446e+20,1.188917104239338496e+00,1.285205614224754767e+00,8.774458556298590418e-19,4.664583260574008421e-10,4.663765030346618148e-10
2.724546331181217219e+20,2.133810074750976393e-01,1.307482509325510245e+00,9.255394303436003469e-19,7.156579492758203111e-11,7.163896015596057949e-11
8.221277450210769633e+20,3.003130332396550806e-01,1.237693701142840386e+00,1.728895430268668675e-19,3.384992629658079484e-11,3.379978229473408674e-11
2.721915334514802360e+20,9.824789177743977753e-01,8.572150591342904136e-01,7.507758860352135346e-19,1.776685716176173975e-11,1.785477322359053927e-11
1.733973556271614525e+20,7.596503197554714815e-01,8.607754638113711554e-01,9.578707641607848630e-19,2.433239209438175321e-11,2.422521335269400876e-11
8.697042768583631831e+20,4.474830661530552200e-01,6.250833585365019873e-01,3.683540265941178569e-19,1.761733444636256494e-10,1.762647911839385247e-10
8.751551465599015322e+20,8.491637000408323033e-01,5.391655981973162426e-01,5.010445831452129607e-19,2.730168667655847550e-10,2.730148604201231818e-10
8.888833867749224612e+20,3.695987759549911322e-01,1.313189720109951386e+00,5.149632717802124970e-19,4.764923997669401207e-10,4.763675248779067116e-10
5.247187474229112340e+20,5.020062941665518474e-01,7.894403436682893016e-01,5.042447192518504096e-19,4.058463941601762220e-11,4.055324946882093578e-11
3.466435497523464110e+20,8.943787983831630317e-01,4.577721629315115726e-01,8.451678923925989943e-19,2.880416764889554939e-11,2.880957787677270429e-11
1.063826457428496384e+20,1.247811801227231898e+00,9.543942980978352697e-01,9.286529299115616466e-19,5.768558608096315203e-12,5.795837742012760952e-12
6.811488060174531297e+20,1.014131754606083735e+00,2.191578733660540790e-01,8.537807613929133056e-19,2.015626261520903940e-10,2.014644073395962985e-10
7.479184451578236764e+20,9.361961193848987728e-01,9.887951084566000137e-01,2.159050643681983902e-19,2.211389254605302193e-11,2.200315524133650346e-11
8.520122948502467379e+20,1.070641278193191548e+00,4.541351905335033745e-01,9.035311424496703115e-19,6.655652242691213426e-10,6.655851827224060871e-10
3.536900446280879309e+20,5.918885148214489966e-01,1.002348668809147636e+00,7.181267658163041734e-19,3.909409902905626213e-11,3.904742406736828017e-11
2.936963504466762465e+20,1.375271478265035041e+00,7.265060875125811668e-01,9.426332222665888086e-19,2.117687770487569537e-11,2.120042826604871769e-11
6.753982420599289938e+20,8.946382340103139486e-01,1.219538623298072944e+00,4.535755813516271892e-19,6.763599796533273314e-11,6.771194991758056960e-11
8.245493498305086751e+20,4.348296581650874515e-01,1.083607797184056309e+00,3.751140527342593517e-19,1.488687068905797557e-10,1.487038281539446715e-10
9.673037855604737311e+20,1.467548222048107864e-01,1.378238636729301358e+00,4.057305668493729414e-19,6.069077854636787633e-10,6.069332242753305224e-10
2.354723473790597202e+20,2.452822608846597641e-01,8.548737121622406177e-01,4.436846692946852270e-19,9.996138303595692411e-12,1.011860300034926513e-11
5.339911493794028585e+20,3.580618970992278660e-01,1.174079003409289834e+00,8.951899815579376616e-19,1.703483953099884381e-10,1.703186426255514004e-10
9.052442759765561180e+20,1.054684430713226595e+00,9.563279303145072463e-01,5.361729340173768048e-19,3.574861820122397957e-10,3.574051005539160158e-10
4.804452162508935660e+20,1.158877513814398741e+00,1.057757043022757859e+00,3.592777611763872837e-19,1.196562823008910347e-11,1.204085261280706195e-11
6.305518558756432773e+20,1.303088698563407810e+00,1.264071990579477500e+00,7.937698570182244287e-19,1.268253184127739193e-10,1.268506630643947262e-10
1.220416097440268780e+20,9.357833057308397873e-01,5.068047632934844504e-01,1.439811797480442974e-19,1.772415847154448167e-13,2.668298917932008374e-13
7.061138984376450417e+20,4.864600869681637851e-01,1.135026542940825056e+00,4.127217894478744351e-19,8.425783660867751239e-11,8.422331503767237890e-11
9.271797576704402391e+20,1.190529816146535191e+00,1.304889253302733199e+00,8.121905583418672573e-19,8.927278593729028568e-10,8.925796775455305992e-10
8.441427966010489569e+20,1.339511220848941253e+00,1.385718778713431742e+00,6.475963312763691351e-19,2.973515430144962158e-10,2.973405419380250891e-10
8.969682400389520425e+20,1.005974992048858097e+00,2.895634634463046253e-01,4.264141745149754915e-19,2.084351770603082205e-10,2.083905942450071081e-10
6.943198424684709806e+20,1.940654519620488294e-01,4.655966363647014994e-01,3.478612504539180842e-19,4.763946292163017192e-11,4.771699530383493054e-11
3.209970405188598497e+20,6.342765698165601096e-01,6.520825353101341593e-01,1.825525353387904483e-19,1.563156254197076090e-12,1.582519539034791562e-12
7.916652990066289541e+20,4.236267187507875009e-01,5.951039217846934015e-01,1.219666448912037520e-19,1.103486727661593030e-11,1.087178235337242030e-11
2.905072683467594465e+20,1.321038665451762295e+00,1.318709876964345717e+00,2.806796767965839799e-19,2.060758854058627044e-12,1.941242546048307166e-12
8.481473511980150292e+20,1.154460408463892751e+00,1.326672892748588517e-01,5.399021329390651767e-19,2.206057192373055988e-10,2.206940981409643360e-10
1.564461303136914309e+20,1.909052457692765603e-01,1.265434378089889345e+00,5.114960846724534027e-19,1.611373118343543856e-11,1.618170768517722353e-11
8.429390320542002708e+20,8.922615094184194184e-01,2.103219467116286545e-01,5.763485861926529033e-19,2.717048667034901829e-10,2.716408423668993339e-10
2.480565398266911785e+20,1.380691858052331078e+00,1.318808540538165763e+00,1.224415898113852565e-19,2.649827223549616084e-13,2.648778426982335357e-13
4.376322968469776630e+20,7.809479651257401622e-01,1.297684789121476001e+00,4.945955913142976181e-19,2.615728560738487161e-11,2.620184296276248874e-11
3.850643499012678615e+20,1.256273747546686304e+00,7.269611650124320201e-01,7.633171157972897853e-19,2.762378098879987336e-11,2.767062142238460263e-11
7.222033317499671675e+20,1.156029880376404417e+00,3.264611868765951996e-01,7.748811222659122790e-19,2.057709139085002291e-10,2.058585381281116620e-10
2.607146903569347379e+20,7.129986185257997100e-01,3.489223297236339061e-01,6.021477414174703475e-19,8.055174275649368629e-12,8.080822838371525163e-12
4.566305459952878223e+20,6.746109153098791555e-01,4.372359943551621386e-01,7.342032746247460036e-19,4.531041831895725635e-11,4.530093548506040895e-11
1.052421355971828449e+20,3.101465440774402449e-01,1.203592543646696100e+00,1.085244121170100953e-19,6.030123800413218448e-13,5.771275735625373043e-13
3.362452414750913987e+20,5.608104411473466833e-01,8.029739477247126445e-01,4.027519867169949974e-19,9.941548228199939685e-12,1.004712250825326558e-11
4.790699328060597207e+20,3.487766783553777894e-01,1.237271992140809296e+00,5.610292966755605775e-19,5.320938417535413710e-11,5.298429874784628261e-11
1.953291130365919887e+20,1.199419859007310851e+00,1.081047578234500595e+00,9.287885956799269735e-19,1.362359847448850446e-11,1.360973294197937051e-11
6.698439514329019843e+20,8.844242525511876174e-01,1.358015045079898231e+00,3.316705555376907002e-19,3.581494488371400126e-11,3.581824489411240977e-11
4.423818428978791055e+20,1.317114952753008605e+00,9.597900169657211933e-01,3.632436101395591241e-19,8.866004757092092992e-12,8.723469861005073908e-12
7.527645442686150246e+20,6.334604827826620932e-01,3.210576883792540803e-01,4.964632619914872808e-19,1.223771632272217245e-10,1.224104445885355338e-10
6.884794099615549358e+20,1.012222117142092870e+00,8.110206887914698237e-01,7.163075992086396431e-19,1.596484861174547656e-10,1.595833580162104325e-10
4.881040738996655882e+20,1.183095241838074907e+00,1.061069002779716275e+00,6.207009864381465539e-19,3.671221445690351901e-11,3.679845893653509148e-11
8.805884550779792261e+20,1.167404644628329130e-01,5.652757604062272900e-01,7.758088573082606265e-19,9.107727193633674393e-10,9.107601601549639701e-10
6.689216057501503980e+20,5.197101266021196819e-01,1.399710708980834717e+00,3.487037115840349013e-19,5.018879240648471879e-11,5.025570773056366126e-11
8.292469168956690924e+20,6.670987292792761592e-01,3.824415928004346599e-01,8.220212753295010681e-19,5.647084571630903823e-10,5.648303415236075112e-10
4.076152515461017108e+20,1.307184477231956077e+00,1.304619522680898758e+00,9.191973221182830290e-19,4.746469554029757344e-11,4.750298849856891985e-11
5.893023607016100332e+20,1.231635513831516038e+00,7.369139289425121753e-01,5.857478904529839663e-19,5.464652826322774648e-11,5.455895614888546156e-11
2.766671966032780657e+20,2.098607155734167340e-01,1.198207256812901855e+00,3.427170432752259456e-19,9.426737975962190302e-12,9.275306112791726734e-12
9.965270711067651604e+20,1.342096852120822303e+00,7.927076465047169229e-01,8.607449344271072161e-19,1.554505389035803309e-09,1.554680727447554925e-09
3.188939178756944036e+20,9.149749515936069777e-01,8.157968750058377516e-01,6.623113524040844796e-19,1.870405393898554722e-11,1.869292471966679479e-11
3.311807205043925156e+20,1.935136462980426852e-01,1.019325552163197868e+00,8.768180299125115031e-19,6.628404820683599531e-11,6.621519171207256379e-11
1.658710651518693868e+20,9.971589234759367093e-01,7.812932444084419448e-01,4.797199215429867342e-19,3.625984689998567041e-12,3.640410398804649762e-12
3.320228070970629161e+20,1.211971419042063403e+00,6.830112895145487029e-01,6.952261649777455461e-19,1.648982395326853913e-11,1.647068282022027402e-11
7.868156792896479560e+20,4.365118681683007873e-01,2.543762666800633010e-01,1.293116924084250634e-19,1.098325057706683395e-11,1.106846480348810212e-11
7.281042136147731415e+20,5.194600244065675776e-01,9.745434351810943197e-01,3.290807981293407487e-19,5.760633390883944791e-11,5.760972672708315588e-11
2.158058910854525092e+20,4.610004969602243818e-01,1.348056438524123823e+00,3.755954279355160548e-19,8.825657307221636355e-12,8.827032265583477994e-12
4.386146512852847821e+20,1.013259616819475406e+00,1.325413638981396192e+00,9.303043665366258074e-19,7.516665762071823140e-11,7.509519964861492882e-11
4.788292551557166531e+20,1.033762922268824491e+00,1.610661913135247036e-01,7.180860582598620628e-19,4.228842671326726283e-11,4.233538352314201271e-11
6.984858217257646162e+20,1.106653999833905555e+00,6.677258077168783945e-01,1.415014570466346372e-19,6.219376924646194034e-12,6.115990252410696138e-12
5.103360667393739981e+20,1.297353470834095024e+00,8.744405328100964825e-01,6.023153610431703679e-19,3.636480292592726661e-11,3.643139186990366290e-11
6.278664941429781955e+20,3.363767231656515366e-01,2.283713848463539975e-01,4.913970279475447497e-19,5.645778517121775859e-11,5.661017892251676947e-11
8.557161432480481280e+20,1.020722311282096451e+00,1.023822830015736818e+00,7.857908554331801150e-19,5.570953362708908099e-10,5.569428676670809153e-10
7.538262492811333468e+20,9.394138861072822699e-01,6.633719043167515261e-01,2.921990306169354301e-19,3.992653273861882345e-11,3.967990981548368873e-11
4.285065371577030410e+20,4.414074070121415394e-01,2.687767418913156181e-01,4.004034265999142599e-19,1.087210609363000769e-11,1.093379396914544007e-11
5.035566784100358554e+20,1.367901025983708552e+00,3.764421474932282408e-01,2.533376366569704002e-19,5.923810106537563443e-12,6.178599888085876400e-12
4.309296127210059203e+20,7.200482927191774740e-01,1.238458964945664265e-01,7.921397749633244800e-19,3.942293829211740605e-11,3.932284580723021873e-11
1.987611976060270674e+20,1.333475718399883547e+00,3.991393718195500595e-01,5.015002273763387592e-19,2.522093760767706447e-12,2.397024184887507770e-12
2.829173896786569134e+20,1.363305931034760832e+00,1.010683990010256217e+00,2.952128078614288629e-19,1.996632046600178345e-12,2.055528939978225865e-12
3.554258400497179689e+20,1.270062524590219732e+00,7.414014660885542840e-01,4.897387148833664981e-19,9.353634908396649006e-12,9.269562749390818948e-12
3.827205060420719739e+20,6.973309679741210854e-01,4.039195873481101762e-01,5.347187721188722964e-19,1.501008784967436456e-11,1.495948530128069149e-11
3.817430729379438920e+20,4.637098271917785564e-01,4.285786136382375711e-01,8.999983053066992112e-19,4.615339064101996033e-11,4.611857889435157956e-11
6.190297446276568187e+20,8.614905211619677816e-01,7.153188651012976074e-01,3.192694251393293778e-19,2.244196807624569366e-11,2.249516828487487243e-11
9.745209780577792164e+20,6.843965828384303007e-01,1.053284878116983236e+00,1.612611908037946219e-19,7.482978556152770758e-11,7.478925532538839691e-11
7.971977214313588326e+20,7.086620563979435516e-01,1.371886190952033679e+00,3.232615552461411845e-19,8.203815168862685903e-11,8.206593997263487775e-11
8.120205533555247022e+20,4.173057468125076497e-01,7.483545512987744841e-01,1.505690536237363010e-19,2.029665550833568513e-11,2.027900218244632831e-11
7.833416504856219484e+20,1.194928998022968258e+00,6.762554480181975913e-01,1.379919373228800903e-19,9.547735436160933992e-12,9.463268325795772960e-12
6.372889574713807340e+20,1.049941321208465617e+00,5.928963390131943845e-01,4.088095984538196799e-19,3.678059191343737818e-11,3.674860928766305763e-11
9.259230314538214359e+20,1.224902477243835275e+00,1.168002766492322930e+00,7.624847692912091351e-19,7.606662904957127321e-10,7.605712505291959068e-10
7.206671399023728394e+20,7.910004736940859926e-01,8.489934902751679058e-01,7.891923318354830737e-19,2.657892589429193543e-10,2.657899104415063404e-10
5.503207876631838720e+20,2.204628511334084662e-01,1.290552469726187423e+00,8.926207462834660142e-19,1.986061707647439590e-10,1.984937841419874047e-10
1.693754276504848957e+20,1.221001621383342339e+00,8.126766153478307553e-01,8.528346864717422609e-19,7.772333987593834656e-12,7.663044550664310680e-12
5.396043043769714606e+20,1.900265620911960052e-01,3.585950258303827187e-01,9.091168007516842592e-19,1.199332830440267218e-10,1.200789792255572371e-10
2.915478958063009137e+20,3.008708123240432797e-01,2.366498856617474389e-01,2.757200210342982695e-19,2.036930657062109669e-12,2.031612235031575663e-12
2.194266677921085194e+20,1.327356169032480881e+00,7.994541841323099529e-01,2.620087383657717068e-19,9.424009778699454036e-13,9.370107753227411020e-13
5.554584302764356403e+20,8.299562065376528963e-01,3.478643981144436959e-01,1.178469172630540181e-19,1.939353378470990548e-12,1.990507020462752445e-12
8.065767633372631532e+20,9.774966334763078857e-01,1.008092502202952323e+00,4.670924787324769784e-19,1.459710681782512282e-10,1.459289824779963473e-10
