dIdt,T,emf,emf_noisy
1.055949744398163784e+04,2.771629954629513577e+02,9.286659213127053392e-02,9.355776051540010130e-02
7.960262559627984592e+04,3.463354535124054792e+02,8.326124805492519931e-02,8.490448434192751637e-02
1.942313038051236163e+03,2.819868311795960949e+02,2.081894814429987792e-02,2.147982229666665216e-02
7.894032212920646998e+04,2.838861831740659909e+02,7.525275590428767702e-02,7.264644144107895718e-02
4.204001903728689285e+03,3.367169459506242220e+02,4.860565596262395038e-02,5.041636769597018786e-02
7.025106264669263510e+03,3.575982451229447747e+02,7.938108761117888823e-02,8.027383675590690770e-02
4.522777132120276656e+04,2.987868167361021392e+02,1.083088065745276690e-01,1.072349001038070959e-01
6.582612236208864488e+03,3.236191103076574791e+02,7.097988762808377095e-02,7.214212383647647386e-02
1.256571991827156489e+04,3.496673051496933340e+02,1.171209789133351858e-01,1.178501237057073409e-01
1.135319837804826648e+03,2.915030885259230899e+02,1.243929287361058601e-02,1.302755786692163728e-02
3.213854545722014518e+04,3.142294505722603049e+02,1.267955305726579940e-01,1.268523750552895957e-01
1.192028465525248794e+04,3.322908728895754393e+02,1.104854508115130085e-01,1.115788767847379070e-01
4.565238099030963895e+03,3.517394896875156292e+02,5.383161851926727276e-02,5.235871034526393825e-02
3.774482419228235085e+04,3.303430923762306293e+02,1.238860684661759470e-01,1.235602485701898373e-01
4.040077150300004632e+03,2.876114465664254567e+02,4.285519363987578406e-02,4.189095501451582659e-02
8.072271845269056030e+03,3.560468149368834361e+02,8.842742524119438785e-02,8.962511766646363842e-02
1.853887578143128849e+03,3.541101545734834986e+02,2.261148814342926749e-02,2.269093235839258690e-02
6.400677900893794686e+03,3.452925134809478891e+02,7.195387181183238168e-02,7.136895830990221123e-02
2.552175183107453904e+03,3.462997398216862166e+02,3.057367150123379423e-02,2.900985457652011101e-02
3.346776269098198554e+03,3.185756502835803303e+02,3.791592519018045088e-02,3.740154070894270710e-02
3.167592786326510031e+04,3.380236594839917075e+02,1.325788759659623783e-01,1.325951603269990564e-01
3.637621566079690638e+03,3.728733569918331341e+02,4.500589088078955219e-02,4.445468507019081222e-02
9.340754307584189519e+03,3.704868116468808807e+02,1.008043224281247874e-01,1.033924500569212007e-01
9.151123144799889997e+04,2.916448403584197422e+02,6.900792544740874668e-02,7.102137407802033842e-02
8.381357920683294651e+04,3.367410586288601166e+02,7.914661160904322423e-02,7.372428665111128987e-02
2.815657862887754891e+04,3.597537119009564321e+02,1.406160994346405124e-01,1.368380729427051690e-01
1.209076307713311508e+04,2.790131362605320078e+02,1.010630594341691835e-01,1.007135152500588660e-01
3.579170671719981783e+03,3.304940239464626757e+02,4.129224968850334770e-02,4.044786886535064324e-02
2.095578902817458584e+03,2.845492069031844267e+02,2.255019639468461637e-02,2.297748238968183934e-02
8.706644785456001409e+04,2.913565455752898856e+02,7.136292344180672487e-02,7.179756730385185304e-02
1.076805266843865138e+04,3.089196250582429570e+02,9.978058870561772042e-02,1.040162662157198131e-01
1.705026859752021437e+03,3.286669218991923458e+02,1.993182212129841757e-02,1.770778059591385581e-02
1.765954505414073719e+04,3.271461629163594580e+02,1.293364417620326556e-01,1.285812317477786626e-01
3.575742436519426701e+04,3.233985584768445278e+02,1.248177034373885441e-01,1.289032466523732101e-01
1.682699641126290953e+04,3.687260313018721831e+02,1.367079772740229515e-01,1.380013832664266360e-01
6.832748092334743706e+04,3.239341092943820968e+02,8.888468272572822015e-02,9.021080947048074061e-02
1.200012454141670105e+03,3.463096137513698523e+02,1.449175124169610820e-02,1.346373849832118233e-02
1.140718609249498695e+04,3.064299770589047966e+02,1.028864405053144943e-01,9.959029016360318454e-02
8.292238138422550037e+03,3.474333671874701395e+02,8.897556110676976826e-02,8.931049059521524447e-02
1.332598003584944991e+03,3.477890623394001182e+02,1.612459300278659691e-02,1.634262117842969278e-02
1.917151078775310089e+04,3.399565373851417007e+02,1.347626908335045059e-01,1.323079867250153696e-01
5.073009515875978104e+04,3.484295748998769682e+02,1.110292778585233175e-01,1.096628245349621916e-01
1.534200204180814580e+04,3.302356695883818247e+02,1.241863863781511590e-01,1.240422990186967056e-01
3.312797543632049383e+03,3.585639575256050193e+02,4.020276653444155440e-02,3.831326328832000000e-02
4.783690154056197207e+04,3.562533934746572868e+02,1.160653152639329055e-01,1.158687753282284655e-01
1.044700404937504391e+04,2.826389773899122702e+02,9.320807661997633498e-02,9.339904267491525025e-02
1.051423716382634120e+04,3.178355787356142628e+02,9.986752990654154671e-02,9.993870238065251377e-02
3.206715384816915684e+04,2.850672064398849557e+02,1.203101122602606154e-01,1.192975289436319919e-01
1.976259959348830080e+03,3.680539039291707013e+02,2.464246665905832356e-02,2.582996280262996741e-02
4.357660965193764423e+04,3.164891196279038468e+02,1.137838536499347353e-01,1.155661875584993864e-01
2.325807742906688873e+04,2.950078318100783576e+02,1.271909053168214510e-01,1.278326019259545809e-01
3.751404396990127861e+04,3.567628541722568229e+02,1.297261110213675794e-01,1.280896505665869711e-01
2.416754400488918236e+03,2.817216159596229090e+02,2.580589218482133573e-02,2.726919675239221699e-02
4.024651889976835810e+04,2.884086948645888810e+02,1.120926854228703057e-01,1.110898053859361995e-01
2.413503050729641473e+03,3.408829936749536955e+02,2.868059879249996308e-02,3.043892002907593389e-02
1.455811798389251180e+03,3.237423322888824373e+02,1.689301291731298491e-02,1.474943808355809634e-02
5.133977352931824134e+04,2.997294666271581036e+02,1.014973702653706317e-01,1.033263046716281913e-01
5.279186349061586225e+04,3.306279769262179116e+02,1.054198636200379124e-01,1.053797367108069566e-01
5.663360309668941773e+04,2.937383673811531821e+02,9.486939303256038125e-02,9.237189525189154482e-02
8.786571323968191791e+03,3.039235610897347897e+02,8.607991775386676647e-02,8.545211880993307252e-02
3.532618811225512218e+03,3.341060614140894813e+02,4.103426285430960413e-02,4.114246741185269285e-02
