H,T,M,M_noisy
1.308060671246582096e+00,8.617966358911491875e-01,9.950481110670418294e-01,9.969386448849771876e-01
1.492455717070616528e+00,2.463870785674972252e-01,1.032674361359029236e+00,1.027446876944221765e+00
4.071128702971401836e+00,1.560581668355677520e-01,1.002453671439433869e+00,9.983230360055149744e-01
4.595797106754845318e-01,3.982970401616728884e-01,9.556127987026170612e-01,9.311981248762184471e-01
3.000502629828269985e+00,6.002202576597682748e-01,1.000650890833322704e+00,1.018647964660531757e+00
3.642802634058972977e+00,6.007768766467064259e-01,9.987072468291833260e-01,1.010148905549555609e+00
9.395053668330172192e-01,8.755326957911798713e-01,9.911351647279815769e-01,9.878809363593032966e-01
2.757331366653409388e-01,3.145680525018220708e-01,7.177344530616319718e-01,7.254725189289086273e-01
1.374846839530190490e+00,6.672000026557747265e-01,1.012858377322358061e+00,1.015670484020334552e+00
3.287165074377962792e+00,3.636041797292780542e-01,1.003648268273738209e+00,9.981100399094976483e-01
2.811328313902139886e+00,1.841944535521705117e-01,1.009436792101579661e+00,1.019212466612839929e+00
7.503113165266805940e-01,6.536431373414199886e-01,1.025896882773845720e+00,1.022791317307254255e+00
2.163153954023935732e+00,5.803497071335884661e-01,1.007408216822882618e+00,1.004119977782302886e+00
3.346486492872601026e+00,6.564194198668221736e-01,9.983216895962346848e-01,9.904002220426456615e-01
2.113923366350638933e+00,1.558101027341978195e-01,1.019163651073314192e+00,1.023713231785722710e+00
3.165921996370582026e+00,7.956042149164113120e-01,9.955592726652996438e-01,9.945672921481257811e-01
4.837179762468383437e+00,4.125604219719710697e-01,9.993999546547284174e-01,1.004852841794375173e+00
3.415324111548126318e+00,3.109195108362821092e-01,1.003678413578597661e+00,9.976065565798912793e-01
1.958124165400130678e+00,8.199423406769396072e-01,9.975077882895280190e-01,9.987760667606466747e-01
9.362628486004903605e-01,5.440336446531769399e-01,1.034134391892315152e+00,1.025211651458017181e+00
1.729803327858665529e+00,1.894400700218619171e-01,1.026978611832802812e+00,1.035393261556504241e+00
2.555329867847885517e+00,4.398675237754793299e-01,1.007686498834842403e+00,1.009566849704649272e+00
4.456047047502895708e+00,5.509841681775283773e-01,9.983970547427702957e-01,1.001702764824123459e+00
3.877819712363447024e+00,6.936500078614014075e-01,9.969345687416667490e-01,1.001039607871369475e+00
1.590733003076871821e+00,8.058825538489141627e-01,9.997716612104758926e-01,9.896640862089425283e-01
4.621084482534120852e+00,6.216906801612789302e-01,9.975823604629795449e-01,1.005414170424420384e+00
2.354549427078787449e+00,1.720912640358802648e-01,1.015178450447296044e+00,1.035745478630719640e+00
