t,v,q_eff,p_pol,dv_dt,dv_dt_noisy
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.003455841920647851e+00
3.000600120024004593e-03,2.996776421767947431e-03,1.498049164406018308e-03,4.480050775887552830e-06,9.974523199480108682e-01,1.005668501383022440e+00
6.001200240048009185e-03,5.985916739075118793e-03,2.991596593724778555e-03,1.783392381521535573e-05,9.949102759302417276e-01,9.982146466920756023e-01
9.001800360072014645e-03,8.967437810022469216e-03,4.480642455623807738e-03,3.993376979475779623e-05,9.923738324575013259e-01,9.793422601414577544e-01
1.200240048009601837e-02,1.194135638882111959e-02,5.965187028295550198e-03,7.065378361931513710e-05,9.898429548415001999e-01,9.988965135082313873e-01
1.500300060012002210e-02,1.490768913795441700e-02,7.445230697061042298e-03,1.098699927598195160e-04,9.873176092192280651e-01,9.917813549428682318e-01
1.800360072014402929e-02,1.786645259494878263e-02,8.920773963873786239e-03,1.574608320326177982e-04,9.847977623770558520e-01,9.794282300234530281e-01
2.100420084016803302e-02,2.081766319926728684e-02,1.039181743860154335e-02,2.133066666711347131e-04,9.822833818449236976e-01,9.880945628868872399e-01
2.400480096019203674e-02,2.376133730185785858e-02,1.185836183614094597e-02,2.772896250611094331e-04,9.797744359116323798e-01,9.834201598734931826e-01
2.700540108021604047e-02,2.669749116515330103e-02,1.332040797641750006e-02,3.492935987405953297e-04,9.772708935979705913e-01,9.802122185645258945e-01
3.000600120024004419e-02,2.962614096307126382e-02,1.477795678438556699e-02,4.292042423999599464e-04,9.747727246305009086e-01,9.750569470436588615e-01
3.300660132026404792e-02,3.254730278101428120e-02,1.623100929002839476e-02,5.169089738818853511e-04,9.722798994159895791e-01,9.777470292821140996e-01
3.600720144028805858e-02,3.546099261586974777e-02,1.767956662835808504e-02,6.122969741813677567e-04,9.697923890164582561e-01,9.624278481464415558e-01
3.900780156031206231e-02,3.836722637600989416e-02,1.912363003941560530e-02,7.152591874457175751e-04,9.673101651248451338e-01,9.656810656449146268e-01
4.200840168033606603e-02,4.126601988129183218e-02,2.056320086827080618e-02,8.256883209745592006e-04,9.648332000412547238e-01,9.600120069144549850e-01
4.500900180036006976e-02,4.415738886305756172e-02,2.199828056502239199e-02,9.434788452198322566e-04,9.623614666497815051e-01,9.683499287761277996e-01
4.800960192038407348e-02,4.704134896986466446e-02,2.342887068226861061e-02,1.068526890642222064e-03,9.598949384225476944e-01,9.602921594973642394e-01
5.101020204040807721e-02,4.991791579778927929e-02,2.485497286138377976e-02,1.200729693157240579e-03,9.574335895413729203e-01,9.545090220317220542e-01
5.401080216043208093e-02,5.278710484086517746e-02,2.627658885418414011e-02,1.339986481610830251e-03,9.549773946471203923e-01,9.471583100235519970e-01
5.701140228045608466e-02,5.564893151861843856e-02,2.769372051130663051e-02,1.486197997002880076e-03,9.525263289422385427e-01,9.499544065360497891e-01
6.001200240048008838e-02,5.850341118289336534e-02,2.910636977924030422e-02,1.639266370831634397e-03,9.500803682016417673e-01,9.501617900068252132e-01
6.301260252050409905e-02,6.135055911785244204e-02,3.051453870032630120e-02,1.799095125093692904e-03,9.476394887526884414e-01,9.448834596996947832e-01
6.601320264052809583e-02,6.419039053997632749e-02,3.191822941275787584e-02,1.965589172284007598e-03,9.452036674556331119e-01,9.581443055996151648e-01
6.901380276055210650e-02,6.702292059806391755e-02,3.331744415058038311e-02,2.138654815395889513e-03,9.427728816845319937e-01,9.528401248375899524e-01
7.201440288057611716e-02,6.984816437323226879e-02,3.471218524369127506e-02,2.318199747921001128e-03,9.403471093085972177e-01,9.132354845189375459e-01
7.501500300060011395e-02,7.266613687891664009e-02,3.610245511784011124e-02,2.504133053849358533e-03,9.379263286739827343e-01,9.190361962143059893e-01
7.801560312062412461e-02,7.547685306087051349e-02,3.748825629462855524e-02,2.696365207669338369e-03,9.355105185859925454e-01,9.337627976654409023e-01
8.101620324064812140e-02,7.828032779716552481e-02,3.886959139151036080e-02,2.894808074367666989e-03,9.330996582917011617e-01,9.288777541759376533e-01
8.401680336067213206e-02,8.107657590023190086e-02,4.024646312065074255e-02,3.099374873402702384e-03,9.306937274722852926e-01,9.328301574472713797e-01
8.701740348069612885e-02,8.386561214515726725e-02,4.161887427274479911e-02,3.309979674411852538e-03,9.282927063570165505e-01,9.304659256672421774e-01
9.001800360072013951e-02,8.664745123034177376e-02,4.298682773852764011e-02,3.526538086375231688e-03,9.258965755292125621e-01,9.470749630797230534e-01
9.301860372074413630e-02,8.942210779247940222e-02,4.435032650105117519e-02,3.748967002227464058e-03,9.235053159759607500e-01,9.123851083490379654e-01
9.601920384076814696e-02,9.218959641693810769e-02,4.570937362997813669e-02,3.977184416879524752e-03,9.211189091196225753e-01,9.173428590483525547e-01
9.901980396079215763e-02,9.494993163775979073e-02,4.706397228158205187e-02,4.211109427218736288e-03,9.187373368027150766e-01,9.391650528776384066e-01
1.020204040808161544e-01,9.770312793766018633e-02,4.841412569874722210e-02,4.450662232108769031e-03,9.163605812731335787e-01,9.228276112351520011e-01
1.050210042008401651e-01,1.004491997480290999e-01,4.975983721096879919e-02,4.695764132389646829e-03,9.139886251697048047e-01,9.206192588934674070e-01
1.080216043208641619e-01,1.031881614489301574e-01,5.110111023435266742e-02,4.946337530877734437e-03,9.116214515080629521e-01,9.064813877911883644e-01
1.110222044408881725e-01,1.059200273691009997e-01,5.243794827161557537e-02,5.202305932365754865e-03,9.092590436668414045e-01,8.927782919582848420e-01
