S,H,theta,theta_noisy
9.022092130790623221e-01,1.992854455508211275e+00,9.632059010527469489e-01,9.836150922665988228e-01
2.406264540631191551e+00,3.186312021678100237e+00,1.439422699473119405e+00,1.413866049159977489e+00
8.022680928803648470e+00,4.923870908945564118e+00,1.308170465906510316e+00,1.312351454373768211e+00
5.842512258840458550e+00,2.714554816514394009e+00,1.177807100246375693e+00,1.172129404185096480e+00
9.865799902919718534e-01,1.429696188631108367e+00,9.362295918974775644e-01,9.317030989763731563e-01
4.359613055352913769e+00,3.399361821314271559e+00,1.352725819312271316e+00,1.350569847681373670e+00
4.816560416501298292e+00,4.716469723009483417e+00,1.460313783284073796e+00,1.440113921992601353e+00
1.639402200638931717e+00,3.377420481858087964e+00,1.408345837699469749e+00,1.406026513923027910e+00
7.359042656521683767e+00,4.815359280630609362e+00,1.324201903037567352e+00,1.315549772274817952e+00
1.181036598217963807e+00,2.339482604035613367e+00,1.159391203585085295e+00,1.192621198751534051e+00
3.942720495431836891e+00,3.342105536727468795e-01,8.376332594163300449e-01,8.398911255486092298e-01
5.191564817082568339e+00,1.061343136293360356e-01,7.538794660124079616e-01,7.503531580689920544e-01
4.334748803121068583e+00,1.057877044916271325e+00,1.015412100214551749e+00,1.012599226033038313e+00
5.888645785809499600e+00,3.604478480843023469e+00,1.273387269877046979e+00,1.266706806415957454e+00
7.391485983556993489e+00,1.165697577173605698e-01,7.071592116138558648e-01,6.966077061018046690e-01
9.564859185619180693e+00,7.316391850603026770e-01,7.747528291010726820e-01,7.708448193287261718e-01
2.877801579300474533e+00,2.497223573305709987e+00,1.343042747580290186e+00,1.347862201465358067e+00
6.503044710444259024e+00,1.773298971029668714e+00,1.026300867504810865e+00,1.023915331439077203e+00
6.977349166868045849e+00,3.848014773324468507e+00,1.241536550981203524e+00,1.251114138010801069e+00
2.962571452674246597e+00,2.180614642376318191e+00,1.296356942203930718e+00,1.294358920913264877e+00
6.482633091291989391e-02,9.281413646519210969e-01,1.476147546404547872e-01,1.478573502912214344e-01
9.735929733925805962e+00,4.901414724875349904e+00,1.251858334656704042e+00,1.267316543168832244e+00
3.019092169017912219e+00,1.332831512987894040e+00,1.147923211687416956e+00,1.153374266914293456e+00
3.174160720241650857e+00,4.705429615935569743e+00,1.575343114756572405e+00,1.570290827400432132e+00
8.922525150929313753e+00,3.616251456102340445e+00,1.142961882492768977e+00,1.141133492746791545e+00
5.872371251914534795e+00,4.563134852686379972e+00,1.375082532981519279e+00,1.380487784299067267e+00
4.739531168559222074e+00,4.966247654967819614e+00,1.491720565962141087e+00,1.511071446303129617e+00
7.744106246005722838e+00,4.236974663520583384e+00,1.248578994014815979e+00,1.245882790741396740e+00
3.519427762415883731e-01,3.526650860054103997e+00,5.178754329808876733e-01,5.154398461900966399e-01
7.084302701773452782e+00,5.516741052046133520e-01,7.922203697578928949e-01,8.022435057706498451e-01
3.773726143110784026e+00,1.383984836411195074e-01,7.992801821773127813e-01,7.904155827457068906e-01
9.539844993673654017e-01,2.889935155139816914e+00,1.089821157714134570e+00,1.086903955389735943e+00
6.621975670907552569e+00,4.709770212004277923e+00,1.348491892491201938e+00,1.357317282165766859e+00
9.318065354676477341e+00,4.775575665770618095e+00,1.250410470510237460e+00,1.256213970672146463e+00
2.111552122405961907e+00,2.930207852081149866e+00,1.405468794681354883e+00,1.406383961714178454e+00
6.319397487864161889e+00,1.248150608179816601e+00,9.543265043395929847e-01,9.610275478878778088e-01
3.016722752041375966e+00,3.637694562017233402e+00,1.470012620272017401e+00,1.441730997203579667e+00
7.430478966689836540e+00,4.708047017449284333e+00,1.310090234489163619e+00,1.320303302664164402e+00
7.235539841014068330e+00,4.834993866212274227e+00,1.331716005908287537e+00,1.322119558310206111e+00
2.226218474459604746e+00,1.492490832532470668e-01,8.223885088636080365e-01,8.057023104370483191e-01
8.307374399029407996e+00,1.291099400107285966e+00,8.912098539798062324e-01,8.939743115750162783e-01
6.593639498188768933e+00,1.918533937691391911e+00,1.041539549882835924e+00,1.048544998736329781e+00
6.843849133210484048e+00,1.812310073293131429e+00,1.016244144545275230e+00,1.011796469988447411e+00
8.209753714196823537e+00,9.789251434857034750e-01,8.445152417663954747e-01,8.337511833653874493e-01
4.314300397769695650e+00,3.044542297947179232e+00,1.316095817437160864e+00,1.316357065772501223e+00
7.599119338491442832e+00,2.860160564279114137e+00,1.108885221303023361e+00,1.108357748220594630e+00
8.790877837429226460e+00,3.596350966914079628e+00,1.144956315730999652e+00,1.159012297391180502e+00
1.068083223124640213e+00,1.503294273173086948e+00,9.919770596478052482e-01,9.994511395225987860e-01
8.505194957788230425e+00,1.085850160599854508e+00,8.545156233593442785e-01,8.564537798219904463e-01
3.969576959691734075e+00,4.065950229714715647e+00,1.453450772196782648e+00,1.464567104249022478e+00
4.822855038947134965e+00,1.644462627180450998e+00,1.098571855259986352e+00,1.096516624760928371e+00
1.506028969094074688e+00,1.164686747968682878e+00,1.063971314455076866e+00,1.054712318718593167e+00
6.999342132223580037e+00,3.607733988005886516e+00,1.215214971838841418e+00,1.221055554949093791e+00
2.955187229079117461e+00,1.095485468568728304e+00,1.094930212945702808e+00,1.100755597132259789e+00
8.717834540446212088e+00,1.239798430950331820e+00,8.726787871118510953e-01,8.705304980005825755e-01
2.789975050633366482e+00,2.325397319614427083e+00,1.324085334622615573e+00,1.316257248842976013e+00
