t,C,L,phi,dC_dt,dC_dt_noisy
0.000000000000000000e+00,0.000000000000000000e+00,5.000000000000000000e+00,0.000000000000000000e+00,5.000000000000000000e+00,5.017279209603239032e+00
6.001200240048009185e-03,2.999381400398778291e-02,4.970006185996012071e+00,2.991650258200785183e-03,4.993978415543034011e+00,5.035059322718091757e+00
1.200240048009601837e-02,5.991781953816058270e-02,4.940082180461839556e+00,5.965613329783344548e-03,4.976999447212428151e+00,4.993521301021597303e+00
1.800360072014402929e-02,8.971086706036145164e-02,4.910289132939638534e+00,8.922202188917966945e-03,4.950598529758281074e+00,4.885440668178063106e+00
2.400480096019203674e-02,1.193207744027642708e-01,4.880679225597235771e+00,1.186172167140821417e-02,4.916177673510805590e+00,4.961445466844461194e+00
3.000600120024004419e-02,1.487033852967260539e-01,4.851296614703273669e+00,1.478446802011043268e-02,4.875000916789784533e+00,4.897319645407985256e+00
3.600720144028805858e-02,1.778213552523378871e-01,4.822178644747661558e+00,1.769072859841408496e-02,4.828196383484651300e+00,4.801348721716636625e+00
4.200840168033606603e-02,2.066440152052894108e-01,4.793355984794710700e+00,2.058078187798823358e-02,4.776760859031154105e+00,4.805816764240971928e+00
4.800960192038407348e-02,2.351463391851542628e-01,4.764853660814845959e+00,2.345489736566972946e-02,4.721568174675258689e+00,4.739796794484562703e+00
5.401080216043208093e-02,2.633082131071751153e-01,4.736691786892825107e+00,2.631333563564512701e-02,4.663378907412669250e+00,4.678085532245445322e+00
6.001200240048008838e-02,2.911135106128517336e-01,4.708886489387148266e+00,2.915634863022859014e-02,4.602851376461089217e+00,4.604272488526879314e+00
6.601320264052809583e-02,3.185499182435296284e-01,4.681450081756469928e+00,3.198417969787951953e-02,4.540551345603994093e+00,4.567886994934616141e+00
7.201440288057611716e-02,3.456083250865901180e-01,4.654391674913409993e+00,3.479706387333067474e-02,4.476962396124021026e+00,4.440139691773937969e+00
7.801560312062412461e-02,3.722824136759468328e-01,4.627717586324052945e+00,3.759522797308426090e-02,4.412495484738179208e+00,4.404349987338526340e+00
8.401680336067213206e-02,3.985679381584890657e-01,4.601432061841510546e+00,4.037889120812865329e-02,4.347498702271927584e+00,4.323392736637928557e+00
9.001800360072013951e-02,4.244624662263393744e-01,4.575537533773660570e+00,4.314826537385171162e-02,4.282265306797670590e+00,4.312207617429401729e+00
9.601920384076814696e-02,4.499653743895740132e-01,4.550034625610425820e+00,4.590355485578521272e-02,4.217040375261864149e+00,4.219026480635947429e+00
1.020204040808161544e-01,4.750774130418577434e-01,4.524922586958141757e+00,4.864495709275336310e-02,4.152027801335377966e+00,4.137404963787123968e+00
1.080216043208641619e-01,4.998004143246231878e-01,4.500199585675376035e+00,5.137266281547592239e-02,4.087396291948630633e+00,4.048300868830788879e+00
1.140228045609121693e-01,5.241370785000679655e-01,4.475862921499931701e+00,5.408685649465508338e-02,4.023284534422444381e+00,4.010424922391500502e+00
1.200240048009601768e-01,5.480908030677070775e-01,4.451909196932292367e+00,5.678771658892122626e-02,3.959805667466739010e+00,3.960212776492656239e+00
1.260252050410081981e-01,5.716656817506658994e-01,4.428334318249333990e+00,5.947541554727963503e-02,3.897050777468602067e+00,3.883270632203633443e+00
1.320264052810561917e-01,5.948663191689893548e-01,4.405133680831010423e+00,6.215012020128549836e-02,3.835092396865718456e+00,3.899795587585628720e+00
1.380276055211042130e-01,6.176976890856676894e-01,4.382302310914331755e+00,6.481199198376579040e-02,3.773987473912404411e+00,3.824323689677694205e+00
1.440288057611522343e-01,6.401650494024635485e-01,4.359834950597536007e+00,6.746118728652539254e-02,3.713779825791088118e+00,3.578221701842789759e+00
1.500300060012002279e-01,6.622738536594670045e-01,4.337726146340532551e+00,7.009785771248169817e-02,3.654502278397479209e+00,3.560051616099095373e+00
1.560312062412482492e-01,6.840297510350957788e-01,4.315970248964903888e+00,7.272215007566464051e-02,3.596178295181172491e+00,3.587439690578414275e+00
1.620324064812962428e-01,7.054385433380921944e-01,4.294561456661907251e+00,7.533420658575772089e-02,3.538823477921085203e+00,3.517713957342267328e+00
1.680336067213442641e-01,7.265060740431720232e-01,4.273493925956826978e+00,7.793416522569684979e-02,3.482447037475218110e+00,3.493129187350148879e+00
1.740348069613922577e-01,7.472382375478970884e-01,4.252761762452101912e+00,8.052215980373964022e-02,3.427052772803782954e+00,3.437918869354910978e+00
1.800360072014402790e-01,7.676409157716879150e-01,4.232359084228311197e+00,8.309832034464377515e-02,3.372640087052332980e+00,3.478532024804885214e+00
1.860372074414882726e-01,7.877199762902477032e-01,4.212280023709751298e+00,8.566277309915716620e-02,3.319204713925158146e+00,3.263603675790544223e+00
1.920384076815362939e-01,8.074812719764140612e-01,4.192518728023585162e+00,8.821564054791362908e-02,3.266739330642430605e+00,3.247859080286080502e+00
1.980396079215843153e-01,8.269306024307234715e-01,4.173069397569275196e+00,9.075704174536794455e-02,3.215234175517865722e+00,3.317372755892482150e+00
2.040408081616323088e-01,8.460736956865196889e-01,4.153926304313479534e+00,9.328709236648347058e-02,3.164677532982275832e+00,3.197012682792368388e+00
2.100420084016803302e-01,8.649162049706489164e-01,4.135083795029349751e+00,9.580590493773388783e-02,3.115056112119415133e+00,3.148209280738228255e+00
2.160432086417283237e-01,8.834636949879417500e-01,4.116536305012057362e+00,9.831358903122330850e-02,3.066355394589509231e+00,3.040655076005136070e+00
2.220444088817763451e-01,9.017216419212141787e-01,4.098278358078784933e+00,1.008102512646864707e-01,3.018559899038510075e+00,2.936156140495727485e+00
