t,S,E,P_prod,dS_dt,dS_dt_noisy
0.000000000000000000e+00,2.500000000000000000e+01,1.000000000000000000e+00,0.000000000000000000e+00,-8.618233618233618332e-01,-8.583675199027139824e-01
1.200240048009601837e-02,2.498965398157734441e+01,9.999599859138921243e-01,9.232137094550282169e-03,-8.621681524717164091e-01,-8.539519710367048377e-01
2.400480096019203674e-02,2.497930382563878737e+01,9.999199597086790847e-01,1.846331639551390680e-02,-8.625128098754623052e-01,-8.592084391136284305e-01
3.600720144028805858e-02,2.496894953378408744e+01,9.998799214588656170e-01,2.769353719058230412e-02,-8.628573339508381901e-01,-8.758889062668817616e-01
4.800960192038407348e-02,2.495859110761401212e+01,9.998398712384797271e-01,3.692279876739167077e-02,-8.632017246135037514e-01,-8.541481659467725640e-01
6.001200240048008838e-02,2.494822854873105200e+01,9.997998091214029825e-01,4.615110041294601118e-02,-8.635459817787691783e-01,-8.590822360551290116e-01
7.201440288057611716e-02,2.493786185873956285e+01,9.997597351814546673e-01,5.537844141349823612e-02,-8.638901053616567793e-01,-8.692596377152596032e-01
8.401680336067213206e-02,2.492749103924268539e+01,9.997196494909467157e-01,6.460482105706050193e-02,-8.642340952758881256e-01,-8.584229142339245833e-01
9.601920384076814696e-02,2.491711609184458709e+01,9.996795521217132219e-01,7.383023863157904543e-02,-8.645779514346040306e-01,-8.609322274727432278e-01
1.080216043208641619e-01,2.490673701815057939e+01,9.996394431451721685e-01,8.305469342482527106e-02,-8.649216737504048513e-01,-8.619803487838495482e-01
1.200240048009601768e-01,2.489635381976713546e+01,9.995993226323256486e-01,9.227818472439576480e-02,-8.652652621353524864e-01,-8.649810397221945335e-01
1.320264052810561917e-01,2.488596649830187246e+01,9.995591906537599769e-01,1.015007118177122802e-01,-8.656087165009693773e-01,-8.601415866348448569e-01
1.440288057611522343e-01,2.487557505536356928e+01,9.995190472796451342e-01,1.107222739920217108e-01,-8.659520367582369538e-01,-8.733165776282536541e-01
1.560312062412482492e-01,2.486517949256215587e+01,9.994788925797353230e-01,1.199428705343961177e-01,-8.662952228175968550e-01,-8.679243222975273619e-01
1.680336067213442641e-01,2.485477981150871685e+01,9.994387266233687450e-01,1.291625007317328266e-01,-8.666382745889491535e-01,-8.714594677157488922e-01
1.800360072014402790e-01,2.484437601381549143e+01,9.993985494794676017e-01,1.383811638707542480e-01,-8.669811919816530210e-01,-8.609927298553067265e-01
1.920384076815362939e-01,2.483396810109587349e+01,9.993583612165382046e-01,1.475988592380079734e-01,-8.673239749045257296e-01,-8.669267538297091846e-01
2.040408081616323088e-01,2.482355607496440086e+01,9.993181619026707541e-01,1.568155861198667900e-01,-8.676666232658422073e-01,-8.705911907754930734e-01
2.160432086417283237e-01,2.481313993703677667e+01,9.992779516055394495e-01,1.660313438025286525e-01,-8.680091369733355933e-01,-8.758282215969039886e-01
2.280456091218243386e-01,2.480271968892985512e+01,9.992377303924028231e-01,1.752461315720166835e-01,-8.683515159341947953e-01,-8.709234383403835489e-01
2.400480096019203535e-01,2.479229533226164151e+01,9.991974983301029622e-01,1.844599487141791450e-01,-8.686937600550667105e-01,-8.686123382498832646e-01
2.520504100820163962e-01,2.478186686865129573e+01,9.991572554850663979e-01,1.936727945146896057e-01,-8.690358692420536713e-01,-8.717918982950473294e-01
2.640528105621123833e-01,2.477143429971913235e+01,9.991170019233033273e-01,2.028846682590465522e-01,-8.693778434007140010e-01,-8.564372052567319482e-01
2.760552110422084260e-01,2.476099762708661700e+01,9.990767377104082803e-01,2.120955692325739994e-01,-8.697196824360614587e-01,-8.596524392830035000e-01
2.880576115223044686e-01,2.475055685237637704e+01,9.990364629115596751e-01,2.213054967204207135e-01,-8.700613862525655717e-01,-8.971730110422252435e-01
3.000600120024004558e-01,2.474011197721218025e+01,9.989961775915198183e-01,2.305144500075609892e-01,-8.704029547541488609e-01,-8.892930872138256060e-01
