t,E,A,G,dE_dt,dE_dt_noisy
0.000000000000000000e+00,1.000000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,-2.000000000000000000e+00,-1.982720790396760746e+00
6.001200240048009185e-03,9.988027267386717867e+00,1.797285077911920520e-02,1.079094875099382494e-06,-1.990120013402612242e+00,-1.949039106227554274e+00
1.200240048009601837e-02,9.976113694899341411e+00,3.588437077980890372e-02,4.311053285857050758e-06,-1.980283862813419393e+00,-1.963762009004250020e+00
1.800360072014402929e-02,9.964259020158273472e+00,5.373481276870113732e-02,9.687937006862264942e-06,-1.970491321888577119e+00,-2.035649183468795087e+00
2.400480096019203674e-02,9.952462982128588820e+00,7.152442835231363760e-02,1.720187403821027725e-05,-1.960742165648653001e+00,-1.915474372314997176e+00
3.000600120024004419e-02,9.940725321116220314e+00,8.925346798011217497e-02,2.684505837724648230e-05,-1.951036170471382336e+00,-1.928717441853181835e+00
3.600720144028805858e-02,9.929045778767969566e+00,1.069221809445106558e-01,3.860975001856634635e-05,-1.941373114086681451e+00,-1.968220775854695681e+00
4.200840168033606603e-02,9.917424097993992049e+00,1.245308154441296805e-01,5.248827045267551660e-05,-1.931752775526482058e+00,-1.902696870316664457e+00
4.800960192038407348e-02,9.905860023068205678e+00,1.420796185003502798e-01,6.847300830017640297e-05,-1.922174935178983191e+00,-1.903946315369679398e+00
5.401080216043208093e-02,9.894353299704938820e+00,1.595688358916459160e-01,8.655642340122342683e-05,-1.912639374829447458e+00,-1.897932749996671165e+00
6.001200240048008838e-02,9.882903674883854350e+00,1.769987122959203463e-01,1.067310365944372974e-04,-1.903145877553434229e+00,-1.901724765487644353e+00
6.601320264052809583e-02,9.871510896848651129e+00,1.943694912915584494e-01,1.289894296421669850e-04,-1.893694227711341549e+00,-1.866358578380719280e+00
7.201440288057611716e-02,9.860174715107078214e+00,2.116814153574260449e-01,1.533242452304901143e-04,-1.884284210943736548e+00,-1.921106915293819828e+00
7.801560312062412461e-02,9.848894880430920651e+00,2.289347258728698931e-01,1.797281869692122591e-04,-1.874915614166708044e+00,-1.883061111566360690e+00
8.401680336067213206e-02,9.837671144856010130e+00,2.461296631177179450e-01,2.081940193918677563e-04,-1.865588225567254010e+00,-1.889694191201253037e+00
9.001800360072013951e-02,9.826503261682221435e+00,2.632664662722789539e-01,2.387145679557191899e-04,-1.856301834598695244e+00,-1.826359523966963883e+00
9.601920384076814696e-02,9.815390985473468888e+00,2.803453734173427803e-01,2.712827190417574732e-04,-1.847056231976118568e+00,-1.845070126602035510e+00
1.020204040808161544e-01,9.804334072057711680e+00,2.973666215341803087e-01,3.058914199547020109e-04,-1.837851209671850894e+00,-1.852474047220105335e+00
1.080216043208641619e-01,9.793332278526952095e+00,3.143304465045433926e-01,3.425336789230005639e-04,-1.828686560910959269e+00,-1.867781984028801467e+00
1.140228045609121693e-01,9.782385363237233733e+00,3.312370831106650759e-01,3.812025650988291946e-04,-1.819562080166779783e+00,-1.832421692197723218e+00
1.200240048009601768e-01,9.771493085683120583e+00,3.480867651312623545e-01,4.218912006438712311e-04,-1.810477563086076325e+00,-1.810070454060159095e+00
1.260252050410081981e-01,9.760655206533835226e+00,3.648797253026613840e-01,4.645927616793711049e-04,-1.801432806509008611e+00,-1.815212951773977235e+00
1.320264052810561917e-01,9.749871487926483837e+00,3.816161950955452853e-01,5.093004968999810880e-04,-1.792427608628804903e+00,-1.727724417908894639e+00
1.380276055211042130e-01,9.739141693164825142e+00,3.982964049539244877e-01,5.560077096008798642e-04,-1.783461768815417736e+00,-1.733125553050127943e+00
1.440288057611522343e-01,9.728465586711617874e+00,4.149205843011137262e-01,6.047077572090880839e-04,-1.774535087607026274e+00,-1.910093211555324633e+00
1.500300060012002279e-01,9.717842934188620774e+00,4.314889615397324851e-01,6.553940512834691232e-04,-1.765647366705901167e+00,-1.860098029004284781e+00
1.560312062412482492e-01,9.707273502376585483e+00,4.480017640517049426e-01,7.080600575147296804e-04,-1.756798408974295844e+00,-1.765537013577053838e+00
1.620324064812962428e-01,9.696757059215265429e+00,4.644592181982596935e-01,7.626992957254186915e-04,-1.747988018430365109e+00,-1.769097539009182762e+00
1.680336067213442641e-01,9.686293373803410489e+00,4.808615493199303037e-01,8.193053398699284146e-04,-1.739216000244105942e+00,-1.728533850369175395e+00
1.740348069613922577e-01,9.675882216398768776e+00,4.972089817365543674e-01,8.778718180344928035e-04,-1.730482160733326946e+00,-1.719616064182198700e+00
1.800360072014402790e-01,9.665523358418084854e+00,5.135017387472748940e-01,9.383924124371901100e-04,-1.721786307359638446e+00,-1.615894369607085990e+00
1.860372074414882726e-01,9.655216572437105071e+00,5.297400426305385324e-01,1.000860859427939523e-03,-1.713128248724473890e+00,-1.768729286859088035e+00
1.920384076815362939e-01,9.644961632190570455e+00,5.459241146440974024e-01,1.065270949488504853e-03,-1.704507794565127909e+00,-1.723388044921477791e+00
1.980396079215843153e-01,9.634758312572218486e+00,5.620541750250080959e-01,1.131616527232490958e-03,-1.695924755750825685e+00,-1.593786175376209258e+00
2.040408081616323088e-01,9.624606389634786652e+00,5.781304429896310104e-01,1.199891491405345907e-03,-1.687378944278814075e+00,-1.655043794468721741e+00
2.100420084016803302e-01,9.614505640582919455e+00,5.941531367390875396e-01,1.270089794451015460e-03,-1.678870173266524546e+00,-1.645717004647711423e+00
2.160432086417283237e-01,9.604455843499255963e+00,6.101224736641721602e-01,1.342205425152542906e-03,-1.670398256797088976e+00,-1.696098575381462137e+00
2.220444088817763451e-01,9.594456777783054946e+00,6.260386699971943747e-01,1.416232434207035252e-03,-1.661963010163990617e+00,-1.744366768706773207e+00
2.280456091218243386e-01,9.584508224066103921e+00,6.419019408896678991e-01,1.492164930538558351e-03,-1.653564249815663301e+00,-1.645191012604526160e+00
2.340468093618723600e-01,9.574609964032932297e+00,6.577125005533399627e-01,1.569997070627304845e-03,-1.645201793250608890e+00,-1.639751088859531469e+00
2.400480096019203535e-01,9.564761780420816706e+00,6.734705622601906416e-01,1.649723058509591778e-03,-1.636875459013797940e+00,-1.698243061726026681e+00
2.460492098419683749e-01,9.554963457019772122e+00,6.891763383424334144e-01,1.731337145777864066e-03,-1.628585066693085892e+00,-1.662746399782113915e+00
2.520504100820163962e-01,9.545214778672560740e+00,7.048300401925150505e-01,1.814833631580690596e-03,-1.620330436915657479e+00,-1.623932620902018842e+00
2.580516103220644175e-01,9.535515531274686651e+00,7.204318782631152773e-01,1.900206862622767041e-03,-1.612111391344487998e+00,-1.659348972497526775e+00
2.640528105621123833e-01,9.525865501774397615e+00,7.359820620671468916e-01,1.987451233164913480e-03,-1.603927752674829899e+00,-1.608841251067440803e+00
2.700540108021604047e-01,9.516264478172685060e+00,7.514808001777566471e-01,2.076561185024078729e-03,-1.595779344630716023e+00,-1.591005193257243322e+00
2.760552110422084260e-01,9.506712249523284086e+00,7.669283002283235895e-01,2.167531207573334708e-03,-1.587665991961488388e+00,-1.585886680108714142e+00
2.820564112822564473e-01,9.497208605932669911e+00,7.823247689124606108e-01,2.260355837741880123e-03,-1.579587520438344939e+00,-1.604902103354060694e+00
2.880576115223044686e-01,9.487753338560066751e+00,7.976704119840134499e-01,2.355029660015038953e-03,-1.571543756850912743e+00,-1.541856353261621626e+00
2.940588117623524345e-01,9.478346239617437163e+00,8.129654342570609149e-01,2.451547306434261747e-03,-1.563534529003832496e+00,-1.518976181289716010e+00
3.000600120024004558e-01,9.468987102369489151e+00,8.282100396059157710e-01,2.549903456597124758e-03,-1.555559665713374340e+00,-1.539517250485046063e+00
3.060612122424484771e-01,9.459675721133672610e+00,8.434044309651232973e-01,2.650092837657330377e-03,-1.547618996804067226e+00,-1.588530508173582545e+00
3.120624124824964984e-01,9.450411891253519769e+00,8.585488103501299761e-01,2.752110222754992289e-03,-1.539712353090566754e+00,-1.503129738901294754e+00
3.180636127225444643e-01,9.441195408815007184e+00,8.736433790695042889e-01,2.855950413532864531e-03,-1.531839566219824089e+00,-1.556911567143176800e+00
3.240648129625924856e-01,9.432026071204676398e+00,8.886883372836162920e-01,2.961608272082715421e-03,-1.524000468980412748e+00,-1.480042438066013544e+00
3.300660132026405069e-01,9.422903676883231938e+00,9.036838841945162848e-01,3.069078709108281466e-03,-1.516194895168532675e+00,-1.569784266012404839e+00
3.360672134426885282e-01,9.413828025263251575e+00,9.186302181426879709e-01,3.178356676928107555e-03,-1.508422679516358444e+00,-1.462699319359919370e+00
3.420684136827365496e-01,9.404798916709170342e+00,9.335275366070480141e-01,3.289437169475546967e-03,-1.500683657688935746e+00,-1.501686830419709739e+00
3.480696139227845154e-01,9.395816152537294741e+00,9.483760362049460380e-01,3.402315222298759202e-03,-1.492977666281101179e+00,-1.555415110797822020e+00
3.540708141628325367e-01,9.386879535015795639e+00,9.631759126921652925e-01,3.516985912560713443e-03,-1.485304542814415818e+00,-1.500999516412758306e+00
3.600720144028805580e-01,9.377988867364708270e+00,9.779273609629218766e-01,3.633444359039184231e-03,-1.477664125734118539e+00,-1.474959011795541342e+00
