t,M,P,E,dP_dt,dP_dt_noisy
0.000000000000000000e+00,5.000000000000000000e-01,2.999999999999999889e-01,1.000000000000000000e+00,4.283847139773341861e-01,4.692030964050378228e-01
2.400480096019203674e-02,5.106226431208649164e-01,3.103840773589593982e-01,9.967660550381548523e-01,4.366072911538768087e-01,3.854939905275931444e-01
4.800960192038407348e-02,5.208898459072649478e-01,3.209530116055479554e-01,9.933627156493095578e-01,4.437890925436954181e-01,4.521510694782109874e-01
7.201440288057611716e-02,5.308067833286009840e-01,3.316820282266190745e-01,9.897837865138818803e-01,4.499480248686060224e-01,4.385926327460474283e-01
9.601920384076814696e-02,5.403783568760960332e-01,3.425468419659870589e-01,9.860236786877344395e-01,4.551077567029169213e-01,4.460547708607079942e-01
1.200240048009601768e-01,5.496092124333508133e-01,3.535238047452711196e-01,9.820774731938263225e-01,4.592972139884922145e-01,4.549852707266969221e-01
1.440288057611522343e-01,5.585037707324729261e-01,3.645900225572757392e-01,9.779409603530296868e-01,4.625499729288256590e-01,4.221502503458806621e-01
1.680336067213442641e-01,5.670662430673656385e-01,3.757234491502069451e-01,9.736106783000094689e-01,4.649035403689217305e-01,4.602648928160379405e-01
1.920384076815362939e-01,5.753006596363741121e-01,3.869029859480653810e-01,9.690839476715186196e-01,4.663985771699542537e-01,4.490943156444553996e-01
2.160432086417283237e-01,5.832108927738074433e-01,3.981085341113839715e-01,9.643588849577878763e-01,4.670781306023636947e-01,5.335381209352613174e-01
2.400480096019203535e-01,5.908006755822882150e-01,4.093210525331730243e-01,9.594344255714334357e-01,4.669868519013273822e-01,4.715025841658858075e-01
2.640528105621123833e-01,5.980736321770470099e-01,4.205225837628853158e-01,9.543103215062652689e-01,4.661702948264361268e-01,4.591176789396042013e-01
2.880576115223044686e-01,6.050332943422452869e-01,4.316962657424970873e-01,9.489871407240275669e-01,4.646742545813017378e-01,4.590485062182747544e-01
3.120624124824964984e-01,6.116831234509568782e-01,4.428263368740960049e-01,9.434662628663278428e-01,4.625441844870503694e-01,4.491832575648713743e-01
3.360672134426885282e-01,6.180265362595224188e-01,4.538981125162959707e-01,9.377498520427451911e-01,4.598247228844298817e-01,4.387217118603274346e-01
3.600720144028805580e-01,6.240669181669263876e-01,4.648979693304087779e-01,9.318408442180842188e-01,4.565592646413052513e-01,4.487432450966121755e-01
3.840768153630725879e-01,6.298076448066961541e-01,4.758133083844629518e-01,9.257429176218463507e-01,4.527896465923045843e-01,4.624285543624402917e-01
4.080816163232646177e-01,6.352521019188999141e-01,4.866325073629426679e-01,9.194604507194799048e-01,4.485559156233350220e-01,4.437848434918676976e-01
4.320864172834566475e-01,6.404036962914052555e-01,4.973448888127776635e-01,9.129984990965195335e-01,4.438961300268550181e-01,4.630513040860502749e-01
4.560912182436486773e-01,6.452658734765462922e-01,5.079406645062554126e-01,9.063627516463067524e-01,4.388462620144612525e-01,4.348502194331296256e-01
4.800960192038407071e-01,6.498421332223786040e-01,5.184108747401743322e-01,8.995594754521107905e-01,4.334401568671121807e-01,4.339253481686454750e-01
5.041008201640327924e-01,6.541360370150132164e-01,5.287473543271808962e-01,8.925954876467948607e-01,4.277094934672205362e-01,4.586259104914767737e-01
5.281056211242247667e-01,6.581512209954263337e-01,5.389426776852417333e-01,8.854781101465339921e-01,4.216838187618718869e-01,4.325859292156247760e-01
5.521104220844168520e-01,6.618914073383330710e-01,5.489900894149011279e-01,8.782150994315102155e-01,4.153906303027397051e-01,4.052860555904593265e-01
5.761152230446089373e-01,6.653604080887872696e-01,5.588834778391739144e-01,8.708146202320747875e-01,4.088554207915107708e-01,4.051986412995560727e-01
6.001200240048009116e-01,6.685621339757348291e-01,5.686173259109379430e-01,8.632852003608451064e-01,4.021017794638482301e-01,4.129122820989442610e-01
6.241248249649929969e-01,6.715006004440535747e-01,5.781866546807183926e-01,8.556356668033749946e-01,3.951515141718546231e-01,4.338532748538316830e-01
6.481296259251849712e-01,6.741799300969224529e-01,5.875869828074006262e-01,8.478750980191582798e-01,3.880247601391473289e-01,3.826323535923090713e-01
6.721344268853770565e-01,6.766043546639990414e-01,5.968143013387248175e-01,8.400127947253394067e-01,3.807400781408150636e-01,3.758689045592329969e-01
6.961392278455690308e-01,6.787782202481488225e-01,6.058650345477818444e-01,8.320582355379411155e-01,3.733145803668180829e-01,3.933608523923319278e-01
7.201440288057611161e-01,6.807059848245387013e-01,6.147359897910955606e-01,8.240210064963171543e-01,3.657640601966746230e-01,3.480348613334628971e-01
7.441488297659530904e-01,6.823922173580059258e-01,6.234243391514485699e-01,8.159107760530018849e-01,3.581030876530610918e-01,3.522686830042638384e-01
7.681536307261451757e-01,6.838415973741021059e-01,6.319275961848288548e-01,8.077372622352331222e-01,3.503451114473212780e-01,3.679958907964509529e-01
7.921584316863372610e-01,6.850589159119792049e-01,6.402435901320980838e-01,7.995101954073361439e-01,3.425025648101720499e-01,3.541095651339900563e-01
8.161632326465292353e-01,6.860490665187256587e-01,6.483704274651628241e-01,7.912392555850128462e-01,3.345869683537994188e-01,3.364173024194464512e-01
8.401680336067213206e-01,6.868170430171093299e-01,6.563064804483933479e-01,7.829340545941071428e-01,3.266090087704701661e-01,3.400110958670397587e-01
