t,S,E,I,R,dI_dt,dI_dt_noisy
0.000000000000000000e+00,9.990000000000000000e+02,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,1.455789308730484899e-01,3.183710269054415010e-01
2.400480096019203674e-02,9.989880006629335867e+02,5.985369740479653221e-03,1.003514797846778661e+00,2.499169479210343586e-03,1.472629786345834579e-01,5.580720503851626102e-01
4.800960192038407348e-02,9.989759591695808467e+02,1.196324480510312961e-02,1.007070069352592911e+00,5.007516261456144979e-03,1.489510719253686888e-01,3.141696100170622286e-01
7.201440288057611716e-02,9.989638750368785622e+02,1.793390289303272572e-02,1.010665912399713928e+00,7.525147828625327467e-03,1.506432748939596777e-01,-5.009353409082207831e-01
9.601920384076814696e-02,9.989517477805733279e+02,2.389762099938877449e-02,1.014302426412913460e+00,1.005217201431311130e-02,1.523396517043834053e-01,6.050175850409422740e-01
1.200240048009601768e-01,9.989395769153665015e+02,2.985467531328202945e-02,1.017979712352195198e+00,1.258869696802137998e-02,1.540402665141076544e-01,3.772275526961132996e-01
1.440288057611522343e-01,9.989273619547694807e+02,3.580534131914854534e-02,1.021697872717815425e+00,1.513483119353960932e-02,1.557451834940846158e-01,-1.127314341860579661e-01
1.680336067213442641e-01,9.989151024110548178e+02,4.174989383127181153e-02,1.025457011552289188e+00,1.769068356160389405e-02,1.574544668350992271e-01,4.480135189332757895e-01
1.920384076815362939e-01,9.989027977952558786e+02,4.768860699378271728e-02,1.029257234440390523e+00,2.025636330989699294e-02,1.591681807469739751e-01,3.414543788400118407e-01
2.160432086417283237e-01,9.988904476171670694e+02,5.362175428065960037e-02,1.033098648509152451e+00,2.283198004304827500e-02,1.608863894577660103e-01,3.079526377855290042e-01
2.400480096019203535e-01,9.988780513853437242e+02,5.954960849572819848e-02,1.036981362427866982e+00,2.541764373263377674e-02,1.626091572129549079e-01,1.768202778708533041e-01
2.640528105621123833e-01,9.988656086070576521e+02,6.547244180219927157e-02,1.040905486410241609e+00,2.801346472983409774e-02,1.643365482807846445e-01,4.376930415870081137e-01
2.880576115223044686e-01,9.988531187882874747e+02,7.139052572763870952e-02,1.044871132212574549e+00,3.061955377227345426e-02,1.660686269521586267e-01,-2.021584165486748352e-01
3.120624124824964984e-01,9.988405814338779010e+02,7.730413105811884122e-02,1.048878413124268993e+00,3.323602193969495827e-02,1.678054575174692808e-01,8.635048352094289170e-02
3.360672134426885282e-01,9.988279960472957555e+02,8.321352800318067289e-02,1.052927443981304556e+00,3.586298071969701295e-02,1.695471043003734524e-01,-7.151255203961567886e-02
3.600720144028805580e-01,9.988153621306141758e+02,8.911898620658255388e-02,1.057018341167092590e+00,3.850054201214139771e-02,1.712936316591854302e-01,4.707167379764992110e-01
3.840768153630725879e-01,9.988026791845120442e+02,9.502077474630035714e-02,1.061151222612474854e+00,4.114881812915321957e-02,1.730451039860069207e-01,1.929061577268364192e-01
4.080816163232646177e-01,9.987899467082745559e+02,1.009191621345273404e-01,1.065326207795725288e+00,4.380792179512096873e-02,1.748015857058494715e-01,2.857321022330516769e-02
4.320864172834566475e-01,9.987771641997929919e+02,1.068144163176742711e-01,1.069543417742549130e+00,4.647796614669646303e-02,1.765631412757463770e-01,-2.143910899026746641e-01
4.560912182436486773e-01,9.987643311555647188e+02,1.127068046763692599e-01,1.073802975026082684e+00,4.915906473279490346e-02,1.783298351838561169e-01,4.973371487442077021e-02
