t,S,I,R,dI_dt,dI_dt_noisy
0.000000000000000000e+00,9.000000000000000222e-01,5.000000000000000278e-02,5.000000000000000278e-02,4.555768186691271787e-02,4.624885025104229219e-02
2.000400080016003293e-02,8.987075994125759415e-01,5.091739156657508480e-02,5.016342970883907321e-02,4.616287514295704802e-02,4.780611142995936508e-02
4.000800160032006586e-02,8.973907459015285637e-01,5.184687248866117620e-02,5.033178889055975325e-02,4.676630601947293769e-02,4.742718017183970847e-02
6.001200240048010226e-02,8.960491972695147078e-01,5.278840304781350079e-02,5.050513382617733554e-02,4.736749964768403875e-02,4.476118518447531891e-02
8.001600320064013172e-02,8.946827172293856378e-01,5.374193354668976852e-02,5.068352028096888978e-02,4.796596596987310474e-02,4.977667770321934221e-02
1.000200040008001612e-01,8.932910755500992339e-01,5.470740418424790280e-02,5.086700348469018473e-02,4.856120000403807424e-02,4.945394914876609371e-02
1.200240048009602045e-01,8.918740480567203255e-01,5.568474505574603356e-02,5.105563813157566744e-02,4.915268223476787490e-02,4.807877576404730180e-02
1.400280056011202201e-01,8.904314169386169375e-01,5.667387594668923945e-02,5.124947833313395901e-02,4.973987890441433635e-02,5.090211511280703927e-02
1.600320064012802634e-01,8.889629719236172845e-01,5.767470551157977826e-02,5.144857743652338916e-02,5.032224198030509077e-02,5.105138677267723885e-02
1.800360072014403068e-01,8.874685092409443365e-01,5.868713195583907805e-02,5.165298818061231367e-02,5.089921004752132050e-02,5.148747504083237003e-02
2.000400080016003224e-01,8.859478337105698431e-01,5.971104169158499009e-02,5.186276237673051459e-02,5.147020807215373778e-02,5.152705255478533253e-02
2.200440088017603657e-01,8.844007589966526028e-01,6.074630917156380316e-02,5.207795086994546074e-02,5.203464790850542698e-02,5.312807388173031858e-02
2.400480096019204090e-01,8.828271076075384638e-01,6.179279688915020885e-02,5.229860353906233550e-02,5.259192893064497387e-02,5.111902075664163936e-02
2.600520104020804246e-01,8.812267108957602124e-01,6.285035537834735009e-02,5.252476929662402982e-02,5.314143868984622793e-02,5.281561879386012515e-02
2.800560112022404402e-01,8.795994090580377955e-01,6.391882321378677956e-02,5.275649608891116310e-02,5.368255359783628139e-02,5.271831497247632392e-02
3.000600120024005113e-01,8.779450524413746626e-01,6.499802640925396446e-02,5.299383067323141377e-02,5.421463938774780111e-02,5.541233181301705862e-02
3.200640128025605269e-01,8.762635025306567682e-01,6.608777771958679326e-02,5.323681846165450454e-02,5.473705154957866914e-02,5.481649576454198508e-02
3.400680136027205425e-01,8.745546304332227905e-01,6.718787741265751234e-02,5.348550377605491152e-02,5.524913649350702421e-02,5.466422299157684683e-02
3.600720144028806136e-01,8.728183194518918109e-01,6.829811228508006482e-02,5.373992939952761810e-02,5.575023206234479972e-02,5.418641513763111650e-02
3.800760152030406291e-01,8.710544651399407812e-01,6.941825563914368058e-02,5.400013656690257763e-02,5.623966844946438198e-02,5.572528396822663821e-02
4.000800160032006447e-01,8.692629753011043015e-01,7.054806728281293182e-02,5.426616496474469947e-02,5.671676915500306615e-02,5.673305351603975116e-02
4.200840168033607158e-01,8.674437699895747311e-01,7.168729352972767754e-02,5.453805273135386295e-02,5.718085197066625353e-02,5.662964616006751356e-02
4.400880176035207314e-01,8.655967815100021889e-01,7.283566719920306354e-02,5.481583645676491034e-02,5.763122999266694080e-02,6.021935762146335414e-02
4.600920184036807470e-01,8.637219547515412321e-01,7.399290760197507755e-02,5.509955111450683118e-02,5.806721269944756930e-02,6.008066133005916104e-02
4.800960192038408181e-01,8.618192502365090713e-01,7.515871997860323894e-02,5.538922946992012181e-02,5.848810712184265848e-02,5.306578216391072411e-02
5.001000200040007782e-01,8.598886409570888345e-01,7.633279520844954424e-02,5.568490275723621957e-02,5.889321839619280491e-02,5.511519190425746145e-02
5.201040208041608492e-01,8.579301146787693400e-01,7.751481040924058930e-02,5.598660015885428137e-02,5.928185160177631974e-02,5.893230741766599529e-02
5.401080216043209203e-01,8.559436747285903424e-01,7.870442898243769358e-02,5.629434863862742278e-02,5.965331309685792394e-02,5.880893227370521947e-02
5.601120224044808804e-01,8.539293399951420893e-01,7.990130061323685862e-02,5.660817294186270415e-02,6.000691174805308781e-02,6.043419774305031078e-02
5.801160232046409515e-01,8.518871449285655428e-01,8.110506127056885117e-02,5.692809559532111680e-02,6.034196018495605746e-02,6.077660404700118563e-02
6.001200240048010226e-01,8.498171395405523798e-01,8.231533320709912005e-02,5.725413690721760374e-02,6.065777607908977992e-02,6.489345358919187956e-02
6.201240248049609827e-01,8.477193894043448807e-01,8.353172495922782381e-02,5.758631496722104587e-02,6.095368344617974748e-02,5.872964192079518225e-02
6.401280256051210538e-01,8.455939756582220301e-01,8.475383135080925834e-02,5.792464564540398403e-02,6.122901397310206301e-02,6.047380395884806997e-02
6.601320264052811249e-01,8.434409970801788337e-01,8.598123498137194565e-02,5.826914202761323408e-02,6.148310942580118704e-02,6.556865264078584610e-02
6.801360272054410849e-01,8.412605699134168002e-01,8.721350404299121895e-02,5.861981463487735827e-02,6.171532189636173144e-02,6.300872788876542285e-02
7.001400280056011560e-01,8.390528269013157736e-01,8.845019319964965432e-02,5.897667155583723869e-02,6.192501549711538350e-02,6.325114224186791090e-02
7.201440288057612271e-01,8.368179185370471229e-01,8.969084550299577518e-02,5.933971802182436139e-02,6.211156884764814506e-02,6.108355610427321919e-02
7.401480296059211872e-01,8.345560130635737428e-01,9.093499239234405229e-02,5.970895640686080946e-02,6.227437640554235598e-02,5.897822606383105321e-02
7.601520304060812583e-01,8.322672964736504975e-01,9.218215369467488984e-02,6.008438622765927689e-02,6.241284980963256179e-02,6.274777929807803800e-02
7.801560312062413294e-01,8.299519725098234435e-01,9.343183762463466713e-02,6.046600414362304776e-02,6.252641923441400185e-02,6.274444741005709425e-02
8.001600320064012895e-01,8.276102626644306071e-01,9.468354078453564138e-02,6.085380395684601706e-02,6.261453475418732317e-02,6.015983064569817296e-02
8.201640328065613605e-01,8.252424061796014287e-01,9.593674816435608654e-02,6.124777661211267682e-02,6.267666771546410998e-02,6.131021439190298405e-02
8.401680336067214316e-01,8.228486600866119494e-01,9.719093410928254795e-02,6.164791010213245548e-02,6.271231249378696193e-02,6.256822513433250854e-02
8.601720344068813917e-01,8.204293002236928700e-01,9.844556564267553656e-02,6.205418895383756073e-02,6.272098924965156808e-02,6.083148600353001367e-02
8.801760352070414628e-01,8.179846213052585080e-01,9.970009641766083841e-02,6.246659475442319781e-02,6.270224291876164147e-02,6.250570298305720141e-02
9.001800360072015339e-01,8.155149358524477199e-01,1.009539724131460758e-01,6.288510587166311339e-02,6.265564648278000581e-02,6.284661253771892109e-02
9.201840368073614940e-01,8.130205741403092601e-01,1.022066327840118888e-01,6.330969738930607160e-02,6.258080239287229507e-02,6.265197486698326212e-02
9.401880376075215651e-01,8.105018841978015587e-01,1.034575098611118793e-01,6.374034110707589573e-02,6.247734366124470251e-02,6.146476034461607202e-02
9.601920384076816362e-01,8.079592318077928326e-01,1.047060291512726116e-01,6.417700554067141960e-02,6.234493494478453995e-02,6.353243108835618380e-02
9.801960392078415962e-01,8.053930005070613074e-01,1.059516093372935841e-01,6.461965592176650841e-02,6.218327361939711417e-02,6.396560752796176530e-02
1.000200040008001556e+00,8.028035915862946625e-01,1.071936622779472853e-01,6.506825419801007260e-02,6.199209084358733857e-02,6.263378745272046855e-02
1.020204040808161627e+00,8.001914240562628677e-01,1.084315930969840663e-01,6.552275903200729945e-02,6.177115262668654572e-02,6.013469217190593047e-02
1.040208041608321698e+00,7.975569327458327251e-01,1.096648062105231719e-01,6.598312564945645053e-02,6.152026200856063748e-02,6.298356657613152221e-02
1.060212042408481770e+00,7.949005712484595865e-01,1.108926997320852093e-01,6.644930572887632059e-02,6.123925894322383712e-02,6.023637890628973091e-02
1.080216043208641841e+00,7.922228101049938465e-01,1.121146677364330407e-01,6.692124758031817167e-02,6.092802140289996227e-02,6.268634263947593654e-02
1.100220044008801912e+00,7.895241350241222200e-01,1.133301043495899968e-01,6.739889614660325712e-02,6.058646667280770393e-02,5.844289183905281709e-02
1.120224044808961761e+00,7.868050468823679644e-01,1.145384037488398205e-01,6.788219300332290485e-02,6.021455183782307291e-02,6.204348624408063256e-02
1.140228045609121832e+00,7.840660617240907682e-01,1.157389601627267645e-01,6.837107635883846180e-02,5.981227424423748301e-02,5.977214733500652022e-02
1.160232046409281903e+00,7.813077107614866401e-01,1.169311678710554803e-01,6.886548105428129396e-02,5.937967193580104969e-02,5.688217415513222019e-02
1.180236047209441974e+00,7.785305403745883535e-01,1.181144212048910597e-01,6.936533856355282801e-02,5.891682406320847276e-02,5.828902511927477881e-02
1.200240048009602045e+00,7.757351121112650016e-01,1.192881145465590764e-01,6.987057699332449578e-02,5.842385126614821345e-02,5.853205582369130217e-02
1.220244048809762116e+00,7.729220005632055912e-01,1.204516459325263578e-01,7.038112119443665216e-02,5.790091602216729250e-02,5.844649870049620222e-02
1.240248049609921965e+00,7.700917928219440656e-01,1.216044193147750863e-01,7.089689266372234400e-02,5.734822287117085499e-02,5.538384662128889580e-02
1.260252050410082036e+00,7.672450910800170387e-01,1.227458394577690404e-01,7.141780947409906433e-02,5.676601834364137372e-02,5.455127224931098640e-02
1.280256051210242108e+00,7.643825080586574838e-01,1.238753184798840751e-01,7.194378662987116479e-02,5.615459069063109820e-02,5.655375975632526142e-02
1.300260052010402179e+00,7.615046669216766206e-01,1.249922759873752648e-01,7.247473607239666993e-02,5.551426956440374400e-02,5.458077033064413774e-02
1.320264052810562250e+00,7.586122012754639155e-01,1.260961390743767785e-01,7.301056668008727712e-02,5.484542566776155065e-02,5.531643689122200253e-02
1.340268053610722099e+00,7.557057551689875252e-01,1.271863423229019907e-01,7.355118426840831503e-02,5.414847037224369830e-02,5.566750941720045864e-02
1.360272054410882170e+00,7.527859830937936314e-01,1.282623278028434677e-01,7.409649158987879902e-02,5.342385530534241728e-02,5.012628057264052056e-02
1.380276055211042241e+00,7.498535499221674616e-01,1.293235451414622705e-01,7.464638834056845640e-02,5.267207189284151686e-02,5.318084812587674931e-02
1.400280056011202312e+00,7.469091267609436757e-01,1.303694565519347981e-01,7.520077155973955985e-02,5.189364987901270293e-02,5.434294381408416585e-02
1.420284056811362383e+00,7.439533937146483034e-01,1.313995344389811970e-01,7.575953527091906781e-02,5.108915716808270363e-02,5.049410347934175924e-02
