t,Ih,Ev,Iv,dIh_dt,dIh_dt_noisy
0.000000000000000000e+00,5.000000000000000278e-02,0.000000000000000000e+00,2.000000000000000042e-02,5.638725490196077120e-03,9.094567410843936578e-03
4.000800160032006586e-02,5.022427833361328697e-02,7.809592708069269199e-04,1.988345788942842002e-02,5.573507291043385686e-03,1.378968872605496922e-02
8.001600320064013172e-02,5.044601415126764854e-02,1.555544114518296389e-03,1.977381781467032681e-02,5.511616486015379415e-03,8.815987247849250627e-03
1.200240048009602045e-01,5.066533954114184335e-02,2.323786922254411722e-03,1.967098775579784881e-02,5.453001331474659208e-03,-7.578570984568950425e-03
1.600320064012802634e-01,5.088238453970308356e-02,3.085721838621592345e-03,1.957487651235346321e-02,5.397610682471992716e-03,1.445116934920316967e-02
2.000400080016003224e-01,5.109727711730729927e-02,3.841384807434856160e-03,1.948539369448205535e-02,5.345393982288899892e-03,9.809139705929012867e-03
2.400480096019204090e-01,5.131014325561258915e-02,4.590813369991149709e-03,1.940244975453680673e-02,5.296301265600482366e-03,-7.323108800236927118e-05
2.800560112022404402e-01,5.152110696270451734e-02,5.334046625023448202e-03,1.932595599350070761e-02,5.250283154145301244e-03,1.106146419610883232e-02
3.200640128025605269e-01,5.173029027718081124e-02,6.071125220034298206e-03,1.925582456174657411e-02,5.207290850811710850e-03,8.853014812672468578e-03
3.600720144028806136e-01,5.193781329270960589e-02,6.802091306947473208e-03,1.919196846044907839e-02,5.167276133258995145e-03,8.108601099814254087e-03
4.000800160032006447e-01,5.214379415406378282e-02,7.526988545876039764e-03,1.913430154295767474e-02,5.130191349409613313e-03,5.414413762567580994e-03
4.400880176035207314e-01,5.234834913758211472e-02,8.245861910451632651e-03,1.908273853973842943e-02,5.095989419367103965e-03,1.056311928549157411e-02
4.800960192038408181e-01,5.255159266319526373e-02,8.958757660320618849e-03,1.903719506143387516e-02,5.064623831501584468e-03,-2.299917038515084632e-03
5.201040208041608492e-01,5.275363729570543142e-02,9.665723338588311231e-03,1.899758759900859947e-02,5.036048638082078928e-03,3.406949158151551145e-03
5.601120224044808804e-01,5.295459377465977502e-02,1.036680771725343939e-02,1.896383352472368056e-02,5.010218450041580701e-03,1.890253232417976950e-04
6.001200240048010226e-01,5.315457099290946813e-02,1.106206084149758545e-02,1.893585108864749914e-02,4.987088432715417081e-03,1.097555055906169336e-02
