t,E,M,L,dM_dt,dM_dt_noisy
0.000000000000000000e+00,3.000000000000000000e+02,2.000000000000000000e+01,5.000000000000000000e+00,2.924904214559386872e+01,2.931815898400682485e+01
1.000200040008001647e-02,2.999585520056360224e+02,2.029222376212837631e+01,5.039147737853229891e+00,2.918407600613757324e+01,2.934839963483780423e+01
2.000400080016003293e-02,2.999169810680337491e+02,2.058379936494878848e+01,5.078796000390974008e+00,2.911943471958711882e+01,2.918552213482379543e+01
3.000600120024005113e-02,2.998752840475597168e+02,2.087473002479492834e+01,5.118942393828432635e+00,2.905511191581638641e+01,2.879448046949551454e+01
4.000800160032006586e-02,2.998334578763412424e+02,2.116501889265674308e+01,5.159584556744243322e+00,2.899110128616380067e+01,2.917217245949842308e+01
5.001000200040008059e-02,2.997914995553953759e+02,2.145466905874229724e+01,5.200720154629260072e+00,2.892739658068787278e+01,2.901667149516067568e+01
6.001200240048010226e-02,2.997494061546286730e+02,2.174368355247803919e+01,5.242346879886248701e+00,2.886399161019850723e+01,2.875660096312644853e+01
7.001400280056011005e-02,2.997071748128372519e+02,2.203206534250880821e+01,5.284462451829888607e+00,2.880088024820030412e+01,2.891710386903957541e+01
8.001600320064013172e-02,2.996648027377069070e+02,2.231981733669782031e+01,5.327064616686773668e+00,2.873805643274841159e+01,2.881097091198562765e+01
9.001800360072015339e-02,2.996222872058127678e+02,2.260694238212667173e+01,5.370151147595413121e+00,2.867551416821801169e+01,2.873434066754911598e+01
1.000200040008001612e-01,2.995796255626196967e+02,2.289344326509534611e+01,5.413719844606225351e+00,2.861324752698837770e+01,2.861893197525153809e+01
1.100220044008801829e-01,2.995368152224819482e+02,2.317932271112220732e+01,5.457768534681547656e+00,2.855125065104293469e+01,2.866059324836542288e+01
1.200240048009602045e-01,2.994938536535504454e+02,2.346458340421517619e+01,5.502295056699662013e+00,2.848951773808039079e+01,2.834222692068005856e+01
1.300260052010402123e-01,2.994507383940699583e+02,2.374922796703815919e+01,5.547297274430150971e+00,2.842804305780804697e+01,2.839546106820943550e+01
1.400280056011202201e-01,2.994074670724607472e+02,2.403325893509589406e+01,5.592773096777020392e+00,2.836682097387875601e+01,2.827039711134275990e+01
1.500300060012002556e-01,2.993640373782512825e+02,2.431667879327956072e+01,5.638720450654673755e+00,2.830584591657437699e+01,2.842561515910130154e+01
1.600320064012802634e-01,2.993204470618714481e+02,2.459948997612827526e+01,5.685137280790195646e+00,2.824511238397976953e+01,2.825305680547610265e+01
1.700340068013602712e-01,2.992766939346524282e+02,2.488169486782909701e+01,5.732021549723350873e+00,2.818461494328655803e+01,2.812612359309354204e+01
