c,p,I_signal,b,lambda,lambda_noisy
1.584282711630744522e+01,1.344735643422449375e-02,5.721258924381443123e+00,4.361438400144636240e+00,7.032802438104426845e-02,7.378386630169213312e-02
2.856344719345212368e+01,2.202730060020923197e-01,3.130153972087579284e-01,2.426446502227017632e+00,4.924854795596170232e-01,5.007016609946286501e-01
5.180628768869378398e+00,2.787062522699240361e-02,1.452955611486579368e+00,3.876486155608936279e+00,5.809898644603818385e-02,6.140335720787205853e-02
2.851083396698007277e+01,3.354968769045726940e-02,8.243704533438101834e+00,2.479408152854438718e+00,2.402037692914019973e-01,2.271721969753583981e-01
1.004311210830407752e+01,1.915136683923663596e-01,3.380766259767802318e+00,2.075344489550373650e-01,3.462759489557333259e-01,3.553295076224645133e-01
1.327646702020469327e+01,2.539487529176048808e-01,6.848726925316098502e+00,4.654687965008454498e+00,2.292196599097034437e-01,2.336834056333435550e-01
2.500337522079281172e+01,7.810258204094534806e-02,3.373567530935447145e+00,3.766908629271771947e+00,3.532844072492855036e-01,3.479148748956826243e-01
1.286677495470567756e+01,1.523511398198959255e-01,7.552448106228570879e-01,1.654551149823517697e+00,3.486726188371496726e-01,3.544837998791132150e-01
1.693821694251872501e+01,2.302352423975829454e-01,1.660956280468626201e+00,4.673066543667141914e+00,2.670849416370972285e-01,2.707306655989579758e-01
1.799214284048982648e+00,5.632423469251008480e-02,2.698082172716498306e-01,2.198561341066496144e+00,4.090720875910849874e-02,4.384853372566376029e-02
2.285188015156938945e+01,1.242760572110582773e-01,3.847571793529838136e+00,5.063386994645691086e-01,4.641378445470033531e-01,4.644220669601613061e-01
1.660615608335906757e+01,1.782797099398306384e-01,1.961431235544570661e+00,2.790989435935109508e-01,4.657177213364249724e-01,4.711848512025494373e-01
1.056221977847367199e+01,2.364310741656717174e-01,7.868620643072742560e+00,1.658136693589824073e+00,3.089200727282991887e-01,3.015555318582825439e-01
2.386443239942372685e+01,1.724558462049294860e-01,5.344163074841812300e-01,1.874257084676203444e+00,5.061118573466382164e-01,5.044827578667077095e-01
9.792650049457703787e+00,4.468822523361205140e-02,7.150850349890479407e+00,2.444647287290675930e+00,1.228295257592571521e-01,1.180083326324573717e-01
1.415143879493889401e+01,2.493099766612814350e-01,6.714279698129638874e+00,3.583763833816983047e-01,4.696740134155968360e-01,4.756624755419431305e-01
4.887209220167777701e+00,2.435193621747156478e-01,4.914783388114067897e+00,3.468495267826901429e+00,1.245508764761246445e-01,1.249480975509412312e-01
1.269027660696674786e+01,2.171546153080341768e-01,4.720498608141926233e+00,2.644403570799385150e+00,2.854013969934540151e-01,2.824768294838031490e-01
6.900201979608338476e+00,2.201662220668417214e-01,1.810543402839995819e+00,3.314406972224551051e+00,1.736932262728126952e-01,1.658741416492442722e-01
8.607086872813635381e+00,1.372711943479051622e-01,3.292774326554870346e+00,7.111218296558052820e-01,2.511361073437227143e-01,2.485641849375340162e-01
