t,S,I,R,C,dI_dt,dI_dt_noisy
0.000000000000000000e+00,5.999999999999999778e-01,1.000000000000000021e-02,3.900000000000000133e-01,0.000000000000000000e+00,4.765532597006909982e-02,4.869207854626345783e-02
2.400480096019203848e-03,6.000563055948139324e-01,1.011449001850833578e-02,3.898271821105063761e-01,4.825467122979423606e-05,4.773375290423183259e-02,5.019860733473530817e-02
4.800960192038407695e-03,6.001119210918449687e-01,1.022916692564491623e-02,3.896548233458405064e-01,9.699965500135885352e-05,4.781102774058625798e-02,4.880233896913641761e-02
7.201440288057611543e-03,6.001668486400142388e-01,1.034402790102435105e-02,3.894829238792740789e-01,1.462352013367092523e-04,4.788710481922765771e-02,4.397763312441457795e-02
9.601920384076815390e-03,6.002210904993892093e-01,1.045907002849352785e-02,3.893114838699976432e-01,1.959615383534922680e-04,4.796193857862352666e-02,5.067800617864288287e-02
1.200240048009601837e-02,6.002746490512625988e-01,1.057429027745782936e-02,3.891405034699422782e-01,2.461788829414131253e-04,4.803548356210176479e-02,4.937460727919380093e-02
1.440288057611522309e-02,6.003275268106683660e-01,1.068968548331456284e-02,3.889699828292303985e-01,2.968874494834041833e-04,4.810769442394768891e-02,4.649683471786683620e-02
1.680336067213442780e-02,6.003797264103662989e-01,1.080525237722316893e-02,3.887999220852634275e-01,3.480874327450764975e-04,4.817852597346017340e-02,4.992188028604923472e-02
1.920384076815363078e-02,6.004312506007074557e-01,1.092098758634812462e-02,3.886303213626358666e-01,3.997790077399427018e-04,4.824793319651931450e-02,4.934165038507754009e-02
2.160432086417283376e-02,6.004821022496344973e-01,1.103688763385895708e-02,3.884611807731353506e-01,4.519623297294173068e-04,4.831587127712613089e-02,4.919826876709271213e-02
2.400480096019203674e-02,6.005322843426810220e-01,1.115294893893023498e-02,3.882925004157427029e-01,5.046375342228166458e-04,4.838229561909025006e-02,4.846756234303763872e-02
2.640528105621124319e-02,6.005817999829723419e-01,1.126916781674157202e-02,3.881242803766321026e-01,5.578047369773587658e-04,4.844716186785590767e-02,5.008730082769324854e-02
2.880576115223044617e-02,6.006306523912250395e-01,1.138554047847762860e-02,3.879565207291706397e-01,6.114640339981633737e-04,4.851042593245608048e-02,4.630106367145107871e-02
3.120624124824964915e-02,6.006788449057469670e-01,1.150206303132810665e-02,3.877892215339187043e-01,6.656155015382519448e-04,4.857204400758426133e-02,4.808331416360510369e-02
3.360672134426885560e-02,6.007263809824372469e-01,1.161873147848775309e-02,3.876223828386299308e-01,7.202591960985477767e-04,4.863197259577359960e-02,4.718561465773366687e-02
3.600720144028805858e-02,6.007732641947863828e-01,1.173554171915636331e-02,3.874560046782510314e-01,7.753951544278759895e-04,4.869016852967240905e-02,5.048670716757629184e-02
3.840768153630726156e-02,6.008194982338765922e-01,1.185248954853877247e-02,3.872900870749219071e-01,8.310233935229633089e-04,4.874658899440543341e-02,4.886575531685041079e-02
4.080816163232646454e-02,6.008650869083808077e-01,1.196957065784486247e-02,3.871246300379757033e-01,8.871439106284385000e-04,4.880119155000949699e-02,4.792382129711423439e-02
4.320864172834566752e-02,6.009100341445638982e-01,1.208678063428956194e-02,3.869596335639385876e-01,9.437566832368314996e-04,4.885393415393265992e-02,4.650820876686213162e-02
4.560912182436487050e-02,6.009543439862816694e-01,1.220411496109283928e-02,3.867950976365300830e-01,1.000861669088574718e-03,4.890477518358515852e-02,4.813319846172854632e-02
4.800960192038407348e-02,6.009980205949814192e-01,1.232156901747971135e-02,3.866310222266628460e-01,1.058458806172001736e-03,4.895367345893072986e-02,4.897810000048576085e-02
5.041008201640328340e-02,6.010410682497018264e-01,1.243913807868023830e-02,3.864674072924425552e-01,1.116548012723348393e-03,4.900058826510669124e-02,4.817377954920858130e-02
5.281056211242248638e-02,6.010834913455542772e-01,1.255681731798062410e-02,3.863042527787610148e-01,1.175129186592872464e-03,4.904547937654749057e-02,5.292767081974211058e-02
5.521104220844168936e-02,6.011252943319702613e-01,1.267460189395031023e-02,3.861415585975629949e-01,1.234202174677999494e-03,4.908830714251556648e-02,5.210848008843294715e-02
5.761152230446089234e-02,6.011664818230578744e-01,1.279248680883627795e-02,3.859793246512756015e-01,1.293766809671196205e-03,4.912903240651671916e-02,4.099554496961881067e-02
6.001200240048009532e-02,6.012070585769311304e-01,1.291046692747074148e-02,3.858175508347445049e-01,1.353822912725475896e-03,4.916761654330099179e-02,4.350057680539796967e-02
6.241248249649929830e-02,6.012470294511826907e-01,1.302853703544987370e-02,3.856562370249189131e-01,1.414370277323637876e-03,4.920402152336314505e-02,4.867970524719766184e-02
6.481296259251850822e-02,6.012863994028841974e-01,1.314669183913380612e-02,3.854953830808512949e-01,1.475408669278266156e-03,4.923820993499124915e-02,4.797163870026218552e-02
6.721344268853771120e-02,6.013251734885860511e-01,1.326492596564663243e-02,3.853349888436976567e-01,1.536937826731729888e-03,4.927014500621823556e-02,4.991107399871407002e-02
6.961392278455691418e-02,6.013633568643173000e-01,1.338323396287640146e-02,3.851750541367173208e-01,1.598957460156185317e-03,4.929979062666412643e-02,4.995175641973181868e-02
7.201440288057611716e-02,6.014009547855860838e-01,1.350161029947512595e-02,3.850155787652729256e-01,1.661467252353572305e-03,4.932711136925719414e-02,5.568062763441034013e-02
7.441488297659532014e-02,6.014379726073789678e-01,1.362004936485877379e-02,3.848565625168306470e-01,1.724466858455617809e-03,4.935207251182185256e-02,4.601601022374501165e-02
7.681536307261452312e-02,6.014744157841617200e-01,1.373854546920727504e-02,3.846980051609599771e-01,1.787955905923833055e-03,4.937464005852124083e-02,4.824182503714024434e-02
7.921584316863372610e-02,6.015102898698785339e-01,1.385709284346451665e-02,3.845399064493337793e-01,1.851933994549515277e-03,4.939478076114237060e-02,5.552309558361936265e-02
8.161632326465292908e-02,6.015456005179525834e-01,1.397568563933834947e-02,3.843822661157283438e-01,1.916400696453747499e-03,4.941246214021162431e-02,5.135257112881716490e-02
8.401680336067213206e-02,6.015803534812859121e-01,1.409431792930057950e-02,3.842250838760233322e-01,1.981355556087397232e-03,4.942765250592864174e-02,5.141684262305742936e-02
