D,T,s,A,P,P_noisy
5.167034084532541094e+00,2.623568230551020619e+00,1.358188838657216291e+00,7.233726080173562423e+01,2.172918721371438489e-01,2.242035559784395782e-01
9.509590593626759514e+00,2.960082686983813005e+01,5.469523095813136893e-01,4.911735802672421158e+01,6.321148501170883449e-01,6.485472129871114877e-01
1.527180165924374000e+00,4.504864160042487242e+00,7.179433417229869052e-01,6.651783386730724601e+01,9.495320779961069491e-03,1.610406230362881191e-02
9.491629526658714511e+00,5.245611437885731476e+00,1.736555680015715364e+00,4.975289783425326107e+01,7.168358007560341472e-01,6.907726561239468932e-01
3.187131374903806158e+00,2.584960892074343874e+01,1.007114938965170348e+00,2.249041338746044971e+01,4.106448132926007188e-01,4.287519306260630936e-01
4.290931844828498321e+00,3.399331559794846669e+01,1.527309038797414864e+00,7.585625558010146108e+01,7.519647101364499431e-01,7.608922015837301656e-01
8.294255678822374023e+00,1.105685852707982875e+01,1.006035129640317161e+00,6.520290355126127224e+01,6.516998632593631324e-01,6.409607985521574847e-01
4.151071450054696577e+00,2.074145301998642665e+01,6.132867215934285632e-01,3.985461379788220881e+01,2.290042697908928337e-01,2.406266318748198907e-01
5.540977507963289028e+00,3.090024900838038491e+01,7.491434420702939301e-01,7.607679852400571008e+01,3.865960306476521335e-01,3.938874785713736282e-01
3.728352211063769017e-01,8.216204525110011758e+00,5.404712325907474746e-01,4.638273609279795551e+01,5.158021793644218533e-04,6.398452112474941472e-03
7.559779775880585362e+00,1.707948572318151648e+01,1.077135769029475831e+00,2.607606439357482842e+01,8.344599910971517431e-01,8.350284359234676490e-01
5.427618800870853910e+00,2.412344042693442958e+01,7.942146853316855992e-01,2.334918732312213052e+01,6.088013335680645399e-01,6.197355933003134698e-01
3.364343993341012418e+00,3.170840097813109537e+01,1.680293096460911295e+00,3.989764032307788710e+01,7.835844594663905482e-01,7.688553777263572586e-01
7.905444163941202973e+00,2.336380602672993234e+01,5.801624461226271290e-01,4.249108501611443955e+01,5.464761600432647137e-01,5.432179610834036998e-01
3.101628809987285518e+00,6.698464160905919229e+00,1.572627552483572000e+00,4.933576744748810938e+01,2.590140998240587633e-01,2.493717135704592025e-01
4.589629105858449520e+00,3.338825782538453524e+01,1.507141954719446009e+00,2.430051660058038010e+01,9.390011162272586809e-01,9.509780404799512699e-01
1.427012802746931097e+00,3.263296028365856216e+01,1.237217508217110185e+00,6.162194321392281893e+01,4.913694295812331969e-02,4.993138510775649991e-02
4.090818565826578990e+00,2.919408025756967362e+01,1.208074791221289024e+00,5.173284284959262180e+01,6.439380536305291391e-01,6.380889186112274070e-01
2.114206882693881351e+00,2.958689853045761708e+01,7.715815104259993173e-01,5.977288366669461084e+01,6.014572463214229447e-02,4.450755538500544839e-02
2.696902070374310512e+00,1.877450361059632655e+01,9.939161489832305518e-01,2.853346195586966161e+01,2.239013129043648798e-01,2.187574680919874559e-01
7.528610259037520791e+00,2.635922719875676989e+01,1.666063206662592222e+00,4.522922577019478751e+01,9.889465000709006803e-01,9.891093436812675721e-01
2.876046704061795634e+00,3.995060922681492599e+01,7.902011606950258837e-01,3.969250687293563828e+01,2.278727357385890162e-01,2.223606776326016166e-01
4.903390646873186931e+00,3.901985654228354861e+01,1.436558229516464946e+00,5.397808376920656315e+01,9.072445639549577834e-01,9.331258402429218890e-01
9.809298278032262175e+00,8.271487739783690785e+00,1.620203483266775768e+00,6.975369386091338697e+01,8.317039291317245286e-01,8.518384154378404460e-01
9.620406217271488813e+00,2.585901286525544407e+01,1.895147355166233893e+00,3.614164734358443809e+01,9.986081358170508793e-01,9.443848862377315356e-01
7.275420413657982976e+00,3.483394764137300115e+01,5.728002184742823077e-01,3.205485080996230352e+01,6.372021323302049511e-01,5.994218674108514611e-01
5.458145869919598603e+00,3.345123141607485806e+00,1.310074528546848693e+00,4.529249225379750499e+01,2.786861654930076204e-01,2.751907236519043898e-01
2.841222920049171208e+00,2.342266933912044991e+01,6.429986924672538295e-01,4.419954294678755957e+01,1.157319936947532879e-01,1.072881854632262155e-01
1.690454886873756113e+00,5.504190692241935245e+00,1.829773490359130284e+00,7.779031525849092077e+01,6.475921746060686601e-02,6.903207741057908187e-02
9.702261590839713179e+00,8.159052774363050986e+00,1.929998785220780944e+00,3.295337610683080243e+01,8.951567404393723226e-01,8.995031790598235766e-01
5.209078996923999227e+00,1.500865377271475687e+01,5.838356651859464286e-01,3.172027493621440897e+01,2.665343037924542413e-01,3.088910788934752238e-01
1.247069563460626362e+00,2.271009954068500747e+01,6.488356719068300027e-01,3.036399711159588222e+01,2.240010223430599634e-02,1.596869804603683052e-04
6.272548579821253689e+00,2.211700353738019942e+01,1.186488656588434942e+00,7.812982023666825171e+01,7.650361904115308143e-01,7.574840902689908839e-01
7.789162831988750035e+00,2.065543780596935974e+01,1.662397818478354328e+00,7.113418891553982348e+01,9.644170900525351753e-01,1.005272522202381724e+00
6.168732680425100590e+00,3.833315220773015852e+01,1.424042474783123957e+00,2.715907400335839839e+01,9.877010409023848636e-01,1.000635100826421819e+00
9.181247277429935849e+00,2.086430262480902087e+01,9.975804507405122701e-01,7.904140942516738733e+01,8.219400019526095225e-01,8.352012694001347271e-01
4.919694789756082764e-01,2.959074936303422731e+01,1.395261735928787328e+00,6.098681324641043489e+01,3.303325844148274903e-03,-6.976801589600982109e-03
5.333033706274213692e+00,1.403769105297287823e+01,1.696943614603105610e+00,6.732418142861435228e+01,8.031873222419434466e-01,7.702258188248304327e-01
4.647425240565496551e+00,3.002901320311336164e+01,1.882248091908226506e+00,6.419952736092267287e+01,9.321506525893334949e-01,9.354999474737882847e-01
7.172608335837684645e-01,3.016773431236604353e+01,7.074863961734825235e-01,7.004326019324385300e+01,1.957775290100438603e-03,4.138057046531389525e-03
6.449148874479812221e+00,2.711304958020526712e+01,1.764530624656492241e+00,6.137584541391887427e+01,9.780619889092417862e-01,9.535149478243503118e-01
8.541065100958501688e+00,3.041753421095201304e+01,1.471865504752777332e+00,4.633487028602739599e+01,9.916448108657476279e-01,9.779802776301363965e-01
5.970116079232411721e+00,2.332191113946892358e+01,1.304455784884323899e+00,4.353067450929533067e+01,8.857913478564994891e-01,8.843504742619548997e-01
2.674964732598509976e+00,3.436994343498596294e+01,1.161165448012292156e+00,4.918400244287155942e+01,3.100529731968250102e-01,2.911579407356094662e-01
8.414827058210946120e+00,3.346882345511635037e+01,1.266206765521427302e+00,5.494259499650549117e+01,9.780990265303451947e-01,9.761336271733008774e-01
5.144009227062942280e+00,4.759201182065782021e+00,1.188087531846503841e+00,4.477600002886913444e+01,3.020932920474805883e-01,3.040029525968696578e-01
5.157799956218676485e+00,1.848587570688956561e+01,1.506036046211077339e+00,2.181068622229476262e+01,8.633769708262456488e-01,8.640886955673553471e-01
7.554999056251561207e+00,5.706210511555142695e+00,1.868047110295495861e+00,2.927844301970780094e+01,7.253290561860774588e-01,7.152032230197911122e-01
1.564428154271070071e+00,3.807102253237657408e+01,8.553234015960844427e-01,4.717651824089089985e+01,4.701204788478063890e-02,5.888700932049709125e-02
8.214304519280842598e+00,1.796075665488250905e+01,5.030965738461525838e-01,6.781123829889480703e+01,3.385002289793486163e-01,3.563235680649952108e-01
6.864540369432245548e+00,9.583054405930552022e+00,5.386370706949301645e-01,4.318299243605667215e+01,2.375186357267445869e-01,2.439356018180758590e-01
7.892259721392529848e+00,3.366751312718015754e+01,1.867544939490101585e+00,7.182972370865726930e+01,9.964376578231732839e-01,9.800730532753670898e-01
1.997000964299338932e+00,4.401430224252930401e+00,1.893249049221742641e+00,7.503596202290668771e+01,8.885115480997063386e-02,1.034842004856794534e-01
8.043405195231848381e+00,7.009390997189654193e+00,1.812723501318662001e+00,2.485930286845778880e+01,7.998311447403085861e-01,7.898023443709675240e-01
1.994106867966283003e+00,2.747436753323193770e+01,1.373709683616489041e+00,6.338505906901423259e+01,1.521348628151878435e-01,1.697180751809475585e-01
