t,S,I,V,V_stock,dS_dt,dS_dt_noisy
0.000000000000000000e+00,9.500000000000000000e+02,1.000000000000000000e+01,0.000000000000000000e+00,2.000000000000000000e+02,-7.385119047619047805e+00,-7.039534855554261839e+00
2.400480096019203674e-02,9.498219524003740162e+02,1.009506717593477099e+01,3.474305465856719621e-02,2.001092511828067018e+02,-7.449359508850647238e+00,-6.627741365349488767e+00
4.800960192038407348e-02,9.496423521455604941e+02,1.019124144999782011e+01,6.947260142552891260e-02,2.002184467590369366e+02,-7.514483519990050375e+00,-7.184046443806662907e+00
7.201440288057611716e-02,9.494611778193062719e+02,1.028853888306050024e+01,1.041886357424223197e-01,2.003275867664228258e+02,-7.580505787468345247e+00,-8.883663019072706390e+00
9.601920384076814696e-02,9.492784076963173447e+02,1.038697577696790475e+01,1.388911529912600917e-01,2.004366712427400330e+02,-7.647441273323598132e+00,-6.742085406650480728e+00
1.200240048009601768e-01,9.490940197080525422e+02,1.048656870200719027e+01,1.735801484873361611e-01,2.005457002258149828e+02,-7.715305215999614497e+00,-7.268930643635603595e+00
1.440288057611522343e-01,9.489079913920115814e+02,1.058733453728270923e+01,2.082556174682336225e-01,2.006546737535359739e+02,-7.784113160307561508e+00,-8.321066395667847004e+00
1.680336067213442641e-01,9.487202998917355217e+02,1.068929047071601701e+01,2.429175550938249550e-01,2.007635918638530654e+02,-7.853880959689078622e+00,-7.272762855492725720e+00
1.920384076815362939e-01,9.485309219568065373e+02,1.079245399904586478e+01,2.775659564462717999e-01,2.008724545947782190e+02,-7.924624778478000842e+00,-7.560052382291924999e+00
2.160432086417283237e-01,9.483398339428475765e+02,1.089684292782820840e+01,3.122008165300251825e-01,2.009812619843851849e+02,-7.996361094159163407e+00,-7.702228597503637531e+00
2.400480096019203535e-01,9.481470118115230434e+02,1.100247537143619958e+01,3.468221302718256793e-01,2.010900140708095591e+02,-8.069106699622818013e+00,-8.040684458307021387e+00
2.640528105621123833e-01,9.479524311305382298e+02,1.110936975306018937e+01,3.814298925207026958e-01,2.011987108922487835e+02,-8.142878705412966767e+00,-7.596165718800519606e+00
2.880576115223044686e-01,9.477560670732789276e+02,1.121754480499721929e+01,4.160240980478991935e-01,2.013073524869622020e+02,-8.217694542171097183e+00,-8.954148629172763663e+00
3.120624124824964984e-01,9.475578943411570663e+02,1.132701963111958676e+01,4.506047415306447257e-01,2.014159388932873469e+02,-8.293572006777843342e+00,-8.456481954770895371e+00
3.360672134426885282e-01,9.473578872444981016e+02,1.143781364225211838e+01,4.851718175695143298e-01,2.015244701496225446e+02,-8.370529219515352892e+00,-8.852648532195331654e+00
3.600720144028805580e-01,9.471560196875385600e+02,1.154994656796423236e+01,5.197253206849837825e-01,2.016329462944302406e+02,-8.448584634585717623e+00,-7.849738421951090395e+00
3.840768153630725879e-01,9.469522650966284800e+02,1.166343851413915189e+01,5.542652453022292036e-01,2.017413673662525184e+02,-8.527757083094364532e+00,-8.488034975612706035e+00
4.080816163232646177e-01,9.467465964202318673e+02,1.177830996297390520e+01,5.887915857511263340e-01,2.018497334037108430e+02,-8.608065775726377211e+00,-8.900522526691466041e+00
4.320864172834566475e-01,9.465389861289264672e+02,1.189458177297932373e+01,6.233043362662513687e-01,2.019580444455062604e+02,-8.689530305411160782e+00,-9.471438767768002975e+00
4.560912182436486773e-01,9.463294062154039921e+02,1.201227517898005104e+01,6.578034909868799573e-01,2.020663005304192836e+02,-8.772170649973284995e+00,-9.029362890592155466e+00
4.800960192038407071e-01,9.461178281944698938e+02,1.213141179211453036e+01,6.922890439569883148e-01,2.021745016973099212e+02,-8.856007174767084322e+00,-8.847864994248741510e+00
5.041008201640327924e-01,9.459042231030437051e+02,1.225201359983501526e+01,7.267609891252523324e-01,2.022826479851176771e+02,-8.941060635292657821e+00,-9.216663540592028525e+00
5.281056211242247667e-01,9.456885615001493761e+02,1.237410296591475145e+01,7.612193203450458023e-01,2.023907394328615794e+02,-9.027352179795865794e+00,-7.733288365397658737e+00
5.521104220844168520e-01,9.454708133830777115e+02,1.249770269800754896e+01,7.956640313569252054e-01,2.024987760796577163e+02,-9.114903400328490335e+00,-8.108179085022696242e+00
5.761152230446089373e-01,9.452509482541626085e+02,1.262283599430563008e+01,8.300951158030572818e-01,2.026067579647047125e+02,-9.203736297446038606e+00,-1.191489877641200756e+01
