R0,q,d,a,Reff,Reff_noisy
2.779554061750642013e+00,8.746695916656202496e-02,5.935195978162370878e+00,8.786732960274807880e+00,5.787456221244297261e+00,5.797823747006241035e+00
3.876159240814838203e+00,7.100190816116490611e-01,7.973646273483200320e-01,5.110248354231333501e+00,2.427583767598902931e+00,2.452232311903937756e+00
1.860399031799084391e+00,1.308814806163650923e-01,1.880307830912250289e+00,7.865323695656979197e+00,3.274697395598031413e+00,3.284610507883532815e+00
3.871623617843109599e+00,1.479756485665937871e-01,8.331519306766196564e+00,5.210875490423433121e+00,6.364170085233395113e+00,6.325075368285264510e+00
2.279578630026213748e+00,6.234525135556178155e-01,3.711727946779411980e+00,8.943154530145709380e-01,1.097671472940461523e+00,1.124832148940654974e+00
2.558316122431439243e+00,8.113842061065029698e-01,7.006290579050293843e+00,9.343907133516063723e+00,8.954687773626398561e-01,9.088600145335602454e-01
3.569256484551104336e+00,2.820813506249191249e-01,3.704889154388674832e+00,7.657126395616366210e+00,4.367773871371824157e+00,4.351665274311015352e+00
2.522997840922903023e+00,5.055719927689175108e-01,1.217482570091714233e+00,3.643647184664683625e+00,1.981021027556430170e+00,1.998454570682320686e+00
2.873984219182649014e+00,7.400057463472397012e-01,2.077908466445194779e+00,9.378826432967569460e+00,1.667661166856417410e+00,1.678598338741999596e+00
1.568897783107670918e+00,2.165277967333079645e-01,7.563178064080673391e-01,4.677266548026342896e+00,2.124387313529539689e+00,2.133211288429205599e+00
3.383782771687016577e+00,4.210650551503425931e-01,4.155193203853346340e+00,1.462043528982681195e+00,2.480146783448756054e+00,2.480999450688230024e+00
2.845358283048195602e+00,5.836178560061792142e-01,2.363359673767342350e+00,1.030287992827670696e+00,1.591224474043815729e+00,1.607625863642189179e+00
2.324329291247730467e+00,7.586554071876406846e-01,7.975189610919104943e+00,3.650459717820665695e+00,8.006436869170415749e-01,7.785500643069915849e-01
3.471071758571010690e+00,5.660878313860753241e-01,1.007695492109972113e+00,4.061088460884786144e+00,2.548736116998223000e+00,2.543848818558431368e+00
2.257987073229112518e+00,1.815030190978288993e-01,7.293307832395955259e+00,5.144829845852284755e+00,3.365802517465027233e+00,3.351338938084627905e+00
