t,I1,I2,R,dI1_dt,dI1_dt_noisy
0.000000000000000000e+00,5.000000000000000278e-02,1.000000000000000021e-02,0.000000000000000000e+00,5.663257575757577045e-02,5.732374414170534477e-02
1.200240048009601837e-02,5.068386189851677159e-02,1.010954500614836410e-02,4.465568910063973237e-04,5.732263789631796697e-02,5.896587418332028402e-02
2.400480096019203674e-02,5.137604311981042171e-02,1.022022317723476209e-02,8.980851337285505496e-04,5.801885210675926385e-02,5.867972625912604157e-02
3.600720144028805858e-02,5.207661749435286980e-02,1.033204467200343583e-02,1.354637772898799764e-03,5.872121224805402356e-02,5.611489778484530372e-02
4.800960192038407348e-02,5.278565873688234600e-02,1.044501970402170708e-02,1.816268169009765173e-03,5.942971018137962330e-02,6.124042191472586077e-02
6.001200240048008838e-02,5.350324043050443817e-02,1.055915854194762818e-02,2.283029999480350267e-03,6.014433573019224016e-02,6.103708487492025964e-02
7.201440288057611716e-02,5.422943602669211272e-02,1.067447150952997165e-02,2.754977258655736620e-03,6.086507665777335374e-02,5.979117018705278064e-02
8.401680336067213206e-02,5.496431884528569373e-02,1.079096898560823713e-02,3.232164257807387895e-03,6.159191864478089778e-02,6.275415485317360764e-02
9.601920384076814696e-02,5.570796206409684564e-02,1.090866140387961210e-02,3.714645622901401392e-03,6.232484525602342840e-02,6.305399004839558341e-02
1.080216043208641619e-01,5.646043858883563471e-02,1.102755924894409899e-02,4.202476259818174048e-03,6.306383778434017373e-02,6.365210277765122326e-02
1.200240048009601768e-01,5.722182112650031627e-02,1.114767305683300909e-02,4.695711362805160896e-03,6.380887530686357723e-02,6.386571978949516504e-02
1.320264052810561917e-01,5.799218209333469737e-02,1.126901341478727878e-02,5.194406406947730225e-03,6.455993456787545437e-02,6.565336054110035291e-02
1.440288057611522343e-01,5.877159358116110233e-02,1.139159096073438099e-02,5.698617142475759061e-03,6.531698992438149387e-02,6.384408175037815936e-02
1.560312062412482492e-01,5.956012735738040048e-02,1.151541638328831829e-02,6.208399594763630569e-03,6.608001332701182728e-02,6.575419343102571756e-02
1.680336067213442641e-01,6.035785486497197150e-02,1.164050042174962982e-02,6.723810064330239256e-03,6.684897430106456762e-02,6.588473567570461709e-02
1.800360072014402790e-01,6.116484722249374006e-02,1.176685386610538606e-02,7.244905126838992702e-03,6.762383992769711860e-02,6.882153235296636917e-02
1.920384076815362939e-01,6.198117510422609944e-02,1.189448755363164099e-02,7.771741601070256480e-03,6.840457470462334155e-02,6.848401891958666443e-02
2.040408081616323088e-01,6.280690872640813660e-02,1.202341236648039532e-02,8.304376532701749497e-03,6.919114051726155123e-02,6.860622701533138079e-02
2.160432086417283237e-01,6.364211786377224622e-02,1.215363923368423596e-02,8.842867208491211189e-03,6.998349663823097422e-02,6.841967971351728406e-02
2.280456091218243386e-01,6.448687173139350248e-02,1.228517912903760376e-02,9.387271132416150077e-03,7.078159959273386259e-02,7.026721511149612576e-02
2.400480096019203535e-01,6.534123898467938951e-02,1.241804307109655760e-02,9.937646025671431627e-03,7.158540314479998334e-02,7.160168750583667530e-02
2.520504100820163962e-01,6.620528771936977364e-02,1.255224212317877612e-02,1.049404982666927652e-02,7.239485828385429367e-02,7.184365247325555370e-02
2.640528105621123833e-01,6.707908547153687562e-02,1.268778739336354905e-02,1.105654069103925892e-02,7.320991321160341680e-02,7.579804084039983014e-02
2.760552110422084260e-01,6.796269920433083145e-02,1.282469003413285423e-02,1.162517698797275838e-02,7.403051331623775044e-02,7.604396194684934218e-02
